Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Gear (Calculated)* (position)
369196,-2.34,-4.69,14.47,8,0.26,831,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.26,3.62,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
369287,-2.34,-4.69,14.59,8,0.26,828,0.00,0.00,14.70,16,9.88,8.00,135,5.37,-9.32,3.65,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
369379,-2.34,-4.69,14.59,8,0.26,836,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.30,3.65,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
369470,-1.56,-4.69,14.59,8,0.27,824,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.32,3.65,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
369562,-1.56,-4.69,14.81,8,0.27,819,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.34,3.65,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
369653,-1.56,-4.69,14.70,8,0.27,826,0.00,0.00,14.70,16,9.88,9.00,135,5.37,-9.32,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
369744,-1.56,-4.69,14.81,8,0.27,833,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.34,3.65,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
369835,-1.56,-4.69,14.70,8,0.26,836,0.00,0.00,14.70,16,9.88,8.00,135,5.37,-9.34,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
369927,-1.56,-4.69,14.81,8,0.26,840,0.00,0.00,14.70,16,9.88,8.00,135,5.37,-9.34,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
370018,-2.34,-4.69,14.81,8,0.26,838,0.00,0.00,14.70,16,9.88,8.00,135,5.37,-9.36,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
370109,-2.34,-4.69,14.70,8,0.26,836,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.38,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
370201,-2.34,-4.69,14.47,8,0.27,828,0.00,0.00,14.70,16,9.88,10.00,135,5.37,-9.36,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
370292,-3.12,-4.69,14.59,8,0.26,825,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.36,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
370384,-2.34,-4.69,14.59,8,0.26,829,0.00,0.00,14.70,16,9.88,9.00,135,5.37,-9.34,3.65,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
370475,-2.34,-4.69,14.36,8,0.26,839,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.38,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
370567,-2.34,-4.69,14.59,8,0.26,841,0.00,0.00,14.70,16,9.88,8.00,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
370658,-1.56,-4.69,14.59,8,0.26,845,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.36,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
370749,-2.34,-4.69,14.81,8,0.26,840,0.00,0.00,14.70,16,9.88,8.00,135,5.37,-9.40,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
370841,-1.56,-4.69,14.81,8,0.26,834,0.00,0.00,14.70,16,9.88,8.50,135,5.37,-9.40,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
370932,-1.56,-4.69,14.81,8,0.26,835,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
371023,-2.34,-4.69,14.81,8,0.26,832,0.00,0.00,14.70,16,9.88,9.50,135,5.22,-9.42,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
371114,-2.34,-4.69,14.70,8,0.26,829,0.00,0.00,14.70,16,9.88,9.00,135,5.37,-9.42,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
371206,-2.34,-4.69,14.70,8,0.26,834,0.00,0.00,14.70,16,9.88,10.00,135,5.22,-9.38,3.65,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
371297,-2.34,-4.69,14.70,8,0.27,894,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
371389,-2.34,-4.69,14.47,8,0.26,837,0.00,0.00,14.70,16,9.88,10.00,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
371480,-2.34,-4.69,14.59,8,0.26,833,0.00,0.00,14.70,16,9.88,9.00,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
371571,-2.34,-4.69,14.70,8,0.27,824,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.38,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
371663,-2.34,-4.69,14.59,8,0.26,830,0.00,0.00,14.70,16,9.88,10.50,135,5.37,-9.36,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
371754,-1.56,-4.69,14.59,8,0.27,830,0.00,0.00,14.70,16,9.88,10.00,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
371845,-1.56,-4.69,14.70,8,0.27,820,0.00,0.00,14.70,16,9.88,9.50,135,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
371936,-1.56,-4.69,14.70,8,0.27,829,0.00,0.00,14.70,16,9.88,10.50,136,5.37,-9.36,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
372028,-1.56,-4.69,14.81,8,0.26,841,0.00,0.00,14.70,16,9.88,8.50,136,5.37,-9.36,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
372118,-1.56,-4.69,14.70,8,0.26,844,0.00,0.00,14.70,16,9.88,8.50,136,5.37,-9.38,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
372210,-1.56,-4.69,14.81,8,0.26,842,0.00,0.00,14.70,16,9.88,9.00,136,5.37,-9.36,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
372302,-1.56,-4.69,14.93,8,0.26,834,0.00,0.00,14.70,16,9.88,8.50,136,5.37,-9.38,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.00,1,0
372393,-1.56,-4.69,14.81,8,0.26,840,0.00,0.00,14.70,16,9.88,9.50,136,5.37,-9.38,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
372484,-1.56,-4.69,14.81,8,0.26,849,0.00,0.00,14.70,16,9.88,9.50,136,5.37,-9.40,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
372575,-1.56,-4.69,14.70,8,0.26,838,0.00,0.00,14.70,16,9.88,8.00,136,5.37,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
372666,-1.56,-4.69,14.81,8,0.26,844,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.44,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
372757,-1.56,-4.69,14.70,8,0.26,846,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.42,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
372850,-1.56,-4.69,14.70,8,0.26,846,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
372940,-1.56,-4.69,14.70,8,0.26,848,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
373032,-1.56,-4.69,14.81,8,0.27,844,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
373122,-1.56,-4.69,14.81,8,0.26,848,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
373215,-1.56,-4.69,14.81,8,0.26,844,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.42,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
373305,-1.56,-4.69,14.81,8,0.26,844,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.46,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
373396,-1.56,-4.69,14.81,8,0.26,836,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
373488,-1.56,-4.69,14.70,8,0.26,839,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
373579,-2.34,-4.69,14.59,8,0.26,842,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
373670,-2.34,-4.69,14.36,8,0.26,844,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
373761,-3.12,-4.69,14.47,8,0.26,847,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
373853,-3.12,-4.69,14.36,8,0.26,842,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.46,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
373944,-3.12,-4.69,14.13,8,0.26,847,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
374036,-3.12,-4.69,14.24,8,0.26,838,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
374128,-3.12,-4.69,14.24,8,0.26,843,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.48,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
374219,-2.34,-4.69,14.24,8,0.26,844,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.40,1,0
374310,-3.12,-4.69,14.36,8,0.27,843,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.46,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
374401,-2.34,-4.69,14.59,8,0.26,850,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.40,1,0
374493,-1.56,-4.69,14.70,8,0.26,847,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.40,1,0
374584,-1.56,-4.69,14.81,8,0.26,840,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.48,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
374675,-1.56,-4.69,14.81,8,0.27,840,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
374766,-1.56,-4.69,14.81,8,0.27,833,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.40,3.75,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
374859,-2.34,-4.69,14.81,8,0.27,829,0.00,0.00,14.70,16,9.88,10.50,136,5.37,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
374950,-1.56,-4.69,14.81,8,0.26,838,0.00,0.00,14.70,16,9.88,10.50,136,5.37,-9.42,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
375042,-2.34,-4.69,14.70,8,0.27,839,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.42,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
375132,-2.34,-4.69,14.70,8,0.26,829,0.00,0.00,14.70,16,9.88,9.50,136,5.37,-9.44,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
375223,-2.34,-4.69,14.59,8,0.26,846,0.00,0.00,14.70,16,9.88,10.00,136,5.37,-9.38,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
375315,-2.34,-4.69,14.70,8,0.26,848,0.00,0.00,14.70,16,9.88,8.50,136,5.37,-9.42,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
375406,-3.12,-4.69,14.47,8,0.26,856,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
375497,-2.34,-4.69,14.47,8,0.26,854,0.00,0.00,14.70,16,9.88,8.00,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
375588,-2.34,-4.69,14.59,8,0.26,846,0.00,0.00,14.70,16,9.88,8.00,136,5.22,-9.46,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
375681,-2.34,-4.69,14.70,8,0.26,840,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
375771,-2.34,-4.69,14.70,8,0.27,841,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
375863,-2.34,-4.69,14.70,8,0.26,830,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
375954,-1.56,-4.69,14.70,8,0.27,828,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.42,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
376045,-1.56,-4.69,14.81,8,0.27,834,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.42,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
376136,-2.34,-4.69,14.70,8,0.26,844,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
376228,-2.34,-4.69,14.59,8,0.26,851,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
376319,-2.34,-4.69,14.70,8,0.27,844,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
376410,-3.12,-4.69,14.59,8,0.27,826,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
376502,-3.12,-4.69,14.24,8,0.27,836,0.00,0.00,14.70,16,9.88,11.00,136,5.22,-9.40,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
376593,-3.12,-4.69,14.47,8,0.26,831,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.40,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
376684,-3.12,-4.69,14.47,8,0.27,832,0.00,0.00,14.70,16,9.88,9.50,136,5.37,-9.42,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
376776,-2.34,-4.69,14.36,8,0.26,844,0.00,0.00,14.70,16,9.88,10.50,136,5.37,-9.38,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
376867,-3.12,-4.69,14.59,8,0.26,850,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
376958,-2.34,-4.69,14.47,8,0.26,855,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
377050,-2.34,-4.69,14.70,8,0.27,844,0.00,0.00,14.70,16,9.88,8.00,136,5.22,-9.44,3.73,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
377141,-2.34,-4.69,14.81,8,0.27,838,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
377232,-2.34,-4.69,14.70,8,0.27,837,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
377323,-2.34,-4.69,14.81,8,0.26,844,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.78,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
377415,-2.34,-4.69,14.70,8,0.26,841,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
377506,-2.34,-4.69,14.70,8,0.26,846,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
377598,-2.34,-4.69,14.70,8,0.26,847,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
377689,-3.12,-4.69,14.70,8,0.26,849,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
377780,-3.12,-4.69,14.47,8,0.27,850,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
377871,-3.12,-4.69,14.59,8,0.27,845,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
377962,-3.12,-4.69,14.47,8,0.26,847,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
378054,-2.34,-4.69,14.47,8,0.27,845,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
378145,-2.34,-4.69,14.59,8,0.26,841,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
378236,-2.34,-4.69,14.70,8,0.26,839,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.67,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
378327,-2.34,-4.69,14.70,8,0.27,842,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
378419,-2.34,-4.69,14.81,8,0.27,834,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.76,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
378511,-1.56,-4.69,14.81,8,0.27,842,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
378601,-1.56,-4.69,14.93,8,0.26,842,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
378693,-1.56,-4.69,14.93,8,0.26,850,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.44,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
378784,-1.56,-4.69,14.81,8,0.26,851,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
378875,-1.56,-4.69,14.93,8,0.26,847,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.46,3.70,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
378967,-1.56,-4.69,14.81,8,0.26,842,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
379058,-1.56,-4.69,14.81,8,0.26,852,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,15.00,1,0
379150,-1.56,-5.47,14.81,8,0.26,844,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
379240,-1.56,-5.47,14.81,8,0.26,850,0.00,0.00,14.70,16,9.88,8.00,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1,0
379332,-1.56,-5.47,14.70,8,0.26,854,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
379423,-2.34,-5.47,14.81,8,0.26,856,0.00,0.00,14.70,16,9.88,8.00,136,5.22,-9.49,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
379515,-2.34,-5.47,14.59,8,0.26,853,0.00,0.00,14.70,16,9.88,8.50,136,5.22,-9.51,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
379605,-1.56,-5.47,14.70,8,0.27,846,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.48,3.73,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
379698,-2.34,-5.47,14.81,8,0.26,846,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
379789,-2.34,-5.47,14.70,8,0.26,848,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
379880,-2.34,-5.47,14.59,8,0.26,846,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
379971,-2.34,-5.47,14.59,8,0.26,846,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
380063,-2.34,-5.47,14.59,8,0.26,851,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
380154,-3.12,-5.47,14.36,8,0.26,850,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
380246,-3.91,-5.47,14.36,8,0.26,840,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
380337,-3.12,-5.47,14.24,8,0.26,849,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
380428,-3.12,-5.47,14.36,8,0.26,848,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
380519,-3.91,-5.47,14.13,8,0.26,849,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
380611,-3.12,-5.47,14.13,8,0.26,847,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
380703,-3.91,-5.47,14.36,8,0.27,835,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.40,1,0
380795,-3.91,-5.47,14.47,8,0.26,838,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
380886,-3.12,-5.47,14.36,8,0.27,842,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.44,3.73,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
380977,-3.12,-5.47,14.59,8,0.27,834,0.00,0.00,14.70,16,9.88,10.00,136,5.22,-9.46,3.73,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
381068,-3.12,-5.47,14.59,8,0.26,842,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
381160,-2.34,-5.47,14.70,8,0.26,847,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.44,3.73,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1,0
381250,-2.34,-5.47,14.81,8,0.26,847,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
381342,-2.34,-5.47,14.81,8,0.26,848,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.30,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1,0
381433,-2.34,-5.47,14.93,8,0.26,848,0.00,0.00,14.70,16,9.88,9.50,136,5.22,-9.46,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
381524,-2.34,-5.47,14.93,8,0.26,838,0.00,0.00,14.70,16,9.88,9.00,136,5.22,-9.48,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1,0
381616,-2.34,-5.47,14.81,8,0.26,840,0.00,0.00,14.70,16,9.88,10.50,136,5.22,-9.44,3.73,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1,0
