Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Gear (Calculated)* (position)
4542,-8.59,0.00,12.86,8,0.24,930,0.00,0.00,14.70,16,9.88,17.50,118,4.50,-10.19,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.90,1
4631,-8.59,0.00,12.86,8,0.24,911,0.00,0.00,14.70,16,9.88,17.50,118,4.50,-10.13,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.60,1
4720,-9.38,0.00,12.98,8,0.24,904,0.00,0.00,14.70,16,9.88,17.50,118,4.64,-10.09,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.50,1
4809,-9.38,0.00,13.21,8,0.24,901,0.00,0.00,14.70,16,9.88,17.50,118,4.64,-10.06,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.50,1
4898,-9.38,0.00,13.21,8,0.24,891,0.00,0.00,14.70,16,9.88,17.50,118,4.64,-10.02,3.55,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.40,1
4987,-10.16,0.00,13.32,8,0.24,879,0.00,0.00,14.70,16,9.88,17.50,118,4.64,-10.02,3.49,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.30,1
5076,-10.16,0.00,13.44,8,0.24,878,0.00,0.00,14.70,16,9.88,17.50,118,4.64,-10.02,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.40,1
5165,-10.16,0.00,13.44,8,0.24,854,0.00,0.00,14.70,16,9.88,17.50,118,4.64,-9.96,3.47,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.40,1
5254,-10.94,0.00,13.55,8,0.24,840,0.00,0.00,14.70,16,9.88,17.50,118,4.79,-9.96,3.45,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.40,1
5343,-10.94,0.00,13.67,8,0.25,824,0.00,0.00,14.70,16,9.88,17.50,118,4.79,-9.92,3.42,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,13.40,1
5432,-10.16,0.00,13.67,8,0.25,829,0.00,0.00,14.70,16,9.88,17.50,118,4.79,-9.86,3.45,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,13.60,1
5522,-10.16,0.00,13.78,8,0.25,826,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.82,3.45,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.50,1
5611,-10.16,0.00,14.01,8,0.25,824,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.77,3.42,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.60,1
5700,-9.38,0.00,14.13,8,0.25,812,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.77,3.39,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,13.80,1
5788,-9.38,0.00,14.24,8,0.25,815,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.73,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,13.70,1
5877,-8.59,0.00,14.47,8,0.24,822,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.73,3.38,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,13.80,1
5967,-8.59,0.00,14.70,8,0.24,814,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.77,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,13.80,1
6056,-8.59,0.00,14.70,8,0.24,821,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.75,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.00,1
6145,-8.59,0.00,14.70,8,0.24,816,0.00,0.00,14.70,16,9.88,17.00,118,4.93,-14.70,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.10,1
6234,-8.59,0.00,14.81,8,0.24,811,0.00,0.00,14.70,16,9.88,17.00,118,4.93,-9.75,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.20,1
6323,-8.59,0.00,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,17.50,118,4.93,-9.71,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.30,1
6412,-8.59,0.00,14.81,8,0.25,796,0.00,0.00,14.70,16,9.88,16.50,118,4.93,-9.73,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.40,1
6501,-8.59,0.00,14.81,8,0.25,795,0.00,0.00,14.70,16,9.88,17.50,118,5.08,-9.69,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1
6590,-8.59,0.00,14.81,8,0.25,804,0.00,0.00,14.70,16,9.88,16.50,118,5.08,-9.67,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.50,1
6679,-7.81,-0.78,14.93,8,0.25,805,0.00,0.00,14.70,16,9.88,15.50,118,5.08,-9.67,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
6768,-7.81,-0.78,14.93,8,0.25,804,0.00,0.00,14.70,16,9.88,15.00,118,5.08,-9.67,3.33,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
6857,-7.81,-0.78,14.93,8,0.25,789,0.00,0.00,14.70,16,9.88,15.00,118,5.08,-9.67,3.30,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
6946,-8.59,-1.56,14.93,8,0.25,792,0.00,0.00,14.70,16,9.88,15.50,118,5.08,-9.65,3.30,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
