Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Coolant Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
113371,0.12,2109,203,8.36,14.13,34.14,33.00,4.93,-9.82,1.60,0.00,0.76,0.00,0.00,0.00,16
113435,0.11,2110,203,8.14,14.47,33.79,33.00,4.79,-9.98,1.60,0.00,0.74,0.00,0.00,0.00,16
113499,0.11,2100,203,7.82,14.70,33.44,33.00,4.64,-10.13,1.58,0.00,0.74,0.00,0.00,0.00,16
113563,0.11,2111,203,7.62,14.81,33.44,32.50,4.50,-10.23,1.58,0.00,0.74,0.00,0.00,0.00,16
113627,0.11,2116,203,7.70,14.93,33.79,32.50,4.35,-10.31,1.58,0.00,0.74,0.00,0.00,0.00,16
113691,0.11,2126,203,7.29,15.16,33.44,33.00,4.35,-10.40,1.58,0.00,0.74,0.00,0.00,0.00,16
113756,0.10,2125,203,7.29,15.27,33.44,33.00,4.21,-10.48,1.56,0.00,0.72,0.00,0.00,0.00,16
113817,0.10,2094,203,7.06,15.27,33.44,32.50,4.21,-10.60,1.54,0.00,0.72,0.00,0.00,0.00,16
113881,0.10,2088,203,6.92,15.27,33.44,32.50,3.92,-10.73,1.54,0.00,0.70,0.00,0.00,0.00,16
113946,0.10,2102,203,7.10,15.27,33.44,32.50,3.92,-10.85,1.56,0.00,0.70,0.00,0.00,0.00,16
114010,0.10,2100,203,7.32,15.27,33.44,32.50,3.77,-10.91,1.56,0.00,0.70,0.00,0.00,0.00,16
114074,0.11,2086,203,7.29,15.16,33.44,32.50,3.77,-10.96,1.56,0.00,0.70,0.00,0.00,0.00,16
114139,0.11,2075,203,7.41,15.04,33.44,32.50,3.77,-11.00,1.56,0.00,0.70,0.00,0.00,0.00,16
114204,0.10,2086,203,7.10,14.81,33.44,32.50,3.63,-11.02,1.54,0.00,0.70,0.00,0.00,0.00,16
114268,0.10,2086,203,7.06,14.36,32.03,32.00,3.63,-11.06,1.54,0.00,0.70,0.00,0.00,0.00,16
114329,0.10,2086,203,6.66,13.90,32.38,32.00,3.63,-11.04,1.54,0.00,0.70,0.00,0.00,0.00,16
114396,0.10,2070,203,7.03,12.98,28.87,28.50,3.63,-11.06,1.54,0.00,0.70,0.00,0.00,0.00,16
114457,0.10,2048,203,6.99,12.75,28.16,28.00,3.63,-11.08,1.54,0.00,0.70,0.00,0.00,0.00,16
114525,0.10,2050,203,7.06,12.52,26.05,25.00,3.63,-11.08,1.54,0.00,0.70,0.00,0.00,0.00,16
114585,0.10,2062,203,6.92,12.52,22.89,22.50,3.63,-11.08,1.54,0.00,0.70,0.00,0.00,0.00,16
114649,0.10,2040,203,6.88,12.40,20.08,22.50,3.63,-11.06,1.54,0.00,0.70,0.00,0.00,0.00,16
114713,0.11,2019,203,6.95,12.40,17.97,19.00,3.63,-11.08,1.54,0.00,0.70,0.00,0.00,0.00,16
114777,0.10,1998,203,6.99,12.98,14.45,17.00,3.77,-10.94,1.54,0.00,0.70,0.00,0.00,0.00,16
114842,0.10,2013,203,6.92,13.55,11.99,14.00,3.92,-10.85,1.54,0.00,0.70,0.00,0.00,0.00,16
114906,0.10,2006,203,6.88,14.36,10.94,11.00,3.92,-10.79,1.54,0.00,0.70,0.00,0.00,0.00,16
114971,0.10,1967,203,6.81,14.36,11.29,13.00,3.92,-10.75,1.54,0.00,0.70,0.00,0.00,0.00,16
115035,0.10,1974,203,6.77,15.16,7.42,11.50,3.92,-10.71,1.52,0.00,0.70,0.00,0.00,0.00,16
115095,0.11,1982,203,6.81,15.85,8.48,5.50,4.06,-10.69,1.52,0.00,0.70,0.00,0.00,0.00,16
115160,0.11,1956,203,6.77,17.57,13.40,8.00,4.06,-10.69,1.52,0.00,0.70,0.00,0.00,0.00,16
115224,0.10,1930,203,6.55,19.87,11.99,11.50,4.06,-10.69,1.52,0.00,0.70,0.00,0.00,0.00,16
115288,0.10,1923,203,6.55,22.62,10.59,8.50,4.06,-10.69,1.52,0.00,0.70,0.00,0.00,0.00,16
115353,0.10,1915,203,6.62,24.58,12.70,11.00,4.06,-10.69,1.50,0.00,0.70,0.00,0.00,0.00,16
115418,0.10,1895,203,6.44,25.61,14.10,14.00,4.06,-10.71,1.50,0.00,0.70,0.00,0.00,0.00,16
115482,0.10,1888,203,6.51,25.61,14.10,14.00,4.06,-10.69,1.50,0.00,0.70,0.00,0.00,0.00,16
117521,0.10,1888,203,6.51,25.61,14.10,14.00,4.06,-10.69,1.50,0.00,0.70,0.00,0.00,0.00,16
118096,0.13,906,203,3.88,13.78,14.10,22.00,4.64,-10.06,1.28,0.00,0.66,0.00,0.00,0.00,16
118157,0.12,890,203,3.75,13.44,14.10,22.00,4.64,-10.00,1.28,0.00,0.66,0.00,0.00,0.00,16
118221,0.12,888,203,3.63,12.75,14.10,22.00,4.79,-9.92,1.26,0.00,0.66,0.00,0.00,0.00,16
118290,0.12,884,203,3.58,12.17,14.10,22.00,4.79,-9.92,1.26,0.00,0.66,0.00,0.00,0.00,16
118350,0.12,875,203,3.58,12.06,14.10,22.00,4.79,-9.88,1.26,0.00,0.66,0.00,0.00,0.00,16
118414,0.12,869,203,3.56,11.60,14.10,22.00,4.79,-9.86,1.28,0.00,0.66,0.00,0.00,0.00,16
118479,0.12,864,203,3.52,11.48,14.10,22.00,4.79,-9.84,1.28,0.00,0.66,0.00,0.00,0.00,16
118539,0.12,861,203,3.49,11.25,14.10,22.00,4.93,-9.82,1.28,0.00,0.66,0.00,0.00,0.00,16
118607,0.12,860,203,3.52,11.37,14.10,22.00,4.93,-9.80,1.28,0.00,0.66,0.00,0.00,0.00,16
118668,0.12,858,203,3.47,11.25,14.10,22.00,4.93,-9.78,1.26,0.00,0.66,0.00,0.00,0.00,16
118732,0.12,864,203,3.45,11.48,14.10,22.00,4.93,-9.82,1.26,0.00,0.66,0.00,0.00,0.00,16
118797,0.12,860,203,3.40,11.48,14.10,22.00,4.93,-9.82,1.24,0.00,0.66,0.00,0.00,0.00,16
118861,0.12,842,203,3.40,11.71,14.10,22.00,4.93,-9.82,1.24,0.00,0.66,0.00,0.00,0.00,16
118925,0.12,844,203,3.40,11.83,14.10,22.00,4.93,-9.77,1.26,0.00,0.66,0.00,0.00,0.00,16
118989,0.13,836,203,3.45,12.06,14.10,22.00,4.93,-9.77,1.28,0.00,0.66,0.00,0.00,0.00,16
119054,0.13,823,203,3.49,12.40,14.10,22.00,4.93,-9.73,1.28,0.00,0.66,0.00,0.00,0.00,16
119114,0.13,816,203,3.56,12.63,14.10,22.00,5.08,-9.67,1.26,0.00,0.64,0.00,0.00,0.00,16
119179,0.13,816,203,3.56,12.98,14.10,22.00,5.08,-9.63,1.26,0.00,0.66,0.00,0.00,0.00,16
119243,0.13,811,203,3.52,13.09,14.10,22.00,5.08,-9.61,1.26,0.00,0.64,0.00,0.00,0.00,16
119307,0.13,806,203,3.47,13.44,14.10,22.00,5.08,-9.57,1.28,0.00,0.66,0.00,0.00,0.00,16
119371,0.13,811,203,3.45,13.67,14.10,22.00,5.08,-9.57,1.26,0.00,0.66,0.00,0.00,0.00,16
119436,0.12,817,203,3.40,14.01,14.10,21.00,5.08,-9.57,1.24,0.00,0.66,0.00,0.00,0.00,16
119500,0.12,820,203,3.38,14.13,14.10,20.00,5.08,-9.57,1.24,0.00,0.66,0.00,0.00,0.00,16
119564,0.12,829,203,3.36,14.13,14.10,20.00,5.08,-9.59,1.26,0.00,0.66,0.00,0.00,0.00,16
119625,0.12,827,203,3.33,14.36,14.10,20.00,5.08,-9.59,1.26,0.00,0.66,0.00,0.00,0.00,16
119689,0.12,819,205,3.36,14.36,14.10,20.50,5.08,-9.59,1.24,0.00,0.66,0.00,0.00,0.00,16
119753,0.13,813,205,3.40,14.36,14.10,20.50,5.08,-9.59,1.24,0.00,0.66,0.00,0.00,0.00,16
119818,0.13,804,203,3.40,14.24,14.10,21.00,5.08,-9.55,1.26,0.00,0.66,0.00,0.00,0.00,16
119882,0.13,796,203,3.42,14.36,14.10,21.50,5.08,-9.57,1.28,0.00,0.66,0.00,0.00,0.00,16
119946,0.13,792,203,3.42,14.36,14.10,21.50,5.22,-9.53,1.26,0.00,0.66,0.00,0.00,0.00,16
120010,0.13,795,203,3.45,14.13,14.10,21.00,5.22,-9.53,1.24,0.00,0.64,0.00,0.00,0.00,16
120074,0.13,795,203,3.45,14.24,14.10,20.50,5.22,-9.53,1.26,0.00,0.66,0.00,0.00,0.00,16
120135,0.13,804,203,3.40,14.24,14.10,19.50,5.22,-9.51,1.26,0.00,0.66,0.00,0.00,0.00,16
120203,0.13,808,205,3.38,14.13,14.10,18.50,5.22,-9.51,1.24,0.00,0.66,0.00,0.00,0.00,16
120268,0.13,809,205,3.36,14.24,14.10,18.00,5.22,-9.49,1.24,0.00,0.66,0.00,0.00,0.00,16
120328,0.13,800,205,3.36,14.24,14.10,19.00,5.22,-9.53,1.26,0.00,0.66,0.00,0.00,0.00,16
120393,0.13,793,205,3.38,14.24,14.10,19.50,5.22,-9.53,1.26,0.00,0.64,0.00,0.00,0.00,16
120458,0.13,787,205,3.40,14.24,14.10,19.50,5.22,-9.51,1.24,0.00,0.66,0.00,0.00,0.00,16
120522,0.13,784,205,3.40,14.36,14.10,19.50,5.22,-9.49,1.24,0.00,0.66,0.00,0.00,0.00,16
120586,0.13,787,205,3.40,14.36,14.10,19.00,5.22,-9.46,1.26,0.00,0.66,0.00,0.00,0.00,16
120647,0.13,794,205,3.40,14.36,14.10,18.00,5.22,-9.48,1.26,0.00,0.64,0.00,0.00,0.00,16
120711,0.13,791,205,3.45,14.36,14.10,18.00,5.22,-9.44,1.26,0.00,0.66,0.00,0.00,0.00,16
120779,0.13,797,205,3.45,14.36,14.10,17.00,5.22,-9.46,1.24,0.00,0.64,0.00,0.00,0.00,16
120840,0.13,789,205,3.45,14.47,14.10,17.50,5.22,-9.44,1.26,0.00,0.64,0.00,0.00,0.00,16
120904,0.13,796,205,3.45,14.36,14.10,17.00,5.22,-9.44,1.26,0.00,0.66,0.00,0.00,0.00,16
120968,0.13,792,205,3.45,14.47,14.10,17.00,5.22,-9.44,1.26,0.00,0.66,0.00,0.00,0.00,16
121032,0.13,789,205,3.45,14.36,14.10,17.00,5.22,-9.42,1.24,0.00,0.64,0.00,0.00,0.00,16
121097,0.13,797,205,3.45,14.36,14.10,16.50,5.22,-9.44,1.26,0.00,0.64,0.00,0.00,0.00,16
121161,0.13,792,205,3.47,14.36,14.10,16.50,5.22,-9.38,1.28,0.00,0.66,0.00,0.00,0.00,16
121225,0.13,792,205,3.49,14.36,14.10,16.50,5.37,-9.38,1.26,0.00,0.66,0.00,0.00,0.00,16
121289,0.13,784,205,3.47,14.36,14.10,17.50,5.37,-9.38,1.26,0.00,0.64,0.00,0.00,0.00,16
121350,0.13,780,205,3.49,14.36,14.10,17.50,5.37,-9.38,1.28,0.00,0.66,0.00,0.00,0.00,16
121414,0.13,785,205,3.52,14.47,14.10,16.50,5.37,-9.38,1.28,0.00,0.66,0.00,0.00,0.00,16
121478,0.13,790,205,3.56,14.36,14.10,16.00,5.37,-9.32,1.26,0.00,0.66,0.00,0.00,0.00,16
121542,0.13,802,205,3.56,14.47,14.10,14.00,5.37,-9.34,1.26,0.00,0.66,0.00,0.00,0.00,16
121607,0.13,800,205,3.56,14.47,14.10,14.50,5.37,-9.34,1.28,0.00,0.66,0.00,0.00,0.00,16
121671,0.13,802,205,3.56,14.47,14.10,14.00,5.37,-9.34,1.28,0.00,0.64,0.00,0.00,0.00,16
121736,0.14,802,205,3.56,14.36,14.10,15.50,5.37,-9.34,1.26,0.00,0.64,0.00,0.00,0.00,16
121796,0.13,788,205,3.56,14.36,14.10,15.50,5.37,-9.34,1.26,0.00,0.66,0.00,0.00,0.00,16
121860,0.14,786,205,3.56,14.36,14.10,16.00,5.37,-9.34,1.28,0.00,0.64,0.00,0.00,0.00,16
121925,0.14,783,205,3.60,14.24,14.10,15.50,5.37,-9.30,1.28,0.00,0.64,0.00,0.00,0.00,16
121989,0.14,788,205,3.60,14.36,14.10,14.50,5.37,-9.30,1.26,0.00,0.66,0.00,0.00,0.00,16
122053,0.14,793,205,3.60,14.13,14.10,14.00,5.37,-9.30,1.28,0.00,0.64,0.00,0.00,0.00,16
122117,0.13,801,205,3.60,14.13,14.10,14.00,5.37,-9.30,1.28,0.00,0.64,0.00,0.00,0.00,16
122185,0.13,808,205,3.60,14.24,14.10,13.00,5.37,-9.30,1.26,0.00,0.66,0.00,0.00,0.00,16
122245,0.13,812,205,3.56,14.36,14.10,12.50,5.37,-9.30,1.26,0.00,0.66,0.00,0.00,0.00,16
122309,0.13,819,205,3.56,14.36,14.10,11.50,5.37,-9.32,1.28,0.00,0.64,0.00,0.00,0.00,16
122374,0.13,810,205,3.56,14.36,14.10,13.00,5.37,-9.32,1.28,0.00,0.64,0.00,0.00,0.00,16
122438,0.13,804,205,3.56,14.47,14.10,14.00,5.37,-9.34,1.28,0.00,0.66,0.00,0.00,0.00,16
122500,0.14,796,205,3.56,14.47,14.10,14.50,5.37,-9.34,1.26,0.00,0.66,0.00,0.00,0.00,16
122565,0.13,789,205,3.56,14.36,14.10,15.50,5.37,-9.32,1.28,0.00,0.66,0.00,0.00,0.00,16
122629,0.13,798,205,3.56,14.47,14.10,14.00,5.37,-9.30,1.28,0.00,0.64,0.00,0.00,0.00,16
122693,0.13,794,205,3.60,14.36,14.10,14.50,5.37,-9.28,1.28,0.00,0.66,0.00,0.00,0.00,16
122758,0.13,804,205,3.60,14.36,14.10,13.50,5.37,-9.28,1.26,0.00,0.64,0.00,0.00,0.00,16
122818,0.13,805,205,3.60,14.36,14.10,14.00,5.37,-9.26,1.28,0.00,0.66,0.00,0.00,0.00,16
122883,0.13,804,205,3.60,14.36,14.10,13.50,5.37,-9.28,1.28,0.00,0.64,0.00,0.00,0.00,16
122947,0.13,806,205,3.60,14.36,14.10,13.00,5.37,-9.28,1.28,0.00,0.64,0.00,0.00,0.00,16
123011,0.13,807,205,3.56,14.24,14.10,13.00,5.37,-9.30,1.26,0.00,0.64,0.00,0.00,0.00,16
123076,0.13,797,205,3.56,14.36,14.10,14.00,5.37,-9.30,1.28,0.00,0.66,0.00,0.00,0.00,16
123140,0.14,798,205,3.60,14.36,14.10,14.00,5.37,-9.30,1.28,0.00,0.66,0.00,0.00,0.00,16
123204,0.14,792,205,3.60,14.47,14.10,15.00,5.37,-9.28,1.28,0.00,0.66,0.00,0.00,0.00,16
123269,0.14,786,205,3.63,14.47,14.10,15.50,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
123333,0.14,781,205,3.65,14.47,14.10,15.50,5.37,-9.26,1.26,0.00,0.66,0.00,0.00,0.00,16
123394,0.14,786,205,3.65,14.70,14.10,15.50,5.51,-9.24,1.28,0.00,0.64,0.00,0.00,0.00,16
123458,0.13,797,205,3.63,14.59,14.10,14.00,5.51,-9.24,1.28,0.00,0.64,0.00,0.00,0.00,16
123523,0.13,803,205,3.65,14.70,14.10,13.00,5.51,-9.24,1.26,0.00,0.66,0.00,0.00,0.00,16
123587,0.13,811,205,3.63,14.59,14.10,12.00,5.51,-9.24,1.26,0.00,0.66,0.00,0.00,0.00,16
123651,0.13,820,205,3.60,14.59,14.10,11.50,5.37,-9.28,1.28,0.00,0.66,0.00,0.00,0.00,16
123711,0.13,816,205,3.58,14.59,14.10,12.00,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
123780,0.13,817,205,3.60,14.59,14.10,12.00,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
123844,0.13,808,205,3.60,14.47,14.10,13.00,5.37,-9.30,1.26,0.00,0.66,0.00,0.00,0.00,16
123904,0.13,802,205,3.60,14.47,14.10,14.00,5.37,-9.28,1.28,0.00,0.64,0.00,0.00,0.00,16
123969,0.13,806,205,3.60,14.59,14.10,13.50,5.37,-9.28,1.28,0.00,0.66,0.00,0.00,0.00,16
124033,0.13,805,205,3.58,14.47,14.10,13.50,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
124097,0.13,808,205,3.56,14.59,14.10,13.00,5.37,-9.30,1.26,0.00,0.66,0.00,0.00,0.00,16
124161,0.13,813,205,3.60,14.47,14.10,13.00,5.37,-9.28,1.28,0.00,0.66,0.00,0.00,0.00,16
124226,0.13,818,205,3.60,14.47,14.10,12.50,5.37,-9.30,1.28,0.00,0.64,0.00,0.00,0.00,16
124291,0.13,812,205,3.60,14.47,14.10,13.00,5.37,-9.28,1.28,0.00,0.66,0.00,0.00,0.00,16
124355,0.13,812,205,3.60,14.47,14.10,13.50,5.37,-9.28,1.26,0.00,0.66,0.00,0.00,0.00,16
124416,0.14,807,205,3.60,14.59,14.10,15.00,5.37,-9.28,1.26,0.00,0.64,0.00,0.00,0.00,16
124484,0.14,796,205,3.60,14.36,14.10,15.00,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
124544,0.14,794,205,3.60,14.59,14.10,15.50,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
124609,0.14,790,205,3.60,14.36,14.10,15.00,5.37,-9.26,1.26,0.00,0.66,0.00,0.00,0.00,16
124673,0.14,793,205,3.63,14.47,14.10,15.00,5.37,-9.26,1.28,0.00,0.66,0.00,0.00,0.00,16
124737,0.14,798,205,3.60,14.47,14.10,14.00,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
124801,0.13,798,205,3.60,14.59,14.10,14.00,5.37,-9.26,1.28,0.00,0.66,0.00,0.00,0.00,16
124865,0.13,806,205,3.60,14.59,14.10,13.50,5.37,-9.26,1.26,0.00,0.64,0.00,0.00,0.00,16
124929,0.13,805,205,3.60,14.59,14.10,13.50,5.51,-9.24,1.26,0.00,0.66,0.00,0.00,0.00,16
124990,0.13,804,205,3.58,14.59,14.10,13.50,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
125054,0.14,800,205,3.60,14.59,14.10,14.00,5.51,-9.24,1.28,0.00,0.66,0.00,0.00,0.00,16
125118,0.14,800,205,3.60,14.59,14.10,14.00,5.37,-9.26,1.26,0.00,0.64,0.00,0.00,0.00,16
125182,0.14,798,205,3.60,14.70,14.10,14.00,5.37,-9.26,1.26,0.00,0.64,0.00,0.00,0.00,16
125246,0.14,800,205,3.60,14.70,14.10,14.00,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
125311,0.14,803,205,3.60,14.70,14.10,13.50,5.37,-9.26,1.28,0.00,0.64,0.00,0.00,0.00,16
125376,0.13,799,205,3.60,14.59,14.10,14.00,5.37,-9.24,1.26,0.00,0.66,0.00,0.00,0.00,16
125440,0.13,809,205,3.60,14.59,14.10,13.00,5.37,-9.26,1.26,0.00,0.64,0.00,0.00,0.00,16
125500,0.13,799,205,3.58,14.59,14.10,14.00,5.51,-9.24,1.28,0.00,0.64,0.00,0.00,0.00,16
125568,0.13,812,205,3.56,14.47,14.10,12.50,5.37,-9.26,1.28,0.00,0.66,0.00,0.00,0.00,16
125629,0.13,812,205,3.60,14.59,14.10,13.00,5.37,-9.28,1.26,0.00,0.64,0.00,0.00,0.00,16
125693,0.13,804,205,3.60,14.47,14.10,14.00,5.37,-9.28,1.26,0.00,0.66,0.00,0.00,0.00,16
125758,0.13,806,205,3.56,14.59,14.10,13.00,5.37,-9.28,1.26,0.00,0.66,0.00,0.00,0.00,16
125821,0.13,812,205,3.56,14.59,14.10,13.00,5.37,-9.26,1.28,0.00,0.66,0.00,0.00,0.00,16
125872,0.13,810,205,3.60,14.59,14.10,13.00,5.37,-9.28,1.28,0.00,0.64,0.00,0.00,0.00,16
125950,0.14,796,205,3.60,14.70,14.10,14.50,5.37,-9.26,1.26,0.00,0.64,0.00,0.00,0.00,16
126013,0.14,796,205,3.60,14.70,14.10,15.50,5.37,-9.26,1.26,0.00,0.66,0.00,0.00,0.00,16
126075,0.14,782,205,3.60,14.81,14.10,16.00,5.37,-9.24,1.28,0.00,0.66,0.00,0.00,0.00,16
126138,0.14,777,205,3.70,14.81,14.10,16.50,5.51,-9.18,1.30,0.00,0.66,0.00,0.00,0.00,16
126200,0.15,765,205,3.70,14.81,14.10,17.50,5.51,-9.18,1.28,0.00,0.66,0.00,0.00,0.00,16
126263,0.14,768,205,3.73,14.81,14.10,17.00,5.51,-9.11,1.30,0.00,0.64,0.00,0.00,0.00,16
126325,0.15,779,205,3.73,14.81,14.10,15.50,5.66,-9.11,1.30,0.00,0.66,0.00,0.00,0.00,16
126388,0.14,785,205,3.76,14.81,14.10,15.00,5.66,-9.09,1.28,0.00,0.66,0.00,0.00,0.00,16
126450,0.14,784,205,3.70,14.81,14.10,15.00,5.66,-9.07,1.28,0.00,0.66,0.00,0.00,0.00,16
126513,0.14,794,205,3.70,14.81,14.10,14.00,5.66,-9.09,1.30,0.00,0.66,0.00,0.00,0.00,16
126591,0.14,797,205,3.70,14.70,14.10,13.50,5.66,-9.07,1.30,0.00,0.66,0.00,0.00,0.00,16
126650,0.14,798,205,3.70,14.81,14.10,13.50,5.66,-9.11,1.28,0.00,0.66,0.00,0.00,0.00,16
126714,0.14,801,205,3.70,14.70,14.10,13.00,5.66,-9.07,1.28,0.00,0.64,0.00,0.00,0.00,16
126778,0.14,806,205,3.70,14.70,14.10,13.00,5.66,-9.09,1.30,0.00,0.64,0.00,0.00,0.00,16
126843,0.14,806,205,3.76,14.70,14.10,14.00,5.66,-9.09,1.28,0.00,0.64,0.00,0.00,0.00,16
126907,0.14,794,205,3.73,14.70,14.10,13.00,5.66,-9.09,1.28,0.00,0.64,0.00,0.00,0.00,16
126972,0.14,801,205,3.70,14.81,14.10,14.00,5.66,-9.07,1.28,0.00,0.64,0.00,0.00,0.00,16
127040,0.14,791,205,3.70,14.70,14.10,14.00,5.66,-9.07,1.30,0.00,0.64,0.00,0.00,0.00,16
127100,0.14,794,205,3.76,14.70,14.10,13.50,5.66,-9.09,1.28,0.00,0.66,0.00,0.00,0.00,16
127164,0.14,799,205,3.73,14.70,14.10,13.50,5.66,-9.07,1.28,0.00,0.66,0.00,0.00,0.00,16
127225,0.14,797,205,3.70,14.70,14.10,13.50,5.66,-9.09,1.28,0.00,0.64,0.00,0.00,0.00,16
127289,0.14,804,205,3.76,14.70,14.10,13.00,5.66,-9.09,1.30,0.00,0.66,0.00,0.00,0.00,16
127353,0.14,806,205,3.76,14.70,14.10,13.00,5.66,-9.09,1.28,0.00,0.66,0.00,0.00,0.00,16
127418,0.14,812,205,3.73,14.81,14.10,12.00,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
127486,0.14,810,205,3.70,14.81,14.10,12.50,5.66,-9.09,1.28,0.00,0.66,0.00,0.00,0.00,16
127547,0.14,804,205,3.70,14.81,14.10,13.00,5.66,-9.11,1.30,0.00,0.64,0.00,0.00,0.00,16
127611,0.14,800,205,3.78,14.93,14.10,14.00,5.66,-9.09,1.30,0.00,0.64,0.00,0.00,0.00,16
127671,0.14,792,205,3.76,14.93,14.10,14.50,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
127736,0.14,794,205,3.76,15.04,14.10,14.00,5.66,-9.09,1.28,0.00,0.64,0.00,0.00,0.00,16
127800,0.14,799,205,3.70,15.04,14.10,14.00,5.66,-9.09,1.30,0.00,0.64,0.00,0.00,0.00,16
127864,0.14,806,205,3.76,15.04,14.10,13.00,5.66,-9.11,1.30,0.00,0.64,0.00,0.00,0.00,16
127929,0.14,807,205,3.76,15.04,14.10,13.00,5.66,-9.09,1.28,0.00,0.64,0.00,0.00,0.00,16
127993,0.14,814,205,3.76,15.04,14.10,12.00,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
128057,0.14,806,205,3.73,15.04,14.10,13.00,5.66,-9.11,1.30,0.00,0.64,0.00,0.00,0.00,16
128121,0.14,809,205,3.76,14.93,14.10,13.00,5.51,-9.11,1.30,0.00,0.66,0.00,0.00,0.00,16
128186,0.14,814,205,3.73,14.93,14.10,12.50,5.66,-9.13,1.28,0.00,0.64,0.00,0.00,0.00,16
128250,0.14,809,205,3.73,14.81,14.10,13.00,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
128311,0.14,806,205,3.76,14.81,14.10,13.50,5.51,-9.13,1.28,0.00,0.64,0.00,0.00,0.00,16
128375,0.14,811,205,3.76,14.81,14.10,13.00,5.51,-9.11,1.30,0.00,0.64,0.00,0.00,0.00,16
128439,0.14,816,205,3.76,14.70,14.10,12.50,5.51,-9.15,1.30,0.00,0.64,0.00,0.00,0.00,16
128503,0.14,813,205,3.80,14.81,14.10,13.00,5.51,-9.13,1.30,0.00,0.66,0.00,0.00,0.00,16
128567,0.14,814,205,3.80,14.81,14.10,13.00,5.51,-9.17,1.28,0.00,0.64,0.00,0.00,0.00,16
128632,0.14,804,205,3.80,14.81,14.10,14.00,5.51,-9.13,1.30,0.00,0.64,0.00,0.00,0.00,16
128696,0.14,802,205,3.80,14.81,14.10,14.00,5.66,-9.15,1.30,0.00,0.64,0.00,0.00,0.00,16
128760,0.14,804,205,3.78,14.81,14.10,14.00,5.51,-9.13,1.30,0.00,0.66,0.00,0.00,0.00,16
128824,0.14,807,205,3.78,14.81,14.10,13.50,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
128885,0.14,817,205,3.78,14.81,14.10,12.50,5.66,-9.15,1.28,0.00,0.64,0.00,0.00,0.00,16
128949,0.14,815,205,3.78,14.81,14.10,13.00,5.51,-9.11,1.30,0.00,0.64,0.00,0.00,0.00,16
129018,0.14,816,205,3.76,14.70,14.10,13.00,5.51,-9.15,1.30,0.00,0.64,0.00,0.00,0.00,16
129078,0.14,817,205,3.78,14.70,14.10,13.00,5.51,-9.15,1.28,0.00,0.66,0.00,0.00,0.00,16
129142,0.14,821,205,3.73,14.70,14.10,12.50,5.51,-9.17,1.28,0.00,0.66,0.00,0.00,0.00,16
129207,0.13,810,205,3.67,14.70,14.10,13.50,5.51,-9.15,1.28,0.00,0.64,0.00,0.00,0.00,16
129271,0.14,809,205,3.73,14.47,14.10,14.00,5.51,-9.15,1.30,0.00,0.64,0.00,0.00,0.00,16
129332,0.14,809,205,3.70,14.59,14.10,15.00,5.51,-9.17,1.30,0.00,0.66,0.00,0.00,0.00,16
129400,0.14,800,205,3.73,14.47,14.10,15.50,5.66,-9.11,1.28,0.00,0.66,0.00,0.00,0.00,16
129461,0.14,796,205,3.70,14.47,14.10,14.00,5.51,-9.15,1.28,0.00,0.64,0.00,0.00,0.00,16
129525,0.14,805,205,3.70,14.47,14.10,14.00,5.51,-9.13,1.30,0.00,0.66,0.00,0.00,0.00,16
129593,0.14,803,205,3.73,14.47,14.10,13.00,5.66,-9.11,1.28,0.00,0.66,0.00,0.00,0.00,16
129653,0.14,810,205,3.76,14.59,14.10,13.00,5.51,-9.13,1.28,0.00,0.66,0.00,0.00,0.00,16
129718,0.14,811,205,3.78,14.59,14.10,13.00,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
129782,0.14,809,205,3.70,14.70,14.10,13.50,5.51,-9.17,1.30,0.00,0.66,0.00,0.00,0.00,16
129843,0.14,805,205,3.70,14.59,14.10,14.00,5.66,-9.11,1.28,0.00,0.64,0.00,0.00,0.00,16
129907,0.14,803,205,3.70,14.70,14.10,14.00,5.51,-9.15,1.28,0.00,0.64,0.00,0.00,0.00,16
