Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),TGV Sensor Left (V),TGV Sensor Right (V)
14641,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
14737,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
14833,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
14929,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15025,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15120,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15217,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15313,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15410,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15505,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15601,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15697,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
15794,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15890,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
15986,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16082,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16178,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16274,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16370,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16466,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16562,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16658,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16754,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
16850,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
16946,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
17042,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17138,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17235,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17330,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
17426,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
17522,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17618,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17714,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17810,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
17906,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18002,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.08,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18098,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18194,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18291,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18386,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18482,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18578,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18676,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18770,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18866,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
18962,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19058,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19154,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19250,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19346,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19442,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19538,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19634,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19730,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
19827,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
19923,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20019,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20116,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20212,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20307,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20403,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20499,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20595,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20691,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20787,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20883,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
20979,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21075,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21171,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21268,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21363,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
21460,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21556,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21652,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21748,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21843,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
21940,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22036,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22132,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22228,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22323,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22420,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22516,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22612,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22708,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
22804,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
22900,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
22996,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23093,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
23188,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
23284,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23380,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23476,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23572,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23668,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23764,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23859,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
23955,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24051,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24147,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
24244,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
24339,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24436,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24531,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24628,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24724,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24820,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
24916,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25012,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25108,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25203,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25300,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25396,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25492,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25588,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25684,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25780,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25876,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
25973,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26069,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26164,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.33
26261,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26356,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26452,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26549,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26645,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26740,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26836,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
26932,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.37
27029,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
27125,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
27220,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
27316,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
