Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
18257,14.36,0.17,1303,0.00,0.00,16,10.94,13.00,5.66,-9.05,7.50,-1.39,0.64
18445,14.36,0.17,1311,0.00,0.00,16,10.94,13.00,5.66,-9.03,7.50,-1.39,0.64
18632,14.24,0.17,1308,0.00,0.00,16,10.94,13.00,5.66,-9.03,7.57,-1.39,0.64
18819,14.13,0.17,1308,0.00,0.00,16,10.94,13.00,5.66,-9.05,7.50,-1.39,0.64
19022,14.24,0.17,1312,0.00,0.00,16,10.94,12.00,5.66,-9.03,7.54,-1.39,0.64
19210,14.36,0.17,1310,0.00,0.00,16,10.94,12.50,5.66,-9.03,7.46,-1.39,0.64
19398,14.36,0.18,1299,0.00,0.00,16,10.94,13.50,5.66,-9.01,7.66,-1.39,0.64
19585,14.36,0.17,1301,0.00,0.00,16,10.94,13.00,5.66,-8.99,7.57,-1.39,0.64
19773,14.24,0.17,1324,0.00,0.00,16,10.94,10.50,5.66,-8.99,7.50,-1.39,0.64
19960,14.13,0.17,1304,0.00,0.00,16,10.94,11.50,5.66,-8.99,7.54,-1.39,0.64
20148,14.24,0.17,1300,0.00,0.00,16,10.94,13.00,5.66,-8.99,7.57,-1.39,0.64
20335,14.36,0.17,1296,0.00,0.00,16,10.94,14.00,5.66,-8.88,7.57,-1.39,0.64
20538,14.47,0.17,1316,0.00,0.00,16,10.94,11.50,5.80,-8.88,7.57,-1.39,0.64
20741,14.47,0.17,1306,0.00,0.00,16,10.94,13.00,5.80,-8.88,7.66,-1.39,0.64
20929,14.47,0.18,1300,0.00,0.00,16,10.94,13.00,5.80,-8.91,7.66,-1.39,0.64
21117,14.47,0.18,1292,0.00,0.00,16,10.94,14.00,5.80,-8.91,7.70,-1.39,0.64
21304,14.36,0.17,1325,0.00,0.00,16,10.94,10.50,5.80,-8.91,7.66,-1.39,0.64
21507,14.36,0.17,1320,0.00,0.00,16,10.94,10.50,5.66,-8.97,7.57,-1.39,0.64
21695,14.36,0.17,1311,0.00,0.00,16,10.94,13.00,5.66,-8.97,7.66,-1.39,0.64
21883,14.36,0.17,1318,0.00,0.00,16,10.94,12.50,5.66,-8.97,7.57,-1.39,0.64
22070,14.36,0.19,1330,0.00,0.00,16,11.29,11.00,5.66,-8.99,7.62,-1.39,0.64
22257,14.13,0.17,1322,0.00,0.00,16,10.94,11.50,5.66,-9.01,7.66,-1.39,0.64
22445,14.01,0.17,1334,0.00,0.00,16,10.94,11.50,5.66,-9.01,7.57,-1.39,0.64
22633,14.24,0.17,1335,0.00,0.00,16,11.29,12.00,5.66,-9.01,7.66,-1.39,0.64
22820,14.36,0.17,1324,0.00,0.00,16,10.94,12.00,5.66,-9.01,7.54,-1.39,0.64
23023,14.13,0.17,1336,0.00,0.00,16,11.29,12.50,5.66,-9.03,7.57,-1.39,0.64
23210,14.13,0.17,1341,0.00,0.00,16,11.29,12.00,5.66,-9.03,7.62,-1.39,0.64
23401,14.24,0.17,1333,0.00,0.00,16,11.29,13.00,5.66,-9.03,7.57,-1.39,0.64
23589,14.13,0.17,1346,0.00,0.00,16,11.29,12.00,5.66,-9.03,7.57,-1.39,0.64
23776,14.24,0.17,1346,0.00,0.00,16,11.29,12.00,5.66,-9.03,7.74,-1.39,0.64
23979,14.24,0.17,1330,0.00,0.00,16,11.29,14.00,5.66,-9.01,7.66,-1.39,0.64
24167,14.24,0.17,1349,0.00,0.00,16,11.29,12.00,5.66,-8.97,7.78,-1.39,0.64
24354,14.36,0.18,1340,0.00,0.00,16,11.29,13.50,5.80,-8.88,8.11,-1.39,0.66
24542,14.36,0.18,1360,0.00,0.00,16,11.29,13.00,5.95,-8.78,8.11,-1.39,0.66
24730,14.36,0.19,1365,0.00,0.00,16,11.29,10.00,5.95,-8.62,8.60,-1.39,0.68
24917,14.47,0.18,1374,0.00,0.00,16,13.05,11.50,6.09,-8.82,8.40,-1.39,0.70
25120,14.47,0.16,1385,0.00,0.00,16,16.56,15.50,5.51,-9.28,6.81,-1.39,0.72
25308,13.90,0.17,1359,0.00,0.00,16,20.78,19.00,5.37,-9.28,7.37,-1.39,0.74
25495,13.67,0.19,1372,0.00,0.00,16,25.00,24.00,5.66,-9.01,8.23,-1.39,0.76
25683,13.90,0.21,1449,0.00,0.00,16,27.46,26.50,6.24,-8.45,9.99,-1.39,0.80
25870,13.90,0.21,1586,0.00,0.00,16,29.92,29.00,6.53,-8.06,11.25,-1.39,0.82
26058,14.81,0.21,1673,0.00,0.00,16,30.98,30.50,6.53,-8.14,11.82,-1.39,0.82
26245,15.16,0.23,1589,0.00,0.00,16,29.22,29.50,6.53,-7.91,12.04,-1.39,0.82
26448,15.27,0.25,1481,0.00,0.00,16,28.87,28.50,7.11,-7.41,12.31,-1.39,0.82
26636,14.59,0.26,1446,0.00,0.00,16,29.22,29.00,7.69,-6.96,12.48,-1.39,0.82
26823,14.24,0.26,1474,0.00,0.00,16,29.22,29.00,7.98,-6.71,12.70,-1.39,0.84
27011,14.36,0.26,1492,0.00,0.00,16,29.22,29.00,8.13,-6.56,13.08,-1.39,0.84
27198,14.70,0.26,1538,0.00,0.00,16,29.57,29.50,8.27,-6.46,13.71,-1.39,0.86
27386,14.70,0.26,1581,0.00,0.00,16,29.57,29.50,8.13,-6.59,13.78,-1.39,0.86
27574,14.70,0.27,1551,0.00,0.00,16,29.92,29.50,8.27,-6.48,13.90,-1.39,0.86
27777,14.24,0.30,1534,0.00,0.00,16,30.27,29.50,8.27,-6.32,14.15,-1.39,0.86
27964,13.78,0.29,1492,0.00,0.00,16,30.27,30.00,8.56,-6.09,14.22,-1.39,0.86
28152,14.01,0.30,1457,0.00,0.00,16,30.27,30.00,8.85,-5.86,14.34,-1.39,0.86
28339,14.01,0.30,1424,0.00,0.00,16,30.27,30.00,9.00,-5.65,14.34,-1.39,0.86
28527,14.47,0.31,1392,0.00,0.00,16,29.57,29.50,9.14,-5.39,14.53,-1.39,0.88
28714,14.47,0.34,1321,0.00,0.00,16,27.81,28.50,9.58,-5.12,14.60,-1.39,0.86
28902,14.13,0.34,1276,0.00,0.00,16,29.22,27.50,9.87,-4.80,14.22,-1.39,0.88
29089,13.67,0.31,1421,0.00,0.00,16,30.27,30.00,9.58,-5.10,14.53,-1.39,0.88
