Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
1282,0.00,0.00,17.80,7,0.42,2266,0.00,0.00,12.42,16,19.38,15.00,57,4.64,-9.46,15.03,1.96,-2.63,7.84,0.88,14.80
1358,0.00,0.00,18.95,7,0.64,2173,0.00,0.00,12.33,16,34.49,21.50,57,5.95,-7.23,17.38,2.04,0.15,14.12,1.04,14.80
1433,0.00,0.00,19.75,7,0.92,2008,0.00,0.00,13.53,16,32.73,34.00,57,8.13,-4.12,25.89,2.40,0.15,16.86,1.18,14.80
1508,-0.78,0.00,13.90,7,0.96,1986,0.00,0.00,15.22,16,34.14,32.50,57,10.59,-2.80,33.84,2.36,4.18,17.65,1.22,14.80
1583,-3.12,0.00,13.32,7,0.89,2116,0.00,0.00,13.93,16,33.79,33.50,57,11.90,-2.28,33.47,2.34,4.18,18.04,1.22,14.80
1659,-4.69,0.00,13.09,7,0.88,2094,0.00,0.00,14.88,16,33.79,33.00,57,12.48,-2.03,31.30,2.34,4.80,18.43,1.24,14.80
1734,-3.91,0.00,13.09,7,0.89,2108,0.00,0.00,14.55,16,34.49,33.00,57,12.77,-1.88,30.75,2.34,4.80,18.43,1.24,14.80
1810,-1.56,0.00,13.67,7,0.90,2133,0.00,0.00,14.56,16,34.49,33.00,57,12.77,-1.90,31.67,2.34,5.10,18.43,1.24,14.80
1885,-0.78,0.00,14.70,7,0.88,2173,0.00,0.00,14.57,16,34.84,34.50,57,12.77,-1.91,32.39,2.36,5.10,18.43,1.24,14.80
1961,-0.78,0.00,14.93,7,0.90,2193,0.00,0.00,14.57,16,35.20,34.50,57,12.77,-1.88,32.02,2.38,5.10,18.82,1.24,14.80
2036,-0.78,0.00,14.93,7,0.89,2232,0.00,0.00,14.23,16,35.55,35.00,57,12.77,-1.86,33.47,2.38,5.10,18.82,1.24,14.80
2111,-0.78,0.00,14.93,7,0.92,2279,0.00,0.00,14.05,16,35.55,35.50,57,12.91,-1.84,33.12,2.38,5.10,19.22,1.26,14.80
2187,-0.78,0.00,14.81,7,0.93,2284,0.00,0.00,14.25,16,35.90,34.00,57,12.91,-1.74,35.48,2.40,5.41,19.22,1.26,14.80
2263,-1.56,0.00,14.81,7,0.95,2334,0.00,0.00,14.59,16,36.25,34.50,57,12.91,-1.72,36.48,2.42,5.41,19.22,1.26,14.80
2338,-2.34,0.00,14.47,7,0.95,2349,0.00,0.00,14.34,16,36.25,35.00,57,12.91,-1.68,37.30,2.44,5.41,19.22,1.26,14.80
2414,-3.12,0.00,14.36,7,0.97,2373,0.00,0.00,14.61,16,36.25,35.50,57,13.06,-1.60,38.12,2.46,5.41,19.61,1.28,14.80
2489,-2.34,0.00,14.24,7,0.96,2374,0.00,0.00,14.31,16,36.95,35.00,57,13.20,-1.59,38.39,2.46,5.41,19.61,1.28,14.80
2564,-3.12,0.00,14.36,7,0.98,2466,0.00,0.00,14.61,16,36.95,35.50,57,13.06,-1.57,38.94,2.48,6.03,19.61,1.28,14.80
2640,-2.34,0.00,14.59,7,0.98,2461,0.00,0.00,14.39,16,37.30,36.00,57,13.20,-1.49,40.58,2.48,6.03,20.00,1.30,14.80
2715,-3.12,0.00,14.59,7,1.00,2505,0.00,0.00,14.82,16,37.66,36.00,57,13.20,-1.41,41.81,2.50,6.34,20.39,1.30,14.80
2790,-3.91,0.00,14.47,7,0.99,2559,0.00,0.00,14.63,16,37.66,36.50,57,13.35,-1.37,42.08,2.52,6.34,20.39,1.30,14.80
2866,0.00,0.00,14.24,7,1.00,2559,0.00,0.00,14.61,16,37.66,36.50,57,13.35,-1.28,42.63,2.52,6.34,20.78,1.32,14.80
2941,0.00,0.00,14.47,7,1.01,2582,0.00,0.00,14.61,16,38.01,36.50,57,13.49,-1.22,43.12,2.54,6.96,20.78,1.32,14.80
3016,0.00,0.00,14.47,7,1.02,2640,0.00,0.00,14.60,16,38.36,36.50,57,13.49,-1.18,44.33,2.56,6.96,21.18,1.34,14.80
3092,0.00,0.00,14.01,7,1.03,2674,0.00,0.00,14.60,16,38.36,36.50,57,13.49,-1.04,44.85,2.58,6.96,21.57,1.34,14.80
3168,0.00,0.00,13.90,7,1.04,2715,0.00,0.00,14.77,16,38.71,37.00,57,13.64,-1.02,46.42,2.58,6.96,21.96,1.34,14.80
3243,0.00,0.00,13.78,7,1.05,2729,0.00,0.00,14.42,16,38.36,37.50,57,13.78,-0.97,47.81,2.60,7.58,21.96,1.36,14.80
3318,0.00,0.00,13.78,7,1.04,2765,0.00,0.00,14.59,16,39.06,37.00,57,13.78,-0.93,49.03,2.62,8.20,21.96,1.36,14.80
3393,0.00,0.00,13.67,7,1.06,2804,0.00,0.00,14.41,16,38.71,38.00,57,13.78,-0.89,49.20,2.62,8.20,22.35,1.36,14.80
3469,0.00,0.00,13.55,7,1.06,2798,0.00,0.00,14.84,16,39.06,37.50,57,13.78,-0.79,50.07,2.64,8.20,22.35,1.38,14.80
3544,0.00,0.00,13.55,7,1.06,2890,0.00,0.00,14.30,16,39.06,38.00,57,13.93,-0.77,50.77,2.64,8.20,22.35,1.38,14.80
3620,0.00,0.00,13.44,7,1.06,2930,0.00,0.00,14.36,16,39.06,38.00,57,13.93,-0.72,50.95,2.66,8.20,22.75,1.38,14.80
3695,0.00,0.00,13.78,7,1.06,2975,0.00,0.00,14.56,16,39.77,38.00,57,14.07,-0.70,52.84,2.66,8.20,22.75,1.38,14.80
3770,0.00,0.00,13.44,7,1.06,2982,0.00,0.00,14.56,16,39.41,38.00,57,14.07,-0.64,53.36,2.70,8.20,22.75,1.38,14.80
3846,0.00,0.00,13.67,7,1.05,3012,0.00,0.00,14.54,16,39.77,38.50,57,14.07,-0.60,53.70,2.68,8.20,22.75,1.38,14.80
3921,0.00,0.00,13.55,7,1.07,3066,0.00,0.00,14.54,16,39.77,38.50,57,14.07,-0.54,54.22,2.70,8.20,22.75,1.38,14.80
3996,0.00,0.00,13.55,7,1.07,3133,0.00,0.00,14.52,16,40.12,38.50,57,14.22,-0.52,54.74,2.72,8.20,22.75,1.40,14.80
4071,0.00,0.00,13.55,7,1.06,3152,0.00,0.00,14.66,16,40.12,39.00,57,14.22,-0.44,55.43,2.70,8.20,23.14,1.38,14.80
4147,0.00,0.00,13.44,7,1.01,3175,0.00,0.00,15.80,16,41.17,39.00,57,14.22,-0.83,54.91,2.68,8.20,12.55,1.24,14.80
4222,-2.34,0.00,13.32,7,0.63,3260,0.00,0.00,16.54,16,44.34,41.50,57,11.03,-5.76,29.88,2.08,8.20,0.00,0.66,14.80
4297,0.00,0.00,12.52,7,0.37,3443,0.00,0.00,15.57,16,34.84,39.00,57,6.53,-8.88,11.86,1.72,-4.18,0.00,0.64,14.80
4373,0.00,0.00,11.60,7,0.28,3377,0.00,0.00,14.70,16,25.35,31.50,57,5.22,-10.13,13.06,1.88,-4.18,0.00,0.64,14.80
4448,0.00,0.00,11.48,7,0.28,3269,0.00,0.00,13.84,16,17.62,24.00,57,4.50,-10.52,14.11,1.92,-4.18,0.00,0.64,14.80
4524,0.00,0.00,13.09,7,0.29,3123,0.00,0.00,14.70,16,11.99,17.50,57,4.21,-10.65,14.72,1.90,-4.18,0.00,0.64,14.80
4599,0.00,0.00,14.59,7,0.30,2871,0.00,0.00,14.70,16,11.99,11.50,57,4.06,-10.73,13.80,1.90,-4.18,0.00,0.64,14.80
4674,0.00,0.00,15.85,7,0.31,2747,0.00,0.00,14.70,16,11.99,11.50,57,3.92,-10.77,13.68,1.88,-4.18,0.00,0.64,14.80
4750,0.00,0.00,17.00,7,0.32,2620,0.00,0.00,14.70,16,11.99,11.50,57,3.92,-10.79,13.68,1.86,-4.18,0.00,0.64,14.80
4825,0.00,0.00,18.72,7,0.34,2486,0.00,0.00,13.56,16,11.99,11.50,57,3.92,-10.79,13.45,1.86,-3.56,1.96,0.68,14.80
4901,0.00,0.00,19.98,7,0.43,2358,0.00,0.00,14.69,16,16.91,12.00,57,4.06,-10.38,14.29,1.96,-2.63,5.88,0.80,14.80
4976,0.00,0.00,21.59,7,0.44,2291,0.00,0.00,13.28,16,25.35,16.50,57,4.93,-9.22,16.22,1.98,-2.63,8.24,0.88,14.80
5051,0.00,0.00,23.43,7,0.51,2156,0.00,0.00,13.33,16,38.01,25.00,57,5.80,-7.75,16.08,2.06,-2.01,10.20,0.96,14.80
5127,0.00,0.00,22.62,7,0.58,2188,0.00,0.00,14.63,16,38.01,34.00,57,6.82,-6.83,20.89,2.12,-2.01,10.98,1.00,14.80
5203,-4.69,0.00,13.32,7,0.63,2160,0.00,0.00,13.95,16,37.30,37.00,57,8.56,-6.05,21.84,2.16,-1.08,11.76,1.02,14.80
5278,-7.03,0.00,12.52,7,0.65,2181,0.00,0.00,14.62,16,36.95,36.50,57,9.14,-5.30,23.50,2.20,-0.15,12.16,1.04,14.80
5352,-5.47,0.00,12.52,7,0.67,2188,0.00,0.00,14.01,16,36.25,36.50,57,9.58,-4.85,23.82,2.20,-0.15,12.94,1.04,14.80
5428,-1.56,0.00,13.21,8,0.72,2169,0.00,0.00,14.13,16,36.25,36.00,57,10.01,-4.33,24.57,2.26,0.77,13.73,1.08,14.80
5504,-1.56,0.00,14.81,8,0.76,2191,0.00,0.00,14.61,16,35.90,36.00,57,10.45,-3.98,26.40,2.28,0.77,14.12,1.10,14.80
5579,-1.56,0.00,14.93,8,0.78,2214,0.00,0.00,14.61,16,35.55,35.50,57,10.74,-3.67,27.79,2.30,1.70,14.51,1.12,14.80
5654,-2.34,0.00,14.81,8,0.78,2209,0.00,0.00,14.62,16,35.55,35.50,57,11.03,-3.40,28.50,2.30,1.70,14.90,1.12,14.80
5729,-1.56,0.00,14.81,8,0.79,2220,0.00,0.00,14.61,16,35.90,35.50,57,11.46,-3.23,28.74,2.30,2.01,14.90,1.12,14.80
5805,-1.56,0.00,14.81,8,0.79,2226,0.00,0.00,14.62,16,35.90,35.50,57,11.61,-3.06,29.33,2.30,2.01,15.29,1.14,14.80
5880,0.00,0.00,14.93,8,0.82,2239,0.00,0.00,14.62,16,35.90,35.50,57,11.61,-2.94,29.80,2.32,2.01,15.69,1.14,14.80
5955,0.00,0.00,15.04,8,0.83,2252,0.00,0.00,14.62,16,35.90,35.50,57,11.75,-2.88,30.44,2.34,2.63,15.69,1.14,14.80
6031,0.00,0.00,14.93,8,0.81,2278,0.00,0.00,14.63,16,36.25,35.50,57,11.90,-2.73,31.12,2.34,2.63,15.69,1.16,14.80
6105,0.00,0.00,14.81,8,0.83,2264,0.00,0.00,14.12,16,35.90,36.00,57,12.04,-2.71,30.75,2.36,2.94,16.08,1.16,14.80
6181,0.00,0.00,14.81,8,0.84,2298,0.00,0.00,14.63,16,36.60,35.50,57,12.04,-2.61,31.48,2.36,2.94,16.08,1.16,14.80
6256,0.00,0.00,14.81,8,0.85,2285,0.00,0.00,14.35,16,36.25,36.00,57,12.19,-2.53,32.39,2.36,2.94,16.47,1.18,14.80
6332,-0.78,0.00,14.70,8,0.88,2319,0.00,0.00,14.63,16,36.60,36.50,57,12.19,-2.46,33.29,2.36,3.56,16.86,1.18,14.80
6407,0.00,0.00,14.70,8,0.90,2309,0.00,0.00,14.63,16,36.60,36.00,57,12.33,-2.34,33.66,2.40,3.56,16.86,1.20,14.80
6482,-1.56,0.00,14.36,8,0.91,2340,0.00,0.00,14.30,16,36.60,36.50,57,12.33,-2.24,34.57,2.40,3.87,17.25,1.20,14.80
6558,-2.34,0.00,14.13,8,0.93,2351,0.00,0.00,14.82,16,36.60,36.50,57,12.48,-2.13,35.30,2.42,3.87,17.65,1.22,14.80
6633,-3.91,0.00,14.13,8,0.94,2359,0.00,0.00,14.63,16,36.60,35.50,57,12.62,-2.01,36.61,2.42,4.49,18.04,1.22,14.80
6709,-3.12,0.00,14.13,8,0.93,2373,0.00,0.00,14.63,16,36.60,35.50,57,12.77,-1.90,37.02,2.42,4.49,18.43,1.24,14.80
6783,-3.91,0.00,14.13,8,0.95,2394,0.00,0.00,14.64,16,36.60,35.50,57,12.91,-1.86,37.44,2.42,4.49,18.43,1.24,14.80
6858,-3.12,0.00,14.24,8,0.95,2387,0.00,0.00,14.64,16,36.95,35.50,57,12.91,-1.74,38.12,2.46,4.80,18.43,1.24,14.80
6934,-3.91,0.00,14.47,8,0.96,2414,0.00,0.00,14.64,16,36.95,35.50,57,12.91,-1.70,38.53,2.46,4.80,18.82,1.24,14.80
7010,-3.91,0.00,14.36,8,0.96,2416,0.00,0.00,14.64,16,36.95,35.50,57,13.06,-1.64,38.80,2.46,4.80,18.82,1.24,14.80
7085,-3.91,0.00,14.47,8,0.97,2464,0.00,0.00,14.30,16,37.30,35.50,57,13.06,-1.60,38.67,2.46,4.80,19.22,1.26,14.80
7160,-3.91,0.00,14.47,8,0.98,2434,0.00,0.00,14.83,16,36.95,36.00,57,13.06,-1.57,40.30,2.48,5.41,19.22,1.26,14.80
7235,-4.69,0.00,14.47,8,0.98,2480,0.00,0.00,14.65,16,37.30,36.00,57,13.20,-1.49,40.17,2.48,5.41,19.22,1.26,14.80
7312,-4.69,0.00,14.36,8,0.97,2471,0.00,0.00,14.66,16,37.30,35.50,57,13.20,-1.45,40.58,2.48,5.41,19.22,1.26,14.80
7386,-3.91,0.00,14.47,8,0.98,2520,0.00,0.00,14.42,16,37.30,36.00,57,13.20,-1.43,40.17,2.48,5.41,19.22,1.26,14.80
7462,-3.91,0.00,14.59,8,0.98,2488,0.00,0.00,14.66,16,37.66,36.00,57,13.20,-1.33,40.85,2.50,5.41,19.22,1.28,14.80
7537,-3.91,0.00,14.47,8,0.99,2532,0.00,0.00,14.66,16,37.30,36.50,57,13.35,-1.37,40.85,2.50,5.41,19.61,1.28,14.80
7613,0.00,0.00,14.70,8,0.98,2557,0.00,0.00,14.66,16,38.01,36.50,57,13.35,-1.28,41.53,2.50,5.41,19.61,1.28,14.80
7688,0.00,0.00,14.70,10,0.98,2551,0.00,0.00,14.48,16,38.01,36.50,57,13.49,-1.30,41.81,2.52,5.41,19.61,1.28,14.80
7763,0.00,0.00,14.70,10,0.99,2559,0.00,0.00,14.36,16,37.66,36.50,57,13.49,-1.22,42.49,2.52,5.41,19.61,1.28,14.80
7838,0.00,0.00,14.47,10,1.00,2577,0.00,0.00,14.82,16,37.66,36.50,57,13.49,-1.20,42.66,2.52,5.72,19.61,1.28,14.80
7913,0.00,0.00,14.13,10,0.99,2593,0.00,0.00,14.65,16,38.36,36.50,57,13.49,-1.18,42.49,2.52,5.72,20.00,1.28,14.80
7990,0.00,0.00,13.90,10,1.00,2624,0.00,0.00,14.95,16,38.01,37.00,57,13.49,-1.12,43.12,2.54,5.72,20.00,1.28,14.80
8064,0.00,0.00,14.13,10,0.99,2635,0.00,0.00,14.65,16,38.36,36.50,57,13.64,-1.12,43.46,2.54,5.72,20.39,1.30,14.80
8140,0.00,0.00,14.01,10,1.00,2628,0.00,0.00,14.66,16,38.71,37.00,57,13.64,-1.08,43.46,2.56,5.72,20.39,1.30,14.80
8215,0.00,0.00,14.01,10,1.01,2664,0.00,0.00,14.65,16,38.71,37.00,57,13.64,-1.04,45.20,2.56,6.34,20.39,1.30,14.80
8290,0.00,0.00,14.24,10,1.00,2660,0.00,0.00,14.65,16,38.36,37.00,57,13.78,-1.01,44.85,2.56,6.34,20.39,1.30,14.80
8366,0.00,0.00,14.01,10,1.03,2683,0.00,0.00,14.63,16,38.36,37.50,57,13.64,-0.99,46.42,2.58,6.34,20.39,1.30,14.80
8441,0.00,0.00,13.90,10,1.03,2707,0.00,0.00,14.64,16,38.36,37.00,57,13.78,-0.91,46.42,2.58,6.34,20.78,1.30,14.80
8517,0.00,0.00,13.78,10,1.03,2731,0.00,0.00,14.45,16,38.71,37.50,57,13.78,-0.87,46.77,2.58,6.34,20.78,1.32,14.80
8592,0.00,0.00,13.67,10,1.04,2752,0.00,0.00,14.63,16,38.71,37.50,57,13.78,-0.85,46.94,2.60,6.96,20.78,1.32,14.80
8667,0.00,0.00,13.78,10,1.03,2762,0.00,0.00,14.63,16,38.71,37.50,57,13.78,-0.81,47.64,2.60,6.96,21.18,1.32,14.80
8743,0.00,0.00,13.67,10,1.05,2778,0.00,0.00,14.38,16,38.71,37.50,57,13.93,-0.79,48.33,2.62,6.96,21.18,1.32,14.80
8818,0.00,0.00,13.78,10,1.07,2792,0.00,0.00,14.62,16,38.36,37.50,57,13.93,-0.72,49.38,2.62,6.96,21.18,1.32,14.80
8894,0.00,0.00,13.67,10,1.05,2789,0.00,0.00,14.46,16,39.06,37.50,57,13.93,-0.70,49.03,2.62,6.96,21.18,1.32,14.80
8969,0.00,0.00,13.32,10,1.06,2811,0.00,0.00,14.61,16,38.71,38.00,57,14.07,-0.70,49.55,2.64,6.96,21.18,1.32,14.80
9044,0.00,0.00,13.55,10,1.06,2780,0.00,0.00,14.82,16,39.06,37.50,57,14.07,-0.66,49.90,2.64,6.96,21.57,1.34,14.80
9120,0.00,0.00,13.55,10,1.08,2840,0.00,0.00,14.84,16,38.71,37.50,57,14.07,-0.62,50.25,2.64,6.96,21.57,1.34,14.80
9195,0.00,0.00,13.44,10,1.06,2890,0.00,0.00,14.60,16,38.71,37.50,57,14.07,-0.60,51.64,2.64,6.96,21.57,1.34,14.80
9270,0.00,0.00,13.55,10,1.07,2884,0.00,0.00,14.44,16,39.06,38.00,57,14.07,-0.56,51.29,2.66,7.58,21.96,1.34,14.80
9346,0.00,0.00,13.55,10,1.09,2914,0.00,0.00,14.59,16,38.71,38.00,57,14.07,-0.54,51.64,2.66,7.58,21.96,1.34,14.80
9422,0.00,0.00,13.44,10,1.06,2900,0.00,0.00,14.78,16,39.06,37.50,57,14.22,-0.52,52.33,2.66,7.58,21.96,1.34,14.80
9497,0.00,0.00,13.44,10,1.07,2928,0.00,0.00,14.74,16,39.41,38.00,57,14.22,-0.46,52.33,2.66,7.58,21.96,1.34,14.80
9572,0.00,0.00,13.67,10,1.08,2898,0.00,0.00,14.71,16,39.06,38.00,57,14.22,-0.48,52.15,2.68,7.58,21.96,1.36,14.80
9648,0.00,0.00,13.55,10,1.09,2986,0.00,0.00,14.57,16,39.06,38.00,57,14.22,-0.44,53.01,2.68,7.58,21.96,1.36,14.80
9723,0.00,0.00,13.44,10,1.08,2968,0.00,0.00,14.75,16,39.06,38.00,57,14.36,-0.39,53.88,2.70,7.58,22.35,1.36,14.80
9799,0.00,0.00,13.55,10,1.08,2998,0.00,0.00,14.55,16,39.41,38.00,57,14.36,-0.37,53.87,2.70,8.20,22.75,1.38,14.80
9875,0.00,0.00,13.32,10,1.09,3018,0.00,0.00,14.52,16,39.41,38.00,57,14.36,-0.21,54.05,2.70,8.20,23.53,1.40,14.80
9949,0.00,0.00,13.44,10,1.12,3026,0.00,0.00,14.29,16,38.71,38.00,57,14.51,0.00,55.26,2.72,8.20,24.71,1.42,14.80
10025,0.00,0.00,13.67,10,1.12,3071,0.00,0.00,14.12,16,38.71,37.50,57,14.80,0.23,56.63,2.72,9.13,25.49,1.46,14.80
10101,0.00,0.00,13.32,10,1.17,3075,0.00,0.00,14.09,16,37.30,38.00,57,14.95,0.52,57.32,2.78,9.13,27.06,1.50,14.80
10176,0.00,0.00,13.09,10,1.19,3081,0.00,0.00,13.75,16,36.95,37.00,57,15.24,0.89,61.07,2.78,10.36,29.41,1.56,14.80
10251,0.00,0.00,12.63,10,1.23,3129,0.00,0.00,13.49,16,36.25,35.50,57,15.82,1.31,63.31,2.82,10.36,32.16,1.64,14.80
10326,0.00,0.00,12.63,10,1.28,3116,0.00,0.00,13.26,16,35.20,34.00,57,16.25,1.84,65.91,2.86,12.22,36.08,1.76,14.80
10403,0.00,0.00,12.29,10,1.33,3162,0.00,0.00,13.26,16,34.14,33.50,57,16.69,2.28,68.24,2.88,13.77,40.39,1.92,14.80
10477,0.00,0.00,11.60,10,1.40,3162,0.00,0.00,13.26,16,32.38,33.00,57,17.12,2.73,70.61,2.94,13.77,46.67,2.08,14.80
10553,0.00,0.00,11.60,10,1.47,3140,0.00,0.00,13.15,16,31.33,31.00,57,17.56,3.09,75.70,2.94,13.77,56.08,2.32,14.80
10628,0.00,0.00,11.48,10,1.54,3236,0.00,0.00,12.79,16,30.27,31.00,57,17.85,3.46,77.69,2.96,13.77,70.20,2.72,14.80
10703,0.00,0.00,11.25,10,1.57,3240,0.00,0.00,12.62,16,29.57,28.50,57,18.43,3.81,84.49,2.98,16.24,83.14,3.20,14.80
10779,0.00,0.00,11.14,10,1.63,3286,0.00,0.00,12.30,16,28.52,28.50,57,18.72,4.18,86.92,3.06,16.24,93.73,3.54,14.80
10855,0.00,0.00,11.25,10,1.65,3274,0.00,0.00,12.41,16,28.16,27.00,57,19.01,4.52,89.70,3.08,19.65,100.00,3.88,14.80
10930,0.00,0.00,11.25,10,1.70,3332,0.00,0.00,12.31,16,27.81,27.00,57,19.44,4.93,91.59,3.12,20.57,100.00,3.96,14.80
11005,0.00,0.00,11.14,10,1.73,3357,0.00,0.00,12.22,16,27.81,26.50,57,19.73,5.28,95.17,3.18,20.57,100.00,3.96,14.80
11081,0.00,0.00,11.14,10,1.75,3404,0.00,0.00,12.07,16,27.11,26.00,57,20.02,5.74,96.57,3.22,20.57,100.00,3.96,14.80
11155,0.00,0.00,11.25,10,1.79,3424,0.00,0.00,12.10,16,26.05,26.00,57,20.31,6.09,103.07,3.16,20.57,100.00,3.96,14.80
11230,0.00,0.00,11.25,10,1.87,3434,0.00,0.00,11.95,16,25.35,24.00,57,21.04,6.56,105.40,3.26,20.57,100.00,3.96,14.80
11307,0.00,0.00,11.25,10,1.92,3459,0.00,0.00,11.97,16,24.65,23.50,57,21.47,7.02,109.25,3.24,20.57,100.00,3.96,14.80
11382,0.00,0.00,11.14,10,1.98,3501,0.00,0.00,11.55,16,23.95,23.50,57,21.91,7.52,111.36,3.32,20.57,100.00,3.96,14.80
11458,0.00,0.00,11.14,10,2.06,3536,0.00,0.00,11.70,16,23.24,22.50,57,22.49,8.14,116.66,3.36,20.57,100.00,3.96,14.80
11533,0.00,0.00,11.14,10,2.11,3535,0.00,0.00,11.55,16,22.19,22.00,57,23.07,8.82,121.14,3.42,20.57,100.00,3.96,14.80
11607,0.00,0.00,11.14,10,2.21,3609,0.00,0.00,11.53,16,21.84,21.50,57,23.65,9.49,126.61,3.52,20.57,100.00,3.96,14.80
11683,0.00,0.00,11.14,10,2.26,3634,0.00,0.00,11.44,16,20.78,20.50,57,24.23,10.27,136.32,3.54,20.57,100.00,3.96,14.80
11759,0.00,0.00,11.14,10,2.36,3674,0.00,0.00,11.36,16,19.02,19.00,57,25.54,11.20,140.63,3.58,20.57,100.00,3.96,14.80
11834,0.00,0.00,11.25,10,2.44,3726,0.00,0.00,11.44,16,18.32,17.50,57,26.41,12.05,149.07,3.64,20.57,100.00,3.96,14.80
11909,0.00,0.00,11.14,10,2.54,3765,0.00,0.00,11.25,16,17.62,17.00,57,27.13,13.09,154.99,3.62,20.57,100.00,3.96,14.80
11984,0.00,0.00,11.14,10,2.62,3826,0.00,0.00,11.50,16,15.51,16.50,57,28.00,14.00,159.27,3.72,20.57,100.00,3.96,14.80
12060,0.00,0.00,11.25,10,2.76,3776,0.00,0.00,11.50,16,14.45,15.00,57,28.87,14.95,167.27,3.78,20.57,100.00,3.96,14.80
12136,0.00,0.00,11.25,10,2.82,3886,0.00,0.00,11.50,16,14.10,14.00,57,29.60,15.99,182.42,3.80,20.57,100.00,3.96,14.80
12211,0.00,0.00,11.14,10,2.93,3939,0.00,0.00,11.40,16,14.10,12.50,57,31.34,16.80,191.78,3.90,20.57,100.00,3.96,14.80
12287,0.00,0.00,11.25,10,2.93,3978,0.00,0.00,11.13,16,14.10,13.00,57,31.92,17.62,195.56,3.90,20.57,100.00,3.96,14.80
