Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Coolant Temperature (F),Closed Loop Fueling Target* (estimated AFR)
3291,0.00,0.00,14.70,7,0.35,114,62.7,20.0,0.00,0.00,8.84,16,11.29,9.50,129,14.51,-0.19,1.54,1.20,0.00,-1.70,0.00,0.68,0.00,0.00,17.70,183,14.70
3394,0.00,0.00,14.70,7,0.35,705,62.6,21.0,0.00,0.00,8.84,16,12.34,12.00,129,13.64,-1.06,4.28,1.16,0.00,-1.70,0.00,0.64,0.00,0.00,19.40,183,14.70
3497,0.00,0.00,14.70,7,0.37,1100,62.5,21.0,0.00,0.00,8.85,16,14.10,12.50,129,12.19,-3.19,6.75,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,21.00,183,14.70
3600,0.00,0.00,14.70,7,0.31,1523,62.5,25.3,0.00,0.00,8.85,16,14.45,14.00,129,8.71,-6.30,6.87,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,183,14.70
3703,0.00,0.00,14.70,7,0.27,1846,62.5,24.6,0.00,0.00,8.86,16,13.40,14.00,129,7.25,-8.01,6.87,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,183,14.70
3806,0.00,0.00,14.70,7,0.24,1898,62.5,24.3,0.00,0.00,9.15,16,11.99,12.00,129,5.66,-9.17,6.73,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,15.10,183,14.70
3909,0.00,0.00,14.70,7,0.25,1923,62.5,24.3,0.00,0.00,9.67,16,11.99,11.50,129,5.08,-9.86,6.60,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,15.30,183,14.70
4011,0.00,0.00,14.70,7,0.21,1907,62.5,24.2,0.00,0.00,9.92,16,11.99,11.50,129,4.50,-10.31,6.64,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,183,14.70
4115,0.00,0.00,14.70,7,0.21,1835,62.5,24.2,0.00,0.00,10.38,16,11.99,11.50,129,4.21,-10.54,6.42,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,14.40,183,14.70
4217,0.00,0.00,14.70,7,0.21,1780,62.5,24.0,0.00,0.00,10.78,16,11.99,11.50,129,4.06,-10.67,6.35,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,13.90,183,14.70
4320,0.00,0.00,14.70,7,0.22,1674,63.0,24.0,0.00,0.00,10.96,16,11.99,11.50,129,4.06,-10.62,6.16,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,13.50,183,14.70
4423,0.00,0.00,14.70,7,0.23,1571,63.2,24.0,0.00,0.00,11.13,16,11.99,11.50,129,4.21,-10.48,6.13,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,13.30,183,14.70
4526,0.00,0.00,14.70,7,0.25,1513,63.3,23.9,0.00,0.00,11.42,16,11.64,11.50,129,4.35,-10.29,6.20,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,13.20,183,14.70
4628,0.00,0.00,14.70,7,0.26,1448,63.4,23.9,0.00,0.00,11.56,16,11.64,11.50,129,4.50,-10.07,6.31,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,13.20,183,14.70
4731,0.00,0.00,14.70,7,0.27,1428,63.4,23.9,0.00,0.00,11.68,16,11.29,17.50,129,4.79,-9.88,6.35,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,13.30,183,14.70
4834,0.00,0.00,14.70,7,0.25,1409,63.4,23.9,0.00,0.00,11.90,16,11.29,17.50,129,4.93,-9.73,6.53,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,13.50,183,14.70
4937,0.00,0.00,14.70,7,0.28,1413,63.4,23.9,0.00,0.00,11.99,16,11.64,17.00,129,5.08,-9.57,6.64,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,13.70,183,14.70
5039,0.00,0.00,14.70,7,0.29,1418,63.4,23.9,0.00,0.00,12.09,16,11.64,15.50,129,5.22,-9.46,6.80,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,14.00,183,14.70
5142,0.00,0.00,14.70,7,0.29,1424,63.4,24.0,0.00,0.00,12.17,16,11.64,15.50,129,5.37,-9.38,6.87,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,14.20,183,14.70
5245,0.00,0.00,14.70,7,0.30,1413,63.4,24.0,0.00,0.00,12.25,16,11.29,14.00,129,5.37,-9.32,7.02,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,183,14.70
5348,0.00,0.00,14.70,7,0.30,1404,63.4,24.0,0.00,0.00,12.37,16,11.64,14.00,129,5.37,-9.26,7.13,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,183,14.70
5451,0.00,0.00,14.70,7,0.30,1420,63.5,24.0,0.00,0.00,12.44,16,11.29,13.00,129,5.51,-9.18,7.09,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,15.20,183,14.70
5554,0.00,0.00,14.70,7,0.30,1424,63.5,24.0,0.00,0.00,12.49,16,11.64,12.00,129,5.51,-9.17,7.24,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,15.30,183,14.70
5656,0.00,0.00,14.70,7,0.30,1414,63.5,24.0,0.00,0.00,12.54,16,11.64,13.50,129,5.51,-9.15,7.24,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,15.70,183,14.70
5759,0.00,0.00,14.70,7,0.31,1412,63.5,24.0,0.00,0.00,12.59,16,11.29,12.50,129,5.51,-9.13,7.20,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,15.70,183,14.70
5861,0.00,0.00,14.70,7,0.31,1404,63.5,24.0,0.00,0.00,12.67,16,11.29,13.00,129,5.66,-9.11,7.24,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,15.90,183,14.70
5964,0.00,0.00,14.70,7,0.31,1384,63.5,24.0,0.00,0.00,12.70,16,11.29,15.00,129,5.66,-9.09,7.20,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,15.90,183,14.70
6067,0.00,0.00,14.70,7,0.30,1396,63.4,24.0,0.00,0.00,12.74,16,11.29,12.50,129,5.51,-9.11,7.09,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,16.10,183,14.70
6170,0.00,0.00,14.70,7,0.31,1387,63.4,24.0,0.00,0.00,12.77,16,11.29,13.50,129,5.51,-9.15,7.17,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,16.10,183,14.70
6272,0.00,0.00,14.70,7,0.30,1390,63.4,24.0,0.00,0.00,12.80,16,11.29,13.00,129,5.51,-9.15,7.06,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,16.20,183,14.70
6376,0.00,0.00,14.70,7,0.31,1385,63.4,24.0,0.00,0.00,12.85,16,11.29,13.00,129,5.51,-9.17,7.02,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
6478,0.00,0.00,14.70,7,0.31,1359,63.4,24.0,0.00,0.00,12.87,16,11.29,15.50,129,5.51,-9.18,7.02,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
6582,0.00,0.00,14.70,7,0.31,1372,63.4,24.0,0.00,0.00,12.89,16,11.29,13.00,129,5.51,-9.18,6.95,1.54,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
6684,0.00,0.00,14.70,7,0.31,1358,63.4,24.0,0.00,0.00,12.92,16,11.29,14.50,129,5.51,-9.24,6.95,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
6787,0.00,0.00,14.70,7,0.30,1347,63.4,24.0,0.00,0.00,12.94,16,11.29,16.50,129,5.51,-9.24,6.80,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
6889,0.00,0.00,14.70,7,0.30,1354,63.4,24.0,0.00,0.00,12.96,16,11.29,14.00,129,5.51,-9.26,6.87,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
6993,0.00,0.00,14.70,7,0.30,1328,63.4,24.0,0.00,0.00,12.99,16,11.29,15.50,129,5.37,-9.28,6.64,1.52,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
7094,0.00,0.00,14.70,7,0.30,1339,63.4,24.0,0.00,0.00,13.01,16,10.94,14.50,129,5.37,-9.36,6.57,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
7197,0.00,0.00,14.70,7,0.30,1313,63.4,24.0,0.00,0.00,13.02,16,10.94,17.00,129,5.37,-9.36,6.64,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
7300,0.00,0.00,14.70,7,0.29,1327,63.4,24.0,0.00,0.00,13.04,16,10.94,14.50,129,5.37,-9.36,6.53,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
7403,0.00,0.00,14.70,7,0.29,1306,63.4,24.0,0.00,0.00,13.06,16,10.94,15.50,129,5.37,-9.38,6.38,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
7506,0.00,0.00,14.70,7,0.29,1305,63.4,24.0,0.00,0.00,13.07,16,10.94,17.50,129,5.22,-9.38,6.35,1.50,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
7608,0.00,0.00,14.70,7,0.29,1301,63.4,24.0,0.00,0.00,13.09,16,10.94,14.50,129,5.37,-9.38,6.35,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
7711,0.00,0.00,14.70,7,0.29,1288,63.4,24.0,0.00,0.00,13.10,16,10.94,15.50,129,5.22,-9.40,6.27,1.48,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
7814,0.00,0.00,14.70,7,0.29,1288,63.4,24.0,0.00,0.00,13.12,16,10.94,14.50,129,5.22,-9.44,6.13,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
7917,0.00,0.00,14.70,7,0.28,1260,63.4,23.9,0.00,0.00,13.14,16,10.94,16.50,129,5.22,-9.48,5.96,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8019,0.00,0.00,14.70,7,0.28,1234,63.4,23.9,0.00,0.00,13.15,16,10.59,15.00,129,5.22,-9.53,5.89,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8123,0.00,0.00,14.70,7,0.29,1192,63.4,24.0,0.00,0.00,13.16,16,10.59,18.50,129,5.22,-9.46,5.89,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8225,0.00,0.00,14.70,7,0.29,1222,63.4,24.0,0.00,0.00,13.17,16,10.59,18.50,129,5.37,-9.34,5.89,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8328,0.00,0.00,14.70,7,0.28,1206,63.4,24.0,0.00,0.00,13.18,16,10.59,18.00,129,5.37,-9.34,5.83,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8430,0.00,0.00,14.70,7,0.28,1209,63.4,24.0,0.00,0.00,13.19,16,10.59,16.50,129,5.37,-9.38,5.56,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8533,0.00,0.00,14.70,7,0.28,1197,63.4,24.0,0.00,0.00,13.20,16,10.59,17.50,129,5.22,-9.44,5.56,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8636,0.00,0.00,14.70,7,0.28,1204,63.4,24.0,0.00,0.00,13.21,16,10.59,15.50,129,5.22,-9.44,5.56,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
8739,0.00,0.00,14.70,7,0.28,1186,63.4,24.0,0.00,0.00,13.22,16,10.59,15.50,129,5.22,-9.46,5.54,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
8842,0.00,0.00,14.70,7,0.28,1193,63.4,24.0,0.00,0.00,13.23,16,10.59,15.50,129,5.22,-9.44,5.56,1.44,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
8944,0.00,0.00,14.70,7,0.27,1181,63.4,23.9,0.00,0.00,13.24,16,10.59,14.50,129,5.22,-9.48,5.37,1.42,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9047,0.00,0.00,14.70,7,0.26,1164,63.4,23.9,0.00,0.00,13.25,16,10.59,16.50,129,5.22,-9.53,5.30,1.42,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
9150,0.00,0.00,14.70,7,0.26,1178,63.4,23.9,0.00,0.00,13.26,16,10.59,14.00,129,5.08,-9.57,7.61,1.40,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
9252,0.00,0.00,14.70,7,0.27,1137,63.4,23.9,0.00,0.00,13.27,16,10.23,18.00,129,5.08,-9.67,5.01,1.40,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9355,0.00,0.00,14.70,7,0.27,1128,63.4,23.9,0.00,0.00,13.27,16,10.23,17.50,129,5.08,-9.65,5.14,1.40,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9458,0.00,0.00,14.70,7,0.28,1123,63.4,23.9,0.00,0.00,13.29,16,10.23,17.50,129,5.08,-9.63,5.08,1.40,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9561,0.00,0.00,14.70,7,0.27,1106,63.4,23.9,0.00,0.00,13.30,16,10.23,18.00,129,5.08,-9.63,5.08,1.40,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9664,0.00,0.00,14.70,7,0.27,1130,63.4,23.9,0.00,0.00,13.30,16,10.23,15.50,129,5.08,-9.65,4.95,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9767,0.00,0.00,14.70,7,0.25,1113,63.4,23.9,0.00,0.00,13.32,16,10.23,16.00,129,4.93,-9.73,4.75,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9870,0.00,0.00,14.70,7,0.26,1087,63.4,23.9,0.00,0.00,13.33,16,10.23,15.50,129,4.93,-9.78,4.69,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
9973,0.00,0.00,14.70,7,0.27,1085,63.4,23.9,0.00,0.00,13.33,16,9.88,17.50,129,4.93,-9.82,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
10075,0.00,0.00,14.70,7,0.27,1055,63.4,23.9,0.00,0.00,13.34,16,9.88,17.50,129,4.93,-9.82,4.73,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
10178,0.00,0.00,14.70,7,0.27,1060,63.4,23.9,0.00,0.00,13.36,16,9.88,17.50,129,4.93,-9.80,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
10281,0.00,0.00,14.70,7,0.26,1068,63.4,23.9,0.00,0.00,13.36,16,9.88,16.50,129,4.93,-9.82,4.60,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
10384,0.00,0.00,14.70,7,0.26,1055,63.4,23.9,0.00,0.00,13.37,16,9.88,17.00,129,4.93,-9.82,4.53,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
10487,0.00,0.00,14.70,7,0.26,1040,63.4,23.9,0.00,0.00,13.38,16,9.88,17.00,129,4.93,-9.82,4.51,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
10589,0.00,0.00,14.70,7,0.26,1022,63.4,23.9,0.00,0.00,13.39,16,9.88,17.50,129,4.93,-9.82,4.51,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
10692,0.00,0.00,14.70,7,0.27,1005,63.4,23.9,0.00,0.00,13.39,16,9.88,17.50,129,4.93,-9.75,4.51,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
10795,0.00,0.00,14.70,7,0.26,1016,63.4,23.9,0.00,0.00,13.40,16,9.88,17.50,129,4.93,-9.77,4.46,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
10897,0.00,0.00,14.70,7,0.26,1019,63.4,23.9,0.00,0.00,13.41,16,9.88,16.00,129,4.93,-9.77,4.40,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
11000,0.00,0.00,14.70,7,0.26,1009,63.4,23.9,0.00,0.00,13.42,16,9.88,16.00,129,4.93,-9.78,4.35,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
11103,0.00,0.00,14.70,7,0.27,977,63.4,23.9,0.00,0.00,13.43,16,9.88,17.50,129,4.93,-9.77,4.32,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.70,183,14.70
11207,0.00,0.00,14.70,7,0.27,983,63.4,23.9,0.00,0.00,13.43,16,9.88,17.00,129,5.08,-9.67,4.35,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
11308,0.00,0.00,14.70,7,0.26,982,63.4,23.9,0.00,0.00,13.45,16,9.88,17.50,129,4.93,-9.67,4.26,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
11411,0.00,0.00,14.70,7,0.26,973,63.4,23.9,0.00,0.00,13.45,16,9.88,16.50,129,4.93,-9.73,4.24,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.60,183,14.70
11514,0.00,0.00,14.70,7,0.26,954,63.4,23.9,0.00,0.00,13.46,16,9.88,17.50,129,4.93,-9.75,4.15,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
11617,0.00,0.00,14.70,7,0.27,961,63.4,23.9,0.00,0.00,13.47,16,9.88,16.50,129,4.93,-9.73,4.15,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
11720,0.00,0.00,14.70,7,0.26,956,63.4,23.9,0.00,0.00,13.48,16,9.88,16.00,129,5.08,-9.69,4.18,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.50,183,14.70
11823,0.00,0.00,14.70,7,0.26,959,63.4,23.9,0.00,0.00,13.49,16,9.88,16.50,129,5.08,-9.65,4.18,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
11925,0.00,0.00,14.70,7,0.26,938,63.4,23.9,0.00,0.00,13.49,16,9.88,16.50,129,5.08,-9.69,4.15,1.30,0.00,-1.70,0.00,0.64,0.00,0.00,16.30,183,14.70
12028,0.00,0.00,14.70,7,0.27,938,63.4,23.9,0.00,0.00,13.50,16,9.88,15.50,129,5.08,-9.69,4.15,1.30,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
12131,0.00,0.00,14.70,7,0.26,945,63.4,23.9,0.00,0.00,13.51,16,9.88,14.50,129,5.08,-9.67,4.15,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.40,183,14.70
12233,0.00,0.00,14.81,7,0.26,947,63.4,23.9,0.00,0.00,13.52,16,9.88,13.50,129,5.08,-9.67,4.10,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.30,183,14.70
12337,0.00,0.00,14.81,7,0.26,936,63.4,23.9,0.00,0.00,13.52,16,9.88,14.50,129,5.08,-9.65,4.10,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,16.30,183,14.70
