Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
1431,0.00,0.00,14.70,7,0.51,965,0.00,0.00,14.00,16,21.13,17.00,61,7.40,-6.88,7.41,1.60,-1.08,3.92,0.78,14.80
1506,0.00,0.00,14.70,7,0.53,1012,0.00,0.00,14.01,16,24.30,19.50,61,7.84,-6.56,8.91,1.66,-1.08,4.31,0.78,14.80
1582,0.00,0.00,14.70,7,0.50,1093,0.00,0.00,14.04,16,27.46,27.00,61,8.27,-6.32,9.36,1.66,-1.08,4.71,0.80,14.80
1657,0.00,0.00,14.70,7,0.49,1152,0.00,0.00,14.04,16,28.16,27.50,61,8.42,-6.25,9.67,1.68,-1.08,4.71,0.80,14.80
1732,0.00,0.00,14.70,7,0.49,1232,0.00,0.00,14.06,16,28.87,28.50,61,8.42,-6.38,10.04,1.72,-1.08,5.10,0.82,14.80
1808,0.00,0.00,14.70,7,0.49,1290,0.00,0.00,14.07,16,29.57,28.50,61,8.27,-6.52,10.44,1.76,-1.39,5.49,0.82,14.80
1882,0.00,0.00,14.70,7,0.50,1354,0.00,0.00,14.09,16,29.57,29.00,61,8.13,-6.57,10.80,1.76,-1.39,5.49,0.82,14.80
1957,0.00,0.00,14.70,7,0.50,1356,0.00,0.00,14.09,16,29.57,29.50,61,8.13,-6.59,11.46,1.78,-1.39,5.49,0.82,14.80
2033,0.00,0.00,14.70,7,0.52,1356,0.00,0.00,14.10,16,29.57,29.50,61,8.13,-6.52,11.51,1.78,-1.39,5.88,0.84,14.80
2108,0.00,0.00,14.70,7,0.54,1326,0.00,0.00,12.82,16,29.22,29.00,59,8.27,-6.42,11.51,1.78,-1.39,5.88,0.84,14.80
2183,0.00,0.00,14.70,7,0.58,1307,0.00,0.00,12.91,16,28.87,29.00,59,8.42,-6.21,11.94,1.80,-1.39,6.27,0.84,14.80
2259,0.00,0.00,14.70,7,0.59,1265,0.00,0.00,14.09,16,28.52,28.50,59,8.56,-5.96,12.55,1.84,-1.39,6.67,0.86,14.80
2333,0.00,0.00,14.70,7,0.63,1231,0.00,0.00,12.84,16,26.76,28.50,59,8.85,-5.61,12.55,1.86,-1.39,7.06,0.86,14.80
2410,0.00,0.00,14.70,7,0.67,1193,0.00,0.00,12.93,16,25.70,27.00,59,9.14,-5.14,12.94,1.86,-1.39,7.45,0.88,14.80
2485,0.00,0.00,14.70,7,0.71,1174,0.00,0.00,14.07,16,24.30,26.00,59,9.58,-4.54,13.93,1.88,-1.08,8.24,0.90,14.80
2560,0.00,0.00,14.59,7,0.75,1164,0.00,0.00,14.07,16,23.95,23.50,59,10.45,-4.02,14.42,1.92,-1.08,9.02,0.94,14.80
2636,0.00,0.00,14.59,7,0.75,1167,0.00,0.00,14.09,16,23.95,23.50,59,11.03,-3.54,14.53,1.90,-1.08,9.02,0.94,14.80
2712,0.00,0.00,14.59,7,0.74,1189,0.00,0.00,14.10,16,24.65,23.50,59,11.32,-3.29,14.90,1.94,-1.39,9.41,0.94,14.80
2786,0.00,0.00,14.59,7,0.72,1228,0.00,0.00,14.13,16,25.35,24.50,59,11.46,-3.23,15.08,1.94,-1.39,9.41,0.96,14.80
2862,0.00,0.00,14.59,7,0.72,1220,0.00,0.00,14.15,16,26.05,25.00,59,11.46,-3.27,15.26,1.96,-1.39,9.80,0.96,14.80
2937,0.00,0.00,14.59,7,0.74,1319,0.00,0.00,14.17,16,25.70,25.50,59,11.46,-3.29,15.47,1.98,-1.39,9.80,0.96,14.80
3012,0.00,0.00,14.59,7,0.73,1332,0.00,0.00,14.17,16,26.05,26.00,59,11.46,-3.29,16.16,1.98,-1.39,10.20,0.98,14.80
3087,0.00,0.00,14.59,7,0.73,1362,0.00,0.00,14.18,16,26.41,26.00,59,11.46,-3.27,16.50,2.00,-1.39,10.59,0.98,14.80
3163,0.00,0.00,14.59,7,0.74,1365,0.00,0.00,14.19,16,26.41,26.00,59,11.46,-3.21,16.93,2.00,-1.08,10.59,0.98,14.80
3238,0.00,0.00,14.59,7,0.76,1378,0.00,0.00,14.20,16,26.05,26.00,59,11.46,-3.15,17.00,2.02,-0.77,10.59,1.00,14.80
3313,0.00,0.00,14.59,7,0.76,1376,0.00,0.00,14.21,16,26.05,26.00,59,11.61,-3.09,17.35,2.02,-0.77,10.98,1.00,14.80
3389,0.00,0.00,14.59,7,0.77,1354,0.00,0.00,14.22,16,25.70,26.00,59,11.61,-3.00,17.35,2.02,-0.77,10.98,1.00,14.80
3464,0.00,0.00,14.59,7,0.76,1376,0.00,0.00,14.52,16,26.05,25.50,59,11.75,-2.90,17.42,2.02,-0.77,10.98,1.00,14.80
3539,0.00,0.00,14.59,7,0.73,1435,0.00,0.00,14.27,16,27.81,27.00,59,11.75,-2.94,17.57,2.04,-0.77,10.98,1.00,14.80
3615,0.00,0.00,14.59,7,0.72,1538,0.00,0.00,14.30,16,29.22,28.50,59,11.61,-3.11,18.41,2.04,-0.77,10.98,1.02,14.80
3690,0.00,0.00,14.59,7,0.71,1604,0.00,0.00,14.31,16,29.92,29.50,59,11.46,-3.31,18.56,2.06,-0.46,11.37,1.02,14.80
3765,0.00,0.00,14.59,7,0.72,1644,0.00,0.00,14.32,16,30.27,29.50,59,11.32,-3.44,19.20,2.08,-0.46,11.37,1.02,14.80
3840,0.00,0.00,14.59,7,0.72,1722,0.00,0.00,14.35,16,30.62,30.00,59,11.17,-3.54,19.90,2.12,-0.46,11.76,1.02,14.80
3916,0.00,0.00,14.59,7,0.71,1789,0.00,0.00,14.66,16,32.03,30.50,59,11.17,-3.69,20.79,2.12,0.15,11.76,1.02,14.80
3991,0.00,0.00,14.59,7,0.70,1844,0.00,0.00,14.71,16,32.73,31.50,59,11.03,-3.85,21.65,2.14,0.15,12.16,1.04,14.80
4067,0.00,0.00,14.59,7,0.69,1878,0.00,0.00,13.75,16,33.44,33.00,59,10.88,-3.89,21.36,2.14,0.15,12.16,1.04,14.80
4142,0.00,0.00,14.59,7,0.70,1920,0.00,0.00,14.72,16,33.79,33.00,59,10.74,-3.94,22.51,2.16,0.77,12.16,1.04,14.80
4218,0.00,0.00,14.59,7,0.68,1977,0.00,0.00,14.44,16,34.84,34.00,59,10.74,-4.04,22.60,2.16,0.77,12.55,1.04,14.80
4293,0.00,0.00,14.59,7,0.66,2062,0.00,0.00,14.46,16,35.55,35.00,59,10.59,-4.14,22.79,2.20,0.46,12.55,1.06,14.80
4368,0.00,0.00,14.59,7,0.70,2058,0.00,0.00,14.45,16,35.90,35.50,59,10.59,-4.12,23.30,2.22,0.46,12.94,1.06,14.80
4444,0.00,0.00,14.70,7,0.69,2187,0.00,0.00,14.49,16,36.25,35.50,59,10.59,-4.08,24.68,2.24,0.77,13.33,1.08,14.80
4520,0.00,0.00,14.70,7,0.70,2232,0.00,0.00,14.49,16,36.95,36.00,59,10.59,-4.08,25.96,2.24,0.77,13.73,1.08,14.80
4595,0.00,0.00,14.70,7,0.72,2300,0.00,0.00,14.51,16,37.30,36.50,59,10.59,-4.08,27.31,2.28,1.08,13.73,1.08,14.80
4670,0.00,0.00,14.70,7,0.72,2334,0.00,0.00,14.12,16,38.01,37.50,59,10.74,-3.94,28.15,2.28,0.77,14.12,1.10,14.80
4745,0.00,0.00,14.70,7,0.76,2399,0.00,0.00,14.76,16,38.36,38.00,59,10.74,-3.87,29.21,2.32,0.77,14.12,1.10,14.80
4820,0.00,0.00,14.70,7,0.77,2429,0.00,0.00,14.54,16,39.06,38.00,59,10.88,-3.81,30.74,2.34,1.08,14.90,1.12,14.80
4896,0.00,0.00,14.70,7,0.78,2555,0.00,0.00,14.56,16,39.77,39.00,59,10.88,-3.75,31.48,2.36,1.08,14.90,1.12,14.80
4971,0.00,0.00,14.70,7,0.79,2614,0.00,0.00,14.59,16,40.82,39.50,59,10.88,-3.75,32.93,2.38,1.39,14.90,1.12,14.80
5046,0.00,0.00,14.59,7,0.80,2650,0.00,0.00,14.60,16,41.17,40.50,59,11.03,-3.75,35.48,2.40,1.39,14.90,1.14,14.80
5122,0.00,0.00,14.59,7,0.81,2708,0.00,0.00,14.62,16,42.23,41.50,59,11.03,-3.67,36.61,2.42,1.08,15.69,1.14,14.80
5197,0.00,0.00,14.47,7,0.82,2761,0.00,0.00,14.64,16,42.58,42.00,59,11.03,-3.65,37.85,2.44,1.70,15.69,1.16,14.80
5272,0.00,0.00,14.47,7,0.82,2848,0.00,0.00,14.66,16,42.58,42.50,59,11.03,-3.64,38.80,2.46,1.70,15.69,1.16,14.80
5348,0.00,0.00,14.36,7,0.81,2894,0.00,0.00,14.66,16,42.58,42.50,59,11.03,-3.64,39.35,2.48,2.01,16.08,1.16,14.80
5424,0.00,0.00,14.24,7,0.81,2990,0.00,0.00,14.88,16,42.58,42.50,59,11.03,-3.62,39.89,2.50,2.01,16.08,1.16,14.80
5498,0.00,0.00,14.24,7,0.80,3050,0.00,0.00,14.85,16,42.93,42.50,59,11.03,-3.58,40.85,2.50,2.01,16.08,1.16,14.80
5574,0.00,0.00,14.24,7,0.77,3138,0.00,0.00,14.69,16,43.28,42.50,59,11.17,-3.58,41.26,2.50,2.01,16.47,1.16,14.80
5649,0.00,0.00,14.13,7,0.77,3179,0.00,0.00,14.69,16,43.28,43.00,59,11.17,-3.62,40.72,2.50,2.01,16.47,1.18,14.80
5725,0.00,0.00,14.13,7,0.77,3231,0.00,0.00,14.69,16,43.28,43.00,59,11.17,-3.64,41.25,2.50,2.01,16.47,1.18,14.80
5800,0.00,0.00,14.13,7,0.76,3266,0.00,0.00,14.70,16,43.28,43.00,59,11.17,-3.67,42.08,2.52,2.01,16.47,1.18,14.80
5876,-0.78,0.00,14.01,7,0.71,3353,0.00,0.00,16.19,16,43.63,43.00,59,11.03,-4.10,42.08,2.36,1.70,8.63,1.04,14.80
5951,0.00,0.00,14.01,7,0.42,3374,0.00,0.00,16.43,16,42.58,43.50,59,10.30,-8.14,37.26,1.58,1.70,0.00,0.64,14.80
6026,0.00,0.00,13.90,7,0.25,3354,0.00,0.00,15.28,16,32.73,44.00,59,6.82,-5.01,10.70,1.70,-4.18,0.00,0.64,14.80
6101,0.00,0.00,13.78,7,0.22,3260,0.00,0.00,14.70,16,25.35,29.00,59,4.21,-10.62,10.44,1.74,-4.18,0.00,0.64,14.80
6177,0.00,0.00,13.67,7,0.23,3103,0.00,0.00,14.70,16,15.51,21.00,59,3.92,-10.77,11.88,1.80,-4.18,0.00,0.64,14.80
6253,0.00,0.00,13.67,7,0.25,2983,0.00,0.00,13.24,16,11.99,13.50,59,3.92,-10.81,11.61,1.80,-4.18,0.00,0.64,14.80
6328,0.00,0.00,13.67,7,0.27,2852,0.00,0.00,14.70,16,11.99,11.50,57,3.92,-10.87,12.21,1.82,-4.18,0.00,0.64,14.80
6403,0.00,0.00,14.36,7,0.28,2720,0.00,0.00,14.70,16,11.99,11.50,57,3.77,-10.87,12.05,1.80,-3.87,0.00,0.64,14.80
6478,0.00,0.00,15.50,7,0.28,2464,0.00,0.00,14.70,16,11.99,11.50,57,3.77,-10.91,11.56,1.76,-3.87,0.00,0.64,14.80
6554,0.00,0.00,15.96,7,0.28,2361,0.00,0.00,14.70,16,11.99,11.50,57,3.77,-10.94,10.96,1.74,-2.94,0.39,0.64,14.80
6629,0.00,0.00,16.08,7,0.34,2214,0.00,0.00,12.15,16,13.40,11.50,57,3.77,-10.71,10.44,1.72,-2.94,4.31,0.74,14.80
6704,0.00,0.00,16.08,7,0.42,1999,0.00,0.00,12.01,16,21.48,15.50,57,4.50,-9.61,12.77,1.84,-2.01,8.24,0.88,14.80
6780,0.00,0.00,16.08,7,0.53,1996,0.00,0.00,13.38,16,34.49,24.00,57,5.66,-8.20,14.90,2.08,-1.39,9.80,0.96,14.80
6855,0.00,0.00,16.19,7,0.58,1998,0.00,0.00,14.59,16,36.95,34.00,57,6.82,-7.04,18.17,2.08,-1.39,10.20,0.98,14.80
6930,0.00,0.00,15.85,7,0.62,1998,0.00,0.00,14.58,16,35.20,36.50,57,7.69,-6.17,19.97,2.10,-0.77,10.98,1.00,14.80
7006,0.00,0.00,13.78,7,0.64,2024,0.00,0.00,14.58,16,35.90,35.50,57,8.42,-5.51,21.27,2.14,-0.77,11.37,1.00,14.80
7081,0.00,0.00,13.55,7,0.62,2081,0.00,0.00,14.05,16,36.25,36.50,57,9.43,-5.24,21.08,2.14,-0.46,11.37,1.02,14.80
7156,0.00,0.00,13.44,7,0.66,2046,0.00,0.00,13.55,16,35.20,35.50,57,9.58,-5.03,21.65,2.14,0.15,12.16,1.02,14.80
7232,0.00,0.00,13.44,7,0.70,2037,0.00,0.00,14.58,16,35.20,34.50,57,9.87,-4.54,22.99,2.18,0.15,12.94,1.06,14.80
7308,0.00,0.00,13.78,7,0.70,2120,0.00,0.00,14.91,16,35.20,35.50,57,10.30,-4.31,24.57,2.22,0.77,13.33,1.06,14.80
7382,0.00,0.00,14.24,7,0.73,2156,0.00,0.00,14.12,16,34.84,35.50,57,10.45,-4.04,25.21,2.22,0.77,13.73,1.08,14.80
7459,0.78,0.00,14.47,7,0.74,2154,0.00,0.00,14.59,16,35.20,34.50,57,10.59,-3.77,25.32,2.24,1.39,14.12,1.10,14.80
7535,0.78,0.00,14.59,7,0.74,2186,0.00,0.00,14.58,16,35.20,34.50,57,10.88,-3.69,26.73,2.26,1.39,14.12,1.10,14.80
7610,0.00,0.00,14.47,7,0.77,2162,0.00,0.00,14.58,16,35.20,35.00,57,11.03,-3.56,27.33,2.28,1.70,14.90,1.12,14.80
7685,0.78,0.00,14.59,7,0.77,2193,0.00,0.00,14.59,16,35.90,35.50,57,11.17,-3.40,27.67,2.28,2.01,14.90,1.12,14.80
7761,0.78,0.00,14.70,7,0.79,2228,0.00,0.00,14.59,16,35.90,35.50,57,11.32,-3.35,28.39,2.30,2.01,14.90,1.12,14.80
7837,0.78,0.00,14.59,7,0.80,2252,0.00,0.00,15.16,16,35.90,35.50,57,11.46,-3.23,29.44,2.32,2.01,14.90,1.14,14.80
7911,0.78,0.00,14.59,7,0.78,2270,0.00,0.00,14.61,16,36.60,36.00,57,11.46,-3.13,29.91,2.32,2.01,15.29,1.14,14.80
7987,0.00,0.00,14.59,7,0.78,2306,0.00,0.00,14.25,16,36.95,36.00,57,11.61,-3.09,30.44,2.32,2.01,15.69,1.14,14.80
8062,0.78,0.00,14.59,7,0.81,2331,0.00,0.00,14.05,16,36.95,36.50,57,11.75,-3.02,31.48,2.36,2.01,15.69,1.16,14.80
8138,0.78,0.00,14.70,7,0.83,2333,0.00,0.00,14.61,16,37.30,36.50,57,11.75,-2.88,32.39,2.36,2.32,16.08,1.16,14.80
8213,0.00,0.00,14.70,7,0.86,2382,0.00,0.00,14.59,16,37.66,37.00,57,11.90,-2.84,33.29,2.38,2.94,16.08,1.16,14.80
8288,0.00,0.00,14.47,7,0.89,2398,0.00,0.00,14.27,16,37.30,37.00,57,11.90,-2.71,34.75,2.42,2.94,16.47,1.18,14.80
8363,-0.78,0.00,14.24,7,0.89,2387,0.00,0.00,14.61,16,37.66,37.00,57,12.04,-2.63,35.66,2.42,3.25,16.47,1.18,14.80
8438,-1.56,0.00,14.13,7,0.90,2475,0.00,0.00,14.61,16,38.01,37.50,57,12.04,-2.55,36.34,2.42,3.25,16.86,1.20,14.80
8514,-2.34,0.00,13.90,7,0.92,2482,0.00,0.00,14.21,16,38.01,38.00,57,12.19,-2.46,37.84,2.46,3.25,17.65,1.22,14.80
8590,-2.34,0.00,14.13,7,0.93,2514,0.00,0.00,14.61,16,38.36,36.50,57,12.33,-2.34,38.81,2.46,3.25,17.65,1.22,14.80
8665,-3.12,0.00,14.13,7,0.94,2548,0.00,0.00,14.21,16,38.71,37.00,57,12.48,-2.22,39.35,2.48,4.18,18.04,1.24,14.80
8740,-3.12,0.00,14.01,7,0.94,2554,0.00,0.00,14.62,16,38.71,37.00,57,12.48,-2.09,40.72,2.48,4.80,18.43,1.24,14.80
8815,-3.12,0.00,14.24,7,0.94,2574,0.00,0.00,14.62,16,39.06,37.50,57,12.62,-2.03,40.03,2.50,4.80,18.43,1.24,14.80
8891,-3.12,0.00,14.24,7,0.95,2648,0.00,0.00,14.62,16,39.06,38.00,57,12.62,-1.95,41.25,2.52,4.80,18.82,1.26,14.80
8966,-3.12,0.00,14.36,7,0.97,2667,0.00,0.00,14.64,16,39.41,38.00,57,12.77,-1.84,41.94,2.52,4.80,19.22,1.26,14.80
9041,-3.12,0.00,14.47,7,0.97,2725,0.00,0.00,14.64,16,39.41,38.00,57,12.91,-1.84,43.81,2.54,5.10,19.22,1.26,14.80
9117,-3.12,0.00,14.47,7,0.99,2730,0.00,0.00,14.64,16,39.77,38.50,57,12.91,-1.76,44.33,2.56,5.10,19.61,1.28,14.80
9192,0.00,0.00,14.47,7,0.99,2752,0.00,0.00,14.62,16,40.12,38.50,57,13.06,-1.68,45.38,2.56,5.10,20.00,1.28,14.80
9267,0.00,0.00,14.24,7,1.01,2804,0.00,0.00,14.99,16,39.77,39.00,57,13.06,-1.66,45.73,2.58,5.72,20.00,1.30,14.80
9343,0.00,0.00,14.13,7,0.99,2780,0.00,0.00,14.63,16,40.12,38.50,57,13.06,-1.57,47.46,2.58,5.72,20.00,1.30,14.80
9418,0.00,0.00,13.78,7,0.99,2880,0.00,0.00,14.62,16,40.47,39.00,57,13.20,-1.55,47.11,2.60,6.34,20.39,1.30,14.80
9494,0.00,0.00,13.78,7,1.01,2882,0.00,0.00,14.80,16,40.12,39.00,57,13.20,-1.49,48.68,2.62,6.34,20.39,1.30,14.80
9568,0.00,0.00,13.78,7,1.01,2924,0.00,0.00,14.37,16,40.47,39.00,57,13.20,-1.47,48.86,2.62,6.34,20.39,1.30,14.80
9644,0.00,0.00,13.78,7,1.02,2946,0.00,0.00,14.62,16,40.47,39.00,57,13.20,-1.43,50.07,2.64,6.34,20.39,1.30,14.80
9719,0.00,0.00,13.67,7,1.00,2984,0.00,0.00,14.62,16,40.82,39.00,57,13.20,-1.39,50.24,2.64,6.34,20.39,1.30,14.80
9795,0.00,0.00,13.55,7,1.01,3013,0.00,0.00,14.78,16,40.82,39.50,57,13.35,-1.35,50.42,2.64,6.34,20.39,1.32,14.80
9870,0.00,0.00,13.55,7,1.00,3017,0.00,0.00,14.85,16,40.82,39.50,57,13.35,-1.30,51.12,2.66,6.34,20.39,1.32,14.80
9946,0.00,0.00,13.55,7,1.00,3093,0.00,0.00,14.61,16,41.17,39.50,57,13.35,-1.28,51.46,2.66,6.96,20.78,1.32,14.80
10021,0.00,0.00,13.44,7,1.01,3110,0.00,0.00,14.62,16,41.17,40.00,57,13.49,-1.22,51.98,2.68,6.96,20.78,1.32,14.80
10096,0.00,0.00,13.55,7,0.98,3172,0.00,0.00,14.59,16,41.17,40.00,57,13.49,-1.24,52.50,2.66,6.96,20.78,1.32,14.80
10172,0.00,0.00,13.44,7,0.99,3167,0.00,0.00,14.61,16,41.52,40.00,57,13.49,-1.18,52.50,2.68,6.96,20.78,1.32,14.80
10246,0.00,0.00,13.67,7,0.98,3226,0.00,0.00,14.60,16,41.52,40.00,57,13.49,-1.20,53.01,2.66,6.96,21.18,1.32,14.80
10322,0.00,0.00,13.55,7,0.98,3234,0.00,0.00,14.74,16,41.52,40.00,57,13.49,-1.18,54.22,2.70,6.96,21.18,1.32,14.80
10397,0.00,0.00,13.44,7,0.98,3314,0.00,0.00,14.82,16,41.52,40.00,57,13.49,-1.18,53.87,2.70,6.96,20.39,1.32,14.80
10473,-0.78,0.00,13.44,7,0.85,3302,0.00,0.00,18.07,16,42.58,40.50,57,13.49,-3.48,54.56,2.42,4.49,4.71,0.98,14.80
10548,0.00,0.00,13.09,7,0.47,3301,0.00,0.00,15.74,16,40.47,41.00,57,11.75,-7.66,14.47,2.06,4.49,0.00,0.64,14.80
10624,0.00,0.00,12.06,7,0.32,3276,0.00,0.00,15.29,16,30.98,35.50,57,5.95,-9.44,13.56,1.76,-4.18,0.00,0.64,14.80
10699,0.00,0.00,11.71,7,0.27,3187,0.00,0.00,14.70,16,23.24,29.00,57,4.79,-10.21,12.43,1.84,-4.18,0.00,0.64,14.80
10775,0.00,0.00,11.60,7,0.28,3035,0.00,0.00,13.71,16,13.75,21.00,57,4.35,-10.48,13.34,1.88,-4.18,0.00,0.64,14.80
10851,0.00,0.00,11.71,7,0.30,2915,0.00,0.00,14.70,16,11.99,13.50,57,4.21,-10.65,13.74,1.88,-4.18,0.00,0.64,14.80
10925,0.00,0.00,14.24,7,0.32,2660,0.00,0.00,14.70,16,11.99,11.50,57,4.06,-10.69,14.05,1.90,-4.18,0.00,0.64,14.80
11001,0.00,0.00,15.04,7,0.31,2536,0.00,0.00,14.70,16,11.99,11.50,57,4.06,-10.77,13.27,1.86,-3.56,0.00,0.64,14.80
11076,0.00,0.00,15.96,7,0.31,2402,0.00,0.00,14.70,16,11.99,11.50,57,3.92,-10.85,12.43,1.82,-3.56,0.00,0.64,14.80
11152,0.00,0.00,16.88,7,0.31,2299,0.00,0.00,14.70,16,11.99,11.50,57,3.77,-10.87,11.94,1.78,-2.94,0.00,0.64,14.80
11227,0.00,0.00,17.57,7,0.33,2204,0.00,0.00,12.01,16,13.75,11.50,57,3.77,-10.81,10.89,1.76,-2.01,3.53,0.72,14.80
11302,0.00,0.00,18.72,7,0.38,2089,0.00,0.00,15.34,16,19.02,13.50,57,4.06,-9.98,12.60,1.84,-2.01,6.27,0.82,14.80
11377,0.00,0.00,21.25,7,0.39,2188,0.00,0.00,13.28,16,32.38,19.00,57,4.93,-9.32,13.05,1.96,-2.63,7.84,0.88,14.80
11453,0.00,0.00,22.62,7,0.49,2302,0.00,0.00,12.61,16,38.71,29.00,57,5.51,-8.24,15.09,2.04,-2.63,9.41,0.94,14.80
11528,0.00,0.00,19.18,7,0.60,2225,0.00,0.00,14.12,16,38.36,39.00,57,6.53,-6.94,21.47,2.16,-2.01,10.98,1.00,14.80
11604,-3.91,0.00,13.90,7,0.61,2279,0.00,0.00,13.87,16,38.01,38.00,57,8.42,-6.13,23.28,2.18,-2.01,11.37,1.00,14.80
11679,-7.03,0.00,13.32,7,0.63,2240,0.00,0.00,14.60,16,38.01,38.00,57,8.85,-5.61,23.82,2.20,-1.08,11.37,1.02,14.80
11755,-7.81,0.00,13.09,7,0.65,2250,0.00,0.00,14.60,16,38.01,38.00,57,9.14,-5.28,23.71,2.20,-0.46,11.76,1.02,14.80
11830,-5.47,0.00,12.98,7,0.66,2273,0.00,0.00,14.61,16,38.01,38.00,57,9.43,-4.97,24.46,2.22,-0.46,12.16,1.04,14.80
11906,-2.34,0.00,14.70,7,0.70,2294,0.00,0.00,14.19,16,37.30,37.50,57,9.72,-4.80,24.68,2.26,-0.15,12.94,1.06,14.80
11981,-1.56,0.00,15.04,7,0.71,2272,0.00,0.00,14.04,16,37.30,37.50,57,9.87,-4.37,26.97,2.26,-0.15,13.73,1.08,14.80
12057,-1.56,0.00,15.39,7,0.76,2304,0.00,0.00,14.03,16,36.60,37.00,57,10.59,-3.96,28.03,2.28,1.08,14.12,1.10,14.80
12132,-1.56,0.00,15.04,7,0.78,2282,0.00,0.00,14.59,16,36.60,36.50,57,10.88,-3.58,29.68,2.32,1.08,14.90,1.12,14.80
12207,-1.56,0.00,15.04,7,0.80,2323,0.00,0.00,14.81,16,36.60,36.50,57,11.17,-3.35,30.15,2.34,2.01,14.90,1.12,14.80
