Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%)
1919,15.62,0.00,14.36,8,0.29,3348,0.00,0.00,14.36,16,46.09,45.00,145,5.80,-8.97,16.39,1.94,0.00,-2.94,6.27,0.86,0.00,0.00,14.70,57.7,21.7
2015,13.28,0.00,14.13,8,0.29,3474,0.00,0.00,14.36,16,46.09,45.00,145,5.66,-9.03,16.39,1.94,0.00,-3.25,6.67,0.86,0.00,0.00,14.50,57.6,21.7
2111,13.28,0.00,14.24,8,0.28,3546,0.00,0.00,14.36,16,46.09,45.00,145,5.66,-9.17,16.54,1.96,0.00,-3.25,6.67,0.88,0.00,0.00,14.40,57.7,21.7
2207,14.06,0.00,14.47,8,0.28,3674,0.00,0.00,14.36,16,46.09,45.00,145,5.51,-9.28,17.05,1.98,0.00,-3.25,7.06,0.88,0.00,0.00,14.50,57.7,21.6
2304,14.06,0.00,14.70,8,0.28,3733,0.00,0.00,14.36,16,46.09,45.00,145,5.37,-9.36,17.35,1.98,0.00,-3.56,7.06,0.90,0.00,0.00,14.60,57.7,21.6
2400,14.84,0.00,14.81,8,0.29,3878,0.00,0.00,14.36,16,46.09,45.00,145,5.37,-9.36,18.08,2.02,0.00,-3.56,7.45,0.90,0.00,0.00,14.70,57.6,21.5
2496,0.00,0.00,14.93,8,0.30,3943,0.00,0.00,14.36,16,46.09,45.00,145,5.37,-9.30,18.97,2.04,0.00,-3.56,7.84,0.92,0.00,0.00,14.90,57.6,21.5
2593,0.00,0.00,14.93,10,0.30,4030,0.00,0.00,10.50,16,46.09,-6.00,145,5.37,-9.18,19.77,2.08,0.00,-3.56,8.24,0.92,0.00,0.00,15.00,57.7,21.6
2688,0.00,0.00,15.16,10,0.32,4008,0.00,0.00,14.36,16,20.43,19.50,145,5.66,-8.99,20.41,2.10,0.00,-3.87,8.63,0.94,0.00,0.00,15.30,57.7,21.6
2784,0.00,0.00,14.13,10,0.33,4000,0.00,0.00,10.50,16,-4.88,45.00,145,5.80,-8.84,21.55,2.14,0.00,-3.87,9.02,0.96,0.00,0.00,14.80,57.6,21.6
2880,0.00,0.00,14.36,10,0.34,4015,0.00,0.00,14.36,16,46.09,-6.00,145,5.95,-8.70,22.27,2.16,0.00,-3.87,9.41,0.96,0.00,0.00,14.50,57.6,21.7
2977,0.00,0.00,13.55,10,0.35,4052,0.00,0.00,10.50,16,-4.88,-6.00,145,6.09,-8.51,23.32,2.18,0.00,-3.56,9.41,0.98,0.00,0.00,13.80,57.7,21.9
3073,0.00,0.00,12.63,10,0.37,3989,0.00,0.00,14.36,16,45.74,45.00,147,6.24,-8.39,23.86,2.20,0.39,-3.56,10.20,1.00,0.00,0.00,13.30,57.7,22.0
3169,0.00,0.00,13.78,10,0.38,4034,0.00,0.00,10.50,16,-4.88,-6.00,147,6.53,-8.20,24.79,2.22,0.39,-3.56,10.98,1.02,0.00,0.00,13.10,57.6,22.0
3265,0.00,0.00,12.98,10,0.40,4015,0.00,0.00,10.14,16,-4.88,19.00,147,6.53,-7.81,25.32,2.24,0.78,-3.56,11.76,1.12,0.00,0.00,13.30,57.6,22.1
3361,0.00,0.00,11.48,10,0.58,4012,0.00,0.00,10.06,16,-4.88,19.00,147,7.84,-5.88,36.77,2.46,2.75,-2.63,17.25,1.34,0.00,0.00,13.00,57.7,22.3
3457,0.00,0.00,11.02,10,0.74,4130,0.00,0.00,10.34,16,-4.88,-6.00,147,9.58,-3.71,45.77,2.62,9.80,0.15,23.14,1.44,0.00,0.00,11.30,57.7,22.4
3553,0.00,0.00,12.17,10,0.80,4247,0.00,0.00,10.46,16,-4.88,-6.00,147,11.75,-2.77,51.72,2.72,9.80,0.15,25.88,1.52,8.00,18.44,12.80,57.7,22.4
3648,0.00,0.00,12.17,10,0.86,4470,0.00,0.00,10.35,16,-4.88,-6.00,147,12.19,-2.24,60.53,2.84,27.06,2.94,27.06,1.52,8.00,18.44,12.90,57.7,21.4
3745,0.00,0.00,12.06,10,0.99,4624,0.00,0.00,10.55,16,-4.88,-6.00,147,12.77,-1.82,66.54,2.90,27.06,4.49,27.45,1.52,8.00,20.00,13.00,57.7,20.9
3841,0.00,0.00,17.00,10,0.95,4483,0.00,0.00,10.30,16,-4.88,-6.00,147,13.20,-1.24,72.33,2.94,27.06,4.49,27.45,1.54,8.00,19.25,31.00,57.7,20.7
3938,0.00,0.00,19.64,10,1.16,4556,0.00,0.00,10.45,16,-4.88,-6.50,147,13.93,-0.72,72.33,2.94,27.06,4.49,27.84,1.54,8.00,18.68,12.60,57.7,20.7
4034,0.00,0.00,15.96,10,1.09,4612,0.00,0.00,10.70,16,-4.88,-6.50,147,14.36,-0.29,88.42,3.08,27.06,5.10,26.27,1.18,8.00,18.68,26.10,57.6,20.6
4130,0.00,0.00,22.85,10,0.81,4526,0.00,0.00,11.44,16,-4.88,-6.50,147,10.16,-5.53,77.04,2.96,4.31,-2.32,7.84,0.68,0.00,0.00,19.40,57.7,20.7
4225,0.00,0.00,12.75,10,0.35,4433,0.00,0.00,13.16,16,-4.88,-6.00,147,6.82,-8.91,19.89,1.98,0.00,-4.18,0.00,0.66,0.00,0.00,19.40,57.7,20.7
4322,0.00,0.00,12.29,10,0.16,4171,0.00,0.00,10.81,16,-4.88,-5.00,147,5.51,-10.19,11.30,1.72,0.00,-4.18,0.00,0.66,0.00,0.00,12.90,57.7,21.9
4419,0.00,0.00,13.21,10,0.14,4047,0.00,0.00,14.15,16,-4.88,-5.00,147,4.35,-10.56,9.09,1.62,0.00,-3.87,0.00,0.66,0.00,0.00,13.00,57.7,21.4
4514,0.00,0.00,14.81,10,0.13,3740,0.00,0.00,14.15,16,11.99,11.50,147,4.21,-10.73,8.67,1.60,0.00,-3.56,0.00,0.66,0.00,0.00,13.70,57.7,21.4
4610,0.00,0.00,23.54,10,0.13,3607,0.00,0.00,14.15,16,11.99,11.50,149,3.92,-10.85,8.07,1.56,0.00,-3.25,0.00,0.66,0.00,0.00,15.70,57.7,21.4
4707,0.00,0.00,23.89,10,0.13,3370,0.00,0.00,14.15,16,11.99,11.50,149,3.77,-10.87,7.76,1.54,0.00,-3.25,0.00,0.64,0.00,0.00,22.70,57.7,21.4
4802,0.00,0.00,23.43,10,0.14,3228,0.00,0.00,14.15,16,11.99,11.50,149,3.92,-10.79,7.50,1.52,0.00,-2.94,0.00,0.66,0.00,0.00,34.70,57.7,21.4
4899,0.00,0.00,23.66,10,0.15,2980,0.00,0.00,14.15,16,11.99,11.50,149,3.92,-10.77,7.65,1.54,0.00,-2.63,0.00,0.64,0.00,0.00,61.80,57.6,21.4
4995,0.00,0.00,23.77,10,0.17,2870,0.00,0.00,14.04,16,11.99,11.50,149,3.92,-10.77,7.77,1.54,0.00,-2.63,0.00,0.66,0.00,0.00,63.70,57.6,21.4
5091,0.00,0.00,23.77,10,0.19,2642,0.00,0.00,14.04,16,11.99,11.50,149,3.92,-10.69,8.27,1.58,0.00,-2.32,0.00,0.64,0.00,0.00,96.00,57.6,21.4
5186,0.00,0.00,23.66,10,0.19,2523,0.00,0.00,14.04,16,11.99,11.50,149,4.06,-10.69,8.38,1.58,0.00,-2.01,0.00,0.64,0.00,0.00,96.00,57.6,21.4
5282,0.00,0.00,23.54,10,0.19,2316,0.00,0.00,14.04,16,11.99,11.50,149,4.06,-10.62,7.80,1.54,0.00,-2.01,0.00,0.66,0.00,0.00,96.00,57.6,21.4
5379,0.00,0.00,23.54,10,0.18,2223,0.00,0.00,14.04,16,11.99,11.50,149,4.06,-10.60,7.43,1.50,0.00,-2.01,0.00,0.66,0.00,0.00,99.90,57.6,21.4
5475,0.00,0.00,23.54,10,0.19,2005,0.00,0.00,14.04,16,11.99,11.50,149,4.21,-10.50,6.41,1.44,0.00,-2.01,0.00,0.64,0.00,0.00,99.90,57.6,21.4
5571,0.00,0.00,23.89,10,0.20,1910,0.00,0.00,14.04,16,11.99,11.50,149,4.50,-10.23,6.41,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,99.90,57.6,21.4
5667,0.00,0.00,23.66,10,0.20,1807,0.00,0.00,14.04,16,11.99,11.50,149,4.50,-10.38,6.16,1.44,0.00,-1.70,0.00,0.66,0.00,0.00,99.90,57.7,21.4
5763,0.00,0.00,23.77,10,0.19,1833,0.00,0.00,14.04,16,11.99,11.50,149,4.21,-10.81,5.92,1.42,0.00,-1.70,0.00,0.66,0.00,0.00,96.00,57.7,21.4
5858,0.00,0.00,21.36,10,0.18,1769,0.00,0.00,14.04,16,11.99,11.50,151,3.77,-10.98,5.32,1.40,0.00,-1.70,0.00,0.66,0.00,0.00,59.60,57.6,21.4
5954,0.00,0.00,18.83,10,0.20,1634,0.00,0.00,14.04,16,11.99,11.50,151,3.63,-10.98,5.59,1.40,0.00,-1.70,0.00,0.66,0.00,0.00,32.20,57.6,21.4
6050,0.00,0.00,15.16,10,0.21,1608,0.00,0.00,14.04,16,11.99,11.50,151,3.77,-10.91,5.67,1.42,0.00,-1.70,0.00,0.64,0.00,0.00,23.80,57.6,21.4
6146,0.00,0.00,15.16,8,0.21,1518,0.00,0.00,14.04,16,11.99,11.50,151,3.77,-10.83,5.43,1.40,0.00,-1.70,0.00,0.64,0.00,0.00,20.20,57.6,21.3
6242,2.34,0.00,15.73,8,0.21,1492,0.00,0.00,14.04,16,11.64,11.50,151,3.92,-10.77,5.17,1.38,0.00,-1.70,0.00,0.66,0.00,0.00,17.90,57.6,21.4
6338,2.34,0.00,15.85,8,0.21,1402,0.00,0.00,14.04,16,11.64,11.00,151,3.92,-10.71,5.08,1.36,0.00,-1.70,0.00,0.66,0.00,0.00,16.90,57.7,21.4
6434,2.34,0.00,15.50,8,0.22,1386,0.00,0.00,14.04,16,11.29,19.00,151,4.06,-10.69,4.97,1.34,0.00,-1.70,0.00,0.66,0.00,0.00,16.50,57.7,21.4
6529,3.12,0.00,15.50,8,0.21,1374,0.00,0.00,13.94,16,11.29,19.00,151,4.06,-10.71,4.86,1.34,0.00,-1.70,0.00,0.66,0.00,0.00,16.40,57.7,21.4
6626,3.12,0.00,15.50,8,0.21,1356,0.00,0.00,13.94,16,11.29,19.00,151,3.92,-10.79,4.81,1.34,0.00,-1.70,0.00,0.66,0.00,0.00,16.40,57.7,21.4
6721,3.12,0.00,15.16,8,0.19,1344,0.00,0.00,13.94,16,11.29,19.00,151,3.92,-10.85,4.40,1.30,0.00,-1.70,0.00,0.66,0.00,0.00,16.10,57.6,21.4
6817,3.12,0.00,15.16,8,0.19,1324,0.00,0.00,13.94,16,10.94,19.00,151,3.77,-10.91,4.28,1.30,0.00,-1.70,0.00,0.64,0.00,0.00,15.90,57.6,21.4
6914,3.12,0.00,15.04,8,0.19,1343,0.00,0.00,13.94,16,10.94,19.00,151,3.77,-10.96,4.22,1.30,0.00,-1.70,0.00,0.66,0.00,0.00,15.60,57.6,21.4
7009,3.12,0.00,15.04,8,0.20,1265,0.00,0.00,13.94,16,10.94,19.00,151,3.77,-10.98,4.20,1.30,0.00,-1.70,0.00,0.66,0.00,0.00,15.40,57.6,21.4
7105,3.12,0.00,14.93,8,0.19,1222,0.00,0.00,13.94,16,10.59,18.50,151,3.77,-10.98,4.09,1.28,0.00,-1.70,0.00,0.66,0.00,0.00,15.30,57.6,21.4
7201,3.12,0.00,14.93,8,0.19,1207,0.00,0.00,13.94,16,10.59,18.50,151,3.77,-10.96,3.88,1.28,0.00,-1.70,0.00,0.66,0.00,0.00,15.00,57.6,21.3
7296,3.12,0.00,14.93,8,0.20,1169,0.00,0.00,13.94,16,10.59,18.50,151,3.77,-10.89,3.78,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.90,57.6,21.3
7392,3.12,0.00,15.04,8,0.20,1122,0.00,0.00,13.94,16,10.23,18.00,151,3.77,-10.85,3.71,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.90,57.6,21.4
7488,3.91,0.00,14.93,8,0.21,1102,0.00,0.00,13.94,16,10.23,18.00,153,3.92,-10.79,3.78,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.80,57.7,21.4
7584,3.91,0.00,14.93,8,0.21,1054,0.00,0.00,13.94,16,9.88,17.50,153,3.92,-10.71,3.69,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.90,57.7,21.4
7681,3.91,0.00,14.93,8,0.21,1050,0.00,0.00,13.93,16,9.88,17.50,153,4.06,-10.69,3.78,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.90,57.7,21.4
7777,3.12,0.00,14.81,8,0.21,987,0.00,0.00,13.93,16,9.88,17.50,153,4.06,-10.64,3.75,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.90,57.6,21.4
7872,3.12,0.00,14.70,8,0.22,976,0.00,0.00,13.93,16,9.88,17.50,153,4.06,-10.54,3.51,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.80,57.6,21.4
7968,3.12,0.00,14.47,8,0.24,963,0.00,0.00,13.93,16,9.88,17.50,153,4.21,-10.46,3.75,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.80,57.6,21.4
8064,2.34,0.00,14.70,8,0.22,962,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.38,3.69,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.80,57.6,21.4
8160,3.12,0.00,14.59,8,0.21,958,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.36,3.34,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.60,57.6,21.4
8256,2.34,0.00,14.36,8,0.22,951,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.36,3.36,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.60,57.6,21.4
8351,1.56,0.00,14.13,8,0.22,933,0.00,0.00,13.93,16,9.88,17.50,153,4.35,-10.36,3.38,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.50,57.6,21.4
8448,0.78,0.00,14.24,8,0.23,927,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.36,3.45,1.26,0.00,-1.70,0.00,0.66,0.00,0.00,14.50,57.6,21.4
8544,0.78,0.00,13.90,8,0.22,928,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.36,3.38,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.40,57.6,21.4
8639,0.00,0.00,13.78,8,0.21,925,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.35,3.42,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.40,57.6,21.4
8735,-0.78,0.00,13.67,8,0.22,919,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.36,3.31,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.30,57.6,21.4
8831,-0.78,0.00,13.78,8,0.22,911,0.00,0.00,13.93,16,9.88,17.50,153,4.35,-10.36,3.34,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.20,57.6,21.3
8927,-0.78,0.00,13.78,8,0.22,903,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.31,3.36,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.20,57.6,21.3
9023,-1.56,0.00,13.67,8,0.22,889,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.35,3.27,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.20,57.6,21.4
9118,-0.78,0.00,13.90,8,0.23,883,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.31,3.29,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.10,57.7,21.4
9215,-0.78,0.00,14.01,8,0.22,882,0.00,0.00,13.94,16,9.88,17.50,153,4.35,-10.27,3.21,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.00,57.7,21.4
9310,-0.78,0.00,14.01,8,0.22,883,0.00,0.00,13.94,16,9.88,17.00,153,4.50,-10.27,3.25,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.00,57.7,21.4
9407,-0.78,0.00,14.24,8,0.23,874,0.00,0.00,13.93,16,9.88,17.50,153,4.50,-10.25,3.34,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.00,57.7,21.4
9502,-0.78,0.00,14.36,8,0.23,879,0.00,0.00,13.93,16,9.88,16.50,153,4.50,-10.25,3.40,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.00,57.6,21.4
9598,0.00,0.00,14.47,8,0.22,888,0.00,0.00,13.94,16,9.88,15.50,153,4.50,-10.21,3.36,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.00,57.7,21.4
9693,0.00,0.00,14.47,8,0.22,881,0.00,0.00,13.94,16,9.88,15.50,153,4.50,-10.23,3.27,1.22,0.00,-1.70,0.00,0.66,0.00,0.00,14.00,57.7,21.4
9790,-0.78,0.00,14.59,8,0.22,873,0.00,0.00,13.94,16,9.88,14.50,153,4.50,-10.25,3.34,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.10,57.6,21.4
9886,0.00,0.00,14.59,8,0.23,876,0.00,0.00,13.94,16,9.88,14.50,153,4.50,-10.21,3.27,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.10,57.7,21.4
9982,0.00,0.00,14.70,8,0.23,858,0.00,0.00,13.93,16,9.88,16.50,153,4.50,-10.21,3.31,1.24,0.00,-1.70,0.00,0.66,0.00,0.00,14.20,57.6,21.4
10077,-0.78,0.00,14.81,8,0.23,850,0.00,0.00,13.93,16,9.88,16.50,153,4.50,-10.17,3.44,1.22,0.00,-1.70,0.00,0.64,0.00,0.00,14.30,57.6,21.4
