Time (msec),A/F Sensor #1 (AFR),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,14.81,0.29,820,0.00,0.00,14.59,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
64,14.81,0.30,827,0.00,0.00,14.59,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
128,14.81,0.30,819,0.00,0.00,14.59,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
191,14.81,0.30,824,0.00,0.00,14.59,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
255,14.70,0.29,825,0.00,0.00,14.60,16,5.66,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
319,14.70,0.29,828,0.00,0.00,14.61,16,5.80,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
383,14.59,0.29,820,0.00,0.00,14.61,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
447,14.70,0.29,831,0.00,0.00,14.62,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
511,14.59,0.29,814,0.00,0.00,14.62,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
575,14.70,0.30,820,0.00,0.00,14.63,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.70
638,14.70,0.30,822,0.00,0.00,14.63,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
702,14.70,0.30,821,0.00,0.00,14.64,16,5.66,-8.95,0.00,-1.08,0.64,0.00,0.00,14.70
767,14.81,0.30,823,0.00,0.00,14.64,16,5.80,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
829,14.70,0.30,819,0.00,0.00,14.65,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
894,14.81,0.30,817,0.00,0.00,14.66,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
958,14.81,0.29,816,0.00,0.00,14.66,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1022,14.81,0.29,822,0.00,0.00,14.66,16,5.80,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1085,14.81,0.29,814,0.00,0.00,14.67,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1149,14.81,0.29,818,0.00,0.00,14.67,16,5.80,-8.93,0.00,-1.08,0.64,0.00,0.00,14.80
1214,14.81,0.30,818,0.00,0.00,14.68,16,5.80,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1277,14.81,0.30,814,0.00,0.00,14.69,16,5.80,-8.91,0.00,-1.08,0.64,0.00,0.00,14.80
1341,14.81,0.29,814,0.00,0.00,14.69,16,5.80,-8.93,0.00,-1.08,0.64,0.00,0.00,14.80
1405,14.81,0.29,827,0.00,0.00,14.69,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1469,14.81,0.29,828,0.00,0.00,14.70,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
1532,14.81,0.29,830,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1596,14.81,0.30,819,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1661,14.81,0.30,828,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1724,14.81,0.30,816,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1789,14.81,0.29,824,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1852,14.81,0.30,821,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1915,14.81,0.29,827,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1980,14.93,0.30,829,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2044,14.81,0.29,824,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
2107,14.93,0.29,830,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2171,14.81,0.29,831,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
2235,14.81,0.29,833,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.90
2299,14.81,0.29,823,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2363,14.81,0.29,832,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,15.00
2426,14.70,0.30,818,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,15.00
2490,14.81,0.29,828,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2555,14.81,0.29,831,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.80
2618,14.70,0.29,834,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2682,14.81,0.29,837,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.80
2746,14.70,0.29,831,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2810,14.81,0.30,826,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.80
2874,14.81,0.30,822,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2937,14.93,0.30,817,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
3002,14.81,0.30,824,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.90
3066,14.81,0.29,827,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.90
3129,14.81,0.30,820,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.90
3193,14.81,0.29,828,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
3256,14.70,0.29,836,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.90
3321,14.70,0.29,836,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.90
3384,14.70,0.29,846,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
3449,14.47,0.29,840,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
3512,14.70,0.29,835,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
3576,14.47,0.30,828,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
3640,14.59,0.29,832,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
3704,14.36,0.29,824,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
3767,14.59,0.29,837,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.70
3831,14.47,0.29,837,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
3895,14.70,0.29,824,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.60
3959,14.70,0.29,829,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.60
4023,14.70,0.29,833,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.60
4088,14.81,0.29,832,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
4152,14.81,0.29,834,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
4215,14.81,0.29,836,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
4279,14.81,0.30,836,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
4343,14.81,0.30,824,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.80
4406,14.81,0.30,823,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.80
4471,14.81,0.29,812,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
4535,14.70,0.29,820,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.90
4598,14.70,0.30,810,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
4662,14.70,0.30,818,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
4726,14.70,0.30,823,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
4790,14.70,0.29,830,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,15.00
4853,14.70,0.29,839,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
4917,14.59,0.29,838,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
4981,14.70,0.29,836,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
5045,14.59,0.29,832,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.60
5109,14.70,0.29,840,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.60
5173,14.59,0.29,830,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
5237,14.70,0.29,833,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
5301,14.59,0.29,828,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
5365,14.59,0.29,834,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
5429,14.70,0.29,844,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
5493,14.59,0.29,837,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
5557,14.70,0.29,841,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
5620,14.59,0.29,838,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
5684,14.70,0.29,843,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
5748,14.47,0.29,836,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
5812,14.70,0.29,839,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
5876,14.59,0.29,830,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
5940,14.70,0.29,838,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
6003,14.59,0.29,832,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
6068,14.70,0.29,842,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.70
6131,14.70,0.29,840,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
6196,14.70,0.29,838,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
6259,14.81,0.29,831,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
6323,14.81,0.29,834,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
6387,14.93,0.29,834,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
6451,14.81,0.29,838,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
6515,14.81,0.29,835,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
6578,14.81,0.29,832,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
6643,14.81,0.29,830,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,15.00
6705,14.81,0.29,836,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,15.00
6770,14.81,0.29,822,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.90
6834,14.70,0.29,832,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.90
6898,14.70,0.29,839,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
6962,14.59,0.29,834,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
7026,14.70,0.29,842,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
7090,14.47,0.29,839,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
7153,14.59,0.29,840,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
7217,14.24,0.29,843,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
7281,14.47,0.29,842,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
7344,14.36,0.29,839,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.60
7409,14.59,0.29,847,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.60
7473,14.47,0.29,831,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
7536,14.70,0.29,833,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
7600,14.81,0.29,834,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
7664,14.70,0.29,842,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
7728,14.70,0.30,836,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
7791,14.70,0.29,824,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
7856,14.81,0.29,827,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
7920,14.70,0.29,829,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.80
7983,14.81,0.29,832,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
8047,14.70,0.29,830,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.80
8111,14.70,0.29,838,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
8176,14.47,0.29,835,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
8239,14.70,0.28,847,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
8303,14.47,0.29,836,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
8367,14.47,0.29,842,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
8431,14.70,0.29,837,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
8494,14.59,0.29,835,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
8558,14.70,0.29,835,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
8621,14.70,0.29,838,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
8685,14.70,0.29,833,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.60
8749,14.70,0.29,826,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
8813,14.81,0.29,832,0.00,0.00,14.70,16,5.66,-9.05,0.00,-1.08,0.64,0.00,0.00,14.70
8877,14.81,0.29,833,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
8941,14.81,0.29,833,0.00,0.00,14.70,16,5.66,-9.03,0.00,-1.08,0.64,0.00,0.00,14.80
9006,14.81,0.29,834,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
9069,14.70,0.29,831,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
9132,14.81,0.29,836,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
9197,14.59,0.29,838,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.90
9261,14.70,0.29,840,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
9324,14.70,0.29,849,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
9388,14.47,0.29,844,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
9453,14.59,0.29,845,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
9516,14.36,0.29,839,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
9580,14.59,0.29,841,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
9644,14.47,0.29,836,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.60
9707,14.59,0.29,847,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.60
9772,14.47,0.29,837,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
9835,14.70,0.29,843,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
9899,14.59,0.29,831,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
9963,14.59,0.29,839,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
10027,14.70,0.29,835,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
10090,14.70,0.29,836,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
10155,14.81,0.29,837,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.90
10218,14.70,0.29,834,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.90
10282,14.81,0.29,846,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.80
10346,14.81,0.28,843,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.70
10410,14.70,0.29,849,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
10473,14.70,0.29,839,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,15.00
10538,14.70,0.29,840,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,15.00
10601,14.70,0.29,826,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,15.00
10665,14.59,0.29,836,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
10729,14.59,0.29,838,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
10793,14.47,0.29,841,0.00,0.00,14.70,16,5.66,-9.07,0.00,-1.08,0.64,0.00,0.00,14.80
10856,14.59,0.29,845,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
10920,14.47,0.28,846,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
10984,14.70,0.28,846,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.70
11048,14.59,0.25,846,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.70
11112,14.70,0.29,844,0.00,0.00,14.70,16,5.66,-9.15,0.00,-1.08,0.64,0.00,0.00,14.70
11177,14.70,0.28,835,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.60
11240,14.70,0.29,839,0.00,0.00,14.70,16,5.66,-9.15,0.00,-1.08,0.64,0.00,0.00,14.60
11304,14.81,0.28,836,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.60
11368,14.81,0.29,837,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
11431,14.81,0.29,837,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
11495,14.70,0.29,829,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.80
11559,14.81,0.29,834,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.80
11623,14.70,0.29,837,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.80
11687,14.81,0.28,832,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.80
11751,14.59,0.29,838,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.80
11814,14.59,0.28,832,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.80
11879,14.70,0.29,837,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.80
11943,14.59,0.28,822,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.80
12006,14.70,0.28,836,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.80
12070,14.59,0.28,824,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.80
12134,14.59,0.28,836,0.00,0.00,14.70,16,5.51,-9.18,0.00,-1.08,0.64,0.00,0.00,14.80
12199,14.47,0.25,826,0.00,0.00,14.70,16,5.51,-9.18,0.00,-1.08,0.64,0.00,0.00,14.70
12262,14.59,0.28,832,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
12326,14.59,0.28,834,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
12389,14.47,0.29,832,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
12454,14.70,0.28,834,0.00,0.00,14.70,16,5.51,-9.18,0.00,-1.08,0.64,0.00,0.00,14.60
12517,14.47,0.28,835,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.60
12581,14.59,0.28,831,0.00,0.00,14.70,16,5.51,-9.18,0.00,-1.08,0.64,0.00,0.00,14.70
12645,14.59,0.28,825,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.60
12709,14.70,0.28,828,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.60
12773,14.59,0.28,821,0.00,0.00,14.70,16,5.51,-9.18,0.00,-1.08,0.64,0.00,0.00,14.70
12836,14.70,0.28,818,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
12900,14.81,0.29,825,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
12964,14.59,0.28,822,0.00,0.00,14.70,16,5.51,-9.15,0.00,-1.08,0.64,0.00,0.00,14.70
13028,14.59,0.31,828,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
13092,14.47,0.28,829,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.70
13155,14.59,0.28,826,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
13220,14.47,0.28,809,0.00,0.00,14.70,16,5.51,-9.17,0.00,-1.08,0.64,0.00,0.00,14.70
13284,14.47,0.29,818,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.70
13347,14.36,0.29,813,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.70
13411,14.59,0.28,820,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
13475,14.47,0.29,809,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.60
13539,14.59,0.29,816,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.60
13603,14.59,0.29,814,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.60
13667,14.59,0.28,815,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
13731,14.70,0.28,822,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
13795,14.70,0.28,818,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
13859,14.81,0.28,817,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.60
13922,14.70,0.29,808,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.60
13986,14.70,0.31,808,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.80
14050,14.70,0.28,814,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
14114,14.70,0.28,806,0.00,0.00,14.70,16,5.66,-9.09,0.00,-1.08,0.64,0.00,0.00,14.70
14177,14.81,0.28,818,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
14242,14.70,0.31,818,0.00,0.00,14.70,16,5.66,-9.11,0.00,-1.08,0.64,0.00,0.00,14.70
14305,14.70,0.28,816,0.00,0.00,14.70,16,5.51,-9.13,0.00,-1.08,0.64,0.00,0.00,14.70
