Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
16683,13.67,0.19,2139,0.00,0.00,16,37.66,36.50,6.53,13.90,-2.01,0.86,13.68,0.00
16886,13.78,0.19,2159,0.00,0.00,16,36.25,36.50,6.67,13.58,-2.01,0.86,13.68,0.00
17077,13.90,0.20,2178,0.00,0.00,16,39.77,38.50,6.82,14.28,-2.01,0.86,13.68,0.00
17290,14.13,0.20,2196,0.00,0.00,16,39.06,39.00,6.82,14.40,-2.32,0.88,13.68,0.00
17462,14.13,0.21,2225,0.00,0.00,16,40.82,40.00,6.96,15.55,-2.32,0.88,13.68,0.00
17644,13.78,0.21,2249,0.00,0.00,16,41.17,40.50,7.11,16.22,-2.32,0.88,13.60,0.00
17831,13.67,0.22,2262,0.00,0.00,16,41.88,41.50,7.11,16.51,-2.32,0.90,13.60,0.00
18019,13.78,0.23,2270,0.00,0.00,16,42.58,41.50,7.40,16.67,-2.63,0.90,13.68,0.00
18213,13.90,0.24,2309,0.00,0.00,16,42.93,42.50,7.55,18.33,-2.63,0.90,13.60,0.00
18403,14.13,0.24,2325,0.00,0.00,16,43.63,43.50,7.84,19.20,-2.63,0.92,13.68,0.00
18584,14.01,0.25,2354,0.00,0.00,16,44.34,44.00,7.98,19.74,-2.63,0.92,13.60,0.00
18772,14.01,0.25,2396,0.00,0.00,16,44.69,44.50,7.98,19.97,-2.94,0.92,13.68,0.00
18959,14.01,0.24,2431,0.00,0.00,16,44.69,44.50,7.98,19.81,-2.94,0.90,13.60,0.00
19164,13.90,0.24,2459,0.00,0.00,16,44.34,44.00,7.84,19.66,-2.94,0.90,13.68,0.00
19351,14.01,0.24,2486,0.00,0.00,16,44.34,44.50,7.69,19.97,-3.25,0.90,13.60,0.00
19541,13.44,0.23,2514,0.00,0.00,16,43.98,44.00,7.40,19.66,-3.25,0.90,13.60,0.00
19717,14.01,0.23,2527,0.00,0.00,16,43.98,43.50,7.40,19.26,-3.25,0.90,13.68,0.00
19920,13.67,0.22,2565,0.00,0.00,16,43.98,43.50,7.25,19.20,-3.56,0.88,13.68,0.00
20108,13.55,0.23,2569,0.00,0.00,16,43.98,43.50,7.11,19.26,-3.56,0.88,13.68,0.00
20295,13.44,0.22,2606,0.00,0.00,16,43.98,43.50,6.96,18.57,-3.56,0.88,13.68,0.00
20483,13.55,0.21,2612,0.00,0.00,16,43.63,43.50,6.82,18.57,-3.87,0.86,13.68,0.00
20670,13.44,0.20,2652,0.00,0.00,16,43.63,43.50,6.67,18.02,-3.87,0.86,13.68,0.00
20858,13.55,0.19,2669,0.00,0.00,16,35.20,42.50,6.53,16.82,-3.87,0.86,13.60,0.00
21058,13.78,0.19,2668,0.00,0.00,16,39.41,41.50,6.38,17.26,-3.87,0.84,13.68,0.00
21237,13.44,0.18,2680,0.00,0.00,16,31.68,36.50,6.24,16.82,-3.87,0.82,13.68,0.00
21424,13.32,0.15,2696,0.00,0.00,16,16.21,24.00,5.66,14.02,-3.87,0.78,13.60,0.00
21626,12.98,0.14,2642,0.00,0.00,16,10.23,12.00,5.08,12.96,-3.87,0.76,13.68,0.00
21813,13.21,0.14,2670,0.00,0.00,16,5.31,7.50,4.79,12.25,-3.87,0.74,13.60,0.00
22001,12.98,0.13,2644,0.00,0.00,16,-0.66,-6.00,4.35,10.43,-3.87,0.70,13.68,0.00
22194,12.86,0.12,2630,0.00,0.00,16,-3.83,-4.00,4.06,10.69,-3.87,0.70,13.60,0.00
22386,12.29,0.12,2579,0.00,0.00,16,-3.83,-4.00,3.92,10.43,-3.56,0.68,13.68,0.00
22567,11.94,0.12,2551,0.00,0.00,16,-7.34,-5.50,3.92,9.84,-3.56,0.66,13.60,0.00
22759,12.40,0.10,2509,0.00,0.00,16,-10.16,-10.50,3.63,8.47,-3.25,0.64,13.68,0.00
22951,14.47,0.11,2454,0.00,0.00,16,-10.16,-10.50,3.77,9.00,-3.25,0.64,13.60,0.00
23139,21.13,0.11,2415,0.00,0.00,16,-10.16,-10.50,3.77,8.82,-3.25,0.64,13.60,0.00
23326,22.16,0.11,2390,0.00,0.00,16,-5.59,-8.00,3.77,8.22,-2.94,0.64,13.68,0.00
23514,22.28,0.10,2350,0.00,0.00,16,0.39,2.50,3.77,7.98,-2.94,0.64,13.76,0.00
23701,22.39,0.10,2325,0.00,0.00,16,9.53,9.00,3.77,7.86,-2.63,0.64,13.68,0.00
23889,22.39,0.09,2272,0.00,0.00,16,15.51,15.50,3.63,7.14,-2.63,0.64,13.76,0.00
24090,22.28,0.09,2249,0.00,0.00,16,15.16,15.50,3.63,6.84,-2.32,0.66,13.68,0.00
24280,22.39,0.11,2214,0.00,0.00,16,15.16,15.00,3.92,7.78,-2.32,0.68,13.68,0.00
24469,22.28,0.11,2206,0.00,0.00,16,10.94,11.50,3.92,8.03,-2.32,0.70,13.60,0.00
24658,22.28,0.11,2166,0.00,0.00,16,15.51,15.50,3.77,8.36,-2.01,0.72,13.68,0.00
24846,16.54,0.12,2137,0.00,0.00,16,19.02,18.00,4.06,8.69,-2.01,0.74,13.68,0.00
25027,12.40,0.12,2119,0.00,0.00,16,21.48,21.50,4.21,9.00,-2.01,0.74,13.52,0.00
25226,12.06,0.13,2135,0.00,0.00,16,23.95,22.50,4.50,9.22,-2.01,0.78,13.68,0.00
25417,12.29,0.15,2130,0.00,0.00,16,29.22,27.50,5.08,10.69,-2.01,0.82,13.60,0.00
25601,12.86,0.16,2122,0.00,0.00,16,31.68,32.00,5.66,11.82,-2.01,0.82,13.68,0.00
25788,13.44,0.17,2135,0.00,0.00,16,32.38,32.50,5.95,12.26,-2.01,0.82,13.60,0.00
25976,13.78,0.17,2141,0.00,0.00,16,33.09,32.50,6.09,12.37,-2.01,0.82,13.68,0.00
26163,14.01,0.16,2148,0.00,0.00,16,31.33,33.00,6.09,11.50,-2.01,0.82,13.60,0.00
26366,13.90,0.17,2158,0.00,0.00,16,31.68,31.50,6.09,12.21,-2.01,0.82,13.68,0.00
26554,13.78,0.17,2150,0.00,0.00,16,30.27,31.50,6.09,12.04,-2.01,0.82,13.68,0.00
26741,13.67,0.17,2165,0.00,0.00,16,31.68,31.50,6.09,12.42,-2.32,0.82,13.68,0.00
26929,13.67,0.17,2189,0.00,0.00,16,30.98,30.00,6.09,12.26,-2.32,0.82,13.68,0.00
27115,13.67,0.17,2186,0.00,0.00,16,29.92,30.50,6.09,12.15,-2.32,0.82,13.68,0.00
27306,13.67,0.17,2194,0.00,0.00,16,29.22,29.50,6.09,12.30,-2.32,0.82,13.68,0.00
27494,13.55,0.17,2198,0.00,0.00,16,30.62,31.50,6.09,12.70,-2.32,0.82,13.68,0.00
27682,13.55,0.17,2224,0.00,0.00,16,30.62,29.00,6.09,12.47,-2.32,0.82,13.68,0.00
27885,13.44,0.17,2222,0.00,0.00,16,29.92,28.50,5.95,12.36,-2.32,0.82,13.68,0.00
28073,13.90,0.17,2223,0.00,0.00,16,31.68,29.50,5.95,12.96,-2.32,0.82,13.60,0.00
28264,13.55,0.17,2240,0.00,0.00,16,30.27,30.50,5.95,12.90,-2.32,0.82,13.68,0.00
28453,13.44,0.18,2243,0.00,0.00,16,31.68,32.00,5.95,13.20,-2.32,0.82,13.68,0.00
28640,13.21,0.18,2246,0.00,0.00,16,31.33,31.00,5.95,13.32,-2.32,0.82,13.60,0.00
28827,13.21,0.18,2258,0.00,0.00,16,30.62,30.50,5.95,13.39,-2.32,0.82,13.68,0.00
29019,13.44,0.17,2277,0.00,0.00,16,29.22,29.50,6.09,12.70,-2.32,0.82,13.60,0.00
29211,13.55,0.17,2281,0.00,0.00,16,29.22,26.50,5.95,12.58,-2.63,0.82,13.68,0.00
29401,13.90,0.16,2299,0.00,0.00,16,25.70,28.00,5.95,12.53,-2.63,0.80,13.60,0.00
29577,13.44,0.15,2286,0.00,0.00,16,20.43,19.00,5.66,11.88,-2.63,0.80,13.68,0.00
29769,13.44,0.14,2292,0.00,0.00,16,16.91,19.00,5.37,11.09,-2.63,0.78,13.68,0.00
29957,13.32,0.13,2267,0.00,0.00,16,13.75,15.50,5.08,10.08,-2.32,0.76,13.68,0.00
30159,13.09,0.13,2260,0.00,0.00,16,14.80,11.00,4.79,10.13,-2.63,0.76,13.68,0.00
30349,12.98,0.13,2262,0.00,0.00,16,13.40,13.00,4.79,9.79,-2.32,0.76,13.68,0.00
30538,12.86,0.13,2254,0.00,0.00,16,14.80,13.00,4.64,9.66,-2.32,0.76,13.68,0.00
30718,12.98,0.12,2232,0.00,0.00,16,13.05,13.50,4.64,9.35,-2.32,0.76,13.76,0.00
30906,12.86,0.12,2216,0.00,0.00,16,13.05,11.50,4.64,8.60,-2.32,0.76,13.68,0.00
31098,13.09,0.12,2208,0.00,0.00,16,15.51,15.00,4.50,9.13,-2.32,0.76,13.68,0.00
31285,13.32,0.12,2196,0.00,0.00,16,16.21,14.00,4.50,8.74,-2.32,0.76,13.60,0.00
31473,13.09,0.12,2186,0.00,0.00,16,15.51,16.00,4.50,8.87,-2.32,0.76,13.68,0.00
31660,13.21,0.12,2146,0.00,0.00,16,20.43,18.00,4.50,8.82,-2.01,0.76,13.60,0.00
31851,12.98,0.12,2136,0.00,0.00,16,19.73,17.00,4.64,8.82,-2.01,0.76,13.68,0.00
32055,13.09,0.13,2138,0.00,0.00,16,19.02,21.00,4.64,9.35,-2.01,0.76,13.68,0.00
32243,13.32,0.13,2129,0.00,0.00,16,23.24,23.00,4.79,9.35,-2.01,0.78,13.60,0.00
32434,13.32,0.14,2130,0.00,0.00,16,26.41,25.50,5.08,10.03,-2.01,0.80,13.68,0.00
32615,13.32,0.15,2128,0.00,0.00,16,29.57,27.00,5.37,10.43,-2.01,0.80,13.68,0.00
32802,13.32,0.15,2116,0.00,0.00,16,29.22,28.50,5.51,10.69,-2.01,0.80,13.68,0.00
32990,13.44,0.15,2120,0.00,0.00,16,29.22,27.50,5.66,10.43,-2.01,0.80,13.68,0.00
33190,13.78,0.16,2132,0.00,0.00,16,30.62,30.50,5.80,11.40,-2.01,0.82,13.68,0.00
33380,13.78,0.16,2138,0.00,0.00,16,29.57,32.00,5.95,11.35,-2.01,0.82,13.68,0.00
33568,14.01,0.17,2136,0.00,0.00,16,32.03,32.00,5.95,11.88,-2.01,0.82,13.68,0.00
33759,13.67,0.17,2146,0.00,0.00,16,31.68,32.00,5.95,11.88,-2.01,0.82,13.68,0.00
33947,13.67,0.17,2162,0.00,0.00,16,30.98,32.50,5.95,12.15,-2.01,0.82,13.68,0.00
34140,13.44,0.17,2142,0.00,0.00,16,30.27,31.50,5.95,11.99,-2.01,0.82,13.68,0.00
34328,13.44,0.17,2156,0.00,0.00,16,29.57,31.50,5.95,12.26,-2.01,0.82,13.68,0.00
34519,13.44,0.17,2166,0.00,0.00,16,32.38,30.50,5.95,12.30,-2.01,0.82,13.60,0.00
34701,13.67,0.19,2188,0.00,0.00,16,36.95,35.50,6.24,13.58,-2.32,0.86,13.68,0.00
34888,13.44,0.21,2206,0.00,0.00,16,40.47,40.00,6.82,15.11,-2.32,0.90,13.60,0.00
35087,13.67,0.25,2222,0.00,0.00,16,42.23,41.50,7.40,18.33,-2.32,0.92,13.68,0.00
35277,13.44,0.26,2241,0.00,0.00,16,42.93,42.50,7.98,19.35,-2.32,0.94,13.60,0.00
35467,13.67,0.27,2283,0.00,0.00,16,43.63,43.00,8.27,20.15,-2.63,0.94,13.68,0.00
35655,13.78,0.28,2307,0.00,0.00,16,44.34,44.00,8.42,20.23,-2.63,0.94,13.68,0.00
35846,14.01,0.28,2346,0.00,0.00,16,44.69,44.50,8.56,21.54,-2.63,0.94,13.60,0.00
36034,13.78,0.28,2395,0.00,0.00,16,45.39,45.00,8.85,22.07,-2.94,0.96,13.68,0.00
36224,14.01,0.28,2448,0.00,0.00,16,45.39,45.00,8.85,22.41,-3.25,0.96,13.60,0.00
36413,14.24,0.28,2496,0.00,0.00,16,45.04,45.00,8.85,23.44,-3.25,0.96,13.68,0.00
36595,14.13,0.28,2534,0.00,0.00,16,45.04,45.00,8.71,23.93,-3.25,0.96,13.60,0.00
39452,11.83,0.12,2812,0.00,0.00,16,-2.42,-3.50,4.06,11.50,-4.18,0.68,13.68,0.00
39636,11.83,0.11,2774,0.00,0.00,16,-10.16,-9.50,3.92,10.45,-4.18,0.64,13.68,0.00
39824,13.67,0.11,2759,0.00,0.00,16,-10.16,-10.50,3.77,10.23,-4.18,0.64,13.60,0.00
40027,17.80,0.11,2710,0.00,0.00,16,-10.16,-10.50,3.92,9.79,-4.18,0.64,13.68,0.00
40199,22.28,0.13,2676,0.00,0.00,16,-9.10,-10.00,4.21,11.45,-3.87,0.70,13.68,0.00
40402,22.28,0.15,2662,0.00,0.00,16,-1.02,-1.50,4.35,13.26,-3.87,0.76,13.68,0.00
40589,12.86,0.17,2669,0.00,0.00,16,18.67,11.50,4.93,14.66,-3.87,0.80,13.68,0.00
40777,12.98,0.17,2624,0.00,0.00,16,29.22,25.00,5.51,15.41,-3.87,0.82,13.68,0.00
40964,13.55,0.18,2648,0.00,0.00,16,29.57,24.00,5.80,15.48,-3.87,0.82,13.68,0.00
41156,14.01,0.17,2650,0.00,0.00,16,28.16,27.00,5.95,15.33,-3.87,0.82,13.68,0.00
41344,14.01,0.17,2651,0.00,0.00,16,28.87,30.00,5.95,15.70,-3.87,0.82,13.68,0.00
41536,14.13,0.18,2663,0.00,0.00,16,30.98,33.00,5.95,16.29,-3.87,0.82,13.68,0.00
41724,13.90,0.18,2679,0.00,0.00,16,32.73,33.00,5.95,16.29,-3.87,0.82,13.60,0.00
41918,13.78,0.19,2686,0.00,0.00,16,35.55,35.50,5.95,16.51,-3.87,0.82,13.68,0.00
42104,13.67,0.18,2678,0.00,0.00,16,32.73,32.50,6.09,16.22,-3.87,0.78,13.60,0.00
42294,13.32,0.11,2551,0.00,0.00,16,-9.80,-9.50,4.21,8.18,-3.25,0.64,13.68,0.00
42487,13.44,0.12,2190,0.00,0.00,16,15.16,3.50,3.77,8.11,-2.32,0.64,13.68,0.00
42666,14.93,0.12,1830,0.00,0.00,16,14.10,14.00,3.92,7.29,-1.70,0.64,13.68,0.00
42857,19.41,0.15,1516,0.00,0.00,16,14.10,14.00,4.06,7.66,-1.39,0.64,13.76,0.00
43055,22.28,0.13,1259,0.00,0.00,16,14.10,22.00,4.64,6.09,-1.39,0.64,13.60,0.00
43238,22.39,0.13,1192,0.00,0.00,16,14.10,22.00,5.08,5.78,-1.39,0.64,13.68,33.00
43426,22.62,0.12,1255,0.00,0.00,16,14.10,16.00,4.79,5.01,-1.39,0.64,13.68,32.00
43613,22.05,0.12,1246,0.00,0.00,16,14.10,16.50,4.79,5.01,-1.39,0.64,13.76,30.00
43801,17.00,0.14,1238,0.00,0.00,16,14.10,14.00,4.79,5.59,-1.39,0.72,13.76,28.00
43988,15.62,0.18,1310,0.00,0.00,16,17.27,16.50,5.66,7.86,-1.39,0.74,13.68,26.00
44189,13.55,0.15,1564,0.00,0.00,16,22.89,20.00,5.95,7.82,-1.39,0.74,13.76,25.00
44382,13.44,0.17,1794,0.00,0.00,16,32.03,28.50,5.66,9.88,-1.39,0.80,13.68,23.00
44570,15.39,0.19,1761,0.00,0.00,16,32.73,32.00,6.09,11.61,-1.39,0.82,13.68,22.00
44758,15.16,0.21,1758,0.00,0.00,16,32.73,33.00,6.53,11.77,-1.39,0.84,13.68,20.00
44946,14.93,0.24,1780,0.00,0.00,16,33.09,33.00,7.25,13.26,-1.39,0.86,13.60,18.00
45138,14.81,0.25,1754,0.00,0.00,16,33.79,33.00,7.84,14.92,-1.39,0.88,13.68,16.00
