Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
16094,14.70,0.11,844,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
16266,14.59,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
16438,14.59,0.11,826,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
16618,14.70,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
16793,14.70,0.11,843,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
16965,14.70,0.11,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
17137,14.47,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
17309,14.59,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
17481,14.47,0.11,841,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
17653,14.59,0.12,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
17840,14.59,0.11,841,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
18012,14.70,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
18185,14.70,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
18356,14.70,0.11,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
18528,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
18700,14.47,0.11,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
18872,14.59,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.19,-1.30,0.64
19044,14.47,0.11,840,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
19216,14.70,0.11,835,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
19398,14.70,0.11,844,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
19572,14.70,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
19744,14.70,0.12,827,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
19917,14.59,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
20091,14.59,0.11,839,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
20262,14.47,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
20425,14.59,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
20597,14.59,0.11,842,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
20769,14.59,0.11,844,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
20941,14.47,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
21113,14.36,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
21284,14.36,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
21456,14.47,0.11,845,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
21639,14.59,0.11,841,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
21812,14.70,0.11,834,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
21984,14.59,0.11,824,0.00,0.00,16,14.10,15.00,4.64,3.17,-1.30,0.64
22159,14.59,0.11,843,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
22331,14.59,0.11,840,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
22503,14.59,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
22675,14.47,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
22847,14.59,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
23035,14.59,0.11,844,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
23206,14.70,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
23378,14.70,0.11,838,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
23550,14.59,0.11,844,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
23722,14.47,0.11,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
23894,14.47,0.11,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
24066,14.70,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
24238,14.70,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
24409,14.70,0.11,838,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
24581,14.47,0.11,848,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
24753,14.47,0.11,848,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
24925,14.47,0.11,830,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
25097,14.36,0.11,830,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
25269,14.47,0.11,841,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
25441,14.47,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
25612,14.59,0.12,826,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
25784,14.70,0.11,831,0.00,0.00,16,14.10,14.00,4.64,3.19,-1.30,0.64
25956,14.70,0.11,839,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
26144,14.59,0.11,842,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
26305,14.47,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
26476,14.59,0.11,845,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
26658,14.70,0.11,842,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
26829,14.70,0.11,832,0.00,0.00,16,14.10,14.50,4.50,3.17,-1.30,0.64
27001,14.59,0.11,830,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
27173,14.47,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
27345,14.59,0.12,826,0.00,0.00,16,14.10,15.00,4.64,3.17,-1.30,0.64
27517,14.59,0.11,830,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
27689,14.59,0.12,838,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
27861,14.59,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
28037,14.70,0.11,831,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
28203,14.59,0.11,841,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
28375,14.59,0.11,843,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
28562,14.47,0.11,834,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
28734,14.36,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
28906,14.47,0.12,828,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
29078,14.59,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
29250,14.70,0.11,826,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
29423,14.59,0.11,825,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
29598,14.59,0.11,828,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
29769,14.59,0.11,840,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
29941,14.59,0.11,831,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
30114,14.70,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
30286,14.70,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
30457,14.70,0.11,843,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
30629,14.47,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
30801,14.47,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
30973,14.47,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
31144,14.47,0.12,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
31316,14.59,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
31488,14.59,0.11,839,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
31666,14.70,0.11,827,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
31827,14.70,0.11,832,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
31999,14.70,0.11,836,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
32171,14.59,0.11,842,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
32358,14.70,0.12,824,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
32527,14.70,0.11,826,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
32703,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
32875,14.81,0.12,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
33048,14.59,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
33220,14.47,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
33393,14.36,0.11,846,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
33558,14.47,0.12,836,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
33729,14.59,0.12,834,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
33901,14.47,0.11,827,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
34073,14.59,0.11,835,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
34245,14.59,0.11,844,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
34417,14.47,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
34604,14.36,0.12,830,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
34770,14.36,0.11,828,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
34942,14.59,0.12,830,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
35114,14.59,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
35289,14.70,0.12,827,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
35463,14.70,0.11,824,0.00,0.00,16,14.10,14.50,4.64,3.13,-1.30,0.64
35638,14.70,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
35811,14.59,0.11,844,0.00,0.00,16,14.10,12.50,4.64,3.14,-1.30,0.64
35982,14.70,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
36156,14.70,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
36329,14.81,0.11,838,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
36500,14.70,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
36665,14.59,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
36837,14.59,0.11,837,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
37009,14.47,0.12,822,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
37188,14.59,0.11,835,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
37360,14.59,0.11,837,0.00,0.00,16,14.10,14.50,4.64,3.13,-1.30,0.64
37532,14.59,0.12,828,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
37704,14.70,0.11,826,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
37876,14.70,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
38047,14.59,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
38219,14.47,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
38391,14.59,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
38563,14.59,0.12,834,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
38741,14.70,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
38913,14.70,0.11,835,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
39085,14.70,0.11,835,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
39257,14.59,0.11,832,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
39434,14.59,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
39606,14.59,0.11,835,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
39778,14.59,0.11,828,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
39951,14.70,0.11,830,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
40124,14.59,0.11,842,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
40299,14.47,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
40457,14.47,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
40629,14.47,0.11,829,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
40801,14.47,0.11,838,0.00,0.00,16,14.10,12.50,4.64,3.13,-1.30,0.64
