Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
3242,0.78,1.56,15.04,8,0.61,2122,0.00,0.00,14.31,16,41.88,41.50,75,10.16,-4.51,21.19,2.14,-0.15,12.16,1.04,14.80
3318,0.78,1.56,14.93,8,0.62,2141,0.00,0.00,14.66,16,42.23,41.50,75,10.30,-4.47,22.06,2.16,-0.15,12.16,1.04,14.80
3393,1.56,1.56,14.93,8,0.63,2159,0.00,0.00,14.66,16,42.23,42.00,75,10.30,-4.39,22.07,2.16,0.46,12.16,1.04,14.80
3468,2.34,1.56,15.04,8,0.63,2164,0.00,0.00,14.66,16,42.58,42.00,75,10.30,-4.35,22.41,2.16,0.15,12.55,1.04,14.80
3544,1.56,1.56,15.04,8,0.63,2202,0.00,0.00,14.66,16,42.58,42.50,75,10.30,-4.33,23.05,2.20,0.15,12.55,1.06,14.80
3619,1.56,1.56,14.93,8,0.64,2210,0.00,0.00,14.66,16,42.93,42.50,75,10.45,-4.23,23.34,2.20,0.15,12.94,1.06,14.80
3695,2.34,1.56,14.81,8,0.65,2246,0.00,0.00,14.70,16,43.28,42.50,75,10.45,-4.18,23.93,2.22,0.15,12.94,1.06,14.80
3770,2.34,1.56,14.81,8,0.65,2246,0.00,0.00,14.32,16,43.63,43.00,75,10.59,-4.14,23.93,2.22,0.46,12.94,1.06,14.80
3846,2.34,1.56,14.81,8,0.66,2276,0.00,0.00,14.69,16,43.63,43.50,75,10.59,-4.10,25.10,2.22,0.46,12.94,1.06,14.80
3920,2.34,1.56,14.81,8,0.67,2286,0.00,0.00,14.69,16,43.63,43.50,75,10.59,-4.04,25.10,2.24,0.46,12.94,1.06,14.80
3996,2.34,1.56,14.70,8,0.67,2310,0.00,0.00,14.70,16,43.98,43.50,75,10.74,-3.96,25.30,2.24,0.46,12.94,1.06,14.80
4071,2.34,1.56,14.70,8,0.68,2348,0.00,0.00,14.70,16,44.34,43.50,75,10.74,-3.94,25.59,2.26,0.46,12.94,1.08,14.80
4147,2.34,1.56,14.59,8,0.66,2350,0.00,0.00,14.71,16,44.34,44.00,75,10.74,-3.87,26.09,2.26,0.46,13.33,1.08,14.80
4222,2.34,1.56,14.70,8,0.66,2368,0.00,0.00,14.35,16,44.69,44.00,75,10.88,-3.83,26.10,2.26,0.46,13.33,1.08,14.80
4298,2.34,1.56,14.70,8,0.67,2404,0.00,0.00,14.71,16,44.69,45.00,75,10.88,-3.79,26.83,2.28,0.77,13.33,1.08,14.80
4373,3.91,1.56,14.81,8,0.69,2408,0.00,0.00,14.96,16,44.69,44.50,75,10.88,-3.79,27.47,2.30,0.77,13.33,1.08,14.80
4449,3.91,1.56,14.93,8,0.68,2434,0.00,0.00,14.74,16,44.69,44.50,75,11.03,-3.75,27.47,2.28,0.77,13.73,1.08,14.80
4524,3.91,1.56,15.04,8,0.70,2457,0.00,0.00,14.99,16,44.34,44.50,75,11.03,-3.73,28.20,2.30,0.46,13.73,1.10,14.80
4599,4.69,1.56,14.81,8,0.70,2488,0.00,0.00,14.74,16,44.34,44.00,75,11.03,-3.71,28.63,2.32,0.46,13.73,1.10,14.80
4674,3.91,1.56,14.93,8,0.71,2514,0.00,0.00,14.74,16,43.98,44.00,75,11.03,-3.73,29.05,2.34,0.46,14.12,1.10,14.80
4750,4.69,1.56,14.93,8,0.70,2516,0.00,0.00,14.74,16,44.34,43.50,75,11.03,-3.73,29.38,2.34,0.46,14.12,1.10,14.80
4825,3.91,1.56,14.81,8,0.71,2533,0.00,0.00,14.74,16,43.98,44.00,75,11.03,-3.67,29.82,2.34,1.08,14.12,1.10,14.80
4901,3.91,1.56,14.70,8,0.70,2552,0.00,0.00,14.74,16,43.98,43.50,75,11.03,-3.67,29.71,2.34,0.77,14.12,1.10,14.80
4975,4.69,1.56,14.59,8,0.69,2592,0.00,0.00,14.74,16,43.98,43.50,75,11.03,-3.64,29.71,2.34,0.77,14.12,1.12,14.80
5051,4.69,1.56,14.70,8,0.70,2603,0.00,0.00,14.74,16,43.98,43.50,75,11.03,-3.60,29.71,2.36,0.77,14.12,1.12,14.80
5127,5.47,1.56,14.81,8,0.69,2633,0.00,0.00,14.74,16,43.98,43.50,75,11.03,-3.62,30.60,2.36,0.77,14.51,1.12,14.80
5202,4.69,1.56,14.81,8,0.71,2644,0.00,0.00,14.77,16,43.28,43.50,75,11.03,-3.58,31.50,2.38,0.77,14.12,1.12,14.80
5277,4.69,1.56,14.70,8,0.71,2669,0.00,0.00,14.80,16,43.28,43.50,75,11.17,-3.54,31.39,2.38,0.77,14.51,1.12,14.80
5352,4.69,1.56,14.81,8,0.71,2691,0.00,0.00,14.81,16,43.28,43.00,75,11.17,-3.54,32.06,2.40,0.46,14.51,1.12,14.80
5429,4.69,1.56,14.70,8,0.70,2704,0.00,0.00,14.80,16,43.28,43.50,75,11.17,-3.56,31.62,2.38,0.46,14.51,1.12,14.80
5503,4.69,1.56,14.70,8,0.71,2730,0.00,0.00,14.81,16,43.28,43.00,75,11.17,-3.54,32.51,2.40,0.46,14.51,1.12,14.80
5579,5.47,1.56,14.70,8,0.71,2748,0.00,0.00,14.49,16,42.93,43.00,75,11.17,-3.54,32.18,2.42,1.08,14.51,1.12,14.80
5654,5.47,1.56,14.70,8,0.70,2788,0.00,0.00,14.81,16,43.28,43.00,75,11.17,-3.56,33.22,2.42,1.08,14.51,1.12,14.80
5729,4.69,1.56,14.70,8,0.73,2804,0.00,0.00,15.05,16,42.58,42.50,75,11.17,-3.56,33.96,2.44,1.08,14.51,1.12,14.80
5804,5.47,1.56,14.59,8,0.72,2825,0.00,0.00,14.99,16,42.58,42.50,75,11.17,-3.56,33.72,2.44,1.08,14.51,1.12,14.80
5880,3.91,1.56,14.70,8,0.70,2849,0.00,0.00,14.81,16,42.93,42.50,75,11.17,-3.60,33.47,2.42,1.08,14.90,1.12,14.80
5956,4.69,1.56,14.47,8,0.70,2873,0.00,0.00,14.54,16,43.28,42.50,75,11.17,-3.60,34.45,2.44,1.08,14.90,1.12,14.80
6030,4.69,1.56,14.59,8,0.70,2908,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.65,34.08,2.44,1.08,14.90,1.12,14.80
6106,4.69,1.56,14.70,8,0.72,2922,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.65,34.08,2.46,1.08,14.90,1.12,14.80
6181,4.69,1.56,14.59,8,0.70,2947,0.00,0.00,14.84,16,43.28,42.50,75,11.03,-3.65,34.95,2.44,1.08,14.90,1.12,14.80
6257,3.91,1.56,14.47,8,0.70,2975,0.00,0.00,14.84,16,43.28,42.50,75,11.03,-3.65,34.70,2.46,1.08,14.90,1.12,14.80
6332,4.69,1.56,14.59,8,0.69,3000,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.69,34.59,2.44,1.08,14.90,1.12,14.80
6408,4.69,1.56,14.59,8,0.69,3002,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.65,34.83,2.46,1.08,14.90,1.12,14.80
6482,4.69,1.56,14.59,8,0.70,3017,0.00,0.00,15.08,16,43.28,43.00,75,11.03,-3.67,34.58,2.44,1.08,14.90,1.12,14.80
6558,4.69,1.56,14.59,8,0.69,3058,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.65,35.20,2.48,1.08,14.90,1.14,14.80
6633,4.69,1.56,14.59,8,0.68,3078,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.67,35.44,2.46,1.08,14.90,1.14,14.80
6708,4.69,1.56,14.70,8,0.69,3109,0.00,0.00,14.84,16,43.28,43.00,75,11.03,-3.65,35.57,2.46,1.08,14.90,1.14,14.80
6784,4.69,1.56,14.81,8,0.67,3112,0.00,0.00,14.43,16,43.63,43.00,75,11.03,-3.60,35.31,2.46,1.08,14.90,1.14,14.80
6860,4.69,1.56,14.59,8,0.68,3150,0.00,0.00,14.87,16,43.28,43.00,75,11.03,-3.62,35.94,2.48,1.08,15.29,1.14,14.80
6935,3.91,1.56,14.59,8,0.67,3147,0.00,0.00,14.87,16,43.28,43.00,75,11.03,-3.60,35.57,2.46,1.08,15.29,1.14,14.80
7011,3.91,1.56,14.47,8,0.66,3191,0.00,0.00,15.14,16,43.63,43.00,75,11.03,-3.62,35.44,2.44,1.70,13.33,1.14,14.80
7087,0.00,0.78,14.59,8,0.51,3201,0.00,0.00,17.02,16,42.58,43.50,75,11.03,-6.50,35.31,1.66,1.70,0.00,0.72,14.80
7162,0.00,0.78,13.32,10,0.30,3259,0.00,0.00,15.83,16,32.03,44.00,75,8.27,-8.82,16.27,1.84,-4.18,0.00,0.64,14.80
7237,0.00,0.78,12.63,10,0.22,3160,0.00,0.00,14.87,16,22.54,34.50,75,5.95,-4.85,9.26,1.66,-4.18,0.00,0.64,14.80
7313,0.00,-0.78,13.32,10,0.21,3103,0.00,0.00,13.88,16,16.56,19.00,75,4.64,-10.35,10.17,1.74,-4.18,0.00,0.64,14.80
7388,0.00,-0.78,14.36,10,0.25,2978,0.00,0.00,14.73,16,11.99,13.00,75,4.21,-10.58,11.29,1.80,-4.18,0.00,0.64,14.80
7464,0.00,-0.78,17.34,10,0.26,2866,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.62,12.10,1.82,-4.18,0.00,0.64,14.80
7540,0.00,-0.78,22.05,10,0.27,2750,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.64,12.30,1.82,-3.87,0.00,0.64,14.80
7615,0.00,-0.78,23.54,10,0.28,2637,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.67,11.71,1.80,-3.87,0.00,0.64,14.80
7691,0.00,-0.78,23.43,10,0.27,2417,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.67,11.51,1.76,-3.25,0.00,0.64,14.80
7765,0.00,-0.78,23.77,10,0.26,2296,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.64,10.45,1.72,-3.25,0.00,0.64,14.80
7840,0.00,-0.78,23.77,10,0.25,2196,0.00,0.00,14.70,16,11.99,11.50,75,4.06,-10.73,9.40,1.66,-2.32,0.39,0.66,14.80
7916,0.00,-0.78,23.54,10,0.28,2070,0.00,0.00,13.86,16,12.70,11.50,75,3.92,-10.67,8.61,1.66,-1.70,1.57,0.70,14.80
7992,0.00,-0.78,24.00,10,0.29,1974,0.00,0.00,13.03,16,14.45,13.00,75,4.21,-10.48,9.66,1.74,-1.70,4.71,0.76,14.80
8067,0.00,-0.78,23.77,10,0.33,1944,0.00,0.00,14.69,16,21.84,14.00,75,4.21,-9.94,9.52,1.80,-1.70,6.27,0.84,14.80
8143,0.00,0.78,23.43,10,0.36,2198,0.00,0.00,12.77,16,35.20,21.50,75,4.93,-9.11,11.45,1.88,-1.70,8.24,0.90,14.80
8217,0.00,0.78,23.43,10,0.50,2217,0.00,0.00,13.37,16,41.88,28.50,75,5.66,-7.95,16.67,2.04,-2.32,10.20,0.96,14.80
8293,-3.12,0.78,16.42,10,0.57,2192,0.00,0.00,14.64,16,42.23,42.50,75,7.69,-6.50,20.32,2.12,-2.32,10.98,1.00,14.80
8369,-7.81,0.78,12.40,8,0.60,2152,0.00,0.00,14.64,16,42.23,42.00,75,8.71,-5.78,21.45,2.14,-0.77,10.98,1.02,14.80
8445,-7.81,1.56,12.29,8,0.59,2146,0.00,0.00,14.64,16,42.23,41.50,75,9.29,-5.26,21.36,2.12,-0.77,10.98,1.02,14.80
8520,-3.91,1.56,12.75,8,0.59,2152,0.00,0.00,14.65,16,42.23,42.00,75,9.43,-5.05,21.27,2.12,-0.77,10.98,1.02,14.80
8595,-1.56,1.56,14.70,8,0.58,2168,0.00,0.00,14.65,16,42.23,42.00,75,9.72,-4.99,21.10,2.12,-0.77,11.37,1.02,14.80
8671,-0.78,1.56,15.04,8,0.58,2164,0.00,0.00,14.27,16,42.23,42.00,75,9.72,-4.85,21.10,2.12,-0.77,11.37,1.02,14.80
8745,0.00,1.56,15.39,8,0.60,2167,0.00,0.00,14.65,16,42.58,42.00,75,9.87,-4.76,21.19,2.12,-0.15,11.37,1.02,14.80
8821,2.34,1.56,15.62,8,0.62,2174,0.00,0.00,14.65,16,42.23,42.50,75,10.01,-4.62,21.97,2.16,-0.15,12.16,1.04,14.80
8896,2.34,1.56,15.62,8,0.63,2181,0.00,0.00,14.65,16,42.58,42.50,75,10.16,-4.51,22.49,2.16,-0.15,12.16,1.04,14.80
8972,0.78,1.56,15.50,8,0.63,2180,0.00,0.00,14.66,16,42.58,42.50,75,10.30,-4.33,23.25,2.20,0.15,12.16,1.04,14.80
9047,0.78,1.56,15.04,8,0.65,2197,0.00,0.00,14.93,16,42.93,42.50,75,10.30,-4.33,23.25,2.20,0.15,12.16,1.04,14.80
9123,0.78,1.56,14.81,8,0.63,2208,0.00,0.00,14.66,16,42.58,42.50,75,10.45,-4.25,23.93,2.18,0.15,12.16,1.04,14.80
9198,0.78,1.56,14.81,8,0.62,2211,0.00,0.00,14.17,16,42.93,42.50,75,10.45,-4.23,22.96,2.20,0.15,12.16,1.04,14.80
9274,1.56,1.56,14.81,8,0.63,2219,0.00,0.00,14.17,16,43.28,42.50,75,10.45,-4.22,23.54,2.20,0.15,12.16,1.04,14.80
9349,2.34,1.56,14.93,8,0.65,2242,0.00,0.00,14.66,16,43.28,43.00,75,10.59,-4.22,24.13,2.20,0.15,12.16,1.04,14.80
9425,2.34,1.56,15.04,8,0.65,2218,0.00,0.00,14.67,16,42.93,42.50,75,10.45,-4.20,23.83,2.20,0.15,12.55,1.04,14.80
9499,1.56,1.56,14.93,8,0.65,2246,0.00,0.00,14.90,16,43.28,43.00,75,10.59,-4.22,23.93,2.20,0.15,12.16,1.04,14.80
9575,2.34,1.56,14.70,8,0.65,2252,0.00,0.00,14.67,16,43.28,43.00,75,10.45,-4.18,24.13,2.20,0.15,12.55,1.06,14.80
9651,2.34,1.56,14.81,8,0.63,2262,0.00,0.00,14.68,16,43.63,43.00,75,10.59,-4.20,24.22,2.20,0.15,12.55,1.06,14.80
9726,2.34,1.56,14.93,8,0.66,2264,0.00,0.00,14.70,16,43.63,43.50,75,10.45,-4.18,24.91,2.24,0.15,12.55,1.06,14.80
9801,2.34,1.56,14.81,8,0.64,2275,0.00,0.00,14.71,16,43.98,43.50,75,10.59,-4.20,24.91,2.22,0.15,12.55,1.06,14.80
9877,1.56,1.56,14.70,8,0.66,2283,0.00,0.00,14.71,16,43.63,43.50,75,10.59,-4.14,24.13,2.22,0.15,12.55,1.06,14.80
9951,2.34,1.56,14.47,8,0.64,2279,0.00,0.00,14.71,16,43.98,43.50,75,10.59,-4.16,24.71,2.22,0.15,12.55,1.06,14.80
10027,1.56,1.56,14.70,8,0.66,2308,0.00,0.00,14.71,16,43.63,43.50,75,10.59,-4.12,24.61,2.22,-0.15,12.55,1.06,14.80
10103,2.34,1.56,14.59,8,0.64,2268,0.00,0.00,14.71,16,43.98,43.50,75,10.59,-4.14,24.91,2.24,-0.15,12.55,1.06,14.80
10179,2.34,1.56,14.59,8,0.66,2289,0.00,0.00,14.71,16,43.98,44.00,75,10.59,-4.12,25.01,2.24,-0.15,12.55,1.06,14.80
10254,2.34,1.56,14.70,8,0.66,2344,0.00,0.00,14.36,16,43.98,43.50,75,10.59,-4.12,25.50,2.24,-0.15,12.55,1.06,14.80
10330,1.56,1.56,14.70,8,0.66,2310,0.00,0.00,14.71,16,43.98,43.50,75,10.59,-4.10,25.68,2.26,-0.15,12.55,1.06,14.80
10405,1.56,1.56,14.47,8,0.65,2350,0.00,0.00,14.71,16,44.34,44.00,75,10.59,-4.06,25.58,2.26,-0.15,12.55,1.06,14.80
10479,1.56,1.56,14.59,8,0.67,2334,0.00,0.00,15.30,16,44.34,44.00,75,10.59,-4.06,25.68,2.26,-0.15,12.55,1.06,14.80
10555,1.56,1.56,14.47,8,0.66,2349,0.00,0.00,14.27,16,44.69,44.00,75,10.59,-4.04,26.31,2.26,-0.15,12.55,1.06,14.80
10631,2.34,1.56,14.70,8,0.67,2407,0.00,0.00,15.00,16,44.69,44.50,75,10.59,-4.00,25.99,2.26,-0.15,12.55,1.06,14.80
10707,2.34,1.56,14.81,8,0.66,2394,0.00,0.00,14.74,16,44.69,44.00,75,10.74,-4.02,26.20,2.26,-0.15,12.55,1.06,14.80
10782,2.34,1.56,14.70,8,0.67,2354,0.00,0.00,14.99,16,44.69,44.00,75,10.74,-4.02,26.52,2.26,-0.15,12.94,1.06,14.80
10856,2.34,1.56,14.70,8,0.67,2406,0.00,0.00,14.74,16,45.04,45.00,75,10.74,-4.02,26.20,2.26,-0.15,12.55,1.06,14.80
10933,2.34,1.56,14.70,8,0.68,2376,0.00,0.00,14.75,16,44.69,44.50,75,10.59,-4.00,26.63,2.26,0.15,12.55,1.06,14.80
11007,2.34,1.56,14.70,8,0.67,2401,0.00,0.00,14.75,16,44.69,45.00,75,10.74,-4.02,26.83,2.28,0.15,12.94,1.06,14.80
11083,3.12,1.56,14.70,8,0.67,2399,0.00,0.00,15.01,16,44.69,44.50,75,10.74,-4.02,26.73,2.28,0.15,12.55,1.06,14.80
11159,2.34,1.56,14.70,8,0.67,2420,0.00,0.00,14.43,16,44.69,45.00,75,10.74,-4.04,27.26,2.28,0.15,12.94,1.06,14.80
11234,3.12,1.56,14.70,8,0.67,2424,0.00,0.00,14.78,16,44.69,44.50,75,10.59,-4.02,27.47,2.28,0.15,12.55,1.06,14.80
11309,3.12,1.56,14.81,8,0.67,2442,0.00,0.00,14.81,16,44.69,44.50,75,10.59,-4.04,27.04,2.26,0.15,12.94,1.06,14.80
11384,2.34,1.56,14.81,8,0.65,2436,0.00,0.00,14.82,16,44.69,44.50,75,10.59,-4.06,26.82,2.26,0.15,12.94,1.06,14.80
11460,3.12,1.56,14.47,8,0.66,2470,0.00,0.00,14.81,16,44.69,44.50,75,10.59,-4.08,26.83,2.28,0.15,12.55,1.06,14.80
11536,3.91,1.56,14.70,8,0.67,2438,0.00,0.00,15.08,16,44.69,44.50,75,10.59,-4.10,27.25,2.30,0.15,12.94,1.06,14.80
11611,4.69,1.56,15.04,8,0.65,2473,0.00,0.00,13.95,16,44.69,44.50,75,10.59,-4.10,27.99,2.28,0.15,12.94,1.06,14.80
11686,3.91,1.56,14.93,8,0.67,2467,0.00,0.00,14.81,16,44.69,44.50,75,10.59,-4.10,26.83,2.28,0.15,12.94,1.06,14.80
11761,3.91,1.56,14.81,8,0.67,2478,0.00,0.00,14.81,16,44.69,44.50,75,10.59,-4.14,27.47,2.30,-0.15,12.94,1.06,14.80
11837,3.91,1.56,14.47,8,0.67,2493,0.00,0.00,14.82,16,44.69,44.50,75,10.59,-4.12,27.89,2.30,-0.15,12.94,1.06,14.80
11912,4.69,1.56,14.70,8,0.65,2515,0.00,0.00,14.82,16,44.69,44.50,75,10.59,-4.20,28.31,2.30,-0.15,12.55,1.06,14.80
11987,3.91,1.56,14.81,8,0.66,2486,0.00,0.00,14.84,16,44.34,44.50,75,10.59,-4.12,27.04,2.28,-0.15,12.94,1.06,14.80
12062,4.69,1.56,14.81,8,0.67,2519,0.00,0.00,15.15,16,44.34,44.00,75,10.45,-4.16,27.89,2.30,-0.15,12.94,1.06,14.80
12138,4.69,1.56,14.81,8,0.66,2545,0.00,0.00,14.84,16,44.34,44.00,75,10.59,-4.20,28.10,2.28,-0.15,12.94,1.06,14.80
12213,4.69,1.56,14.81,8,0.66,2515,0.00,0.00,14.84,16,44.69,44.00,75,10.45,-4.18,28.31,2.30,-0.15,12.94,1.06,14.80
