Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
7922,3.91,3.12,15.04,8,0.85,2401,0.00,0.00,14.42,16,38.36,37.50,1.44,13.78,33.81,2.44,0.00,15.10
7987,3.12,3.12,14.81,8,0.85,2451,0.00,0.00,14.66,16,37.30,37.50,1.46,13.93,34.56,2.46,0.00,14.90
8047,3.12,3.12,14.81,8,0.88,2451,0.00,0.00,14.66,16,37.30,37.00,1.46,14.07,35.41,2.48,0.00,14.90
8115,3.12,3.12,14.81,8,0.88,2486,0.00,0.00,14.32,16,36.95,36.50,1.48,14.07,36.39,2.48,0.00,14.80
8179,0.00,3.12,14.59,8,0.90,2496,0.00,0.00,14.64,16,36.60,35.50,1.50,14.22,37.37,2.50,0.00,14.60
8242,0.00,3.12,14.70,10,0.93,2529,0.00,0.00,16.72,16,36.25,36.00,1.50,14.22,37.99,2.52,0.00,14.60
8307,0.00,3.12,14.70,10,0.90,2563,0.00,0.00,14.64,16,36.60,35.50,1.52,14.36,38.49,2.52,0.00,14.70
8371,0.00,3.12,14.81,10,0.91,2606,0.00,0.00,14.36,16,35.90,35.50,1.52,14.36,38.89,2.54,0.00,15.00
8427,0.00,3.12,14.93,10,0.92,2620,0.00,0.00,14.63,16,35.90,34.50,1.52,14.36,40.39,2.56,0.00,15.00
8494,0.00,3.12,15.16,10,0.91,2642,0.00,0.00,14.62,16,35.90,35.50,1.54,14.51,39.99,2.56,0.00,15.30
8547,0.00,3.12,15.04,10,0.93,2682,0.00,0.00,14.61,16,35.55,35.50,1.54,14.51,41.09,2.58,0.00,15.30
8614,0.00,3.12,15.04,10,0.92,2688,0.00,0.00,14.61,16,35.55,35.00,1.54,14.65,41.64,2.58,0.00,15.10
8689,0.00,3.12,15.16,10,0.93,2745,0.00,0.00,14.60,16,35.55,35.00,1.54,14.65,42.61,2.60,27.84,15.20
8746,0.00,3.12,15.27,10,0.94,2774,0.00,0.00,14.33,16,35.20,34.00,1.54,14.65,43.59,2.62,27.84,15.20
8812,0.00,3.12,15.27,10,0.93,2791,0.00,0.00,14.45,16,35.55,34.00,1.54,14.80,43.85,2.62,28.24,15.20
8881,0.00,3.12,15.16,10,0.94,2835,0.00,0.00,14.59,16,35.55,34.50,1.54,14.80,44.54,2.64,28.24,15.00
8946,0.00,3.12,15.16,10,0.94,2902,0.00,0.00,14.58,16,35.20,34.00,1.54,14.80,45.71,2.66,28.24,15.00
8997,0.00,3.12,15.16,10,0.95,2932,0.00,0.00,14.58,16,35.20,34.50,1.54,14.80,46.47,2.68,28.24,15.10
9074,0.00,3.12,15.04,10,0.94,2969,0.00,0.00,14.43,16,35.55,34.50,1.54,14.95,47.23,2.68,28.24,14.80
9137,0.00,3.12,14.81,10,0.96,2992,0.00,0.00,14.56,16,35.20,34.00,1.54,14.95,48.30,2.70,28.24,14.80
9187,0.00,3.12,14.70,10,0.94,3017,0.00,0.00,13.14,16,35.20,34.00,1.52,14.95,48.60,2.70,28.24,14.60
9266,0.00,3.12,14.81,10,0.96,3057,0.00,0.00,14.55,16,35.55,35.00,1.52,15.09,48.75,2.70,28.24,14.60
9329,0.00,3.12,14.70,10,0.96,3071,0.00,0.00,14.55,16,35.55,34.50,1.52,15.09,49.51,2.70,28.24,14.70
9393,0.00,3.12,14.70,10,0.96,3107,0.00,0.00,14.69,16,36.25,35.00,1.52,15.09,49.36,2.72,28.24,14.70
9457,0.00,3.12,14.81,10,0.95,3150,0.00,0.00,14.54,16,36.25,35.50,1.50,15.09,49.65,2.72,27.84,14.70
9508,0.00,3.12,14.81,10,0.96,3175,0.00,0.00,14.54,16,36.60,36.00,1.48,15.09,49.96,2.72,27.84,14.70
9585,0.00,3.12,14.70,10,0.91,3216,0.00,0.00,13.12,16,37.30,36.50,1.48,15.09,50.12,2.72,27.84,14.70
9640,0.00,3.12,14.81,10,0.92,3226,0.00,0.00,14.53,16,37.30,36.50,1.46,14.95,50.12,2.72,27.84,14.70
9706,0.00,3.12,14.81,10,0.92,3275,0.00,0.00,14.54,16,37.66,37.00,1.44,14.95,50.12,2.72,27.84,14.60
9773,0.00,3.12,14.81,10,0.93,3321,0.00,0.00,16.59,16,38.36,37.00,1.44,14.95,49.51,2.72,27.84,14.80
9826,0.00,3.12,14.81,10,0.90,3314,0.00,0.00,14.68,16,38.71,38.00,1.40,14.80,49.51,2.72,27.84,14.80
9893,0.00,3.12,14.81,10,0.88,3368,0.00,0.00,13.08,16,38.71,38.00,1.38,14.51,48.74,2.70,27.45,14.80
9969,0.00,3.12,14.81,10,0.85,3418,0.00,0.00,14.56,16,39.77,38.00,1.36,14.36,51.15,2.72,27.45,14.80
10031,0.00,3.12,14.81,10,0.83,3410,0.00,0.00,14.58,16,40.12,39.00,1.32,14.07,47.38,2.70,27.06,14.80
10096,0.00,3.12,14.81,10,0.81,3437,0.00,0.00,14.59,16,40.82,39.50,1.30,13.78,46.77,2.68,27.06,15.00
10147,0.00,3.12,14.81,10,0.79,3486,0.00,0.00,16.69,16,41.52,40.00,1.26,13.49,47.96,2.66,23.14,15.00
10217,0.00,3.12,15.04,10,0.77,3504,0.00,0.00,14.64,16,41.88,41.00,1.24,13.20,45.40,2.66,23.14,15.00
10288,0.00,3.12,15.16,10,0.76,3529,0.00,0.00,14.65,16,41.88,41.50,1.24,12.91,44.68,2.64,19.22,15.20
10348,0.00,3.12,15.27,10,0.75,3546,0.00,0.00,14.66,16,42.58,41.50,1.24,12.77,44.27,2.64,19.22,15.20
10414,0.00,3.12,15.39,10,0.74,3568,0.00,0.00,14.67,16,42.58,42.00,1.24,12.62,43.85,2.62,18.04,15.30
10465,0.00,4.69,15.39,10,0.73,3594,0.00,0.00,14.69,16,42.58,42.00,1.22,12.33,43.72,2.62,18.04,15.40
10544,0.00,4.69,15.39,10,0.71,3594,0.00,0.00,14.71,16,43.28,42.00,1.20,12.04,43.72,2.60,18.04,15.40
10596,0.78,4.69,15.27,8,0.69,3614,0.00,0.00,14.71,16,43.28,42.50,1.18,11.75,42.47,2.60,18.04,15.20
10670,1.56,4.69,15.27,8,0.68,3626,0.00,0.00,16.80,16,43.28,42.50,1.18,11.46,41.64,2.58,15.69,15.20
10735,0.00,4.69,15.16,8,0.66,3642,0.00,0.00,14.69,16,43.63,42.50,1.16,11.32,41.24,2.58,15.69,15.20
10798,0.00,4.69,15.27,10,0.66,3674,0.00,0.00,14.69,16,43.63,43.00,1.16,11.17,40.95,2.56,14.12,15.10
10863,0.00,4.69,15.16,10,0.65,3680,0.00,0.00,14.69,16,43.63,43.00,1.16,11.03,40.54,2.56,14.12,15.10
10924,0.00,4.69,15.39,10,0.64,3698,0.00,0.00,14.69,16,43.63,43.00,1.16,10.88,40.26,2.56,14.12,15.30
10991,0.00,4.69,15.50,10,0.64,3726,0.00,0.00,14.69,16,43.63,43.00,1.16,10.88,40.40,2.56,14.12,15.40
11045,0.00,4.69,15.50,10,0.63,3744,0.00,0.00,14.69,16,43.63,43.00,1.16,10.74,39.72,2.54,12.94,15.40
11119,0.00,4.69,15.39,10,0.63,3748,0.00,0.00,14.68,16,43.63,43.00,1.16,10.74,40.13,2.54,12.94,15.50
11182,0.00,4.69,15.62,10,0.60,3801,0.00,0.00,14.68,16,43.63,43.00,1.16,10.59,39.85,2.54,12.94,15.60
11247,0.00,4.69,15.50,10,0.62,3815,0.00,0.00,14.67,16,43.63,43.00,1.14,10.45,39.84,2.54,12.94,15.60
11311,0.00,4.69,15.62,10,0.61,3822,0.00,0.00,14.68,16,43.98,43.00,1.14,10.45,39.72,2.54,12.94,15.50
11374,0.00,4.69,15.50,10,0.60,3820,0.00,0.00,14.68,16,43.98,43.50,1.12,10.16,38.75,2.54,12.94,15.40
11438,0.00,4.69,15.50,10,0.58,3836,0.00,0.00,14.68,16,43.98,43.50,1.12,9.87,37.86,2.50,11.76,15.40
11502,0.00,4.69,15.39,10,0.58,3838,0.00,0.00,14.69,16,43.98,43.50,1.12,9.72,36.76,2.50,11.76,15.40
11567,0.00,4.69,15.50,10,0.56,3892,0.00,0.00,14.30,16,44.34,43.50,1.10,9.58,36.63,2.50,10.20,15.50
11631,0.00,4.69,15.50,10,0.56,3898,0.00,0.00,14.69,16,44.34,43.50,1.10,9.43,35.89,2.48,10.20,15.50
11694,0.00,4.69,15.27,10,0.54,3888,0.00,0.00,14.69,16,44.34,43.50,1.08,9.14,35.40,2.46,9.02,15.40
11747,0.00,4.69,15.16,10,0.53,3894,0.00,0.00,14.69,16,44.34,43.50,1.08,9.00,34.92,2.46,9.02,15.40
11823,0.00,4.69,15.16,10,0.52,3939,0.00,0.00,14.69,16,44.34,43.50,1.08,8.85,34.31,2.44,9.02,15.20
11886,0.00,4.69,15.16,10,0.53,3918,0.00,0.00,14.69,16,44.34,43.50,1.08,8.85,34.43,2.44,9.02,15.30
11934,0.00,3.91,15.27,10,0.53,3933,0.00,0.00,14.69,16,44.34,43.50,1.08,8.71,34.55,2.46,7.84,15.30
12003,0.00,3.91,15.16,10,0.51,3966,0.00,0.00,14.69,16,44.34,43.50,1.06,8.56,33.69,2.44,7.84,15.30
12069,0.00,3.91,15.04,10,0.52,3966,0.00,0.00,14.69,16,44.34,43.50,1.06,8.56,33.81,2.44,7.84,15.00
12142,0.00,3.91,15.04,10,0.50,3956,0.00,0.00,14.69,16,44.34,43.50,1.06,8.42,33.33,2.44,7.84,15.00
