Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
15653,11.94,0.15,2371,0.00,0.00,16,13.40,11.50,4.50,11.51,-2.94,0.76,13.84,0.00
15847,12.17,0.15,2347,0.00,0.00,16,14.10,14.00,4.79,11.56,-2.63,0.78,13.84,0.00
16046,13.09,0.16,2352,0.00,0.00,16,21.48,18.50,5.08,12.19,-2.63,0.80,13.84,0.00
16231,13.21,0.17,2319,0.00,0.00,16,27.81,26.00,5.37,13.26,-2.63,0.82,13.84,0.00
16419,13.67,0.19,2327,0.00,0.00,16,36.60,32.00,5.80,14.73,-2.63,0.84,13.76,0.00
16607,13.67,0.20,2329,0.00,0.00,16,40.47,40.50,6.24,15.33,-2.63,0.84,13.84,0.00
16795,14.13,0.19,2339,0.00,0.00,16,40.12,39.50,6.38,15.19,-2.63,0.86,13.84,0.00
16994,14.24,0.21,2350,0.00,0.00,16,42.23,42.00,6.67,16.14,-2.63,0.86,13.76,0.00
17179,14.24,0.22,2354,0.00,0.00,16,43.28,42.50,6.82,17.33,-2.63,0.88,13.84,0.00
17366,13.90,0.23,2373,0.00,0.00,16,43.28,43.50,6.96,18.02,-2.63,0.88,13.76,0.00
17585,13.67,0.23,2381,0.00,0.00,16,43.63,43.50,7.11,18.10,-2.94,0.88,13.76,0.00
17773,13.78,0.24,2409,0.00,0.00,16,43.98,43.50,7.11,18.80,-2.94,0.88,13.76,0.00
17960,13.78,0.23,2413,0.00,0.00,16,43.98,43.50,7.11,18.41,-2.94,0.88,13.84,0.00
18148,13.90,0.23,2428,0.00,0.00,16,43.98,43.50,6.96,17.86,-2.94,0.86,13.76,0.00
18351,14.24,0.22,2439,0.00,0.00,16,43.63,43.00,6.82,17.42,-2.94,0.86,13.84,0.00
18538,13.90,0.20,2448,0.00,0.00,16,40.12,40.00,6.38,16.00,-3.25,0.82,13.76,0.00
18726,13.90,0.17,2444,0.00,0.00,16,25.35,25.00,5.66,13.90,-2.94,0.78,13.84,0.00
18927,13.09,0.16,2427,0.00,0.00,16,16.56,16.50,5.22,12.64,-3.25,0.76,13.84,0.00
19123,12.86,0.15,2405,0.00,0.00,16,10.23,10.50,4.93,11.66,-2.94,0.76,13.84,0.00
19307,12.63,0.13,2358,0.00,0.00,16,3.20,5.50,4.64,9.26,-2.94,0.68,13.84,0.00
19494,12.40,0.12,2363,0.00,0.00,16,0.04,-5.00,3.92,9.56,-2.63,0.68,13.84,0.00
19697,13.78,0.11,2312,0.00,0.00,16,-0.31,-1.00,3.77,8.56,-2.63,0.68,13.84,0.00
19883,17.00,0.11,2277,0.00,0.00,16,4.61,4.50,3.77,7.98,-2.32,0.66,13.84,0.00
20074,25.50,0.10,2216,0.00,0.00,16,15.16,15.00,3.77,7.57,-2.32,0.66,13.76,0.00
20277,25.04,0.10,2172,0.00,0.00,16,15.16,15.00,3.77,7.21,-2.32,0.66,13.84,0.00
20449,24.12,0.10,2133,0.00,0.00,16,14.80,14.50,3.77,7.06,-2.01,0.66,13.76,0.00
20637,23.89,0.10,2093,0.00,0.00,16,14.45,14.00,3.92,7.14,-2.01,0.66,13.84,0.00
20824,24.12,0.10,2067,0.00,0.00,16,14.10,14.00,3.92,6.95,-1.70,0.66,13.84,0.00
21015,23.77,0.10,2019,0.00,0.00,16,14.10,14.00,4.06,6.92,-1.70,0.66,13.84,0.00
21203,23.77,0.10,1964,0.00,0.00,16,14.10,14.00,4.06,6.73,-1.39,0.66,13.76,0.00
21409,24.00,0.11,1920,0.00,0.00,16,14.10,14.00,4.06,6.81,-1.39,0.66,13.84,0.00
21600,24.00,0.11,1889,0.00,0.00,16,14.10,14.00,4.06,6.62,-1.39,0.66,13.76,0.00
21792,24.35,0.11,1846,0.00,0.00,16,14.10,14.00,4.21,6.70,-1.39,0.66,13.84,0.00
21977,24.00,0.11,1802,0.00,0.00,16,14.10,14.00,4.06,6.11,-1.39,0.64,13.84,0.00
22164,24.00,0.10,1714,0.00,0.00,16,14.10,14.00,3.77,5.74,-1.39,0.64,13.84,0.00
22351,24.00,0.13,1473,0.00,0.00,16,14.10,22.00,3.92,6.11,-1.39,0.64,13.84,0.00
22546,24.00,0.15,1160,0.00,0.00,16,14.10,22.00,4.50,5.98,-1.08,0.64,13.84,34.00
22733,24.12,0.12,1206,0.00,0.00,16,14.10,20.00,4.64,4.66,-1.08,0.64,13.84,32.00
22929,23.77,0.12,1168,0.00,0.00,16,14.10,22.00,4.50,4.75,-1.08,0.64,13.84,30.00
23117,22.85,0.12,1131,0.00,0.00,16,14.10,22.00,4.64,4.69,-1.08,0.64,13.84,28.00
23307,16.65,0.13,1102,0.00,0.00,16,14.10,22.00,4.79,4.64,-1.08,0.64,13.84,27.00
23494,15.04,0.13,1116,0.00,0.00,16,14.10,21.50,4.79,4.69,-1.08,0.64,13.76,25.00
23682,14.47,0.12,1094,0.00,0.00,16,14.10,21.50,4.79,4.51,-1.08,0.64,13.84,23.00
23884,14.24,0.13,1078,0.00,0.00,16,14.10,21.00,4.79,4.64,-1.08,0.64,13.76,22.00
24073,14.36,0.12,1062,0.00,0.00,16,14.10,21.50,4.93,4.55,-1.08,0.64,13.68,20.00
24263,14.47,0.13,1062,0.00,0.00,16,14.10,20.50,4.93,4.57,-1.08,0.64,13.84,19.00
24456,14.47,0.13,1060,0.00,0.00,16,14.10,19.00,4.93,4.48,-1.08,0.64,13.76,17.00
24636,14.24,0.13,1054,0.00,0.00,16,14.10,18.50,4.93,4.48,-1.08,0.64,13.84,15.00
24836,14.13,0.13,1028,0.00,0.00,16,14.10,20.00,4.93,4.46,-1.08,0.64,13.68,13.00
25029,14.13,0.14,1020,0.00,0.00,16,14.10,20.00,4.93,4.64,-1.08,0.64,13.84,11.00
25216,14.24,0.14,1027,0.00,0.00,16,14.10,17.50,5.08,4.66,-1.08,0.64,13.76,10.00
25404,14.13,0.14,1030,0.00,0.00,16,14.10,16.50,5.08,4.69,-1.08,0.64,13.84,8.00
25591,14.24,0.14,1017,0.00,0.00,16,14.10,17.50,5.08,4.79,-1.08,0.64,13.84,6.00
25778,14.24,0.14,1026,0.00,0.00,16,14.10,16.00,5.22,4.88,-1.08,0.64,13.84,4.00
25987,14.13,0.14,1026,0.00,0.00,16,14.10,15.50,5.22,4.91,-1.08,0.64,13.84,3.00
26174,14.24,0.15,1032,0.00,0.00,16,14.10,15.50,5.22,4.95,-1.08,0.64,13.92,2.00
26365,14.36,0.14,1052,0.00,0.00,16,14.10,12.50,5.37,4.95,-1.08,0.64,13.84,0.00
26547,14.47,0.14,1047,0.00,0.00,16,14.10,13.00,5.22,4.85,-1.08,0.64,13.84,0.00
26734,14.47,0.18,1042,0.00,0.00,16,14.10,14.00,5.51,5.85,-1.08,0.72,13.76,0.00
26937,14.59,0.22,1146,0.00,0.00,16,17.27,16.00,6.38,7.86,-1.08,0.80,13.84,0.00
27126,13.78,0.26,1473,0.00,0.00,16,29.22,29.00,7.84,12.53,-1.39,0.84,13.68,0.00
27313,13.44,0.23,1754,0.00,0.00,16,33.44,33.00,7.55,13.39,-1.39,0.84,13.84,0.00
27501,15.85,0.24,1713,0.00,0.00,16,31.68,32.00,7.40,13.65,-1.39,0.84,13.76,0.00
27704,15.85,0.27,1521,0.00,0.00,16,29.92,29.50,7.84,13.90,-1.39,0.86,13.84,0.00
27891,14.24,0.32,1386,0.00,0.00,16,29.92,30.00,8.42,14.73,-1.39,0.88,13.76,0.00
28079,12.98,0.38,1300,0.00,0.00,16,25.70,27.50,9.87,16.66,-1.39,0.92,13.84,34.00
28266,13.32,0.38,1320,0.00,0.00,16,26.41,26.00,10.88,16.82,-1.39,0.94,13.68,33.00
28454,14.70,0.39,1364,0.00,0.00,16,27.81,27.00,11.32,16.82,-1.39,0.94,13.84,35.00
28657,15.16,0.36,1518,0.00,0.00,16,32.38,31.50,11.32,17.95,-1.39,0.96,13.84,34.00
28841,15.73,0.36,1590,0.00,0.00,16,35.20,34.00,11.17,19.04,-1.08,0.98,13.84,32.00
29035,15.27,0.35,1735,0.00,0.00,16,36.95,36.50,10.74,20.15,-1.08,0.98,13.84,30.00
29222,15.04,0.34,1884,0.00,0.00,16,38.36,38.00,10.30,20.92,-0.77,0.98,13.84,28.00
29414,14.93,0.33,1993,0.00,0.00,16,39.77,39.50,10.30,21.71,-0.77,1.00,13.84,27.00
29598,14.81,0.33,2125,0.00,0.00,16,41.17,41.00,10.16,23.44,-0.15,1.02,13.84,25.00
29786,14.81,0.36,2262,0.00,0.00,16,41.52,41.50,10.45,27.04,0.15,1.06,13.76,23.00
29985,14.59,0.38,2408,0.00,0.00,16,40.47,40.50,10.88,31.05,0.46,1.10,13.76,21.00
30178,14.59,0.39,2584,0.00,0.00,16,39.77,39.50,11.03,33.22,0.46,1.10,13.68,20.00
30365,14.47,0.39,2726,0.00,0.00,16,39.77,39.50,11.03,35.19,0.15,1.10,13.76,18.00
30553,14.24,0.38,2912,0.00,0.00,16,40.12,40.00,10.88,36.43,-0.15,1.08,13.76,17.00
30740,14.01,0.37,3016,0.00,0.00,16,41.17,40.50,10.74,37.17,-0.15,1.08,13.68,15.00
30938,14.01,0.34,3172,0.00,0.00,16,42.58,42.00,10.45,36.80,-0.77,1.08,13.76,13.00
31127,13.90,0.33,3312,0.00,0.00,16,42.93,42.50,10.01,36.68,-0.77,1.06,13.76,11.00
31317,13.78,0.31,3459,0.00,0.00,16,43.63,43.00,9.29,34.33,-4.18,0.88,13.76,10.00
31508,11.60,0.13,3352,0.00,0.00,16,-3.83,-1.50,4.35,12.37,-4.18,0.64,13.76,8.00
31697,12.06,0.16,2946,0.00,0.00,16,-6.64,-7.00,3.92,15.19,-4.18,0.64,13.84,6.00
31888,15.96,0.16,2532,0.00,0.00,16,-10.16,-10.50,3.92,13.77,-3.56,0.64,13.76,4.00
32078,23.20,0.15,2150,0.00,0.00,16,14.80,15.50,3.92,10.89,-2.63,0.64,13.84,3.00
32275,23.54,0.15,1840,0.00,0.00,16,14.10,14.00,4.06,9.48,-1.39,0.64,13.84,1.00
32462,23.77,0.18,1468,0.00,0.00,16,14.10,22.00,4.21,9.09,-1.39,0.64,13.84,0.00
32650,23.89,0.16,1174,0.00,0.00,16,14.10,22.00,4.79,6.70,-1.08,0.68,13.84,35.00
32842,23.66,0.25,1264,0.00,0.00,16,20.08,16.50,6.24,10.04,-1.39,0.84,13.84,33.00
33033,23.20,0.26,1682,0.00,0.00,16,34.49,31.50,7.98,14.92,-1.39,0.88,13.84,31.00
33223,14.24,0.23,2216,0.00,0.00,16,41.52,41.00,7.55,16.74,-2.01,0.90,13.76,29.00
33413,15.27,0.28,2284,0.00,0.00,16,43.63,43.50,7.98,20.84,-2.32,0.96,13.76,28.00
33592,14.13,0.30,2150,0.00,0.00,16,41.52,41.50,8.71,21.88,-1.70,0.98,13.84,26.00
33780,13.78,0.37,2205,0.00,0.00,16,39.06,40.00,10.01,27.57,1.70,1.10,13.68,24.00
33983,13.44,0.42,2267,0.00,0.00,16,35.90,36.50,11.32,32.06,2.63,1.18,13.76,22.00
34175,14.13,0.46,2326,0.00,0.00,16,33.44,33.50,12.48,35.82,4.18,1.26,13.76,21.00
34362,14.36,0.50,2422,0.00,0.00,16,30.27,31.00,13.20,40.31,6.96,1.32,13.76,19.00
34546,14.24,0.52,2518,0.00,0.00,16,28.16,28.00,13.93,43.23,8.20,1.36,13.76,18.00
34734,14.36,0.55,2606,0.00,0.00,16,26.05,26.00,14.51,46.67,8.20,1.38,13.68,16.00
34921,14.13,0.57,2671,0.00,0.00,16,25.35,24.50,14.95,50.67,8.20,1.38,13.52,14.00
35124,13.44,0.57,2781,0.00,0.00,16,25.35,24.50,15.24,53.31,6.96,1.32,13.52,12.00
35312,13.32,0.56,2919,0.00,0.00,16,26.76,25.50,15.24,54.48,5.72,1.24,13.60,11.00
35499,13.09,0.50,2989,0.00,0.00,16,32.38,32.00,14.07,49.44,1.70,1.14,13.60,9.00
35687,13.67,0.47,3082,0.00,0.00,16,34.49,34.00,13.49,48.37,1.70,1.14,13.76,7.00
35887,12.98,0.37,3167,0.00,0.00,16,41.17,36.50,12.04,31.95,-4.18,0.92,13.84,5.00
36078,11.83,0.19,3212,0.00,0.00,16,34.84,44.00,8.27,16.23,-4.18,0.82,13.84,4.00
36267,11.94,0.15,3130,0.00,0.00,16,11.64,10.50,5.51,15.55,-4.18,0.72,13.84,2.00
36460,11.48,0.14,3154,0.00,0.00,16,3.91,13.00,4.35,13.45,-4.18,0.66,13.84,1.00
36647,11.71,0.13,3131,0.00,0.00,16,-6.99,-6.00,3.92,13.13,-4.18,0.64,13.76,0.00
36842,14.81,0.12,3095,0.00,0.00,16,-10.16,-10.50,3.77,12.42,-4.18,0.64,13.84,0.00
37031,17.34,0.12,3065,0.00,0.00,16,-10.16,-10.50,3.77,12.15,-4.18,0.64,13.76,0.00
37224,24.00,0.12,3010,0.00,0.00,16,-10.16,-10.50,3.92,12.26,-4.18,0.66,13.84,0.00
37412,24.12,0.12,2984,0.00,0.00,16,-10.16,-10.50,4.06,11.98,-4.18,0.68,13.76,0.00
37599,23.89,0.12,2941,0.00,0.00,16,-10.16,-10.50,4.06,11.82,-4.18,0.68,13.84,0.00
37787,23.77,0.13,2876,0.00,0.00,16,-9.10,-9.50,4.21,12.04,-4.18,0.70,13.76,0.00
37984,22.28,0.13,2844,0.00,0.00,16,-4.88,-5.50,4.06,12.75,-4.18,0.70,13.84,0.00
38173,12.40,0.14,2809,0.00,0.00,16,0.04,-3.50,4.06,12.90,-4.18,0.70,13.84,0.00
38367,12.06,0.13,2756,0.00,0.00,16,-4.88,0.00,4.21,10.54,-4.18,0.64,13.84,0.00
38555,12.52,0.11,2718,0.00,0.00,16,-10.16,-10.50,3.63,10.28,-4.18,0.64,13.84,0.00
38743,15.73,0.11,2684,0.00,0.00,16,-10.16,-10.50,3.77,9.26,-3.87,0.64,13.84,0.00
38940,24.35,0.11,2626,0.00,0.00,16,-10.16,-10.50,3.77,9.83,-3.87,0.64,13.84,0.00
39131,24.12,0.11,2581,0.00,0.00,16,-10.16,-10.50,3.77,9.21,-3.56,0.64,13.84,0.00
39314,23.89,0.11,2563,0.00,0.00,16,-10.16,-10.50,3.63,9.09,-3.56,0.64,13.84,0.00
39501,23.89,0.11,2506,0.00,0.00,16,-10.16,-10.50,3.63,9.09,-3.25,0.64,13.84,0.00
39704,24.23,0.11,2444,0.00,0.00,16,-10.16,-10.50,3.63,8.95,-2.94,0.64,13.84,0.00
39892,23.77,0.11,2374,0.00,0.00,16,-1.37,-3.50,3.63,8.60,-2.94,0.64,13.84,0.00
40080,23.89,0.10,2291,0.00,0.00,16,15.51,15.50,3.63,7.62,-2.63,0.64,13.76,0.00
40270,24.12,0.09,2218,0.00,0.00,16,15.16,15.00,3.48,6.11,-2.32,0.64,13.84,0.00
40458,23.54,0.09,2151,0.00,0.00,16,14.80,14.50,3.48,6.29,-2.01,0.64,13.76,0.00
40661,24.35,0.09,2063,0.00,0.00,16,14.45,14.00,3.48,6.33,-1.70,0.64,13.84,0.00
40846,23.66,0.09,1978,0.00,0.00,16,14.10,14.00,3.63,6.15,-1.39,0.64,13.76,0.00
41037,24.12,0.10,1920,0.00,0.00,16,14.10,14.00,3.77,6.15,-1.39,0.64,13.76,0.00
41232,23.89,0.10,1851,0.00,0.00,16,14.10,14.00,3.77,6.00,-1.39,0.64,13.84,0.00
41421,24.23,0.10,1796,0.00,0.00,16,14.10,14.00,3.63,6.07,-1.39,0.64,13.76,0.00
41601,24.23,0.10,1720,0.00,0.00,16,14.10,14.00,3.63,6.07,-1.39,0.64,13.84,0.00
41803,23.66,0.11,1670,0.00,0.00,16,14.10,14.00,3.63,5.98,-1.39,0.64,13.76,0.00
41993,23.66,0.11,1619,0.00,0.00,16,14.10,22.00,3.63,6.07,-1.39,0.64,13.84,0.00
42192,24.00,0.11,1588,0.00,0.00,16,14.10,22.00,3.77,6.04,-1.39,0.64,13.84,0.00
42381,23.66,0.12,1542,0.00,0.00,16,14.10,22.00,3.92,6.11,-1.39,0.64,13.84,0.00
42568,23.66,0.14,1502,0.00,0.00,16,14.10,22.00,3.92,6.81,-1.39,0.68,13.84,0.00
42756,23.66,0.14,1519,0.00,0.00,16,16.91,15.00,4.64,6.95,-1.39,0.70,13.84,0.00
42951,23.77,0.15,1420,0.00,0.00,16,19.73,18.00,4.93,7.06,-1.39,0.72,13.84,0.00
43143,21.59,0.20,1410,0.00,0.00,16,24.65,23.00,5.51,9.53,-1.39,0.78,13.84,0.00
43333,14.81,0.22,1444,0.00,0.00,16,27.46,27.00,6.53,10.45,-1.39,0.80,13.76,0.00
43522,13.90,0.25,1402,0.00,0.00,16,28.52,28.50,7.40,11.66,-1.39,0.82,13.84,0.00
43712,14.24,0.27,1423,0.00,0.00,16,29.57,29.50,7.98,12.85,-1.39,0.84,13.76,0.00
43905,14.47,0.28,1454,0.00,0.00,16,29.92,29.50,8.42,13.58,-1.39,0.84,13.84,0.00
44101,14.70,0.28,1486,0.00,0.00,16,29.92,29.50,8.71,14.02,-1.39,0.86,13.76,0.00
44277,14.81,0.29,1514,0.00,0.00,16,30.62,30.50,9.00,14.73,-1.39,0.88,13.84,0.00
44464,14.93,0.30,1555,0.00,0.00,16,31.33,31.00,9.14,15.55,-1.39,0.90,13.76,0.00
44667,14.81,0.31,1591,0.00,0.00,16,32.73,32.00,9.29,16.36,-1.39,0.90,13.84,0.00
44856,14.70,0.31,1638,0.00,0.00,16,33.09,33.00,9.58,16.89,-1.39,0.92,13.76,0.00
45046,14.70,0.33,1676,0.00,0.00,16,35.20,34.00,9.72,18.33,-1.39,0.94,13.76,0.00
45237,14.59,0.34,1733,0.00,0.00,16,36.25,35.50,9.87,18.88,-1.39,0.96,13.84,0.00
45427,14.59,0.34,1768,0.00,0.00,16,36.95,36.50,10.01,19.82,-1.39,0.96,13.84,0.00
45609,14.59,0.35,1808,0.00,0.00,16,38.01,37.50,10.16,21.27,-0.77,0.98,13.84,0.00
45812,14.36,0.35,1852,0.00,0.00,16,38.36,38.00,10.45,21.45,-0.77,1.00,13.84,0.00
46001,14.70,0.37,1928,0.00,0.00,16,38.01,37.50,10.88,23.25,0.15,1.02,13.84,0.00
46187,14.70,0.38,1980,0.00,0.00,16,37.30,37.50,11.17,24.91,0.77,1.06,13.76,0.00
46375,14.59,0.40,2028,0.00,0.00,16,36.60,36.00,11.75,26.94,1.39,1.10,13.76,0.00
46567,14.59,0.41,2092,0.00,0.00,16,35.90,35.50,12.04,28.85,2.01,1.12,13.84,0.00
46754,14.59,0.42,2161,0.00,0.00,16,35.55,35.50,12.33,30.38,2.32,1.14,13.76,0.00
46942,14.47,0.43,2246,0.00,0.00,16,34.84,35.50,12.33,32.18,2.63,1.14,13.76,0.00
47145,14.59,0.43,2318,0.00,0.00,16,35.55,34.50,12.62,33.83,2.63,1.16,13.68,0.00
47332,14.47,0.45,2412,0.00,0.00,16,34.14,33.50,12.77,36.55,2.94,1.16,13.84,0.00
47520,14.47,0.47,2490,0.00,0.00,16,33.44,33.00,12.91,37.79,2.63,1.16,13.76,0.00
47710,14.47,0.46,2558,0.00,0.00,16,33.44,33.00,13.06,38.93,2.63,1.16,13.76,0.00
47909,14.47,0.46,2608,0.00,0.00,16,34.14,33.00,12.91,40.17,2.01,1.14,13.84,0.00
