Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
2575768,13.97,190,0.25,2610,0.00,0.00,16,44.34,44.00,20.74,-3.56,0.88
2575955,14.06,190,0.26,2596,0.00,0.00,16,44.69,44.50,21.97,-3.56,0.90
2576127,13.90,190,0.27,2614,0.00,0.00,16,45.04,44.50,22.94,-3.56,0.90
2576314,13.95,190,0.27,2600,0.00,0.00,16,44.69,44.50,24.32,-3.56,0.92
2576501,14.11,190,0.30,2624,0.00,0.00,16,44.34,44.50,26.41,-3.56,0.94
2576673,13.40,190,0.30,2627,0.00,0.00,16,43.98,43.50,26.51,-3.56,0.96
2576861,13.71,190,0.31,2617,0.00,0.00,16,43.98,43.50,26.84,-3.87,0.96
2577048,13.80,190,0.32,2637,0.00,0.00,16,43.63,43.50,27.79,-3.56,0.96
2577220,13.88,190,0.33,2641,0.00,0.00,16,43.28,43.50,28.22,-3.87,0.96
2577409,13.57,190,0.30,2638,0.00,0.00,16,43.98,43.50,26.63,-3.87,0.94
2577581,13.94,190,0.29,2653,0.00,0.00,16,44.34,44.50,25.60,-3.87,0.92
2577768,13.94,190,0.27,2656,0.00,0.00,16,45.04,44.50,24.51,-3.87,0.90
2577956,14.09,190,0.27,2641,0.00,0.00,16,45.04,44.50,24.51,-3.87,0.90
2578127,13.47,190,0.27,2661,0.00,0.00,16,45.04,44.50,23.93,-3.87,0.90
2578315,13.42,190,0.26,2664,0.00,0.00,16,44.69,44.50,23.43,-3.87,0.90
2578518,13.59,190,0.26,2650,0.00,0.00,16,44.69,44.50,23.33,-3.87,0.90
2578705,13.54,190,0.25,2652,0.00,0.00,16,44.34,44.50,22.67,-3.87,0.90
2578877,13.71,190,0.26,2672,0.00,0.00,16,44.69,44.50,23.05,-3.87,0.90
2579065,13.51,190,0.26,2676,0.00,0.00,16,44.69,44.50,23.05,-3.87,0.90
2579237,13.75,190,0.24,2658,0.00,0.00,16,44.34,44.50,22.24,-3.87,0.90
2579424,14.42,190,0.26,2658,0.00,0.00,16,44.69,44.50,23.33,-3.87,0.88
2579612,13.54,190,0.26,2678,0.00,0.00,16,44.69,44.00,22.59,-3.87,0.88
2582463,13.77,190,0.26,2700,0.00,0.00,16,44.34,44.50,23.33,-4.18,0.90
2582636,13.71,190,0.26,2708,0.00,0.00,16,44.34,44.50,23.72,-4.18,0.90
2582823,13.73,190,0.27,2706,0.00,0.00,16,44.69,44.50,23.44,-4.18,0.90
2583011,13.87,190,0.27,2705,0.00,0.00,16,44.69,44.50,23.72,-3.87,0.90
2583198,13.77,190,0.28,2713,0.00,0.00,16,44.34,44.50,25.01,-4.18,0.92
2583370,13.34,190,0.28,2730,0.00,0.00,16,44.34,44.00,24.81,-4.18,0.92
2583551,13.62,190,0.27,2734,0.00,0.00,16,44.69,44.00,24.91,-4.18,0.90
2583738,14.02,190,0.27,2735,0.00,0.00,16,44.69,44.50,24.51,-4.18,0.90
2583925,13.61,190,0.27,2735,0.00,0.00,16,44.34,44.00,23.34,-4.18,0.90
2584097,13.92,190,0.26,2742,0.00,0.00,16,44.69,44.50,24.32,-4.18,0.90
2584285,14.09,190,0.27,2738,0.00,0.00,16,44.69,44.00,24.51,-4.18,0.90
2584472,13.63,190,0.26,2744,0.00,0.00,16,44.34,44.00,22.97,-4.18,0.90
2584647,13.62,190,0.27,2744,0.00,0.00,16,44.34,44.50,24.12,-4.18,0.90
2584834,13.58,190,0.26,2746,0.00,0.00,16,44.34,44.50,24.02,-4.18,0.90
2585006,14.11,190,0.26,2733,0.00,0.00,16,44.34,44.50,24.32,-4.18,0.90
2585195,13.75,190,0.26,2735,0.00,0.00,16,44.34,44.50,24.22,-4.18,0.90
2585382,13.92,190,0.27,2733,0.00,0.00,16,44.69,44.50,24.51,-4.18,0.90
2585554,13.69,190,0.26,2737,0.00,0.00,16,44.34,44.00,24.12,-4.18,0.90
2585741,13.86,190,0.25,2743,0.00,0.00,16,44.34,44.00,22.88,-4.18,0.90
2585929,13.57,190,0.26,2741,0.00,0.00,16,44.34,44.50,23.83,-4.18,0.90
2586101,13.69,190,0.25,2763,0.00,0.00,16,44.34,44.00,22.95,-4.18,0.88
2586288,13.75,190,0.22,2762,0.00,0.00,16,44.34,44.00,21.44,-4.18,0.86
2586476,14.15,190,0.21,2764,0.00,0.00,16,44.34,44.00,19.66,-4.18,0.84
2586648,13.71,190,0.21,2764,0.00,0.00,16,44.34,44.00,19.03,-4.18,0.84
2586835,13.72,190,0.21,2763,0.00,0.00,16,43.98,43.50,18.95,-4.18,0.82
2587023,13.69,190,0.20,2768,0.00,0.00,16,34.84,44.00,18.96,-4.18,0.82
2587196,14.27,190,0.21,2764,0.00,0.00,16,44.34,44.00,19.04,-4.18,0.84
2587384,13.75,190,0.21,2766,0.00,0.00,16,44.34,44.00,19.27,-4.18,0.84
2590241,13.38,190,0.37,2766,0.00,0.00,16,40.82,42.00,33.86,-1.70,1.04
2590428,13.55,190,0.38,2768,0.00,0.00,16,40.82,40.00,34.86,-1.70,1.02
2590600,12.77,190,0.30,2770,0.00,0.00,16,43.98,42.50,26.01,-4.18,0.88
2590792,12.59,190,0.23,2756,0.00,0.00,16,44.34,44.00,19.59,-4.18,0.82
2590964,12.78,190,0.18,2747,0.00,0.00,16,27.46,44.00,13.82,-4.18,0.72
2591152,12.33,190,0.13,2728,0.00,0.00,16,3.55,6.00,11.34,-4.18,0.70
2591339,12.99,190,0.13,2734,0.00,0.00,16,-3.48,4.50,11.98,-4.18,0.64
2591511,13.35,190,0.13,2720,0.00,0.00,16,-10.16,-7.00,11.93,-4.18,0.64
2591699,16.58,190,0.13,2733,0.00,0.00,16,-10.16,-10.50,11.87,-4.18,0.64
2591876,25.52,190,0.12,2719,0.00,0.00,16,-10.16,-10.50,11.24,-4.18,0.64
2592063,23.80,190,0.12,2702,0.00,0.00,16,-10.16,-10.50,10.58,-3.87,0.64
2592252,23.86,190,0.11,2687,0.00,0.00,16,-10.16,-10.50,10.43,-3.87,0.64
2592439,24.03,190,0.12,2652,0.00,0.00,16,-10.16,-10.50,11.18,-3.87,0.64
2592611,23.74,190,0.12,2632,0.00,0.00,16,-10.16,-10.50,10.88,-3.87,0.64
2592799,23.73,190,0.12,2613,0.00,0.00,16,-10.16,-10.50,10.53,-3.56,0.64
2592986,24.02,190,0.13,2564,0.00,0.00,16,-10.16,-10.50,11.08,-3.56,0.64
2593158,23.75,190,0.12,2554,0.00,0.00,16,-10.16,-10.50,10.38,-3.56,0.64
2593346,23.91,190,0.12,2520,0.00,0.00,16,-10.16,-10.50,9.79,-3.56,0.64
2593533,23.86,190,0.10,2472,0.00,0.00,16,-10.16,-10.50,8.56,-3.25,0.64
2593705,23.90,190,0.12,2432,0.00,0.00,16,-10.16,-10.50,9.62,-3.25,0.64
2593892,23.86,190,0.12,2410,0.00,0.00,16,-10.16,-10.50,9.66,-2.94,0.64
2594080,23.59,190,0.11,2371,0.00,0.00,16,-1.02,-3.00,9.13,-2.94,0.64
2594267,23.93,190,0.11,2343,0.00,0.00,16,2.50,1.00,8.91,-2.94,0.64
2594455,23.83,190,0.11,2327,0.00,0.00,16,9.88,10.00,8.18,-2.63,0.64
2594631,24.01,190,0.09,2298,0.00,0.00,16,13.40,11.50,6.66,-2.63,0.64
2594803,23.59,190,0.10,2294,0.00,0.00,16,15.51,15.50,7.29,-2.63,0.64
2594991,23.88,190,0.09,2296,0.00,0.00,16,15.51,15.50,6.92,-2.63,0.64
2595167,23.70,190,0.09,2273,0.00,0.00,16,15.51,15.50,7.14,-2.63,0.64
2598034,23.47,190,0.10,2222,0.00,0.00,16,15.16,15.00,7.46,-2.32,0.64
2598206,23.89,190,0.13,2220,0.00,0.00,16,15.16,9.50,8.27,-2.32,0.72
2598393,23.55,190,0.16,2204,0.00,0.00,16,21.13,18.00,11.24,-2.32,0.80
2598581,16.20,190,0.17,2192,0.00,0.00,16,30.27,29.50,12.20,-2.32,0.84
2598769,13.34,190,0.19,2203,0.00,0.00,16,38.36,38.00,14.01,-2.32,0.86
2598941,13.92,190,0.20,2207,0.00,0.00,16,40.47,39.00,14.46,-2.32,0.86
2599129,14.72,190,0.23,2194,0.00,0.00,16,41.17,40.00,15.32,-2.32,0.88
2599300,14.42,190,0.24,2212,0.00,0.00,16,41.88,41.50,17.48,-2.32,0.90
2599488,14.56,190,0.26,2215,0.00,0.00,16,42.58,41.50,18.71,-2.32,0.92
2599663,14.43,190,0.28,2200,0.00,0.00,16,42.58,42.50,20.83,-2.32,0.94
2599851,13.82,190,0.29,2209,0.00,0.00,16,42.58,42.50,20.92,-2.32,0.96
2600038,13.96,190,0.30,2212,0.00,0.00,16,42.58,42.50,22.24,-2.32,0.96
2600210,13.85,190,0.31,2224,0.00,0.00,16,42.58,42.50,23.05,-2.32,0.96
2600398,13.89,190,0.32,2235,0.00,0.00,16,42.23,42.00,23.53,-1.70,0.98
2600585,13.72,190,0.33,2227,0.00,0.00,16,42.23,42.00,24.82,-1.39,1.00
2600757,13.56,190,0.35,2227,0.00,0.00,16,42.23,42.00,25.50,-1.39,1.00
2600944,13.78,190,0.34,2235,0.00,0.00,16,42.23,42.00,25.01,-1.39,1.00
2601132,13.97,190,0.37,2257,0.00,0.00,16,41.17,41.50,27.05,-0.77,1.02
2601319,13.59,190,0.37,2252,0.00,0.00,16,40.47,41.50,27.79,-0.77,1.02
2601491,13.45,190,0.37,2270,0.00,0.00,16,40.47,41.00,28.01,-1.08,1.02
2601679,13.63,190,0.37,2264,0.00,0.00,16,40.82,40.00,28.11,-1.08,1.02
2601866,13.96,190,0.37,2288,0.00,0.00,16,40.47,39.50,28.86,-0.46,1.02
2602038,13.77,190,0.39,2274,0.00,0.00,16,39.06,40.00,29.18,-1.08,1.02
2602226,13.56,190,0.38,2300,0.00,0.00,16,39.77,39.50,29.07,-1.08,1.02
2602413,13.52,190,0.36,2307,0.00,0.00,16,41.52,40.50,28.22,-1.08,1.02
2602585,14.28,190,0.38,2298,0.00,0.00,16,40.47,40.50,28.64,-1.08,1.02
2602772,13.67,190,0.37,2310,0.00,0.00,16,40.47,40.00,28.96,-1.08,1.02
2602960,13.60,190,0.38,2326,0.00,0.00,16,40.12,40.00,28.86,-1.08,1.00
2605793,13.42,190,0.41,2429,0.00,0.00,16,38.36,38.00,32.90,-0.77,1.04
2605981,13.33,190,0.40,2437,0.00,0.00,16,38.71,38.00,32.77,-1.08,1.02
2606153,13.44,190,0.40,2444,0.00,0.00,16,39.06,38.50,32.77,-1.08,1.02
2606340,13.22,190,0.39,2466,0.00,0.00,16,38.71,39.50,31.75,-1.70,1.02
2606527,13.35,190,0.39,2474,0.00,0.00,16,39.77,39.50,32.20,-1.70,1.02
2606699,13.63,190,0.39,2483,0.00,0.00,16,40.12,39.00,31.86,-1.70,1.02
2606887,13.65,190,0.39,2495,0.00,0.00,16,40.12,40.00,32.32,-1.70,1.02
2607074,13.68,190,0.39,2488,0.00,0.00,16,39.77,39.50,32.66,-1.70,1.02
2607246,13.44,190,0.39,2510,0.00,0.00,16,39.77,39.50,32.77,-1.70,1.02
2607434,13.68,190,0.39,2514,0.00,0.00,16,39.77,39.50,32.89,-1.70,1.02
2607619,13.35,190,0.38,2512,0.00,0.00,16,40.47,40.00,32.77,-1.70,1.02
2607806,13.58,190,0.38,2516,0.00,0.00,16,40.12,40.50,32.32,-1.70,1.02
2607978,13.42,190,0.36,2541,0.00,0.00,16,41.88,39.50,32.55,-1.70,1.02
2608166,13.52,190,0.39,2539,0.00,0.00,16,40.12,40.00,32.54,-1.70,1.02
2608353,13.33,190,0.38,2540,0.00,0.00,16,40.47,40.00,32.43,-1.70,1.00
2608525,13.38,190,0.36,2565,0.00,0.00,16,42.23,41.50,30.74,-1.70,1.00
2608712,13.58,190,0.37,2554,0.00,0.00,16,41.17,41.00,31.98,-2.32,1.00
2608901,13.49,190,0.37,2574,0.00,0.00,16,41.88,42.50,30.06,-2.32,0.98
2609073,13.51,190,0.35,2566,0.00,0.00,16,42.93,42.50,30.29,-2.32,0.98
2609260,13.69,190,0.34,2590,0.00,0.00,16,43.28,43.00,29.18,-2.94,0.98
2609448,13.93,190,0.34,2582,0.00,0.00,16,43.28,43.00,29.72,-2.94,0.98
2609635,13.67,190,0.35,2603,0.00,0.00,16,42.93,42.50,30.63,-2.32,1.00
2609807,13.49,190,0.36,2590,0.00,0.00,16,42.23,42.50,30.63,-2.63,1.00
2609995,13.50,190,0.36,2616,0.00,0.00,16,42.23,42.00,31.30,-2.63,1.00
2610182,13.56,190,0.37,2602,0.00,0.00,16,41.52,41.00,32.09,-2.63,1.00
2610354,13.38,190,0.37,2630,0.00,0.00,16,41.52,41.50,32.20,-2.63,1.00
2610542,13.38,190,0.37,2638,0.00,0.00,16,41.52,41.00,32.55,-2.01,1.00
2610729,13.20,192,0.37,2628,0.00,0.00,16,41.52,41.50,32.20,-2.01,1.00
2613584,13.19,192,0.34,2723,0.00,0.00,16,42.58,42.50,30.97,-3.56,0.98
2613771,13.26,192,0.34,2734,0.00,0.00,16,42.58,42.50,31.07,-3.56,0.98
2613943,13.13,192,0.34,2735,0.00,0.00,16,42.93,42.00,32.20,-3.56,0.98
2614130,13.42,192,0.34,2738,0.00,0.00,16,42.58,42.50,31.65,-3.56,0.98
2614318,13.07,192,0.34,2750,0.00,0.00,16,42.58,42.50,31.08,-3.56,0.98
2614490,13.08,192,0.34,2749,0.00,0.00,16,42.93,42.50,30.40,-3.56,0.96
2614677,13.38,192,0.33,2760,0.00,0.00,16,42.93,42.50,30.29,-4.18,0.96
2614865,13.18,192,0.31,2776,0.00,0.00,16,43.28,43.00,29.28,-4.18,0.96
2615037,13.40,192,0.31,2781,0.00,0.00,16,43.28,43.00,28.54,-4.18,0.96
2615224,13.21,192,0.31,2786,0.00,0.00,16,43.28,43.00,28.43,-4.18,0.94
2615403,13.62,192,0.31,2787,0.00,0.00,16,43.28,43.00,28.75,-4.18,0.96
2615591,13.35,192,0.31,2793,0.00,0.00,16,43.28,43.00,29.28,-4.18,0.94
2615778,13.11,192,0.31,2793,0.00,0.00,16,43.28,43.50,27.37,-4.18,0.96
2615950,13.26,192,0.29,2782,0.00,0.00,16,43.28,43.50,27.16,-4.18,0.96
2616138,13.43,192,0.31,2784,0.00,0.00,16,43.28,43.00,28.75,-4.18,0.96
2616325,13.37,192,0.31,2789,0.00,0.00,16,43.28,43.00,28.96,-4.18,0.96
2616513,13.20,192,0.31,2812,0.00,0.00,16,43.28,43.00,28.64,-4.18,0.96
2616685,13.13,192,0.31,2812,0.00,0.00,16,43.28,43.00,28.86,-4.18,0.96
2616872,13.34,192,0.31,2816,0.00,0.00,16,43.28,43.00,28.96,-4.18,0.96
2617044,13.33,192,0.31,2804,0.00,0.00,16,43.28,43.50,28.86,-4.18,0.96
2617231,13.37,192,0.32,2804,0.00,0.00,16,42.93,43.00,30.29,-4.18,0.96
2617419,13.24,192,0.33,2809,0.00,0.00,16,42.93,42.50,30.52,-3.87,0.98
2617591,13.17,192,0.34,2831,0.00,0.00,16,42.58,42.50,31.52,-3.25,1.00
2617778,13.29,192,0.35,2822,0.00,0.00,16,42.23,42.00,33.48,-3.25,1.00
2617966,13.14,192,0.35,2826,0.00,0.00,16,41.88,41.50,33.14,-2.63,1.02
2618138,13.16,192,0.36,2852,0.00,0.00,16,41.52,41.00,34.35,-2.01,1.02
2618325,13.36,192,0.38,2859,0.00,0.00,16,39.77,39.50,36.35,-2.01,1.04
2618512,13.05,192,0.40,2847,0.00,0.00,16,38.71,39.00,37.59,-2.01,1.04
2621348,13.17,192,0.37,2969,0.00,0.00,16,41.17,41.00,36.22,-2.63,1.02
2621520,13.05,192,0.36,2954,0.00,0.00,16,41.52,41.50,35.48,-2.63,1.00
2621707,13.44,192,0.36,2958,0.00,0.00,16,41.88,41.50,35.61,-2.63,1.00
2621895,13.25,192,0.35,2981,0.00,0.00,16,42.23,41.50,34.86,-2.63,1.00
2622066,13.47,192,0.35,2983,0.00,0.00,16,41.88,42.00,34.35,-2.63,1.00
2622254,13.22,192,0.34,2964,0.00,0.00,16,42.23,42.00,34.23,-2.63,1.00
2622441,13.46,192,0.34,2986,0.00,0.00,16,42.23,42.50,33.01,-3.25,1.00
2622629,13.45,192,0.34,2990,0.00,0.00,16,42.23,42.50,33.98,-3.25,1.00
2622803,13.35,192,0.34,2977,0.00,0.00,16,42.58,42.50,34.36,-3.25,1.00
2622991,13.30,192,0.34,2976,0.00,0.00,16,42.58,42.50,33.13,-3.25,1.00
2623163,13.32,192,0.34,2997,0.00,0.00,16,42.58,42.50,33.01,-3.25,1.00
2623351,13.34,192,0.34,2981,0.00,0.00,16,42.58,42.50,33.36,-3.25,1.00
2623538,13.25,192,0.34,2984,0.00,0.00,16,42.58,42.50,33.98,-3.25,1.00
2623726,13.28,192,0.33,2986,0.00,0.00,16,42.58,42.50,32.89,-3.25,1.00
2623898,13.43,192,0.33,3010,0.00,0.00,16,42.58,42.50,33.13,-3.25,1.00
2624085,13.20,192,0.32,3010,0.00,0.00,16,42.93,42.50,31.86,-3.25,0.98
2624274,13.49,192,0.32,2994,0.00,0.00,16,42.93,43.00,31.41,-3.87,0.98
2624446,13.32,192,0.32,2996,0.00,0.00,16,42.93,42.50,31.20,-3.87,0.98
2624633,13.28,192,0.31,2997,0.00,0.00,16,43.28,43.00,31.52,-3.87,0.98
2624822,13.41,192,0.31,3018,0.00,0.00,16,43.28,43.00,31.64,-3.87,0.98
2624994,13.32,190,0.30,3020,0.00,0.00,16,43.28,43.00,31.20,-3.87,0.98
2625181,13.71,190,0.31,3022,0.00,0.00,16,43.28,43.00,31.76,-3.87,0.98
2625372,13.38,190,0.31,3006,0.00,0.00,16,43.28,42.50,31.65,-3.25,0.98
2625559,13.41,190,0.31,3007,0.00,0.00,16,43.28,43.00,31.41,-3.25,0.98
2625731,13.75,190,0.30,3029,0.00,0.00,16,43.63,43.50,28.43,-3.25,0.98
2625920,14.15,190,0.32,3030,0.00,0.00,16,43.28,43.00,31.75,-3.25,0.98
2626092,13.43,190,0.31,3032,0.00,0.00,16,43.28,43.00,31.64,-3.25,0.98
2626279,13.42,190,0.31,3036,0.00,0.00,16,43.28,43.00,31.65,-3.25,0.98
2629133,13.60,190,0.31,3038,0.00,0.00,16,43.28,43.50,30.63,-3.87,0.98
2629320,13.38,190,0.30,3039,0.00,0.00,16,43.28,43.00,30.96,-3.87,0.98
2629493,13.41,190,0.31,3042,0.00,0.00,16,43.28,43.50,30.97,-3.87,0.96
2629681,13.42,190,0.31,3041,0.00,0.00,16,43.28,43.50,30.74,-3.87,0.96
2629853,13.13,190,0.30,3061,0.00,0.00,16,43.63,43.50,30.63,-3.87,0.96
2630045,13.23,190,0.30,3060,0.00,0.00,16,43.63,43.50,30.06,-3.87,0.96
2630217,13.28,190,0.30,3062,0.00,0.00,16,43.63,43.50,30.63,-3.87,0.96
2630404,13.43,190,0.29,3064,0.00,0.00,16,43.98,43.50,30.06,-4.18,0.96
2630594,13.49,190,0.30,3065,0.00,0.00,16,43.63,43.50,29.39,-4.18,0.96
2630766,13.47,190,0.30,3067,0.00,0.00,16,43.63,43.50,29.72,-4.18,0.96
2630956,13.28,190,0.29,3067,0.00,0.00,16,43.98,43.50,28.43,-4.18,0.96
2631128,13.44,190,0.28,3070,0.00,0.00,16,43.98,43.50,28.96,-4.18,0.96
2631315,13.40,190,0.29,3068,0.00,0.00,16,43.63,43.50,29.83,-4.18,0.96
2631504,13.17,190,0.28,3050,0.00,0.00,16,44.34,43.50,30.06,-4.18,0.96
2631676,13.56,190,0.29,3051,0.00,0.00,16,43.98,43.50,29.95,-4.18,0.96
2631863,13.17,190,0.29,3050,0.00,0.00,16,43.63,43.50,29.61,-4.18,0.96
2632051,13.24,190,0.31,3054,0.00,0.00,16,43.28,43.00,31.87,-3.25,1.00
2632223,12.99,190,0.32,3055,0.00,0.00,16,42.93,42.50,32.55,-3.25,1.00
2632416,13.29,190,0.34,3055,0.00,0.00,16,42.58,42.50,33.61,-2.63,1.02
2632601,13.06,190,0.36,3060,0.00,0.00,16,41.52,41.50,36.60,-2.01,1.04
2632773,13.13,190,0.38,3061,0.00,0.00,16,40.47,40.00,38.59,-1.39,1.06
2632960,12.95,190,0.38,3067,0.00,0.00,16,40.12,40.00,38.84,-0.77,1.08
2633148,13.28,190,0.41,3071,0.00,0.00,16,38.01,38.50,41.61,-0.77,1.08
2633320,12.90,190,0.43,3076,0.00,0.00,16,37.30,37.50,43.44,-0.15,1.08
2633507,12.78,190,0.43,3084,0.00,0.00,16,37.30,37.00,43.71,-0.15,1.08
2633679,12.83,190,0.41,3089,0.00,0.00,16,38.36,37.50,42.17,-0.77,1.06
2633867,13.05,190,0.38,3110,0.00,0.00,16,40.47,39.00,40.48,-2.01,1.02
2634055,13.43,190,0.34,3095,0.00,0.00,16,42.58,42.00,36.35,-2.63,1.00
2636990,23.72,190,0.12,3023,0.00,0.00,16,-9.80,-10.50,11.87,-4.18,0.72
2637177,23.51,190,0.15,3018,0.00,0.00,16,3.20,-3.00,14.01,-4.18,0.78
2637349,14.59,190,0.16,3018,0.00,0.00,16,21.84,9.50,16.13,-4.18,0.82
2637552,13.69,190,0.17,2997,0.00,0.00,16,28.87,22.00,16.35,-4.18,0.84
2637724,14.47,190,0.19,3004,0.00,0.00,16,40.12,33.00,18.25,-4.18,0.86
2637896,14.42,190,0.19,3000,0.00,0.00,16,41.17,33.50,18.26,-4.18,0.88
2638084,14.77,189,0.21,2984,0.00,0.00,16,44.34,44.00,19.97,-4.18,0.88
2638271,14.61,190,0.23,2983,0.00,0.00,16,44.34,44.00,22.76,-4.18,0.90
2638443,14.17,189,0.25,2982,0.00,0.00,16,44.34,44.00,24.11,-4.18,0.92
2638630,13.77,189,0.26,2998,0.00,0.00,16,44.34,44.00,25.79,-4.18,0.94
2638818,13.75,190,0.27,2982,0.00,0.00,16,44.34,44.00,26.73,-4.18,0.94
2638990,13.68,190,0.27,2988,0.00,0.00,16,44.34,44.00,27.15,-4.18,0.96
2639177,14.05,190,0.28,3004,0.00,0.00,16,43.98,43.50,28.22,-4.18,0.96
2639365,14.33,190,0.28,3008,0.00,0.00,16,43.98,43.50,28.22,-4.18,0.96
2639552,13.79,190,0.29,2992,0.00,0.00,16,43.98,43.50,28.64,-4.18,0.96
2639724,13.62,190,0.29,2994,0.00,0.00,16,43.63,43.50,28.96,-4.18,0.96
2639912,13.81,190,0.29,2998,0.00,0.00,16,43.63,43.50,29.07,-4.18,0.96
2640084,13.81,190,0.29,3017,0.00,0.00,16,43.63,43.50,29.17,-4.18,0.96
2640271,13.69,190,0.29,3001,0.00,0.00,16,43.63,43.50,28.85,-4.18,0.96
2640459,13.56,190,0.28,3004,0.00,0.00,16,43.98,43.50,28.22,-4.18,0.96
2640646,14.08,190,0.28,3006,0.00,0.00,16,44.34,43.50,28.64,-4.18,0.96
2640818,13.92,190,0.29,3002,0.00,0.00,16,43.98,43.50,29.28,-4.18,0.96
2641005,13.72,190,0.30,3028,0.00,0.00,16,43.63,43.50,29.50,-4.18,0.96
2641193,13.43,190,0.30,3032,0.00,0.00,16,43.63,43.50,29.83,-3.87,0.96
2641365,13.45,190,0.30,3012,0.00,0.00,16,43.63,43.00,30.51,-3.87,0.98
2641552,13.43,190,0.30,3014,0.00,0.00,16,43.63,43.50,29.95,-3.87,0.98
2641724,13.81,190,0.30,3020,0.00,0.00,16,43.63,43.50,30.85,-3.87,0.98
2641912,13.40,190,0.31,3039,0.00,0.00,16,43.28,43.00,30.96,-3.87,0.98
2644722,14.24,190,0.18,3046,0.00,0.00,16,29.57,40.00,19.57,-4.18,0.84
2644894,14.09,190,0.18,3050,0.00,0.00,16,29.92,32.50,18.41,-4.18,0.84
2645081,13.96,190,0.16,3051,0.00,0.00,16,20.78,29.00,17.02,-4.18,0.82
2645269,13.98,190,0.17,3041,0.00,0.00,16,24.30,26.50,17.63,-4.18,0.82
2645441,13.72,190,0.16,3004,0.00,0.00,16,20.78,13.00,16.43,-4.18,0.82
2645628,14.65,190,0.14,3030,0.00,0.00,16,8.48,19.50,15.58,-4.18,0.80
2645815,14.53,190,0.15,3039,0.00,0.00,16,14.10,15.50,15.53,-4.18,0.80
2645987,14.35,190,0.15,3056,0.00,0.00,16,14.10,19.50,15.39,-4.18,0.80
2646175,13.86,190,0.16,3025,0.00,0.00,16,18.67,13.00,14.46,-4.18,0.80
2646362,13.85,190,0.14,3001,0.00,0.00,16,8.48,10.00,14.39,-4.18,0.80
2646534,14.70,190,0.14,3006,0.00,0.00,16,9.53,16.50,15.47,-4.18,0.80
2646722,14.77,190,0.13,3006,0.00,0.00,16,5.31,10.50,13.32,-4.18,0.82
2646909,15.59,190,0.16,2971,0.00,0.00,16,21.84,22.50,16.72,-4.18,0.82
2647081,14.81,190,0.16,2992,0.00,0.00,16,22.89,24.50,17.02,-4.18,0.82
2647269,14.72,190,0.18,2990,0.00,0.00,16,34.14,27.50,17.25,-4.18,0.84
2647456,14.36,190,0.19,2983,0.00,0.00,16,36.25,37.00,18.71,-4.18,0.84
2647642,14.01,190,0.20,2982,0.00,0.00,16,41.52,36.50,19.42,-4.18,0.86
2647821,14.05,190,0.20,2995,0.00,0.00,16,44.34,44.00,20.24,-4.18,0.86
2647998,14.09,190,0.19,2978,0.00,0.00,16,41.88,44.00,19.98,-4.18,0.86
2648188,14.67,190,0.21,2978,0.00,0.00,16,44.34,44.00,20.74,-4.18,0.88
2648360,14.36,190,0.22,2995,0.00,0.00,16,44.34,44.00,22.06,-4.18,0.88
2648550,14.04,190,0.22,2993,0.00,0.00,16,44.34,44.00,22.33,-4.18,0.90
2648727,14.00,190,0.23,2975,0.00,0.00,16,44.34,44.00,22.86,-4.18,0.90
2648914,14.13,190,0.22,2977,0.00,0.00,16,44.34,44.00,21.62,-4.18,0.90
2649086,14.65,190,0.25,2992,0.00,0.00,16,44.34,44.00,24.22,-4.18,0.92
2649273,13.83,190,0.24,2993,0.00,0.00,16,44.34,44.00,24.51,-4.18,0.92
2649461,13.91,190,0.25,2974,0.00,0.00,16,44.34,44.00,25.50,-4.18,0.92
2649648,14.00,190,0.26,2992,0.00,0.00,16,44.34,44.00,25.50,-4.18,0.94
2652471,13.50,190,0.33,2997,0.00,0.00,16,42.93,42.50,32.43,-3.25,1.00
2652659,13.52,190,0.32,2994,0.00,0.00,16,42.93,42.50,32.43,-3.25,1.00
2652846,13.54,190,0.33,2994,0.00,0.00,16,42.58,42.50,33.13,-3.25,1.00
2653018,13.49,190,0.33,3022,0.00,0.00,16,42.58,42.50,33.24,-3.25,1.00
2653205,13.38,190,0.33,3022,0.00,0.00,16,42.58,42.50,33.61,-3.25,1.00
2653377,13.32,190,0.34,3001,0.00,0.00,16,42.58,42.50,33.98,-3.25,1.00
2653565,13.36,190,0.33,3007,0.00,0.00,16,42.58,42.50,32.21,-3.25,1.00
2653752,13.46,190,0.34,3013,0.00,0.00,16,42.58,42.50,33.86,-2.63,1.00
2653924,13.46,190,0.33,3014,0.00,0.00,16,42.58,42.00,33.25,-2.63,1.00
2654113,13.56,190,0.34,3035,0.00,0.00,16,42.58,42.50,34.35,-3.25,1.00
2654302,13.38,190,0.33,3039,0.00,0.00,16,42.58,42.50,33.61,-3.25,1.00
2654479,13.43,190,0.34,3022,0.00,0.00,16,42.58,42.50,34.36,-3.25,1.00
2654666,13.43,190,0.33,3023,0.00,0.00,16,42.58,42.50,33.37,-3.25,1.00
