Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Injector Duty Cycle (%)
1131,1.56,1.56,14.70,8,113,0.29,1269,74.6,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.70,2.18
1233,0.78,1.56,14.36,8,113,0.29,1256,74.6,47.3,0.00,0.00,14.47,16,10.94,12.50,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.16
1336,0.78,1.56,14.13,8,113,0.30,1271,74.6,47.3,0.00,0.00,14.47,16,10.94,13.50,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.70,2.14
1439,1.56,1.56,14.24,8,113,0.30,1272,74.6,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.63,6.27,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.17
1542,1.56,1.56,14.36,8,113,0.30,1275,74.6,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.63,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.18
1645,1.56,1.56,14.36,8,113,0.29,1271,74.6,47.3,0.00,0.00,14.47,16,10.94,12.50,88,5.08,-9.63,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.16
1747,0.78,1.56,14.24,8,113,0.29,1270,74.6,47.3,0.00,0.00,14.47,16,10.94,10.50,88,5.08,-9.65,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.19
1851,0.00,1.56,14.24,8,113,0.29,1266,74.6,47.3,0.00,0.00,14.47,16,10.94,12.00,88,5.08,-9.65,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.40,2.17
1953,0.00,1.56,14.13,8,113,0.29,1252,74.6,47.3,0.00,0.00,14.47,16,10.94,12.50,88,5.08,-9.63,6.13,1.48,0.00,-1.70,0.64,0.00,0.00,14.40,2.14
2056,0.78,1.56,14.24,8,113,0.30,1247,74.6,47.4,0.00,0.00,14.47,16,10.59,14.00,88,5.08,-9.63,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.40,2.14
2158,0.78,1.56,14.36,8,113,0.30,1257,74.6,47.4,0.00,0.00,14.47,16,10.59,13.50,88,5.08,-9.57,6.24,1.48,0.00,-1.70,0.64,0.00,0.00,14.40,2.13
2261,0.78,1.56,14.47,8,113,0.30,1257,74.6,47.4,0.00,0.00,14.47,16,10.94,13.00,88,5.08,-9.57,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.14
2364,0.78,1.56,14.36,8,113,0.30,1264,74.6,47.4,0.00,0.00,14.47,16,10.94,13.50,88,5.08,-9.57,6.24,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.12
2467,0.00,1.56,14.36,8,113,0.30,1272,74.6,47.4,0.00,0.00,14.47,16,10.94,10.50,88,5.08,-9.57,6.27,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.17
2570,0.00,1.56,14.13,8,113,0.29,1275,74.6,47.4,0.00,0.00,14.47,16,10.94,10.50,88,5.08,-9.59,6.13,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.17
2673,0.78,1.56,14.36,8,113,0.29,1268,74.6,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.61,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.17
2775,0.78,1.56,14.36,8,113,0.29,1274,74.5,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.61,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.16
2878,0.78,1.56,14.36,8,113,0.29,1260,74.5,47.3,0.00,0.00,14.47,16,10.94,12.00,88,5.08,-9.61,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.16
2981,0.78,1.56,14.36,8,113,0.29,1267,74.5,47.3,0.00,0.00,14.47,16,10.94,12.50,88,5.08,-9.57,6.27,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.15
3083,0.78,1.56,14.47,8,113,0.29,1275,74.5,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.61,6.24,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.17
3186,0.78,1.56,14.36,8,113,0.30,1266,74.5,47.3,0.00,0.00,14.47,16,10.94,11.00,88,5.08,-9.63,6.24,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.16
3289,0.78,1.56,14.59,8,113,0.29,1280,74.6,47.3,0.00,0.00,14.47,16,10.94,11.00,88,5.08,-9.63,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.18
3392,0.78,1.56,14.47,8,113,0.29,1270,74.5,47.3,0.00,0.00,14.47,16,10.94,12.00,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.16
3494,0.78,1.56,14.47,8,113,0.30,1269,74.5,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.63,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.70,2.17
3597,0.78,1.56,14.47,8,113,0.29,1276,74.5,47.3,0.00,0.00,14.47,16,10.94,10.50,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.19
3700,1.56,1.56,14.59,8,113,0.29,1279,74.5,47.3,0.00,0.00,14.47,16,10.94,10.00,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.18
3803,1.56,1.56,14.47,8,113,0.29,1266,74.5,47.3,0.00,0.00,14.47,16,10.94,12.00,88,5.08,-9.65,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.70,2.17
3905,0.78,1.56,14.47,8,113,0.29,1284,74.6,47.3,0.00,0.00,14.47,16,10.94,12.50,88,5.08,-9.63,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.19
4009,1.56,1.56,14.36,8,113,0.29,1264,74.6,47.3,0.00,0.00,14.47,16,10.94,10.50,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.50,2.19
4112,1.56,1.56,14.47,8,113,0.29,1271,74.6,47.3,0.00,0.00,14.47,16,10.94,11.00,88,5.08,-9.67,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.19
4214,1.56,1.56,14.47,8,113,0.29,1280,74.6,47.3,0.00,0.00,14.47,16,10.94,12.00,88,5.08,-9.65,6.20,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.17
4318,0.78,1.56,14.59,8,113,0.29,1280,74.6,47.3,0.00,0.00,14.47,16,10.94,11.50,88,5.08,-9.65,6.16,1.48,0.00,-1.70,0.64,0.00,0.00,14.60,2.18
