Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F)
8756,14.58,0.13,1050,0.00,0.00,16,11.29,11.50,4.69,-1.18,0.64,149
8935,14.57,0.13,1068,0.00,0.00,16,11.29,10.00,4.69,-1.18,0.64,149
9119,14.67,0.13,1063,0.00,0.00,16,11.29,10.50,4.69,-1.18,0.64,149
9291,14.63,0.13,1054,0.00,0.00,16,11.29,11.50,4.69,-1.18,0.64,149
9479,14.75,0.13,1060,0.00,0.00,16,11.29,10.00,4.69,-1.18,0.64,149
9666,14.77,0.13,1055,0.00,0.00,16,11.29,11.50,4.69,-1.18,0.64,149
9854,14.51,0.13,1068,0.00,0.00,16,11.29,10.00,4.73,-1.18,0.64,149
10025,14.51,0.13,1058,0.00,0.00,16,11.29,11.50,4.69,-1.18,0.64,149
10244,14.55,0.13,1077,0.00,0.00,16,11.29,11.00,4.69,-1.18,0.64,149
10416,14.56,0.13,1054,0.00,0.00,16,11.29,10.00,4.69,-1.18,0.64,149
10603,14.56,0.13,1071,0.00,0.00,16,11.29,11.50,4.69,-1.18,0.64,149
13482,13.57,0.17,1261,0.00,0.00,16,19.73,19.00,7.06,-1.49,0.72,151
13670,14.13,0.17,1291,0.00,0.00,16,22.89,22.50,7.17,-1.49,0.72,151
13842,14.48,0.17,1252,0.00,0.00,16,22.54,22.50,7.33,-1.49,0.72,151
14029,14.90,0.18,1200,0.00,0.00,16,21.48,21.00,7.24,-1.49,0.72,151
14206,14.98,0.19,1152,0.00,0.00,16,21.48,21.00,7.17,-1.18,0.64,151
14393,14.77,0.14,1200,0.00,0.00,16,15.51,21.00,4.46,-1.18,0.64,151
14565,14.16,0.12,1186,0.00,0.00,16,10.94,10.50,4.24,-1.18,0.64,151
14752,14.01,0.12,1120,0.00,0.00,16,10.94,17.00,4.57,-1.18,0.64,151
14940,14.00,0.13,1099,0.00,0.00,16,10.94,17.50,4.82,-1.18,0.64,151
15112,13.98,0.15,1089,0.00,0.00,16,10.94,16.50,5.30,-1.18,0.68,151
15299,14.25,0.16,1108,0.00,0.00,16,11.64,11.00,5.85,-1.18,0.70,151
15487,14.67,0.18,1062,0.00,0.00,16,14.45,13.50,6.37,-1.18,0.70,151
15659,14.58,0.21,1052,0.00,0.00,16,17.62,17.50,7.54,-1.18,0.74,151
15846,14.56,0.23,1104,0.00,0.00,16,23.59,20.50,8.52,-1.18,0.76,151
16034,14.13,0.22,1180,0.00,0.00,16,24.30,24.50,8.78,-1.18,0.76,151
16221,13.38,0.24,1222,0.00,0.00,16,25.70,25.00,9.48,-1.18,0.78,151
16393,14.14,0.25,1225,0.00,0.00,16,26.76,26.50,9.93,-1.49,0.78,151
16580,14.65,0.26,1202,0.00,0.00,16,28.52,28.00,10.43,-1.49,0.80,151
16752,15.09,0.28,1130,0.00,0.00,16,28.52,29.00,10.48,-1.18,0.80,151
16940,14.46,0.31,1086,0.00,0.00,16,26.05,26.50,10.74,-1.18,0.82,151
17127,14.32,0.32,1018,0.00,0.00,16,24.65,24.00,10.85,-1.18,0.82,151
17299,14.20,0.29,1160,0.00,0.00,16,28.16,28.00,10.99,-1.18,0.80,151
17487,14.60,0.27,1246,0.00,0.00,16,29.22,28.50,10.89,-1.18,0.82,151
17674,14.93,0.26,1338,0.00,0.00,16,28.87,28.50,11.25,-1.49,0.82,151
17862,15.40,0.24,1397,0.00,0.00,16,27.81,28.50,11.45,-1.49,0.82,151
18037,15.40,0.23,1494,0.00,0.00,16,28.52,28.50,11.19,-1.49,0.82,151
18224,15.22,0.23,1565,0.00,0.00,16,29.22,29.00,11.45,-1.49,0.82,151
18412,14.96,0.21,1629,0.00,0.00,16,30.27,29.50,11.61,-1.49,0.82,151
18584,14.90,0.21,1699,0.00,0.00,16,31.33,31.00,11.40,-1.49,0.80,151
18771,14.79,0.18,1724,0.00,0.00,16,31.68,31.50,10.74,-1.49,0.78,151
18943,14.28,0.16,1767,0.00,0.00,16,31.33,31.50,8.19,-1.49,0.72,151
19131,14.37,0.12,1779,0.00,0.00,16,30.27,30.50,6.08,-1.49,0.72,151
19320,13.79,0.12,1760,0.00,0.00,16,29.22,29.50,6.88,-1.49,0.72,151
19492,13.96,0.11,1802,0.00,0.00,16,30.27,29.50,6.84,-1.49,0.72,151
19680,13.98,0.12,1776,0.00,0.00,16,29.57,29.50,6.88,-1.49,0.70,151
19867,14.44,0.11,1755,0.00,0.00,16,29.22,29.00,6.62,-1.49,0.70,151
20043,14.46,0.11,1742,0.00,0.00,16,28.87,28.50,6.15,-1.49,0.68,151
20230,14.37,0.11,1718,0.00,0.00,16,25.70,26.50,6.55,-1.49,0.68,151
20403,14.82,0.12,1680,0.00,0.00,16,19.73,20.50,6.66,-1.49,0.68,151
20590,16.70,0.12,1620,0.00,0.00,16,15.16,23.00,6.70,-1.49,0.68,151
20778,18.63,0.13,1546,0.00,0.00,16,10.94,19.00,6.66,-1.49,0.68,151
20952,21.92,0.13,1472,0.00,0.00,16,7.07,15.50,6.04,-1.49,0.68,151
21139,22.33,0.12,1390,0.00,0.00,16,7.07,15.00,5.68,-1.49,0.68,151
21326,22.28,0.13,1346,0.00,0.00,16,7.07,-6.50,5.87,-1.49,0.68,151
21498,22.35,0.13,1318,0.00,0.00,16,7.42,15.50,5.91,-1.49,0.68,151
21689,22.45,0.14,1291,0.00,0.00,16,7.42,7.00,5.87,-1.49,0.68,151
21861,21.77,0.14,1224,0.00,0.00,16,8.83,16.50,5.85,-1.49,0.68,151
22052,18.12,0.14,1250,0.00,0.00,16,9.18,16.00,5.81,-1.49,0.68,151
22227,15.89,0.14,1260,0.00,0.00,16,7.42,12.50,5.74,-1.49,0.68,151
22414,15.06,0.14,1208,0.00,0.00,16,7.42,15.00,5.49,-1.18,0.68,151
22601,14.82,0.13,1216,0.00,0.00,16,7.42,13.00,5.46,-1.49,0.66,151
22773,14.84,0.14,1201,0.00,0.00,16,7.42,13.00,5.43,-1.18,0.66,151
22963,14.65,0.13,1189,0.00,0.00,16,7.42,13.00,5.21,-1.18,0.66,151
23134,14.67,0.13,1175,0.00,0.00,16,7.42,13.00,5.14,-1.18,0.66,153
23322,14.58,0.13,1168,0.00,0.00,16,7.42,12.50,5.14,-1.18,0.66,153
23509,14.51,0.13,1159,0.00,0.00,16,7.42,12.00,5.10,-1.18,0.66,153
23683,14.46,0.14,1139,0.00,0.00,16,7.42,13.00,5.14,-1.18,0.66,153
23870,14.56,0.13,1131,0.00,0.00,16,7.77,12.00,5.08,-1.18,0.66,153
24058,14.60,0.14,1130,0.00,0.00,16,7.77,11.50,5.04,-1.18,0.66,153
24230,14.51,0.12,1114,0.00,0.00,16,7.77,12.00,4.51,-1.18,0.64,153
24417,14.46,0.13,1078,0.00,0.00,16,7.77,13.00,4.51,-1.18,0.64,153
24605,14.60,0.13,1066,0.00,0.00,16,7.77,15.00,4.69,-1.18,0.64,153
24777,14.63,0.13,1097,0.00,0.00,16,7.77,10.50,4.64,-1.18,0.64,153
24965,14.77,0.13,1060,0.00,0.00,16,7.77,13.50,4.55,-1.18,0.64,153
25152,14.79,0.13,1052,0.00,0.00,16,7.77,13.50,4.64,-1.18,0.64,153
25324,14.79,0.13,1039,0.00,0.00,16,7.77,12.50,4.60,-1.18,0.64,153
25513,14.82,0.14,1046,0.00,0.00,16,7.77,11.50,4.60,-1.18,0.64,153
25700,14.82,0.14,1028,0.00,0.00,16,7.77,12.50,4.73,-1.18,0.64,153
25872,14.85,0.15,1020,0.00,0.00,16,7.77,13.00,5.10,-1.18,0.66,153
26066,14.79,0.15,1033,0.00,0.00,16,7.77,10.50,5.27,-1.18,0.66,153
26238,14.63,0.16,1013,0.00,0.00,16,7.77,11.50,5.43,-1.18,0.68,153
26426,14.53,0.17,1032,0.00,0.00,16,7.77,9.00,5.74,-1.18,0.68,153
26613,14.27,0.18,1034,0.00,0.00,16,9.53,9.50,6.07,-1.18,0.70,153
26785,14.40,0.17,1059,0.00,0.00,16,12.34,11.50,6.18,-1.18,0.70,153
31421,14.34,0.18,1010,0.00,0.00,16,8.83,7.50,6.22,-1.18,0.68,153
31608,14.39,0.19,1009,0.00,0.00,16,11.64,10.50,6.33,-1.18,0.70,153
31780,14.27,0.19,1043,0.00,0.00,16,14.45,14.00,6.44,-1.18,0.70,153
31968,14.48,0.19,1040,0.00,0.00,16,17.27,16.50,6.62,-1.18,0.70,153
32139,14.57,0.19,1087,0.00,0.00,16,20.43,19.50,6.66,-1.18,0.70,153
32327,14.53,0.18,1092,0.00,0.00,16,21.13,21.00,6.62,-1.18,0.70,153
32514,14.67,0.18,1139,0.00,0.00,16,21.13,21.00,6.73,-1.18,0.70,153
32686,14.67,0.18,1144,0.00,0.00,16,21.48,21.00,6.77,-1.18,0.70,153
32874,14.77,0.17,1219,0.00,0.00,16,21.84,21.50,6.77,-1.49,0.70,153
33061,14.84,0.16,1240,0.00,0.00,16,22.54,22.00,6.81,-1.49,0.72,153
33233,14.90,0.17,1300,0.00,0.00,16,23.59,23.00,7.26,-1.49,0.74,153
38061,21.90,0.15,1130,0.00,0.00,16,7.77,15.50,5.59,-1.49,0.64,154
38233,21.97,0.14,1158,0.00,0.00,16,7.42,15.50,5.46,-1.18,0.64,154
38427,21.85,0.13,1147,0.00,0.00,16,7.77,14.50,4.91,-1.18,0.64,154
38603,21.70,0.13,1129,0.00,0.00,16,7.42,15.00,5.10,-1.18,0.64,154
38795,19.51,0.13,1114,0.00,0.00,16,7.77,15.00,4.79,-1.18,0.64,154
38967,17.05,0.13,1102,0.00,0.00,16,7.77,15.00,4.91,-1.18,0.64,154
39154,16.07,0.13,1097,0.00,0.00,16,7.77,14.00,4.82,-1.18,0.64,154
39329,15.55,0.13,1092,0.00,0.00,16,7.77,13.00,4.79,-1.18,0.64,154
39521,15.46,0.13,1084,0.00,0.00,16,7.77,13.00,4.75,-1.18,0.64,154
42536,14.46,0.13,1687,0.00,0.00,16,20.08,20.00,5.40,-1.49,0.64,154
42723,14.82,0.10,1561,0.00,0.00,16,6.37,9.50,5.14,-1.49,0.64,154
42895,16.07,0.13,1179,0.00,0.00,16,7.42,15.50,5.23,-1.49,0.64,154
43082,17.69,0.15,1075,0.00,0.00,16,7.77,15.50,5.62,-1.18,0.64,154
43254,19.39,0.13,1099,0.00,0.00,16,7.77,14.50,4.85,-1.18,0.64,154
43442,19.96,0.14,1090,0.00,0.00,16,7.77,14.00,4.91,-1.18,0.64,154
43629,17.06,0.13,1079,0.00,0.00,16,7.77,14.00,4.82,-1.18,0.64,156
43801,15.80,0.13,1084,0.00,0.00,16,7.77,11.50,4.88,-1.18,0.64,156
43989,15.25,0.13,1084,0.00,0.00,16,7.77,11.00,4.91,-1.18,0.64,156
44176,15.01,0.14,1070,0.00,0.00,16,7.77,11.50,4.85,-1.18,0.64,156
44363,14.95,0.14,1056,0.00,0.00,16,7.77,12.00,4.88,-1.18,0.64,156
44535,14.84,0.13,1070,0.00,0.00,16,7.77,10.00,4.79,-1.18,0.64,156
44723,14.70,0.14,1047,0.00,0.00,16,7.77,11.50,4.79,-1.18,0.64,156
44910,14.75,0.14,1064,0.00,0.00,16,7.77,10.50,4.69,-1.18,0.64,156
45082,14.77,0.15,1052,0.00,0.00,16,7.77,10.00,5.30,-1.18,0.68,156
45270,14.82,0.15,1068,0.00,0.00,16,7.77,8.50,5.46,-1.18,0.68,156
45457,14.79,0.16,1067,0.00,0.00,16,7.77,7.50,5.62,-1.18,0.68,156
45629,14.70,0.17,1043,0.00,0.00,16,7.77,10.00,5.74,-1.18,0.68,156
45817,14.74,0.18,1040,0.00,0.00,16,9.53,9.50,5.98,-1.18,0.70,156
46004,14.56,0.19,1023,0.00,0.00,16,12.70,11.50,6.37,-1.18,0.70,156
46176,14.32,0.21,987,0.00,0.00,16,16.56,15.00,6.84,-1.18,0.72,156
46363,13.86,0.23,970,0.00,0.00,16,22.54,20.00,7.21,-1.18,0.72,156
46551,13.98,0.22,986,0.00,0.00,16,23.24,24.00,7.54,-1.18,0.64,156
46723,14.00,0.16,1185,0.00,0.00,16,15.51,7.00,4.60,-1.18,0.64,156
46910,13.86,0.13,1219,0.00,0.00,16,10.59,3.00,4.52,-1.49,0.64,156
47098,13.81,0.12,1107,0.00,0.00,16,10.94,4.50,4.73,-1.18,0.64,156
47270,14.04,0.13,1092,0.00,0.00,16,10.94,11.50,4.75,-1.18,0.64,156
47457,14.08,0.13,1090,0.00,0.00,16,11.29,11.50,4.66,-1.18,0.64,156
50289,14.79,0.14,1025,0.00,0.00,16,7.77,6.50,5.01,-1.18,0.64,156
50461,14.56,0.15,1034,0.00,0.00,16,7.77,6.00,5.04,-1.18,0.64,156
50648,14.58,0.15,1040,0.00,0.00,16,7.77,6.00,5.14,-1.18,0.64,156
50836,14.67,0.15,1024,0.00,0.00,16,7.77,7.00,5.04,-1.18,0.64,156
51012,14.79,0.15,1039,0.00,0.00,16,7.77,6.00,5.08,-1.18,0.64,156
51199,14.84,0.14,1030,0.00,0.00,16,7.77,7.50,4.91,-1.18,0.64,156
51387,14.82,0.15,1016,0.00,0.00,16,7.77,9.00,5.08,-1.18,0.64,156
51559,14.82,0.14,1049,0.00,0.00,16,7.77,5.00,4.97,-1.18,0.64,156
51766,14.85,0.15,1022,0.00,0.00,16,7.77,7.50,5.08,-1.18,0.64,156
51954,14.93,0.15,1037,0.00,0.00,16,7.77,8.00,5.01,-1.18,0.64,156
52126,14.87,0.14,1040,0.00,0.00,16,11.29,11.00,4.97,-1.18,0.64,156
52313,14.77,0.14,1050,0.00,0.00,16,11.29,9.00,4.88,-1.18,0.68,156
52501,14.79,0.19,1054,0.00,0.00,16,12.70,12.50,6.73,-1.18,0.72,156
52673,14.51,0.22,1176,0.00,0.00,16,16.56,16.50,8.19,-1.18,0.80,156
52860,13.61,0.27,1402,0.00,0.00,16,29.22,27.50,12.42,-1.49,0.86,156
53048,13.47,0.26,1630,0.00,0.00,16,29.57,29.50,13.65,-1.49,0.88,156
53220,14.72,0.27,1685,0.00,0.00,16,32.03,31.50,14.60,-1.49,0.90,156
53407,15.25,0.28,1698,0.00,0.00,16,32.73,32.50,15.92,-1.49,0.90,156
53579,15.20,0.30,1650,0.00,0.00,16,32.73,32.50,16.29,-1.49,0.92,156
53766,14.77,0.32,1554,0.00,0.00,16,32.38,32.00,16.66,-1.49,0.92,156
53954,14.30,0.33,1489,0.00,0.00,16,32.03,32.00,16.58,-1.49,0.92,158
54126,14.10,0.34,1451,0.00,0.00,16,31.33,31.00,16.14,-1.49,0.92,158
54313,14.46,0.35,1386,0.00,0.00,16,30.27,30.00,16.00,-1.49,0.92,158
54501,14.63,0.33,1350,0.00,0.00,16,29.57,28.50,11.97,-1.49,0.64,158
54673,14.19,0.18,1439,0.00,0.00,16,18.32,21.00,4.82,-1.49,0.64,158
54860,12.36,0.12,1545,0.00,0.00,16,6.72,-2.00,5.30,-1.49,0.64,158
55048,12.21,0.11,1436,0.00,0.00,16,7.07,10.50,4.97,-1.49,0.66,158
55225,12.36,0.15,1336,0.00,0.00,16,8.12,7.00,6.51,-1.49,0.70,158
58089,14.52,0.32,2498,0.00,0.00,16,43.98,43.50,25.68,-1.80,0.96,158
58277,13.05,0.26,2614,0.00,0.00,16,45.04,45.00,21.98,-3.64,0.86,158
58453,12.67,0.19,2698,0.00,0.00,16,37.66,40.50,13.90,-3.94,0.76,158
58640,11.91,0.14,2642,0.00,0.00,16,5.31,11.50,11.05,-3.94,0.72,158
58812,11.90,0.12,2666,0.00,0.00,16,-5.23,-5.00,10.38,-3.94,0.70,158
58999,11.96,0.12,2579,0.00,0.00,16,-1.72,-1.50,10.79,-3.94,0.68,158
59187,12.49,0.10,2513,0.00,0.00,16,-10.16,-10.50,8.73,-3.35,0.66,158
59374,13.63,0.14,2456,0.00,0.00,16,2.85,2.50,11.63,-3.35,0.64,158
59546,11.83,0.10,2352,0.00,0.00,16,-4.88,-8.50,7.57,-3.04,0.64,158
59734,12.01,0.10,2297,0.00,0.00,16,4.26,1.50,7.94,-2.73,0.64,158
59921,13.92,0.10,2250,0.00,0.00,16,4.26,4.00,7.03,-2.42,0.64,158
60093,16.88,0.10,2148,0.00,0.00,16,3.91,3.50,6.81,-2.42,0.64,158
60280,20.78,0.10,2078,0.00,0.00,16,3.55,3.50,6.66,-1.80,0.64,158
60467,21.86,0.11,1994,0.00,0.00,16,3.55,3.50,7.06,-1.80,0.66,158
60639,22.04,0.11,1907,0.00,0.00,16,4.26,3.50,7.24,-1.49,0.68,158
60827,22.04,0.12,1846,0.00,0.00,16,4.61,4.00,6.99,-1.49,0.68,158
61014,21.93,0.12,1794,0.00,0.00,16,6.37,5.50,6.99,-1.49,0.68,158
61186,21.98,0.11,1744,0.00,0.00,16,11.99,9.50,6.22,-1.49,0.68,158
61374,21.95,0.11,1688,0.00,0.00,16,16.91,15.00,6.40,-1.49,0.68,158
61546,17.78,0.11,1693,0.00,0.00,16,21.48,20.50,6.33,-1.49,0.68,158
61738,15.95,0.11,1647,0.00,0.00,16,26.05,25.00,6.22,-1.49,0.68,158
61925,14.72,0.12,1659,0.00,0.00,16,26.05,26.00,6.55,-1.49,0.68,158
62102,14.32,0.12,1576,0.00,0.00,16,19.38,29.50,6.26,-1.49,0.66,158
62289,15.25,0.12,1531,0.00,0.00,16,12.70,22.00,6.15,-1.49,0.66,158
62461,17.52,0.12,1472,0.00,0.00,16,7.07,15.00,6.07,-1.49,0.66,158
62649,20.61,0.12,1400,0.00,0.00,16,7.07,15.00,5.46,-1.49,0.66,158
62836,21.64,0.11,1406,0.00,0.00,16,7.07,15.00,5.33,-1.49,0.66,158
66893,14.22,0.19,1394,0.00,0.00,16,25.00,25.00,8.87,-1.49,0.76,160
67081,14.46,0.19,1450,0.00,0.00,16,26.41,26.00,9.00,-1.49,0.76,160
67253,15.14,0.18,1484,0.00,0.00,16,27.11,26.50,9.18,-1.49,0.76,160
67440,14.74,0.18,1549,0.00,0.00,16,28.16,27.50,9.22,-1.49,0.76,160
67631,14.74,0.17,1616,0.00,0.00,16,28.87,28.50,9.00,-1.49,0.76,160
67819,14.48,0.16,1652,0.00,0.00,16,29.57,29.50,9.08,-1.49,0.76,160
68006,14.44,0.15,1707,0.00,0.00,16,29.92,29.50,8.44,-1.49,0.76,160
68183,14.26,0.15,1739,0.00,0.00,16,30.62,30.00,8.82,-1.49,0.76,160
68370,14.82,0.15,1743,0.00,0.00,16,30.62,30.50,8.91,-1.49,0.76,160
68557,14.75,0.15,1812,0.00,0.00,16,31.33,31.50,8.91,-1.49,0.76,160
68729,14.56,0.15,1842,0.00,0.00,16,32.03,32.00,9.09,-1.49,0.80,160
68917,14.69,0.17,1938,0.00,0.00,16,35.20,34.00,11.29,-1.49,0.82,160
69104,14.32,0.17,1990,0.00,0.00,16,35.90,35.50,11.29,-1.49,0.82,160
69276,14.00,0.17,2078,0.00,0.00,16,33.09,32.00,11.50,-1.80,0.82,160
69464,14.65,0.15,2164,0.00,0.00,16,29.22,29.00,11.35,-2.11,0.80,160
69651,14.29,0.14,2252,0.00,0.00,16,17.62,17.50,10.48,-2.42,0.76,160
69823,14.10,0.12,2254,0.00,0.00,16,11.29,12.50,8.27,-2.42,0.72,160
70011,13.45,0.10,2334,0.00,0.00,16,-3.83,-1.50,8.02,-2.73,0.70,160
70182,13.50,0.10,2292,0.00,0.00,16,0.74,1.00,7.10,-2.73,0.64,160
70370,14.06,0.09,2310,0.00,0.00,16,-0.31,-0.50,6.92,-2.73,0.64,160
70557,14.73,0.09,2302,0.00,0.00,16,2.15,2.00,6.95,-2.73,0.64,160
70745,17.20,0.12,2318,0.00,0.00,16,3.55,2.50,7.26,-2.73,0.72,160
70917,20.83,0.09,2350,0.00,0.00,16,3.91,-5.00,7.10,-3.04,0.64,160
73762,21.96,0.09,2325,0.00,0.00,16,3.20,2.00,6.51,-2.73,0.64,162
73937,21.76,0.09,2290,0.00,0.00,16,4.26,3.50,6.81,-2.73,0.64,162
74125,21.64,0.09,2300,0.00,0.00,16,4.26,4.00,5.78,-2.73,0.64,162
74296,21.68,0.09,2298,0.00,0.00,16,4.26,4.00,6.99,-2.73,0.64,162
74484,21.89,0.09,2281,0.00,0.00,16,4.26,4.00,6.95,-2.73,0.64,162
74672,21.89,0.09,2284,0.00,0.00,16,4.26,4.00,6.88,-2.42,0.64,162
74859,21.96,0.09,2279,0.00,0.00,16,4.26,4.00,6.88,-2.73,0.64,162
75047,22.03,0.08,2240,0.00,0.00,16,4.26,4.00,6.37,-2.42,0.64,162
75218,22.09,0.08,2238,0.00,0.00,16,4.26,4.00,5.78,-2.42,0.64,162
75406,21.96,0.09,2238,0.00,0.00,16,4.26,4.00,6.59,-2.42,0.64,162
75593,22.03,0.09,2210,0.00,0.00,16,4.26,4.00,6.44,-2.42,0.64,162
75765,22.49,0.08,2221,0.00,0.00,16,4.26,4.00,6.29,-2.42,0.64,162
75953,21.97,0.09,2178,0.00,0.00,16,3.91,3.50,6.37,-2.42,0.64,162
76140,21.97,0.09,2155,0.00,0.00,16,3.91,3.50,6.44,-2.11,0.64,162
76312,22.03,0.08,2102,0.00,0.00,16,3.91,3.50,5.78,-2.11,0.64,162
76500,21.64,0.09,2068,0.00,0.00,16,3.55,3.50,6.29,-2.11,0.64,162
76687,21.64,0.09,2048,0.00,0.00,16,3.55,3.50,6.11,-1.80,0.64,162
76859,22.10,0.09,2006,0.00,0.00,16,3.55,3.50,6.18,-1.80,0.64,162
77046,22.06,0.09,1981,0.00,0.00,16,3.55,3.50,6.07,-1.49,0.64,162
77234,22.23,0.09,1923,0.00,0.00,16,3.91,3.50,6.04,-1.49,0.64,162
77421,22.18,0.10,1798,0.00,0.00,16,4.61,4.00,5.91,-1.49,0.64,162
77593,22.05,0.12,1586,0.00,0.00,16,6.72,14.00,6.11,-1.49,0.64,162
77781,22.06,0.14,1238,0.00,0.00,16,7.42,15.50,5.59,-1.49,0.64,162
77968,22.10,0.15,1089,0.00,0.00,16,7.77,15.50,5.62,-1.18,0.64,162
78140,22.23,0.13,1126,0.00,0.00,16,7.77,11.50,4.97,-1.18,0.64,162
78328,22.03,0.14,1103,0.00,0.00,16,7.77,14.00,5.04,-1.18,0.64,162
78499,20.93,0.14,1090,0.00,0.00,16,7.77,14.00,5.04,-1.18,0.64,162
78687,16.91,0.14,1064,0.00,0.00,16,7.77,15.00,4.91,-1.18,0.64,162
81545,14.51,0.15,994,0.00,0.00,16,7.77,10.00,4.91,-1.18,0.64,163
81733,14.55,0.15,1001,0.00,0.00,16,7.77,8.00,5.04,-1.18,0.64,163
81905,14.56,0.15,1012,0.00,0.00,16,7.77,6.50,4.95,-1.18,0.64,163
82092,14.62,0.15,1005,0.00,0.00,16,7.77,8.00,5.01,-1.18,0.64,163
82279,14.56,0.15,1034,0.00,0.00,16,7.77,5.50,5.01,-1.18,0.64,163
82451,14.69,0.15,1033,0.00,0.00,16,7.77,5.50,4.95,-1.18,0.64,163
82639,14.58,0.15,1027,0.00,0.00,16,7.77,6.50,5.08,-1.18,0.64,163
82826,14.74,0.15,1046,0.00,0.00,16,7.77,4.50,5.23,-1.18,0.64,163
83014,14.70,0.15,1050,0.00,0.00,16,7.77,5.00,5.27,-1.18,0.64,163
83186,14.68,0.15,1062,0.00,0.00,16,7.77,6.00,5.30,-1.18,0.64,163
83373,14.26,0.14,1086,0.00,0.00,16,7.77,2.00,5.23,-1.18,0.64,163
83550,14.58,0.15,1070,0.00,0.00,16,7.77,4.50,5.21,-1.18,0.64,163
83738,14.72,0.14,1092,0.00,0.00,16,7.77,3.00,5.08,-1.18,0.64,163
83925,14.74,0.14,1094,0.00,0.00,16,7.77,4.50,4.97,-1.18,0.64,163
84097,14.77,0.14,1095,0.00,0.00,16,7.77,3.50,4.95,-1.18,0.64,163
84285,14.85,0.12,1084,0.00,0.00,16,7.77,6.50,4.24,-1.18,0.64,163
84472,14.82,0.15,995,0.00,0.00,16,7.77,15.00,4.82,-1.18,0.64,163
84649,15.01,0.13,1064,0.00,0.00,16,7.77,7.00,4.57,-1.18,0.64,163
