Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position)
3558,-1.56,0.00,14.59,8,0.31,1147,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.11,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3652,-1.56,0.00,14.59,8,0.31,1165,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3745,-0.78,0.00,14.59,8,0.31,1156,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.15,5.98,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3839,-1.56,0.00,14.59,8,0.31,1162,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
3932,-1.56,0.00,14.59,8,0.31,1148,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.15,6.02,1.48,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4026,-1.56,0.00,14.59,8,0.31,1151,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.18,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4120,-1.56,0.00,14.47,8,0.31,1149,0.00,0.00,14.59,14,10.23,10.00,91,5.51,-9.15,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4213,-1.56,0.00,14.47,8,0.31,1212,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.13,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4307,-1.56,0.00,14.47,8,0.31,1147,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.17,6.02,1.48,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4401,-1.56,0.00,14.36,8,0.31,1158,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.13,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4494,-1.56,0.00,14.47,8,0.31,1168,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.15,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4587,-1.56,0.00,14.36,8,0.31,1160,0.00,0.00,14.59,14,10.23,11.50,91,5.51,-9.15,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4681,-1.56,0.00,14.47,8,0.31,1152,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.15,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4775,-1.56,0.00,14.47,8,0.31,1149,0.00,0.00,14.59,14,10.23,11.50,91,5.51,-9.15,6.02,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4868,-1.56,0.00,14.47,8,0.31,1094,0.00,0.00,14.59,14,10.23,9.50,91,5.51,-9.17,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
4962,-1.56,0.00,14.47,8,0.31,1149,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5055,-1.56,0.00,14.47,8,0.31,1148,0.00,0.00,14.59,14,10.23,11.50,91,5.66,-9.11,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5149,-1.56,0.00,14.47,8,0.31,1142,0.00,0.00,14.59,14,10.23,9.00,91,5.66,-9.13,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5243,-1.56,0.00,14.47,8,0.31,1162,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.13,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5337,-1.56,0.00,14.36,8,0.31,1144,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.11,6.02,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5430,-2.34,0.00,14.36,8,0.31,1161,0.00,0.00,14.59,14,10.23,8.50,91,5.66,-9.15,5.85,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5523,-2.34,0.00,14.36,8,0.31,1165,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
5618,-1.56,0.00,14.47,8,0.31,1154,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.17,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position)
5711,-1.56,0.00,14.47,8,0.31,1149,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.15,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
5805,-1.56,0.00,14.47,8,0.31,1154,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.17,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
5898,-1.56,0.00,14.47,8,0.31,1147,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
5992,-1.56,0.00,14.47,8,0.31,1158,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
6085,-1.56,0.00,14.47,8,0.31,1147,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
6179,-1.56,0.00,14.47,8,0.31,1164,0.00,0.00,14.59,14,10.23,9.00,93,5.51,-9.18,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
6273,-1.56,0.00,14.47,8,0.31,1162,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
6367,-1.56,0.00,14.47,8,0.31,1152,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
6460,-1.56,0.00,14.47,8,0.31,1163,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.18,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
6554,-1.56,0.00,14.47,8,0.31,1145,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6
Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
6741,-1.56,0.00,14.47,8,0.31,1157,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
6835,-1.56,0.00,14.47,8,0.31,1205,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.15,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
6928,-1.56,0.00,14.36,8,0.31,1142,0.00,0.00,14.59,14,10.23,8.50,93,5.51,-9.13,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7021,-2.34,0.00,14.36,8,0.31,1166,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
7115,-2.34,0.00,14.24,8,0.30,1152,0.00,0.00,14.59,14,10.23,9.00,93,5.51,-9.20,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7209,-2.34,0.00,14.36,8,0.31,1166,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.40
7303,-2.34,0.00,14.36,8,0.31,1159,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.18,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7396,-1.56,0.00,14.47,8,0.32,1146,0.00,0.00,14.59,14,10.23,12.00,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7490,-1.56,0.00,14.47,8,0.31,1151,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,6.02,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7583,-1.56,0.00,14.59,8,0.30,1164,0.00,0.00,14.59,14,10.59,8.50,93,5.51,-9.20,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7677,-1.56,0.00,14.36,8,0.30,1172,0.00,0.00,14.59,14,10.59,9.00,93,5.51,-9.24,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
7771,-2.34,0.00,14.36,8,0.31,1162,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.24,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7864,-1.56,0.00,14.47,8,0.31,1143,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.24,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
7957,-1.56,0.00,14.47,8,0.30,1156,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.20,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
8051,-1.56,0.00,14.47,8,0.31,1167,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.20,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
8145,-2.34,0.00,14.36,8,0.31,1150,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
8238,-2.34,0.00,14.47,8,0.30,1165,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.20,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
8332,-1.56,0.00,14.47,8,0.30,1160,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.18,5.85,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
8425,-1.56,0.00,14.47,8,0.31,1146,0.00,0.00,14.59,14,10.23,12.00,93,5.51,-9.17,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
8520,-1.56,0.00,14.47,8,0.31,1138,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
8613,-1.56,0.00,14.59,8,0.31,1156,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
8707,-1.56,0.00,14.47,8,0.30,1162,0.00,0.00,14.59,14,10.23,9.00,93,5.51,-9.20,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
8800,-1.56,0.00,14.47,8,0.31,1210,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.20,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
8894,-1.56,0.00,14.36,8,0.31,1146,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
8988,-1.56,0.00,14.47,8,0.31,1157,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.85,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
9081,-1.56,0.00,14.47,8,0.32,1131,0.00,0.00,14.59,14,10.23,12.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
9175,-2.34,0.00,14.47,8,0.31,1132,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.11,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
9269,-2.34,0.00,14.47,8,0.31,1157,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
9362,-1.56,0.00,14.36,8,0.31,1137,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
9455,-1.56,0.00,14.47,8,0.31,1093,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
9550,-1.56,0.00,14.47,8,0.31,1150,0.00,0.00,14.59,14,10.23,12.00,93,5.51,-9.18,5.90,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
9644,-1.56,0.00,14.59,8,0.31,1130,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
9737,-1.56,0.00,14.59,8,0.31,1151,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
9831,-1.56,0.00,14.47,8,0.31,1146,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.13,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
9924,-1.56,0.00,14.47,8,0.31,1144,0.00,0.00,14.59,14,10.23,8.00,93,5.51,-9.15,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
10018,-1.56,0.00,14.36,8,0.30,1166,0.00,0.00,14.59,14,10.23,9.00,93,5.51,-9.18,5.83,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
10111,-2.34,0.00,14.36,8,0.31,1203,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.17,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
10205,-1.56,0.00,14.36,8,0.31,1139,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
10298,-1.56,0.00,14.47,8,0.31,1148,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
10392,-1.56,0.00,14.59,8,0.31,1132,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
10485,-1.56,0.00,14.47,8,0.31,1130,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.17,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
10579,-1.56,0.00,14.47,8,0.31,1130,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.13,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
10673,-1.56,0.00,14.47,8,0.31,1133,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.13,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
10767,-1.56,0.00,14.47,8,0.31,1133,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.11,5.85,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
10860,-1.56,0.00,14.47,8,0.31,1148,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.13,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
10954,-2.34,0.00,14.36,8,0.31,1143,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.11,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
11047,-2.34,0.00,14.36,8,0.31,1150,0.00,0.00,14.59,14,10.23,9.00,93,5.51,-9.15,5.90,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
