Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
1243,2.34,0.00,14.47,8,115,0.29,1113,0.00,0.00,14.47,16,10.23,10.00,77,5.51,-9.20,5.49,1.44,0.00,0.64,0.00
1315,1.56,0.00,14.47,8,115,0.30,1105,0.00,0.00,14.47,16,10.23,11.50,77,5.51,-9.18,5.46,1.44,0.00,0.64,0.00
1388,1.56,0.00,14.47,8,115,0.30,1110,0.00,0.00,14.47,16,10.23,11.50,77,5.51,-9.18,5.49,1.44,0.00,0.64,0.00
1461,2.34,0.00,14.47,8,115,0.30,1122,0.00,0.00,14.47,16,10.23,10.50,77,5.51,-9.20,5.52,1.44,0.00,0.64,0.00
1534,2.34,0.00,14.47,8,115,0.30,1122,0.00,0.00,14.47,16,10.23,10.50,77,5.51,-9.15,5.52,1.44,0.00,0.64,0.00
1607,2.34,0.00,14.59,8,115,0.30,1103,0.00,0.00,14.47,16,10.23,12.50,77,5.51,-9.15,5.59,1.44,0.00,0.64,0.00
1681,2.34,0.00,14.47,8,115,0.31,1100,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.09,5.62,1.44,0.00,0.64,0.00
1753,2.34,0.00,14.47,8,115,0.32,1066,0.00,0.00,14.44,16,9.88,12.50,77,5.66,-9.01,5.65,1.46,0.00,0.64,0.00
1827,2.34,0.00,14.47,8,115,0.33,1059,0.00,0.00,14.44,16,9.88,15.50,77,5.66,-8.95,5.74,1.46,0.00,0.64,0.00
1899,2.34,0.00,14.47,8,115,0.35,1042,0.00,0.00,14.44,16,9.88,16.00,77,5.80,-8.80,5.87,1.48,0.00,0.66,0.00
1973,2.34,0.00,14.47,8,115,0.36,1039,0.00,0.00,14.40,16,9.88,17.50,77,5.95,-8.72,5.98,1.48,0.00,0.68,0.00
2046,1.56,0.00,14.47,8,115,0.37,1047,0.00,0.00,14.40,16,10.23,9.50,77,6.09,-8.57,6.51,1.52,0.00,0.70,0.00
2141,2.34,0.00,14.36,8,115,0.35,1037,0.00,0.00,15.33,16,11.64,10.50,77,6.09,-8.55,6.29,1.48,0.00,0.70,0.00
2192,2.34,0.00,14.47,8,115,0.35,1032,0.00,0.00,14.44,16,12.70,11.50,77,6.09,-8.53,6.00,1.48,0.00,0.70,0.00
2264,1.56,0.00,14.36,8,115,0.37,1012,0.00,0.00,12.81,16,14.10,13.00,77,6.24,-8.43,6.18,1.48,0.00,0.72,0.00
2338,2.34,0.00,14.24,8,115,0.39,1004,0.00,0.00,12.70,16,15.16,14.00,77,6.38,-8.28,6.37,1.50,0.00,0.72,0.00
2412,1.56,0.00,14.24,8,115,0.39,1014,0.00,0.00,14.40,16,16.56,15.00,77,6.53,-8.22,6.48,1.52,0.00,0.72,0.00
2484,1.56,0.00,14.24,8,115,0.39,1028,0.00,0.00,14.40,16,17.97,16.50,77,6.53,-8.10,6.55,1.52,0.00,0.72,0.00
2557,1.56,0.00,14.13,8,115,0.39,1041,0.00,0.00,14.40,16,19.38,17.00,77,6.53,-8.10,6.66,1.52,0.00,0.72,0.00
2631,0.78,0.00,14.24,8,115,0.39,1056,0.00,0.00,14.40,16,20.43,19.50,77,6.67,-8.04,6.84,1.54,0.00,0.72,0.00
2703,1.56,0.00,14.13,8,115,0.39,1066,0.00,0.00,14.40,16,21.48,20.50,77,6.67,-7.95,6.99,1.54,0.00,0.74,0.00
2776,1.56,0.00,14.24,8,115,0.40,1096,0.00,0.00,14.40,16,21.48,21.00,77,6.82,-7.91,7.14,1.56,0.00,0.74,0.00
2850,1.56,0.00,14.24,8,115,0.39,1102,0.00,0.00,14.40,16,21.48,21.00,77,6.82,-7.85,7.21,1.56,0.00,0.74,0.00
2922,2.34,0.00,14.36,8,115,0.39,1137,0.00,0.00,14.40,16,21.48,21.00,77,6.82,-7.83,7.29,1.56,0.00,0.74,0.00
2995,2.34,0.00,14.59,8,115,0.39,1139,0.00,0.00,14.40,16,21.48,21.00,77,6.82,-7.83,7.33,1.58,0.00,0.74,0.00
3069,3.12,0.00,14.59,8,115,0.39,1148,0.00,0.00,14.40,16,21.48,21.00,77,6.82,-7.83,7.46,1.58,0.00,0.74,0.00
3142,3.12,0.00,14.70,8,115,0.40,1137,0.00,0.00,14.40,16,21.48,21.00,77,6.96,-7.79,7.46,1.58,0.00,0.74,0.00
3215,3.91,0.00,14.81,8,115,0.40,1126,0.00,0.00,14.40,16,21.48,21.00,77,6.96,-7.72,7.50,1.58,0.00,0.74,0.00
3288,3.91,0.00,14.93,8,115,0.40,1131,0.00,0.00,14.40,16,21.48,21.00,77,6.96,-7.73,7.54,1.58,0.00,0.74,0.00
3361,4.69,0.00,14.93,8,115,0.41,1118,0.00,0.00,14.40,16,22.19,21.50,77,6.96,-7.66,7.57,1.58,0.00,0.74,0.00
3434,4.69,0.00,14.93,8,115,0.41,1117,0.00,0.00,14.40,16,21.84,22.00,77,7.11,-7.62,7.66,1.58,0.00,0.74,0.00
3508,4.69,0.00,14.93,8,115,0.38,1133,0.00,0.00,15.12,16,21.48,21.50,77,7.11,-8.30,7.66,1.58,0.00,0.64,0.00
3580,4.69,0.00,14.81,8,115,0.34,1275,0.00,0.00,15.55,16,19.73,21.00,77,6.38,-9.17,5.59,1.40,0.00,0.64,0.00
3653,4.69,0.00,14.81,8,115,0.29,1318,0.00,0.00,15.86,16,17.27,13.00,77,5.22,-9.42,4.57,1.36,0.00,0.64,0.00
3726,4.69,0.00,14.70,8,115,0.26,1335,0.00,0.00,15.56,16,14.45,11.00,77,4.93,-9.82,4.21,1.34,0.00,0.64,0.00
3799,3.12,-0.78,14.24,8,115,0.23,1302,0.00,0.00,14.85,16,11.64,8.50,77,4.64,-10.13,4.13,1.32,0.00,0.64,0.00
3873,2.34,-0.78,14.01,8,115,0.22,1266,0.00,0.00,14.85,16,10.59,3.50,77,4.50,-10.19,4.29,1.34,0.00,0.64,0.00
3945,1.56,-0.78,13.78,8,115,0.23,1216,0.00,0.00,14.85,16,10.59,7.50,77,4.50,-10.17,4.40,1.36,0.00,0.64,0.00
4018,0.78,-0.78,13.55,8,115,0.24,1151,0.00,0.00,14.66,16,10.23,14.00,77,4.50,-10.09,4.57,1.36,0.00,0.64,0.00
4092,0.00,-0.78,13.44,8,115,0.25,1128,0.00,0.00,14.66,16,10.23,16.50,77,4.64,-10.00,4.64,1.38,0.00,0.64,0.00
4164,0.00,-0.78,13.44,8,115,0.26,1110,0.00,0.00,14.66,16,10.23,16.50,77,4.64,-9.94,4.73,1.38,0.00,0.64,0.00
4238,0.00,-0.78,13.44,8,115,0.27,1103,0.00,0.00,14.66,16,10.23,17.50,77,4.79,-9.84,4.85,1.40,0.00,0.64,0.00
4310,0.00,-0.78,13.55,8,115,0.29,1101,0.00,0.00,14.66,16,10.23,17.50,77,4.93,-9.71,5.14,1.42,0.00,0.64,0.00
4383,0.00,0.00,13.55,8,115,0.29,1118,0.00,0.00,14.66,16,10.23,17.50,77,5.08,-9.61,5.30,1.42,0.00,0.64,0.00
4456,-0.78,0.00,13.55,8,115,0.29,1124,0.00,0.00,14.47,16,10.23,16.00,77,5.08,-9.53,5.43,1.44,0.00,0.64,0.00
4529,-0.78,0.00,13.55,8,117,0.29,1136,0.00,0.00,14.47,16,10.23,12.50,77,5.22,-9.49,5.46,1.44,0.00,0.64,0.00
4603,-0.78,0.00,13.55,8,117,0.29,1132,0.00,0.00,14.47,16,10.23,13.00,77,5.22,-9.48,5.46,1.44,0.00,0.64,0.00
4675,-0.78,0.00,13.55,8,117,0.29,1121,0.00,0.00,14.47,16,10.23,14.00,77,5.22,-9.42,5.46,1.44,0.00,0.64,0.00
4748,-1.56,0.00,13.55,8,117,0.29,1134,0.00,0.00,14.47,16,10.23,12.00,77,5.22,-9.40,5.46,1.44,0.00,0.64,0.00
4821,-1.56,0.00,13.55,8,117,0.29,1125,0.00,0.00,14.47,16,10.23,11.50,77,5.37,-9.38,5.46,1.44,0.00,0.64,0.00
4894,-1.56,0.00,13.78,8,117,0.29,1132,0.00,0.00,14.47,16,10.23,13.00,77,5.37,-9.38,5.46,1.44,0.00,0.64,0.00
4968,-1.56,0.00,13.78,8,117,0.29,1138,0.00,0.00,14.47,16,10.23,12.00,77,5.37,-9.38,5.46,1.44,0.00,0.64,0.00
5040,-1.56,0.00,13.90,8,117,0.29,1139,0.00,0.00,14.47,16,10.23,11.50,77,5.37,-9.36,5.46,1.44,0.00,0.64,0.00
5113,-1.56,0.00,14.01,8,117,0.29,1114,0.00,0.00,14.47,16,10.23,11.00,77,5.37,-9.34,5.46,1.44,0.00,0.64,0.00
5187,-1.56,0.00,14.01,8,117,0.29,1121,0.00,0.00,14.47,16,10.23,13.00,77,5.37,-9.34,5.46,1.44,0.00,0.64,0.00
5259,-1.56,0.00,14.13,8,117,0.29,1139,0.00,0.00,14.47,16,10.23,10.50,77,5.37,-9.34,5.43,1.44,0.00,0.64,0.00
5332,-1.56,0.00,14.13,8,117,0.30,1112,0.00,0.00,14.47,16,10.23,13.50,77,5.37,-9.32,5.43,1.44,0.00,0.64,0.00
5405,-1.56,0.00,14.24,8,117,0.29,1116,0.00,0.00,14.47,16,10.23,13.00,77,5.37,-9.28,5.46,1.44,0.00,0.64,0.00
5478,-0.78,0.00,14.36,8,117,0.29,1108,0.00,0.00,14.47,16,10.23,12.00,77,5.37,-9.32,5.40,1.44,0.00,0.64,0.00
5551,-0.78,0.00,14.47,8,117,0.29,1122,0.00,0.00,14.47,16,10.23,13.50,77,5.37,-9.28,5.43,1.44,0.00,0.64,0.00
5624,-0.78,0.00,14.47,8,117,0.29,1115,0.00,0.00,14.47,16,10.23,11.50,77,5.37,-9.28,5.43,1.44,0.00,0.64,0.00
5697,-0.78,0.00,14.47,8,117,0.29,1114,0.00,0.00,14.47,16,10.23,12.50,77,5.37,-9.26,5.46,1.44,0.00,0.64,0.00
5770,-0.78,0.00,14.59,8,117,0.31,1120,0.00,0.00,14.47,16,10.23,12.50,77,5.51,-9.15,5.52,1.44,0.00,0.68,0.00
5843,-0.78,0.00,14.59,8,117,0.33,1117,0.00,0.00,14.44,16,11.29,10.00,77,5.66,-9.07,6.09,1.46,0.00,0.68,0.00
5916,-0.78,0.00,14.59,8,117,0.30,1126,0.00,0.00,14.47,16,11.99,11.00,77,5.66,-9.17,5.62,1.44,0.00,0.68,0.00
5989,-0.78,0.00,14.70,8,117,0.29,1141,0.00,0.00,14.47,16,13.05,11.50,77,5.51,-9.18,5.55,1.44,0.00,0.68,0.00
6063,-0.78,0.00,14.70,8,117,0.30,1133,0.00,0.00,14.47,16,14.10,13.00,77,5.51,-9.18,5.59,1.44,0.00,0.70,0.00
6136,-0.78,0.00,14.81,8,117,0.30,1146,0.00,0.00,14.47,16,14.80,14.00,77,5.51,-9.17,5.68,1.44,0.00,0.70,0.00
6209,0.00,0.00,14.81,8,117,0.31,1136,0.00,0.00,14.47,16,15.86,14.50,77,5.51,-9.17,5.72,1.46,0.00,0.70,0.00
6282,0.00,0.00,14.81,8,117,0.32,1117,0.00,0.00,14.47,16,17.27,15.50,77,5.66,-9.05,5.81,1.46,0.00,0.70,0.00
6354,0.00,0.00,14.70,8,117,0.34,1099,0.00,0.00,14.44,16,18.32,16.50,77,5.66,-8.89,5.98,1.48,0.00,0.72,0.00
6427,-0.78,0.00,14.59,8,117,0.35,1100,0.00,0.00,14.44,16,19.38,19.00,77,5.80,-8.84,6.40,1.50,0.00,0.72,0.00
6501,-0.78,0.00,14.59,8,117,0.38,1099,0.00,0.00,12.03,16,21.84,20.00,77,5.95,-8.53,6.70,1.56,0.00,0.76,0.00
6573,0.00,0.00,14.47,8,117,0.43,1100,0.00,0.00,11.46,16,23.24,21.50,77,6.24,-8.12,7.78,1.60,0.00,0.76,0.00
6646,-0.78,0.00,14.59,8,117,0.43,1129,0.00,0.00,14.32,16,23.24,23.50,77,6.53,-7.85,8.31,1.62,0.00,0.76,0.00
6720,-0.78,0.00,14.47,8,117,0.35,1278,0.00,0.00,17.27,16,22.54,22.50,77,6.82,-8.91,8.36,1.60,0.00,0.64,0.00
6793,-1.56,0.00,14.24,8,117,0.30,1348,0.00,0.00,15.61,16,20.08,14.00,77,5.37,-9.24,5.90,1.40,0.00,0.64,0.00
6866,-1.56,0.00,13.67,8,117,0.26,1367,0.00,0.00,15.70,16,17.27,13.50,77,5.08,-9.73,4.43,1.34,0.00,0.64,0.00
6938,-2.34,-0.78,13.44,8,117,0.24,1324,0.00,0.00,15.37,16,13.75,10.50,77,4.64,-10.17,4.10,1.32,0.00,0.64,0.00
7012,-3.12,-0.78,13.32,8,117,0.22,1272,0.00,0.00,14.66,16,10.94,8.00,77,4.50,-10.35,4.07,1.32,0.00,0.64,0.00
7084,-3.12,-0.78,13.44,8,117,0.22,1193,0.00,0.00,14.66,16,10.59,11.50,77,4.35,-10.38,4.37,1.36,0.00,0.64,0.00
7158,-3.12,-0.78,13.44,8,117,0.24,1141,0.00,0.00,14.66,16,10.23,17.00,77,4.35,-10.25,4.55,1.36,0.00,0.64,0.00
7231,-3.12,-0.78,13.55,8,117,0.25,1109,0.00,0.00,14.66,16,10.23,19.00,77,4.50,-10.06,4.60,1.36,0.00,0.64,0.00
7303,-3.12,-0.78,13.55,8,117,0.27,1088,0.00,0.00,14.66,16,9.88,19.00,77,4.64,-9.94,4.66,1.38,0.00,0.64,0.00
7377,-3.12,-0.78,13.67,8,117,0.29,1068,0.00,0.00,12.48,16,9.88,19.00,77,4.79,-9.75,4.86,1.42,0.00,0.64,0.00
7449,-3.12,-0.78,13.90,8,117,0.30,1079,0.00,0.00,14.47,16,9.88,19.00,77,5.08,-9.61,5.27,1.42,0.00,0.64,0.00
7523,-3.12,0.00,14.01,8,117,0.29,1096,0.00,0.00,14.47,16,10.23,19.00,77,5.08,-9.53,5.36,1.42,0.00,0.64,0.00
7596,-2.34,0.00,14.13,8,117,0.29,1111,0.00,0.00,14.47,16,10.23,17.50,77,5.22,-9.46,5.36,1.44,0.00,0.64,0.00
7669,-3.12,0.00,14.24,8,117,0.29,1119,0.00,0.00,14.47,16,10.23,15.50,77,5.22,-9.42,5.40,1.42,0.00,0.64,0.00
7742,-3.12,0.00,14.13,8,117,0.29,1117,0.00,0.00,14.47,16,10.23,14.00,77,5.37,-9.38,5.40,1.42,0.00,0.64,0.00
7815,-3.12,0.00,13.90,8,117,0.29,1112,0.00,0.00,14.47,16,10.23,14.50,77,5.37,-9.36,5.40,1.44,0.00,0.64,0.00
7888,-3.12,0.00,13.90,8,117,0.29,1114,0.00,0.00,14.47,16,10.23,15.00,77,5.37,-9.36,5.40,1.44,0.00,0.64,0.00
7961,-3.12,0.00,14.01,8,117,0.29,1103,0.00,0.00,14.47,16,10.23,15.00,77,5.37,-9.34,5.40,1.44,0.00,0.64,0.00
8034,-3.12,0.00,14.01,8,117,0.29,1106,0.00,0.00,14.47,16,10.23,13.50,77,5.37,-9.28,5.40,1.44,0.00,0.64,0.00
8106,-3.12,0.00,14.13,8,117,0.29,1098,0.00,0.00,14.47,16,10.23,14.00,77,5.37,-9.30,5.40,1.42,0.00,0.64,0.00
8180,-3.12,0.00,14.24,8,117,0.29,1100,0.00,0.00,14.47,16,10.23,14.50,77,5.37,-9.28,5.43,1.44,0.00,0.64,0.00
8253,-3.12,0.00,14.36,8,117,0.30,1099,0.00,0.00,14.47,16,10.23,14.00,77,5.37,-9.26,5.40,1.44,0.00,0.64,0.00
8326,-3.12,0.00,14.47,8,117,0.29,1108,0.00,0.00,14.47,16,10.23,14.00,77,5.37,-9.26,5.36,1.44,0.00,0.64,0.00
8400,-2.34,0.00,14.59,8,117,0.29,1104,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.28,5.40,1.42,0.00,0.64,0.00
8472,-2.34,0.00,14.59,8,117,0.30,1085,0.00,0.00,14.47,16,10.23,15.00,77,5.37,-9.24,5.40,1.44,0.00,0.64,0.00
8546,-2.34,0.00,14.70,8,117,0.30,1091,0.00,0.00,14.47,16,10.23,15.00,77,5.51,-9.24,5.40,1.42,0.00,0.64,0.00
8619,-2.34,0.00,14.70,8,117,0.29,1102,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.24,5.40,1.42,0.00,0.64,0.00
8691,-2.34,0.00,14.81,8,117,0.30,1083,0.00,0.00,14.47,16,9.88,12.00,77,5.51,-9.18,5.36,1.44,0.00,0.64,0.00
8765,-2.34,0.00,14.81,8,117,0.30,1082,0.00,0.00,14.47,16,10.23,13.50,77,5.51,-9.22,5.40,1.44,0.00,0.64,0.00
8838,-2.34,0.00,14.81,8,117,0.30,1089,0.00,0.00,14.47,16,10.23,13.50,77,5.51,-9.18,5.43,1.44,0.00,0.64,0.00
8911,-1.56,0.00,14.81,8,117,0.31,1057,0.00,0.00,14.47,16,9.88,13.00,77,5.51,-9.18,5.40,1.44,0.00,0.64,0.00
8984,-1.56,0.00,14.93,8,117,0.31,1076,0.00,0.00,14.47,16,9.88,13.50,77,5.51,-9.17,5.46,1.44,0.00,0.64,0.00
9057,-1.56,0.00,14.93,8,117,0.30,1077,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.18,5.46,1.44,0.00,0.64,0.00
9130,-1.56,0.00,14.93,8,117,0.30,1078,0.00,0.00,14.47,16,10.23,13.00,77,5.51,-9.15,5.46,1.44,0.00,0.64,0.00
9203,-1.56,0.00,15.04,8,117,0.30,1085,0.00,0.00,14.47,16,9.88,12.00,77,5.51,-9.17,5.40,1.44,0.00,0.64,0.00
9276,-1.56,0.00,14.93,8,117,0.30,1093,0.00,0.00,14.47,16,10.23,12.50,77,5.51,-9.17,5.40,1.42,0.00,0.64,0.00
9349,-1.56,0.00,14.93,8,117,0.30,1078,0.00,0.00,14.47,16,9.88,11.00,77,5.51,-9.17,5.43,1.44,0.00,0.64,0.00
9422,-1.56,0.00,14.93,8,117,0.30,1066,0.00,0.00,14.47,16,9.88,12.00,77,5.51,-9.17,5.43,1.44,0.00,0.64,0.00
9495,-0.78,0.00,15.04,8,117,0.30,1075,0.00,0.00,14.47,16,9.88,13.50,77,5.51,-9.17,5.43,1.44,0.00,0.64,0.00
9568,-0.78,0.00,14.93,8,117,0.31,1058,0.00,0.00,14.47,16,9.88,12.00,77,5.51,-9.15,5.40,1.44,0.00,0.64,0.00
12385,5.47,0.00,14.59,8,118,0.55,1523,0.00,0.00,14.32,16,29.92,29.50,77,8.85,-5.88,13.78,1.90,0.00,0.88,0.00
12458,6.25,0.00,14.59,8,118,0.54,1540,0.00,0.00,14.32,16,29.57,29.50,77,8.85,-5.86,14.02,1.90,0.00,0.88,0.00
12531,6.25,0.00,14.59,8,118,0.55,1549,0.00,0.00,14.32,16,29.92,29.50,77,8.85,-5.84,14.09,1.90,0.00,0.88,0.00
12604,7.03,0.00,14.47,8,118,0.56,1538,0.00,0.00,14.32,16,30.27,29.50,77,8.85,-5.78,14.15,1.92,0.00,0.90,0.00
12676,7.03,0.00,14.59,8,118,0.57,1519,0.00,0.00,14.32,16,30.27,30.50,77,8.85,-5.69,14.47,1.92,0.00,0.90,0.00
12750,7.03,0.00,14.70,8,118,0.58,1480,0.00,0.00,14.32,16,30.62,30.00,77,9.00,-5.57,14.28,1.92,0.00,0.90,0.00
12822,7.03,0.00,14.59,8,118,0.59,1464,0.00,0.00,14.32,16,30.62,30.50,77,9.14,-5.45,14.47,1.92,0.00,0.90,0.00
12896,5.47,0.78,14.36,8,118,0.61,1422,0.00,0.00,14.29,16,30.62,30.50,77,9.29,-5.28,14.34,1.92,0.00,0.90,0.00
12969,4.69,0.78,13.90,8,118,0.63,1362,0.00,0.00,14.29,16,30.27,30.50,77,9.58,-5.09,14.47,1.92,0.00,0.90,0.00
13042,3.12,0.78,14.01,8,118,0.67,1325,0.00,0.00,12.92,16,28.87,30.50,77,9.72,-4.85,14.40,1.92,0.00,0.90,0.00
13115,3.12,0.78,13.90,8,118,0.69,1266,0.00,0.00,14.21,16,28.16,28.50,77,10.01,-4.56,14.47,1.92,0.00,0.90,0.00
13188,3.91,1.56,13.78,8,118,0.67,1243,0.00,0.00,14.25,16,29.22,27.50,77,10.16,-4.33,14.22,1.90,0.00,0.90,0.00
13262,2.34,1.56,13.67,8,118,0.64,1334,0.00,0.00,14.74,16,30.98,29.50,77,10.30,-4.45,14.28,1.90,0.00,0.90,0.00
13335,0.78,1.56,13.55,8,118,0.63,1438,0.00,0.00,14.32,16,31.33,30.50,77,10.30,-4.56,14.47,1.92,0.00,0.90,0.00
13408,1.56,1.56,13.44,8,118,0.62,1423,0.00,0.00,14.32,16,30.98,31.00,77,10.16,-4.64,14.47,1.92,0.00,0.90,0.00
13482,3.12,1.56,14.13,8,118,0.61,1466,0.00,0.00,14.36,16,31.33,30.50,77,10.01,-4.72,14.60,1.92,0.00,0.90,0.00
13554,4.69,1.56,14.70,8,118,0.58,1535,0.00,0.00,14.36,16,30.27,31.00,77,9.14,-6.05,14.73,1.92,0.00,0.70,0.00
13627,4.69,1.56,14.70,8,118,0.46,1596,0.00,0.00,16.60,16,28.16,31.00,77,7.40,-8.20,12.05,1.76,0.00,0.64,0.00
13701,3.91,1.56,14.81,8,118,0.33,1721,0.00,0.00,17.31,16,24.30,19.00,77,5.95,-9.42,6.49,1.36,0.00,0.64,0.00
13774,2.34,1.56,14.01,8,118,0.26,1766,0.00,0.00,16.86,16,19.73,15.50,77,4.79,-10.09,4.24,1.34,0.00,0.64,0.00
13847,0.00,1.56,12.86,8,118,0.21,1773,0.00,0.00,16.24,16,15.86,11.50,77,4.64,-10.52,4.10,1.32,0.00,0.64,0.00
13920,0.00,1.56,12.29,10,118,0.18,1719,0.00,0.00,14.47,16,11.99,7.50,77,4.21,-10.81,4.18,1.32,0.00,0.64,0.00
13993,0.00,1.56,11.83,10,118,0.18,1489,0.00,0.00,14.47,16,11.64,6.00,77,3.92,-10.79,4.43,1.36,0.00,0.64,0.00
14067,0.00,1.56,11.71,10,118,0.22,1378,0.00,0.00,12.07,16,11.29,19.00,77,4.06,-10.64,4.69,1.38,0.00,0.64,0.00
14139,0.00,0.78,11.83,10,118,0.25,1244,0.00,0.00,11.85,16,10.59,20.00,77,4.21,-10.36,4.97,1.40,0.00,0.64,0.00
14213,0.00,-0.78,11.94,10,118,0.27,1271,0.00,0.00,14.40,16,10.94,19.50,77,4.50,-10.15,5.30,1.44,0.00,0.68,0.00
14286,0.00,-0.78,12.17,10,118,0.27,1292,0.00,0.00,14.40,16,11.99,20.00,77,4.50,-10.11,5.78,1.46,0.00,0.70,0.00
14358,0.00,-0.78,14.24,10,118,0.30,1277,0.00,0.00,12.72,16,13.05,11.50,77,4.64,-9.92,6.22,1.50,0.00,0.74,0.00
14432,0.00,-0.78,14.93,10,118,0.34,1289,0.00,0.00,11.88,16,14.80,13.00,77,4.79,-9.48,6.88,1.56,0.00,0.78,0.00
14504,0.00,0.00,15.39,10,118,0.41,1336,0.00,0.00,11.20,16,18.67,16.50,77,5.22,-8.95,8.45,1.66,0.00,0.82,0.00
14578,0.00,0.00,15.16,10,118,0.43,1435,0.00,0.00,12.93,16,25.35,20.00,77,5.80,-8.31,10.04,1.74,0.00,0.82,0.00
14651,0.00,0.00,14.13,10,118,0.44,1561,0.00,0.00,14.25,16,28.87,25.00,77,6.24,-7.95,10.99,1.78,0.00,0.84,0.00
14724,0.00,0.00,12.17,10,118,0.45,1556,0.00,0.00,14.25,16,28.87,28.50,77,6.96,-7.73,11.56,1.80,0.00,0.84,0.00
14797,0.00,0.00,12.06,10,118,0.48,1498,0.00,0.00,14.21,16,28.52,28.50,77,7.11,-7.44,11.71,1.80,0.00,0.84,0.00
14869,0.00,0.00,12.52,10,118,0.50,1444,0.00,0.00,14.21,16,28.52,28.50,77,7.40,-7.19,11.82,1.80,0.00,0.84,0.00
