Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
2995,3.91,0.00,14.70,8,169,0.38,1648,0.00,0.00,14.73,16,30.27,30.00,97,6.38,-8.31,10.23,1.72,0.00,0.82,14.70
3068,3.91,0.00,14.70,8,169,0.37,1648,0.00,0.00,14.73,16,30.27,30.00,97,6.38,-8.35,10.38,1.74,0.00,0.80,14.70
3141,3.91,0.00,14.70,8,169,0.37,1656,0.00,0.00,14.73,16,30.62,30.50,97,6.24,-8.39,10.33,1.74,0.00,0.80,14.70
3214,3.91,0.00,14.70,8,169,0.37,1665,0.00,0.00,14.73,16,30.27,30.00,97,6.24,-8.41,10.33,1.72,0.00,0.80,14.80
3287,3.91,0.00,14.70,8,169,0.36,1696,0.00,0.00,14.73,16,30.98,30.50,97,6.24,-8.43,10.28,1.74,0.00,0.80,14.70
3360,3.91,0.00,14.70,8,169,0.37,1701,0.00,0.00,14.73,16,31.33,30.50,97,6.24,-8.51,10.38,1.74,0.00,0.80,14.70
3433,3.91,0.00,14.59,8,169,0.36,1701,0.00,0.00,14.73,16,30.98,30.50,97,6.24,-8.53,10.38,1.72,0.00,0.80,14.70
3506,3.91,0.00,14.59,8,169,0.37,1701,0.00,0.00,14.73,16,31.33,30.50,97,6.24,-8.57,10.33,1.74,0.00,0.82,14.60
3579,3.91,0.00,14.59,8,169,0.36,1716,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.59,10.33,1.74,0.00,0.80,14.70
3652,3.91,0.00,14.59,8,169,0.36,1718,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.59,10.33,1.72,0.00,0.80,14.70
3725,3.12,0.00,14.59,8,169,0.36,1714,0.00,0.00,14.73,16,30.98,31.00,97,6.09,-8.60,10.43,1.74,0.00,0.80,14.70
3798,3.12,0.00,14.36,8,169,0.36,1721,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.60,10.38,1.74,0.00,0.80,14.60
3871,2.34,0.00,14.36,8,169,0.36,1715,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.60,10.43,1.74,0.00,0.80,14.60
3945,2.34,0.00,14.36,8,169,0.35,1731,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.64,10.17,1.72,0.00,0.80,14.50
4017,2.34,0.00,14.36,8,169,0.35,1733,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.66,10.38,1.72,0.00,0.80,14.50
4090,2.34,0.00,14.47,8,169,0.36,1726,0.00,0.00,14.73,16,31.33,31.00,97,6.09,-8.68,10.28,1.74,0.00,0.80,14.50
4164,3.12,0.00,14.47,8,169,0.35,1735,0.00,0.00,14.73,16,31.33,31.00,97,5.95,-8.66,10.17,1.72,0.00,0.80,14.50
4237,3.12,0.00,14.59,8,169,0.36,1729,0.00,0.00,14.70,16,31.33,31.00,97,6.09,-8.64,10.17,1.72,0.00,0.80,14.60
4310,3.12,0.00,14.70,8,169,0.36,1726,0.00,0.00,14.70,16,31.33,31.50,97,6.09,-8.64,10.17,1.72,0.00,0.80,14.70
4383,3.12,0.00,14.70,8,169,0.36,1738,0.00,0.00,14.70,16,31.33,31.00,97,5.95,-8.68,10.48,1.74,0.00,0.80,14.70
4456,3.12,0.00,14.70,8,169,0.36,1729,0.00,0.00,14.70,16,31.33,31.00,97,5.95,-8.66,10.38,1.74,0.00,0.80,14.70
4529,3.12,0.00,14.70,8,169,0.36,1740,0.00,0.00,14.70,16,31.68,31.50,97,6.09,-8.68,10.38,1.74,0.00,0.80,14.80
4603,3.12,0.00,14.59,8,169,0.35,1738,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.33,1.72,0.00,0.80,14.80
4675,2.34,0.00,14.36,8,169,0.35,1730,0.00,0.00,14.70,16,31.33,31.00,97,5.95,-8.68,10.28,1.72,0.00,0.80,14.60
4749,2.34,0.00,14.36,8,169,0.36,1752,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.28,1.74,0.00,0.80,14.60
4821,2.34,0.00,14.36,8,169,0.35,1752,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.33,1.72,0.00,0.80,14.50
4895,2.34,0.00,14.47,8,169,0.35,1744,0.00,0.00,14.70,16,31.33,31.50,97,5.95,-8.68,10.17,1.72,0.00,0.82,14.60
4967,2.34,0.00,14.47,8,169,0.35,1745,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.23,1.72,0.00,0.82,14.60
5041,2.34,0.00,14.59,8,169,0.35,1756,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.33,1.74,0.00,0.80,14.60
5113,2.34,0.00,14.70,8,169,0.36,1747,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.38,1.74,0.00,0.82,14.70
5187,2.34,0.00,14.70,8,169,0.36,1746,0.00,0.00,14.70,16,31.68,31.50,97,5.95,-8.68,10.47,1.74,0.00,0.82,14.70
5260,2.34,0.00,14.59,8,169,0.36,1758,0.00,0.00,14.70,16,32.03,32.00,97,5.95,-8.68,10.47,1.74,0.00,0.82,14.70
5333,1.56,0.00,14.47,8,169,0.36,1760,0.00,0.00,14.70,16,32.03,32.00,97,5.95,-8.68,10.48,1.74,0.00,0.82,14.60
5405,2.34,0.00,14.47,8,169,0.35,1770,0.00,0.00,14.70,16,32.03,32.00,97,5.95,-8.68,10.48,1.74,0.00,0.82,14.60
5479,1.56,0.00,14.36,8,169,0.35,1770,0.00,0.00,14.70,16,32.03,32.00,95,5.95,-8.68,10.48,1.74,0.00,0.82,14.60
5551,1.56,0.00,14.47,8,169,0.35,1766,0.00,0.00,14.70,16,32.03,32.00,95,5.95,-8.66,10.48,1.74,0.00,0.82,14.60
5624,2.34,0.00,14.59,8,169,0.35,1777,0.00,0.00,14.70,16,32.03,32.00,95,5.95,-8.68,10.43,1.74,0.00,0.82,14.60
5697,2.34,0.00,14.59,8,169,0.35,1787,0.00,0.00,14.70,16,32.03,32.00,95,5.95,-8.68,10.49,1.74,0.00,0.82,14.50
5771,2.34,0.00,14.59,8,169,0.35,1791,0.00,0.00,14.70,16,32.38,32.00,95,5.95,-8.68,10.54,1.74,0.00,0.82,14.50
5844,2.34,0.00,14.59,8,169,0.35,1788,0.00,0.00,14.70,16,32.38,32.00,95,5.95,-8.68,10.45,1.74,0.00,0.82,14.60
5917,1.56,0.00,14.59,8,169,0.35,1819,0.00,0.00,14.70,16,32.73,32.50,95,6.09,-8.68,10.54,1.74,0.00,0.82,14.70
5990,1.56,0.00,14.47,8,169,0.35,1828,0.00,0.00,14.70,16,32.73,33.00,95,6.09,-8.66,10.49,1.74,0.00,0.82,14.60
6063,1.56,0.00,14.59,8,169,0.35,1822,0.00,0.00,14.70,16,32.73,32.50,95,6.09,-8.68,10.54,1.74,0.00,0.82,14.60
6136,1.56,0.00,14.59,8,169,0.34,1835,0.00,0.00,14.70,16,33.09,33.00,95,5.95,-8.70,10.47,1.74,0.00,0.82,14.70
6209,1.56,0.00,14.59,8,169,0.34,1848,0.00,0.00,14.70,16,33.09,33.00,95,5.95,-8.70,10.48,1.74,0.00,0.82,14.70
6282,1.56,0.00,14.59,8,169,0.34,1840,0.00,0.00,14.70,16,32.73,33.00,95,5.95,-8.70,10.49,1.74,0.00,0.82,14.60
6355,1.56,0.00,14.59,8,169,0.34,1835,0.00,0.00,14.70,16,32.73,33.00,95,5.95,-8.68,10.49,1.74,0.00,0.82,14.60
6428,2.34,0.00,14.70,8,169,0.34,1842,0.00,0.00,14.70,16,33.09,33.00,95,5.95,-8.68,10.49,1.74,0.00,0.82,14.60
6502,2.34,0.00,14.70,8,169,0.34,1848,0.00,0.00,14.70,16,33.09,33.00,95,5.95,-8.70,10.48,1.74,0.00,0.82,14.60
6575,2.34,0.00,14.70,8,169,0.34,1858,0.00,0.00,14.70,16,33.09,33.00,95,5.95,-8.70,10.45,1.74,0.00,0.82,14.70
6648,1.56,0.00,14.70,8,169,0.35,1856,0.00,0.00,14.70,16,33.44,33.00,95,5.95,-8.68,10.59,1.76,0.00,0.82,14.70
6720,2.34,0.00,14.70,8,169,0.34,1861,0.00,0.00,14.70,16,33.79,33.00,95,5.95,-8.70,10.69,1.76,0.00,0.82,14.60
6793,2.34,0.00,14.70,8,169,0.34,1880,0.00,0.00,14.70,16,33.79,33.50,95,5.95,-8.68,10.69,1.76,0.00,0.82,14.80
6866,2.34,0.00,14.81,8,169,0.34,1880,0.00,0.00,14.70,16,33.44,33.00,95,5.95,-8.68,10.58,1.76,0.00,0.82,14.80
6939,2.34,0.00,14.59,8,169,0.34,1871,0.00,0.00,14.70,16,33.44,33.50,95,5.95,-8.68,10.54,1.74,0.00,0.82,14.70
12335,0.00,0.00,14.47,8,171,0.34,2148,0.00,0.00,14.70,16,37.30,37.00,93,5.95,-8.74,11.82,1.82,0.00,0.84,14.60
12407,0.00,0.00,14.36,8,171,0.33,2166,0.00,0.00,14.70,16,37.66,37.50,91,5.95,-8.78,12.04,1.82,0.00,0.84,14.60
12481,0.00,0.00,14.59,8,171,0.33,2179,0.00,0.00,14.70,16,37.66,37.00,91,5.95,-8.78,11.77,1.82,0.00,0.84,14.60
12553,0.00,0.00,14.59,8,171,0.33,2166,0.00,0.00,14.70,16,37.66,37.00,91,5.95,-8.78,11.93,1.82,0.00,0.84,14.60
12626,0.00,0.00,14.59,8,171,0.33,2158,0.00,0.00,14.70,16,37.30,37.50,91,5.95,-8.78,11.93,1.82,0.00,0.84,14.60
12699,0.78,0.00,14.59,8,171,0.33,2181,0.00,0.00,14.70,16,38.01,37.50,91,5.95,-8.80,11.93,1.82,0.00,0.84,14.70
18092,1.56,0.00,14.81,8,171,0.38,2486,0.00,0.00,14.70,16,41.88,41.50,90,6.24,-8.55,15.63,1.96,0.00,0.84,15.00
18165,1.56,0.00,14.81,8,171,0.39,2478,0.00,0.00,14.70,16,42.23,42.00,90,6.24,-8.53,15.78,1.96,0.00,0.84,15.00
18237,1.56,0.00,14.70,8,171,0.38,2480,0.00,0.00,14.70,16,42.23,41.50,90,6.09,-8.55,15.63,1.96,0.00,0.84,15.00
18310,1.56,0.00,14.70,8,171,0.38,2485,0.00,0.00,14.70,16,42.23,42.00,90,6.24,-8.53,15.69,1.96,0.00,0.84,14.80
18384,1.56,0.00,14.59,8,171,0.37,2502,0.00,0.00,14.70,16,41.88,42.00,90,6.24,-8.55,15.78,1.96,0.00,0.84,14.70
18457,1.56,0.00,14.70,8,171,0.37,2507,0.00,0.00,14.70,16,41.88,41.50,90,6.09,-8.60,15.41,1.96,0.00,0.84,14.70
18530,1.56,0.00,14.59,8,171,0.37,2506,0.00,0.00,14.70,16,42.23,41.50,90,6.09,-8.59,15.63,1.96,0.00,0.84,14.70
18602,2.34,0.00,14.81,8,171,0.38,2518,0.00,0.00,14.70,16,42.58,42.00,90,6.09,-8.60,15.70,1.96,0.00,0.84,14.70
18676,2.34,0.00,14.81,8,171,0.37,2512,0.00,0.00,14.70,16,41.88,41.50,90,6.09,-8.57,15.92,1.96,0.00,0.84,14.80
18749,2.34,0.00,14.81,8,171,0.37,2526,0.00,0.00,14.70,16,42.23,42.00,90,6.09,-8.59,16.00,1.96,0.00,0.84,14.80
18822,1.56,0.00,14.70,8,171,0.37,2541,0.00,0.00,14.70,16,42.23,41.50,90,6.09,-8.57,15.92,1.98,0.00,0.84,14.70
18894,1.56,0.00,14.59,8,171,0.37,2554,0.00,0.00,14.70,16,42.23,42.00,90,6.09,-8.60,15.92,1.96,0.00,0.84,14.70
18967,1.56,0.00,14.59,8,171,0.37,2559,0.00,0.00,14.70,16,42.23,42.00,90,6.09,-8.60,15.78,1.96,0.00,0.84,14.70
19041,1.56,0.00,14.70,8,171,0.38,2561,0.00,0.00,14.70,16,41.88,42.00,90,6.09,-8.59,15.92,1.96,0.00,0.84,14.60
19115,0.78,0.00,14.47,8,171,0.38,2550,0.00,0.00,14.70,16,42.23,42.00,90,6.09,-8.59,16.07,1.96,0.00,0.84,14.60
19187,1.56,0.00,14.59,8,171,0.37,2558,0.00,0.00,14.70,16,42.23,41.50,90,6.09,-8.59,15.92,1.98,0.00,0.84,14.60
19261,0.78,0.00,14.59,8,171,0.37,2589,0.00,0.00,14.70,16,41.88,41.50,90,6.09,-8.62,15.85,1.96,0.00,0.84,14.60
19333,0.78,0.00,14.59,8,171,0.37,2573,0.00,0.00,14.70,16,42.23,42.00,90,6.09,-8.60,16.07,1.98,0.00,0.84,14.70
19407,1.56,0.00,14.59,8,172,0.38,2580,0.00,0.00,14.70,16,42.58,42.50,90,6.09,-8.62,16.36,1.98,0.00,0.84,14.60
19480,1.56,0.00,14.70,8,172,0.38,2584,0.00,0.00,14.70,16,42.58,42.50,90,6.09,-8.60,16.23,1.98,0.00,0.84,14.70
19552,1.56,0.00,14.70,8,172,0.37,2605,0.00,0.00,14.70,16,42.58,42.50,90,6.09,-8.60,16.29,1.98,0.00,0.84,14.70
23434,0.00,0.00,14.70,8,172,0.34,2626,0.00,0.00,14.70,16,40.82,41.00,88,5.66,-9.09,14.79,1.94,0.00,0.82,14.70
23506,0.00,0.00,14.70,8,172,0.34,2636,0.00,0.00,14.70,16,41.17,40.50,88,5.66,-9.09,14.79,1.92,0.00,0.82,14.70
23580,0.00,0.00,14.81,8,172,0.34,2640,0.00,0.00,14.70,16,40.82,40.50,88,5.66,-9.09,14.66,1.92,0.00,0.82,14.80
