Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Throttle Opening Angle (%)
9729,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
9816,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
9903,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
9990,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.39,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10077,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10163,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10250,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10337,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.39,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10424,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10510,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10598,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10685,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10771,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10858,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
10945,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11032,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11119,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11206,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11293,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11380,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11466,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11553,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11640,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11727,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,93,1.18
11813,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,95,1.18
11900,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,95,1.18
11988,0.00,-0.78,14.70,7,0.35,0,0.00,0.00,0.00,16,14.36,-0.33,0.00,-1.70,0.68,0.00,0.00,14.60,2.92,0.70,-20.00,9.50,95,1.18
