Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
3725,0.78,0.00,14.59,8,163,0.29,999,0.00,0.00,14.70,16,9.88,10.00,77,5.51,-9.13,4.95,1.40,0.00,0.64,0.00
3799,1.56,0.00,14.70,8,163,0.29,1016,0.00,0.00,14.70,16,9.88,8.00,77,5.66,-9.17,4.95,1.40,0.00,0.64,0.00
3871,0.78,0.00,14.59,8,163,0.29,1006,0.00,0.00,14.70,16,9.88,9.50,77,5.51,-9.17,4.95,1.40,0.00,0.64,0.00
3944,0.78,0.00,14.59,8,163,0.29,1009,0.00,0.00,14.70,16,9.88,9.00,77,5.51,-9.18,4.85,1.38,0.00,0.64,0.00
4017,1.56,0.00,14.47,8,163,0.29,998,0.00,0.00,14.70,16,9.88,10.50,77,5.51,-9.18,4.85,1.38,0.00,0.64,0.00
4090,0.78,0.00,14.59,8,163,0.30,991,0.00,0.00,14.70,16,9.88,10.00,77,5.51,-9.13,4.88,1.38,0.00,0.64,0.00
4163,0.78,0.00,14.59,8,163,0.30,994,0.00,0.00,14.70,16,9.88,10.50,77,5.51,-9.13,4.91,1.40,0.00,0.64,0.00
4237,1.56,0.00,14.47,8,163,0.30,990,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.09,4.91,1.40,0.00,0.64,0.00
4309,1.56,0.00,14.70,8,163,0.29,1000,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.13,4.91,1.40,0.00,0.64,0.00
4382,1.56,0.00,14.59,8,163,0.28,1010,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-9.15,4.79,1.38,0.00,0.64,0.00
