Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
155297,-0.78,-3.12,13.78,8,0.21,1306,0.00,0.00,16,14.71,10.94,19.00,0.64,3.77,4.48,1.36,0.00,-10.98
155361,-1.56,-3.12,13.67,8,0.22,1286,0.00,0.00,16,14.71,10.59,19.00,0.64,3.77,4.48,1.36,0.00,-10.98
155433,-2.34,-3.12,13.67,8,0.22,1243,0.00,0.00,16,14.71,10.59,19.00,0.64,3.77,4.53,1.36,0.00,-10.96
155505,-3.12,-3.12,13.32,8,0.23,1221,0.00,0.00,16,14.71,10.59,18.50,0.64,3.77,4.60,1.36,0.00,-10.91
155569,-4.69,-3.12,13.21,8,0.23,1200,0.00,0.00,16,14.71,10.59,18.50,0.64,3.77,4.60,1.36,0.00,-10.83
155634,-5.47,-3.12,12.98,8,0.24,1184,0.00,0.00,16,14.71,10.23,18.00,0.64,3.92,4.53,1.36,0.00,-10.77
155706,-6.25,-2.34,12.86,8,0.24,1152,0.00,0.00,16,14.71,10.23,18.00,0.64,4.06,4.53,1.36,0.00,-10.67
155778,-7.03,-2.34,12.63,8,0.24,1117,0.00,0.00,16,14.71,10.23,18.00,0.64,4.06,4.51,1.36,0.00,-10.58
155842,-7.81,-2.34,12.63,8,0.25,1098,0.00,0.00,16,14.71,10.23,18.00,0.64,4.21,4.48,1.36,0.00,-10.52
155914,-7.81,-2.34,12.63,8,0.25,1073,0.00,0.00,16,14.71,9.88,17.50,0.64,4.21,4.46,1.34,0.00,-10.50
155977,-8.59,-2.34,12.52,8,0.25,1062,0.00,0.00,16,14.71,9.88,17.50,0.64,4.21,4.40,1.34,0.00,-10.42
156049,-8.59,0.00,12.52,8,0.25,1051,0.00,0.00,16,14.71,9.88,17.50,0.64,4.35,4.35,1.36,0.00,-10.38
156115,-9.38,0.00,12.40,8,0.25,1037,0.00,0.00,16,14.71,9.88,17.50,0.64,4.35,4.29,1.34,0.00,-10.31
156187,-9.38,0.00,12.40,8,0.25,1025,0.00,0.00,16,14.71,9.88,17.50,0.64,4.35,4.24,1.32,0.00,-10.29
156251,-10.16,0.00,12.29,8,0.25,1018,0.00,0.00,16,14.71,9.88,17.50,0.64,4.50,4.21,1.34,0.00,-10.21
156324,-10.16,0.00,12.29,8,0.25,1002,0.00,0.00,16,14.71,9.88,17.50,0.64,4.50,4.21,1.34,0.00,-10.15
156388,-10.94,0.00,12.29,8,0.25,990,0.00,0.00,16,14.70,9.88,17.50,0.64,4.64,4.15,1.34,0.00,-10.07
156460,-10.94,0.00,12.40,8,0.26,974,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,4.15,1.32,0.00,-10.00
156524,-11.72,0.00,12.63,8,0.27,952,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,4.21,1.32,0.00,-9.94
156592,-11.72,0.00,12.75,8,0.27,944,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,4.26,1.32,0.00,-9.82
156665,-11.72,0.00,12.98,8,0.27,935,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,4.26,1.34,0.00,-9.75
156736,-10.94,-0.78,13.32,8,0.28,929,0.00,0.00,16,14.70,9.88,17.50,0.64,5.08,4.32,1.34,0.00,-9.61
156801,-11.72,-0.78,13.32,8,0.28,930,0.00,0.00,16,14.70,9.88,17.50,0.64,5.08,4.37,1.34,0.00,-9.55
156872,-10.94,-0.78,13.55,8,0.28,925,0.00,0.00,16,14.70,9.88,17.50,0.66,5.22,4.43,1.34,0.00,-9.46
156937,-10.94,-0.78,13.78,8,0.29,934,0.00,0.00,16,14.70,9.88,17.50,0.66,5.22,4.43,1.34,0.00,-9.42
157011,-10.94,-1.56,14.01,8,0.29,930,0.00,0.00,16,14.70,9.88,17.50,0.66,5.37,4.48,1.36,0.00,-9.34
157075,-10.94,-1.56,14.13,8,0.30,924,0.00,0.00,16,14.70,9.88,17.50,0.66,5.37,4.55,1.36,0.00,-9.28
157147,-10.94,-1.56,14.24,8,0.30,908,0.00,0.00,16,14.69,9.88,17.50,0.66,5.51,4.60,1.36,0.00,-9.17
157211,-10.94,-1.56,14.36,8,0.30,907,0.00,0.00,16,14.70,9.88,17.50,0.66,5.51,4.60,1.36,0.00,-9.13
157283,-10.94,-2.34,14.47,8,0.29,926,0.00,0.00,16,14.70,9.88,13.50,0.66,5.66,4.66,1.38,0.00,-9.09
157347,-10.94,-2.34,14.59,8,0.29,941,0.00,0.00,16,14.70,9.88,15.50,0.66,5.66,4.69,1.38,0.00,-9.07
157419,-10.16,-2.34,14.70,8,0.30,951,0.00,0.00,16,14.70,9.88,14.00,0.66,5.66,4.73,1.38,0.00,-9.01
157485,-10.16,-2.34,14.81,8,0.30,952,0.00,0.00,16,14.70,9.88,13.50,0.66,5.66,4.73,1.38,0.00,-9.01
157553,-10.16,-2.34,14.93,8,0.30,954,0.00,0.00,16,14.70,9.88,13.00,0.68,5.66,4.79,1.40,0.00,-8.99
157633,-9.38,-2.34,15.04,8,0.31,931,0.00,0.00,16,14.69,9.88,15.50,0.68,5.66,4.88,1.40,0.00,-8.93
157689,-9.38,-3.12,15.27,8,0.31,949,0.00,0.00,16,14.69,9.88,13.00,0.68,5.80,4.95,1.40,0.00,-8.88
157761,-8.59,-3.12,15.50,8,0.31,982,0.00,0.00,16,14.69,9.88,10.50,0.68,5.95,5.04,1.40,0.00,-8.82
157829,-8.59,-3.12,15.73,8,0.33,973,0.00,0.00,16,14.69,9.88,10.50,0.68,5.95,5.17,1.40,0.00,-8.82
157893,-7.81,-3.12,16.08,8,0.33,963,0.00,0.00,16,14.69,9.88,11.00,0.68,5.95,5.21,1.42,0.00,-8.74
157965,-7.81,-3.12,16.08,8,0.32,980,0.00,0.00,16,14.69,10.23,9.50,0.68,5.95,5.27,1.42,0.00,-8.76
158037,-7.03,-3.12,16.31,8,0.32,990,0.00,0.00,16,14.69,10.94,10.00,0.68,5.95,5.30,1.42,0.00,-8.74
158101,-7.03,-3.12,16.08,8,0.32,998,0.00,0.00,16,14.69,10.94,8.50,0.68,5.95,5.33,1.44,0.00,-8.74
158173,-7.03,-5.47,16.08,8,0.32,1004,0.00,0.00,16,14.69,10.94,8.00,0.68,5.95,5.30,1.42,0.00,-8.74
158237,-6.25,-5.47,16.19,8,0.33,976,0.00,0.00,16,14.69,10.23,11.00,0.68,5.95,5.36,1.42,0.00,-8.72
158309,-7.03,-5.47,15.96,8,0.33,966,0.00,0.00,16,14.69,10.23,10.00,0.68,6.09,5.40,1.42,0.00,-8.64
158373,-6.25,-5.47,16.19,8,0.34,952,0.00,0.00,16,14.69,10.23,10.00,0.68,6.09,5.43,1.44,0.00,-8.57
158445,-6.25,-5.47,15.96,8,0.34,959,0.00,0.00,16,14.69,9.88,12.00,0.68,6.24,5.43,1.44,0.00,-8.53
158509,-6.25,-5.47,16.08,8,0.33,948,0.00,0.00,16,14.69,9.88,13.00,0.68,6.24,5.36,1.44,0.00,-8.43
158581,-5.47,-5.47,16.08,8,0.34,962,0.00,0.00,16,14.69,10.94,9.50,0.68,6.24,5.43,1.44,0.00,-8.43
158653,-5.47,-5.47,16.08,8,0.34,948,0.00,0.00,16,14.69,11.99,11.00,0.68,6.24,5.43,1.44,0.00,-8.35
158717,-5.47,-5.47,15.85,8,0.35,953,0.00,0.00,16,14.69,12.34,12.00,0.64,6.38,5.49,1.44,0.00,-8.33
158789,-4.69,-5.47,15.96,8,0.30,939,0.00,0.00,16,15.90,10.23,11.50,0.64,6.38,4.92,1.36,0.00,-8.53
158853,-4.69,-5.47,15.96,8,0.29,960,0.00,0.00,16,14.70,9.88,6.00,0.64,5.95,4.15,1.32,0.00,-8.82
158925,-4.69,-5.47,16.08,8,0.28,974,0.00,0.00,16,14.70,9.88,9.50,0.64,5.66,4.07,1.32,0.00,-9.01
158989,-4.69,-5.47,15.96,8,0.28,955,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.15,1.32,0.00,-9.17
159061,-3.91,-5.47,15.96,8,0.27,978,0.00,0.00,16,14.70,9.88,8.50,0.64,5.51,4.26,1.34,0.00,-9.24
159125,-3.91,-5.47,15.85,8,0.26,969,0.00,0.00,16,14.71,9.88,9.50,0.64,5.37,4.24,1.34,0.00,-9.30
159197,-3.91,-5.47,15.96,8,0.27,952,0.00,0.00,16,14.71,9.88,11.50,0.64,5.37,4.21,1.34,0.00,-9.36
159269,-3.12,-5.47,15.96,8,0.28,934,0.00,0.00,16,14.70,9.88,13.00,0.64,5.37,4.26,1.34,0.00,-9.34
159335,-3.12,-5.47,16.08,8,0.29,923,0.00,0.00,16,14.70,9.88,14.00,0.64,5.37,4.32,1.36,0.00,-9.32
159399,-3.12,-5.47,16.08,8,0.28,929,0.00,0.00,16,14.70,9.88,13.00,0.64,5.37,4.37,1.36,0.00,-9.26
159471,-3.12,-5.47,16.08,8,0.28,945,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.37,1.34,0.00,-9.28
159535,-2.34,-5.47,15.96,8,0.27,950,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.29,1.34,0.00,-9.34
159606,-2.34,-5.47,15.73,8,0.27,951,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.26,1.34,0.00,-9.36
159677,-3.12,-5.47,15.85,8,0.27,940,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.21,1.34,0.00,-9.38
159741,-2.34,-5.47,15.73,8,0.27,937,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.21,1.34,0.00,-9.36
159814,-2.34,-5.47,15.62,8,0.28,929,0.00,0.00,16,14.70,9.88,12.00,0.64,5.37,4.26,1.32,0.00,-9.38
159878,-2.34,-5.47,15.62,8,0.28,906,0.00,0.00,16,14.70,9.88,12.50,0.64,5.37,4.26,1.34,0.00,-9.36
159949,-2.34,-5.47,15.73,8,0.29,910,0.00,0.00,16,14.70,9.88,14.00,0.64,5.37,4.29,1.34,0.00,-9.34
160021,-2.34,-5.47,15.50,8,0.29,896,0.00,0.00,16,14.70,9.88,15.50,0.64,5.37,4.29,1.34,0.00,-9.30
160085,-1.56,-5.47,15.62,8,0.29,894,0.00,0.00,16,14.70,9.88,15.00,0.64,5.37,4.32,1.34,0.00,-9.26
160157,-1.56,-5.47,15.50,8,0.28,902,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.29,1.34,0.00,-9.22
160221,-1.56,-5.47,15.50,8,0.28,904,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.24,1.34,0.00,-9.28
160293,-1.56,-5.47,15.27,8,0.28,901,0.00,0.00,16,14.70,9.88,14.00,0.64,5.37,4.21,1.34,0.00,-9.24
160357,-1.56,-5.47,15.39,8,0.28,895,0.00,0.00,16,14.70,9.88,13.00,0.64,5.37,4.21,1.34,0.00,-9.26
160429,-1.56,-5.47,15.16,8,0.28,893,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.21,1.34,0.00,-9.24
160493,-1.56,-5.47,15.39,8,0.28,900,0.00,0.00,16,14.70,9.88,12.00,0.64,5.37,4.18,1.34,0.00,-9.26
160565,-1.56,-5.47,15.16,8,0.28,892,0.00,0.00,16,14.70,9.88,13.00,0.64,5.37,4.15,1.34,0.00,-9.26
160629,-1.56,-5.47,15.27,8,0.29,881,0.00,0.00,16,14.70,9.88,14.00,0.64,5.37,4.15,1.34,0.00,-9.28
160706,-1.56,-5.47,15.16,8,0.28,880,0.00,0.00,16,14.70,9.88,13.50,0.64,5.37,4.18,1.32,0.00,-9.24
160770,-1.56,-5.47,15.16,8,0.29,873,0.00,0.00,16,14.70,9.88,14.00,0.64,5.51,4.18,1.32,0.00,-9.24
160842,-0.78,-5.47,15.04,8,0.28,877,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.15,1.32,0.00,-9.22
160906,-0.78,-5.47,15.04,8,0.29,871,0.00,0.00,16,14.70,9.88,13.50,0.64,5.51,4.15,1.32,0.00,-9.22
160977,-0.78,-5.47,15.16,8,0.29,862,0.00,0.00,16,14.70,9.88,14.50,0.64,5.51,4.15,1.32,0.00,-9.18
161042,-0.78,-5.47,15.04,8,0.29,872,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.13,1.32,0.00,-9.20
161114,-0.78,-5.47,15.16,8,0.28,866,0.00,0.00,16,14.70,9.88,13.50,0.64,5.51,4.15,1.34,0.00,-9.18
161185,-0.78,-5.47,15.04,8,0.29,872,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.15,1.34,0.00,-9.20
161254,-0.78,-5.47,15.16,8,0.29,864,0.00,0.00,16,14.70,9.88,13.00,0.64,5.51,4.15,1.34,0.00,-9.18
161326,0.00,-5.47,15.16,8,0.29,870,0.00,0.00,16,14.70,9.88,12.50,0.64,5.51,4.10,1.32,0.00,-9.18
161390,0.00,-5.47,15.04,8,0.28,849,0.00,0.00,16,14.70,9.88,14.50,0.64,5.51,4.15,1.32,0.00,-9.17
161458,0.00,-5.47,15.04,8,0.29,868,0.00,0.00,16,14.70,9.88,12.00,0.64,5.51,4.13,1.32,0.00,-9.18
161521,-0.78,-5.47,14.93,8,0.28,870,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.10,1.30,0.00,-9.18
161591,-0.78,-5.47,14.93,8,0.28,879,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.07,1.32,0.00,-9.26
161661,-0.78,-5.47,14.81,8,0.28,882,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.07,1.32,0.00,-9.22
161724,-0.78,-5.47,14.81,8,0.28,868,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.10,1.32,0.00,-9.24
161802,-0.78,-5.47,14.70,8,0.28,872,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.10,1.34,0.00,-9.22
161865,-0.78,-5.47,14.81,8,0.28,864,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.13,1.34,0.00,-9.24
161927,-0.78,-5.47,14.70,8,0.28,875,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.10,1.32,0.00,-9.22
162005,-0.78,-5.47,14.70,8,0.28,868,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.10,1.32,0.00,-9.24
162068,-0.78,-5.47,14.70,8,0.28,871,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.04,1.32,0.00,-9.24
162130,-0.78,-5.47,14.81,8,0.28,871,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.07,1.32,0.00,-9.24
162208,-0.78,-5.47,14.81,8,0.28,864,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.07,1.32,0.00,-9.24
162271,0.00,-5.47,14.81,8,0.28,862,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.07,1.32,0.00,-9.24
162342,0.00,-5.47,14.81,8,0.28,860,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.10,1.32,0.00,-9.24
162414,0.00,-5.47,14.81,8,0.28,872,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.07,1.32,0.00,-9.24
162478,0.00,-5.47,14.81,8,0.28,871,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.10,1.32,0.00,-9.26
162554,0.00,-5.47,14.93,8,0.28,874,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.07,1.34,0.00,-9.28
162618,0.00,-5.47,14.93,8,0.28,864,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.04,1.32,0.00,-9.28
162690,0.00,-5.47,14.93,8,0.28,867,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.04,1.32,0.00,-9.28
162757,0.00,-5.47,14.93,8,0.29,849,0.00,0.00,16,14.70,9.88,12.00,0.64,5.51,4.07,1.32,0.00,-9.26
162821,0.00,-5.47,14.93,8,0.29,852,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.10,1.32,0.00,-9.24
162893,0.00,-5.47,14.81,8,0.28,860,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.04,1.32,0.00,-9.24
162965,0.00,-5.47,14.93,8,0.28,866,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.04,1.32,0.00,-9.22
163029,0.00,-5.47,14.81,8,0.29,862,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.07,1.34,0.00,-9.24
163101,0.00,-5.47,14.93,8,0.29,860,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.10,1.32,0.00,-9.24
163165,0.00,-5.47,14.81,8,0.28,859,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.10,1.32,0.00,-9.24
163231,0.00,-5.47,14.81,8,0.28,866,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.10,1.30,0.00,-9.24
163303,0.00,-5.47,14.70,8,0.28,867,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.07,1.30,0.00,-9.24
163373,0.00,-5.47,14.81,8,0.29,864,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.04,1.32,0.00,-9.24
163437,0.00,-5.47,14.70,8,0.29,844,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.04,1.32,0.00,-9.20
163509,0.00,-5.47,14.70,8,0.29,851,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.07,1.32,0.00,-9.18
163581,0.00,-5.47,14.59,8,0.29,844,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.10,1.34,0.00,-9.17
163645,0.00,-5.47,14.70,8,0.29,853,0.00,0.00,16,14.70,9.88,10.50,0.66,5.51,4.18,1.34,0.00,-9.11
163709,0.00,-5.47,14.59,8,0.32,828,0.00,0.00,16,13.10,9.88,13.00,0.68,5.66,4.37,1.36,0.00,-9.01
163781,0.00,-5.47,14.70,8,0.34,835,0.00,0.00,16,13.42,9.88,12.00,0.70,5.80,4.75,1.38,0.00,-8.91
163854,0.00,-5.47,14.70,8,0.37,839,0.00,0.00,16,13.50,10.59,9.50,0.70,5.95,4.95,1.42,0.00,-8.72
163919,0.00,-5.47,14.70,8,0.39,863,0.00,0.00,16,13.66,11.99,10.50,0.72,6.38,5.36,1.46,0.00,-8.43
163990,0.00,-5.47,14.70,8,0.41,892,0.00,0.00,16,13.87,13.40,11.50,0.74,6.67,5.94,1.50,0.00,-8.02
164057,0.00,-5.47,14.70,8,0.43,935,0.00,0.00,16,14.67,14.80,13.00,0.74,6.96,6.48,1.54,0.00,-7.73
164129,0.00,-5.47,14.59,8,0.42,984,0.00,0.00,16,14.67,16.21,14.50,0.74,7.25,7.03,1.56,0.00,-7.52
164193,-2.34,-5.47,14.13,8,0.40,1068,0.00,0.00,16,14.68,17.62,16.50,0.76,7.25,7.37,1.56,0.00,-7.46
164260,-2.34,-5.47,14.13,8,0.39,1120,0.00,0.00,16,15.11,19.73,17.50,0.76,7.25,7.46,1.58,0.00,-7.43
164332,-3.12,-5.47,14.01,8,0.38,1186,0.00,0.00,16,14.69,20.78,19.50,0.76,7.25,7.66,1.60,0.00,-7.46
164396,-2.34,-5.47,14.13,8,0.39,1198,0.00,0.00,16,14.68,21.48,20.50,0.76,7.25,7.82,1.60,0.00,-7.48
164468,-1.56,-5.47,14.36,8,0.40,1168,0.00,0.00,16,14.68,21.48,21.00,0.76,7.25,7.90,1.60,0.00,-7.44
164532,0.00,-5.47,14.70,8,0.41,1176,0.00,0.00,16,14.68,21.84,21.50,0.76,7.25,7.94,1.60,0.00,-7.41
164604,1.56,-5.47,15.04,8,0.41,1173,0.00,0.00,16,14.68,21.84,21.50,0.76,7.40,7.94,1.60,0.00,-7.37
164676,3.12,-5.47,15.39,8,0.41,1166,0.00,0.00,16,14.68,21.48,21.50,0.76,7.40,7.98,1.60,0.00,-7.33
164740,5.47,-5.47,15.73,8,0.40,1181,0.00,0.00,16,14.69,21.48,21.00,0.76,7.40,7.94,1.60,0.00,-7.35
164811,5.47,-5.47,15.96,8,0.39,1205,0.00,0.00,16,14.69,21.48,21.50,0.76,7.40,8.03,1.60,0.00,-7.37
164880,5.47,-5.47,16.19,8,0.40,1204,0.00,0.00,16,14.69,22.19,21.50,0.76,7.40,8.06,1.62,0.00,-7.41
164943,5.47,-5.47,15.96,8,0.39,1241,0.00,0.00,16,14.69,22.19,22.00,0.76,7.25,7.98,1.60,0.00,-7.44
165015,5.47,-5.47,15.73,8,0.39,1248,0.00,0.00,16,14.69,22.89,22.50,0.76,7.11,8.06,1.60,0.00,-7.54
165087,6.25,-5.47,15.85,8,0.38,1273,0.00,0.00,16,14.69,22.89,22.50,0.76,7.11,7.98,1.60,0.00,-7.62
165153,6.25,-5.47,15.50,8,0.37,1293,0.00,0.00,16,14.69,23.59,23.00,0.76,6.96,7.98,1.60,0.00,-7.73
165217,7.03,-5.47,15.50,8,0.37,1298,0.00,0.00,16,14.69,23.59,23.00,0.72,6.82,7.98,1.60,0.00,-7.85
165289,7.81,-5.47,15.50,8,0.36,1338,0.00,0.00,16,14.69,24.65,23.50,0.64,6.82,7.82,1.58,0.00,-8.04
165353,7.81,-5.47,15.62,8,0.31,1396,0.00,0.00,16,15.80,22.54,15.50,0.64,5.80,5.23,1.38,0.00,-9.32
165425,7.03,-5.47,15.39,8,0.26,1464,0.00,0.00,16,15.66,19.73,21.50,0.64,4.93,4.32,1.34,0.00,-9.63
165492,7.03,-5.47,15.27,8,0.23,1489,0.00,0.00,16,15.42,15.86,18.50,0.64,4.50,4.10,1.32,0.00,-10.06
165554,6.25,-5.47,14.93,8,0.21,1492,0.00,0.00,16,14.71,13.40,14.50,0.64,4.35,4.37,1.34,0.00,-10.36
165632,4.69,-4.69,14.36,8,0.18,1489,0.00,0.00,16,15.53,11.64,11.50,0.64,4.21,4.37,1.34,0.00,-10.46
165695,3.12,-4.69,13.90,8,0.18,1457,0.00,0.00,16,14.71,11.64,11.50,0.64,4.06,4.18,1.32,0.00,-10.65
165757,1.56,-4.69,13.55,8,0.18,1419,0.00,0.00,16,14.71,11.29,3.50,0.64,3.92,3.96,1.32,0.00,-10.77
165835,1.56,-3.91,13.32,8,0.19,1334,0.00,0.00,16,13.16,10.94,8.50,0.64,3.92,4.26,1.34,0.00,-10.71
165898,1.56,-3.91,13.55,8,0.21,1268,0.00,0.00,16,14.71,10.59,15.50,0.64,4.06,4.32,1.34,0.00,-10.71
165965,1.56,-3.91,13.55,8,0.22,1220,0.00,0.00,16,14.71,10.59,18.50,0.64,4.06,4.35,1.34,0.00,-10.65
166043,1.56,-3.91,13.67,8,0.21,1206,0.00,0.00,16,14.71,10.59,18.50,0.64,4.06,4.26,1.34,0.00,-10.58
166121,3.12,-3.12,13.90,8,0.21,1191,0.00,0.00,16,14.71,10.59,18.50,0.64,4.21,4.21,1.34,0.00,-10.52
166168,3.12,-3.12,14.24,8,0.22,1178,0.00,0.00,16,14.71,10.23,18.50,0.64,4.21,4.21,1.32,0.00,-10.50
166246,3.91,-3.12,14.47,8,0.22,1154,0.00,0.00,16,14.71,10.23,18.00,0.64,4.21,4.15,1.32,0.00,-10.48
166309,3.91,-3.12,14.59,8,0.21,1140,0.00,0.00,16,14.71,10.23,18.00,0.64,4.21,4.04,1.32,0.00,-10.48
166387,3.12,-3.12,14.70,8,0.21,1132,0.00,0.00,16,14.71,10.23,18.00,0.64,4.21,4.02,1.32,0.00,-10.48
166453,3.12,-3.12,14.59,8,0.21,1123,0.00,0.00,16,14.71,10.23,18.00,0.64,4.21,3.96,1.30,0.00,-10.44
166517,2.34,-3.12,14.47,8,0.21,1083,0.00,0.00,16,14.71,10.23,17.50,0.64,4.21,3.88,1.30,0.00,-10.48
166589,1.56,-3.12,14.13,8,0.21,1073,0.00,0.00,16,14.71,9.88,17.50,0.64,4.21,3.83,1.30,0.00,-10.48
166661,0.78,-2.34,13.90,8,0.22,1059,0.00,0.00,16,14.71,9.88,17.50,0.64,4.21,3.85,1.30,0.00,-10.48
166725,0.00,-2.34,13.90,8,0.23,1037,0.00,0.00,16,14.71,9.88,17.50,0.64,4.21,3.83,1.30,0.00,-10.48
166797,-0.78,-2.34,13.55,8,0.23,1020,0.00,0.00,16,14.71,9.88,17.50,0.64,4.21,3.83,1.30,0.00,-10.42
166861,-1.56,-2.34,13.44,8,0.24,1005,0.00,0.00,16,14.71,9.88,17.50,0.64,4.35,3.91,1.30,0.00,-10.36
166933,-1.56,-2.34,13.44,8,0.25,966,0.00,0.00,16,14.71,9.88,17.50,0.64,4.50,3.93,1.30,0.00,-10.31
167005,-1.56,0.00,13.32,8,0.25,947,0.00,0.00,16,14.70,9.88,17.50,0.64,4.50,3.93,1.30,0.00,-10.19
167069,-2.34,0.00,13.32,8,0.25,934,0.00,0.00,16,14.70,9.88,17.50,0.64,4.64,3.93,1.30,0.00,-10.13
167133,-2.34,0.00,13.44,8,0.25,924,0.00,0.00,16,14.70,9.88,17.50,0.64,4.64,3.88,1.30,0.00,-10.07
167205,-2.34,0.00,13.44,8,0.25,908,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.83,1.28,0.00,-10.02
167277,-2.34,0.00,13.55,8,0.25,902,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.78,1.28,0.00,-9.96
167341,-3.12,0.00,13.44,8,0.25,896,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.78,1.28,0.00,-9.92
167413,-3.12,0.00,13.55,8,0.25,895,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.73,1.28,0.00,-9.90
167477,-3.91,0.00,13.32,8,0.25,892,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.67,1.28,0.00,-9.86
167549,-3.91,0.00,13.44,8,0.25,886,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.67,1.28,0.00,-9.88
167613,-5.47,0.00,13.44,8,0.25,880,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.65,1.28,0.00,-9.86
167685,-5.47,0.00,13.09,8,0.25,883,0.00,0.00,16,14.70,9.88,17.50,0.64,4.79,3.67,1.28,0.00,-9.84
167757,-6.25,0.00,13.09,8,0.25,882,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,3.67,1.28,0.00,-9.82
167821,-7.03,0.00,12.98,8,0.26,868,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,3.67,1.30,0.00,-9.80
167891,-7.03,0.00,13.09,8,0.26,864,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,3.70,1.30,0.00,-9.77
167955,-7.03,0.00,13.09,8,0.26,868,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,3.70,1.28,0.00,-9.75
168027,-7.03,0.00,13.21,8,0.25,866,0.00,0.00,16,14.70,9.88,17.50,0.64,4.93,3.65,1.28,0.00,-9.73
168099,-7.03,0.00,13.21,8,0.26,868,0.00,0.00,16,14.70,9.88,17.50,0.66,4.93,3.70,1.28,0.00,-9.73
168163,-7.03,0.00,13.44,8,0.27,856,0.00,0.00,16,13.68,9.88,17.50,0.66,5.08,3.91,1.30,0.00,-9.65
168235,-7.03,-0.78,13.44,8,0.29,844,0.00,0.00,16,13.52,9.88,17.50,0.68,5.08,4.02,1.34,0.00,-9.57
