Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
13011,-2.34,-3.12,14.36,8,0.28,924,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.36,0.00,-9.32
13083,-2.34,-3.12,14.47,8,0.28,925,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.36,0.00,-9.30
13151,-2.34,-3.12,14.47,8,0.28,936,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.32,1.36,0.00,-9.30
13215,-2.34,-3.12,14.47,8,0.28,916,0.00,0.00,16,14.70,9.88,11.00,0.64,5.37,4.35,1.36,0.00,-9.30
13287,-2.34,-3.12,14.36,8,0.28,911,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.37,1.36,0.00,-9.30
13351,-2.34,-3.12,14.47,8,0.29,910,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.37,1.36,0.00,-9.26
13423,-2.34,-3.12,14.36,8,0.29,909,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.37,1.36,0.00,-9.26
13487,-2.34,-3.12,14.47,8,0.28,920,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.37,1.36,0.00,-9.26
13559,-2.34,-3.12,14.36,8,0.28,929,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.37,1.36,0.00,-9.28
13631,-2.34,-3.12,14.59,8,0.28,924,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.32,1.34,0.00,-9.28
13695,-1.56,-3.12,14.36,8,0.29,890,0.00,0.00,16,14.70,9.88,13.50,0.64,5.37,4.26,1.36,0.00,-9.28
13767,-2.34,-3.12,14.70,8,0.29,897,0.00,0.00,16,14.70,9.88,12.50,0.64,5.37,4.32,1.36,0.00,-9.28
13831,-2.34,-3.12,14.59,8,0.28,912,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.37,1.36,0.00,-9.26
13903,-2.34,-3.12,14.59,8,0.28,926,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.37,1.36,0.00,-9.26
13967,-2.34,-3.12,14.70,8,0.29,902,0.00,0.00,16,14.70,9.88,11.50,0.64,5.37,4.35,1.36,0.00,-9.26
14033,-2.34,-3.12,14.47,8,0.28,915,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.36,0.00,-9.26
14107,-2.34,-3.12,14.70,8,0.28,912,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.37,1.36,0.00,-9.24
14179,-2.34,-3.12,14.47,8,0.28,915,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.36,0.00,-9.28
14243,-2.34,-3.12,14.59,8,0.28,912,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.36,0.00,-9.26
14315,-2.34,-3.12,14.47,8,0.29,915,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.32,1.36,0.00,-9.28
14379,-2.34,-3.12,14.70,8,0.29,894,0.00,0.00,16,14.70,9.88,12.00,0.64,5.51,4.35,1.36,0.00,-9.24
14451,-2.34,-3.12,14.59,8,0.29,893,0.00,0.00,16,14.70,9.88,12.00,0.64,5.37,4.40,1.36,0.00,-9.26
14515,-2.34,-3.12,14.70,8,0.29,902,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.37,1.36,0.00,-9.22
14587,-2.34,-3.12,14.59,8,0.29,911,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.37,1.34,0.00,-9.24
14651,-2.34,-3.12,14.70,8,0.29,907,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.37,1.36,0.00,-9.22
14723,-2.34,-3.12,14.59,8,0.29,911,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.37,1.36,0.00,-9.24
14787,-2.34,-3.12,14.70,8,0.29,904,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.37,1.34,0.00,-9.22
14859,-2.34,-3.12,14.59,8,0.29,913,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.40,1.34,0.00,-9.22
14931,-2.34,-3.12,14.59,8,0.29,920,0.00,0.00,16,14.70,9.88,9.00,0.64,5.51,4.37,1.34,0.00,-9.20
14999,-2.34,-3.12,14.59,8,0.28,909,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.35,1.34,0.00,-9.22
15067,-2.34,-3.12,14.70,8,0.28,913,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.35,1.34,0.00,-9.24
15139,-2.34,-3.12,14.59,8,0.28,915,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.24
15203,-2.34,-3.12,14.59,8,0.28,919,0.00,0.00,16,14.70,9.88,9.00,0.64,5.51,4.32,1.34,0.00,-9.24
15271,-2.34,-3.12,14.47,8,0.28,901,0.00,0.00,16,14.70,9.88,11.00,0.64,5.51,4.32,1.34,0.00,-9.24
15335,-2.34,-3.12,14.59,8,0.28,912,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.24
15407,-2.34,-3.12,14.47,8,0.28,914,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.37,1.34,0.00,-9.24
15479,-2.34,-3.12,14.47,8,0.29,916,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.24
15543,-2.34,-3.12,14.59,8,0.29,904,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.35,1.34,0.00,-9.22
15615,-2.34,-3.12,14.47,8,0.29,909,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.37,1.34,0.00,-9.24
15679,-2.34,-3.12,14.59,8,0.29,910,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.32,1.34,0.00,-9.22
15751,-2.34,-3.12,14.59,8,0.28,920,0.00,0.00,16,14.70,9.88,9.00,0.64,5.51,4.32,1.34,0.00,-9.24
15819,-2.34,-3.12,14.70,8,0.29,896,0.00,0.00,16,14.70,9.88,11.50,0.64,5.51,4.35,1.34,0.00,-9.22
15883,-2.34,-3.12,14.59,8,0.29,906,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.35,1.34,0.00,-9.24
15955,-2.34,-3.12,14.59,8,0.28,909,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.32,1.34,0.00,-9.22
16023,-2.34,-3.12,14.59,8,0.28,924,0.00,0.00,16,14.70,9.88,8.00,0.64,5.51,4.32,1.34,0.00,-9.24
16090,-2.34,-3.12,14.59,8,0.28,916,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.32,1.34,0.00,-9.22
16156,-2.34,-3.12,14.59,8,0.28,918,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.29,1.34,0.00,-9.26
16228,-2.34,-3.12,14.59,8,0.28,903,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.32,1.34,0.00,-9.22
16294,-2.34,-3.12,14.59,8,0.28,907,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.34,0.00,-9.26
16362,-2.34,-3.12,14.70,8,0.28,914,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.32,1.34,0.00,-9.22
16434,-2.34,-3.12,14.70,8,0.29,904,0.00,0.00,16,14.70,9.88,10.50,0.64,5.51,4.35,1.34,0.00,-9.24
16506,-2.34,-3.12,14.70,8,0.29,908,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.32,1.34,0.00,-9.22
16570,-2.34,-3.12,14.70,8,0.29,910,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.37,1.34,0.00,-9.24
