Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
13586,0.00,13.90,0.09,0.00,0.00,0.00,3.48,10.03,32.55,-6.03,0.00,187
13773,0.00,19.87,0.10,0.00,0.00,0.00,3.63,10.63,32.55,-5.10,0.00,187
13961,0.00,25.38,0.11,0.00,0.00,0.00,3.77,10.17,32.55,-4.80,0.00,189
14133,0.00,23.89,0.12,0.00,0.00,0.00,3.92,10.58,32.55,-3.87,0.78,189
14320,0.00,24.00,0.16,0.00,4.58,0.00,4.21,10.53,32.55,-3.56,5.10,189
14492,-2.34,15.50,0.23,0.00,7.25,0.00,6.24,19.04,32.55,-3.56,9.41,189
14695,-3.91,13.44,0.24,0.00,7.93,0.00,7.55,21.28,32.55,-3.87,10.20,189
14867,-2.34,14.81,0.30,0.00,9.62,0.00,8.71,24.13,32.55,-3.87,12.55,189
15054,-3.12,14.36,0.33,0.00,10.15,0.00,9.58,28.71,32.55,-4.18,13.33,189
15226,-1.56,14.81,0.35,0.00,10.67,0.00,10.30,30.24,32.55,-4.18,13.73,189
15414,-1.56,14.81,0.36,0.00,10.74,0.00,10.74,31.46,32.55,-4.18,14.12,189
15601,-1.56,14.70,0.37,0.00,11.37,0.00,11.17,32.95,32.55,-3.56,14.12,189
15773,-0.78,14.93,0.38,0.00,11.87,0.00,11.46,34.30,32.55,-3.56,14.12,189
15961,-0.78,14.59,0.39,0.00,11.91,0.00,11.75,34.42,32.55,-3.56,14.51,189
16133,-2.34,14.47,0.39,0.00,11.93,0.00,12.04,34.66,32.55,-2.94,14.51,189
16320,0.00,14.81,0.41,0.00,12.52,0.00,12.33,36.12,32.55,-2.94,14.90,189
16507,0.00,14.70,0.42,0.00,13.03,0.00,12.48,36.12,32.55,-2.94,14.90,189
16687,0.00,14.81,0.42,0.00,13.05,0.00,12.62,37.10,32.55,-2.94,14.90,189
16856,0.78,14.81,0.42,0.00,13.10,0.00,12.77,37.23,32.55,-2.94,14.90,189
17043,0.78,14.59,0.40,0.00,12.59,0.00,12.62,35.63,32.55,-2.94,14.51,189
17231,1.56,15.04,0.42,0.00,13.17,0.00,12.62,37.23,32.55,-3.56,14.51,189
17403,1.56,14.47,0.42,0.00,13.11,0.00,12.62,36.98,32.55,-3.56,14.51,189
17590,-0.78,14.24,0.40,0.00,12.56,0.00,12.62,36.73,32.55,-3.56,14.12,189
17762,1.56,14.81,0.40,0.00,13.20,0.00,12.48,36.36,32.55,-3.56,13.73,189
17950,0.78,14.59,0.40,0.00,12.73,0.00,12.19,35.88,32.55,-4.18,13.73,189
18121,2.34,14.70,0.40,0.00,12.70,0.00,12.19,35.15,32.55,-4.18,13.73,189
18309,2.34,14.59,0.38,0.00,12.12,0.00,12.04,34.17,32.55,-4.18,13.33,189
18496,0.78,14.70,0.37,0.00,12.20,0.00,11.90,33.69,32.55,-4.18,13.33,189
18668,2.34,14.81,0.35,0.00,12.10,0.00,11.75,33.44,32.55,-4.18,12.94,189
18856,3.91,14.93,0.36,0.00,11.55,0.00,11.61,33.92,32.55,-4.18,12.94,189
19028,3.12,14.70,0.36,0.00,11.53,0.00,11.46,32.38,32.55,-4.18,12.94,189
