Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
7771,0.00,11.25,0.80,0.00,53.11,0.00,22.35,117.56,15.69,11.60,55.29,190
7963,0.00,11.25,0.79,0.00,51.73,0.00,22.20,116.30,15.69,11.60,53.33,190
8136,0.00,11.25,0.75,0.00,50.54,0.00,21.76,115.53,15.69,10.98,46.67,190
8324,0.00,11.25,0.73,0.00,48.18,0.00,21.33,112.24,15.69,10.36,40.00,190
8495,0.00,11.25,0.32,0.00,34.48,0.00,14.80,73.46,32.94,-7.58,0.00,190
8683,0.00,12.98,0.33,0.00,0.00,0.00,4.79,50.37,32.94,-7.58,0.00,190
8870,0.00,20.67,0.27,0.00,0.00,0.00,4.21,37.34,32.55,-7.27,0.00,190
9042,0.00,23.77,0.22,0.00,10.27,0.00,4.21,31.02,32.55,-6.34,3.14,190
9230,-5.47,14.47,0.19,0.00,8.69,0.00,5.08,23.17,32.55,-5.10,8.24,190
9402,-20.31,11.25,0.23,0.00,7.59,0.00,7.55,24.80,32.55,-5.41,10.98,190
9594,-10.16,15.62,0.24,0.00,9.22,0.00,8.27,26.20,32.55,-5.10,10.98,189
9766,-6.25,15.62,0.25,0.00,9.10,0.00,8.42,26.29,32.55,-5.10,10.98,189
9953,-4.69,15.39,0.25,0.00,9.12,0.00,8.56,26.20,32.55,-5.10,11.37,189
10125,-3.91,14.93,0.25,0.00,9.70,0.00,8.56,26.62,32.55,-5.10,11.37,189
10317,-3.12,15.04,0.26,0.00,9.81,0.00,8.71,26.51,32.55,-5.10,11.37,189
10494,-0.78,15.04,0.25,0.00,9.81,0.00,8.71,26.93,32.55,-5.10,11.37,189
10668,0.00,14.81,0.12,0.00,0.00,0.00,5.95,13.89,32.55,-5.10,0.00,189
10855,0.00,16.19,0.17,0.00,0.00,0.00,4.06,15.49,32.55,-4.80,0.00,189
11032,0.00,20.21,0.17,0.00,0.00,0.00,4.06,14.54,32.55,-4.49,0.39,189
13976,-3.12,13.78,0.15,0.00,4.65,0.00,5.37,12.14,32.55,-3.56,4.31,187
14164,-3.91,14.13,0.14,0.00,4.64,0.00,4.79,11.48,32.55,-3.56,2.35,187
14336,-8.59,13.78,0.12,0.00,4.11,0.00,4.35,8.36,32.55,-3.56,1.96,187
14523,-8.59,13.90,0.13,0.00,4.10,0.00,3.92,10.43,32.55,-3.56,1.18,187
14695,0.00,12.86,0.13,0.00,0.00,0.00,3.77,10.43,32.55,-3.56,1.18,187
14882,0.00,12.06,0.13,0.00,0.00,0.00,3.77,10.03,32.55,-3.56,0.78,187
15085,0.00,14.01,0.12,0.00,0.00,0.00,3.77,9.66,32.55,-3.56,0.78,187
