Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
15452,14.25,0.17,1527,0.00,0.00,16,10.23,12.00,8.56,-1.39,0.64
15624,14.32,0.17,1529,0.00,0.00,16,10.23,11.50,8.69,-1.39,0.64
15799,14.51,0.17,1516,0.00,0.00,16,10.23,12.00,8.56,-1.39,0.64
15971,14.53,0.17,1517,0.00,0.00,16,10.23,13.00,8.60,-1.39,0.64
16143,14.58,0.17,1524,0.00,0.00,16,10.23,11.50,8.69,-1.39,0.64
16330,14.69,0.17,1520,0.00,0.00,16,9.88,12.50,8.65,-1.39,0.64
16502,14.30,0.17,1525,0.00,0.00,16,10.23,12.00,8.65,-1.39,0.64
16674,14.16,0.17,1520,0.00,0.00,16,9.88,13.00,8.78,-1.39,0.64
16850,14.13,0.17,1522,0.00,0.00,16,10.23,13.00,8.78,-1.39,0.64
17022,14.18,0.17,1542,0.00,0.00,16,9.88,10.50,8.78,-1.39,0.64
17194,14.17,0.17,1519,0.00,0.00,16,10.23,11.50,8.65,-1.39,0.64
17366,14.15,0.17,1526,0.00,0.00,16,10.23,11.50,8.65,-1.39,0.62
17538,14.32,0.17,1520,0.00,0.00,16,9.88,12.00,8.69,-1.39,0.64
17710,14.54,0.17,1533,0.00,0.00,16,9.88,11.50,8.82,-1.39,0.64
17882,14.46,0.17,1519,0.00,0.00,16,9.88,13.00,8.69,-1.39,0.64
18054,14.30,0.17,1524,0.00,0.00,16,10.23,12.50,8.69,-1.39,0.64
18241,14.01,0.17,1537,0.00,0.00,16,9.88,10.50,8.69,-1.39,0.62
18413,14.18,0.17,1519,0.00,0.00,16,10.23,13.00,8.60,-1.39,0.64
18585,14.32,0.17,1531,0.00,0.00,16,10.23,11.00,8.47,-1.39,0.64
18761,14.30,0.17,1509,0.00,0.00,16,10.23,12.00,8.65,-1.39,0.64
18933,14.32,0.17,1515,0.00,0.00,16,10.23,11.50,8.60,-1.39,0.64
19105,14.37,0.17,1523,0.00,0.00,16,10.23,11.50,8.78,-1.39,0.64
19277,14.33,0.17,1517,0.00,0.00,16,10.23,12.50,8.56,-1.39,0.64
19449,14.44,0.17,1507,0.00,0.00,16,10.23,13.00,8.60,-1.39,0.64
19621,14.51,0.17,1517,0.00,0.00,16,10.23,12.00,8.60,-1.39,0.64
19792,14.37,0.17,1525,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
19964,14.51,0.17,1522,0.00,0.00,16,10.23,12.50,8.65,-1.39,0.62
20138,14.62,0.17,1526,0.00,0.00,16,10.23,12.50,8.44,-1.39,0.64
20310,14.63,0.17,1526,0.00,0.00,16,10.23,11.00,8.56,-1.39,0.64
20497,14.58,0.17,1529,0.00,0.00,16,10.23,11.00,8.69,-1.39,0.64
20669,14.44,0.17,1526,0.00,0.00,16,10.23,11.50,8.69,-1.39,0.64
20841,14.42,0.17,1530,0.00,0.00,16,10.23,10.50,8.74,-1.39,0.64
21013,14.27,0.17,1510,0.00,0.00,16,10.23,13.00,8.87,-1.39,0.64
21185,14.39,0.17,1521,0.00,0.00,16,10.23,12.00,8.69,-1.39,0.64
21357,14.30,0.17,1522,0.00,0.00,16,9.88,12.00,8.92,-1.39,0.64
21529,14.09,0.17,1534,0.00,0.00,16,10.23,10.50,8.65,-1.39,0.64
21700,14.10,0.17,1526,0.00,0.00,16,9.88,11.50,8.65,-1.39,0.64
21888,14.11,0.17,1529,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
22060,14.39,0.17,1531,0.00,0.00,16,10.23,11.00,8.56,-1.39,0.64
22232,14.48,0.17,1515,0.00,0.00,16,9.88,13.00,8.60,-1.39,0.64
22404,14.39,0.17,1522,0.00,0.00,16,10.23,12.00,8.65,-1.39,0.64
22575,14.28,0.17,1518,0.00,0.00,16,9.88,13.00,8.47,-1.39,0.64
22747,14.15,0.17,1513,0.00,0.00,16,10.23,13.00,8.74,-1.39,0.64
22919,14.37,0.17,1519,0.00,0.00,16,10.23,12.00,8.47,-1.39,0.64
23091,14.42,0.17,1516,0.00,0.00,16,10.23,12.50,8.56,-1.39,0.64
23278,14.32,0.17,1529,0.00,0.00,16,10.23,11.00,8.65,-1.39,0.64
23450,14.32,0.17,1530,0.00,0.00,16,9.88,10.50,8.56,-1.39,0.64
23622,14.15,0.17,1528,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
23794,14.25,0.17,1516,0.00,0.00,16,10.23,11.00,8.52,-1.39,0.64
23966,14.35,0.17,1513,0.00,0.00,16,10.23,11.50,8.47,-1.39,0.64
24138,14.51,0.17,1518,0.00,0.00,16,10.23,12.00,8.65,-1.39,0.64
24310,14.52,0.17,1524,0.00,0.00,16,9.88,11.50,8.60,-1.39,0.64
24482,14.39,0.17,1510,0.00,0.00,16,10.23,13.00,8.65,-1.39,0.64
24653,14.44,0.17,1519,0.00,0.00,16,10.23,11.50,8.69,-1.39,0.64
24825,14.42,0.17,1534,0.00,0.00,16,9.88,10.00,8.74,-1.39,0.64
24997,14.23,0.17,1518,0.00,0.00,16,10.23,13.00,8.60,-1.39,0.64
25184,14.26,0.17,1524,0.00,0.00,16,9.88,11.50,8.52,-1.39,0.64
25356,14.51,0.17,1529,0.00,0.00,16,10.23,11.50,8.74,-1.39,0.64
25528,14.56,0.17,1534,0.00,0.00,16,9.88,10.50,8.60,-1.39,0.64
25700,14.35,0.17,1527,0.00,0.00,16,10.23,11.50,8.74,-1.39,0.64
25872,13.99,0.17,1532,0.00,0.00,16,10.23,11.50,8.52,-1.39,0.62
26044,13.95,0.17,1512,0.00,0.00,16,10.23,13.50,8.65,-1.39,0.64
26216,14.48,0.17,1528,0.00,0.00,16,10.23,11.50,8.60,-1.39,0.64
26388,14.47,0.17,1538,0.00,0.00,16,10.23,10.50,8.56,-1.39,0.64
26560,14.35,0.17,1527,0.00,0.00,16,10.23,12.00,8.56,-1.39,0.64
26747,14.30,0.16,1540,0.00,0.00,16,9.88,10.00,8.47,-1.39,0.64
26919,14.18,0.17,1534,0.00,0.00,16,10.23,11.00,8.44,-1.39,0.64
27091,14.56,0.17,1526,0.00,0.00,16,10.23,12.00,8.56,-1.39,0.64
27267,14.56,0.17,1526,0.00,0.00,16,9.88,12.00,8.56,-1.39,0.64
27439,14.43,0.17,1533,0.00,0.00,16,10.23,11.50,8.65,-1.39,0.64
27611,14.30,0.17,1514,0.00,0.00,16,10.23,13.50,8.69,-1.39,0.64
27783,14.12,0.17,1531,0.00,0.00,16,10.23,11.50,8.82,-1.39,0.64
27955,14.13,0.17,1528,0.00,0.00,16,10.23,12.00,8.39,-1.39,0.64
28127,14.13,0.17,1515,0.00,0.00,16,10.23,12.50,8.47,-1.39,0.64
28298,14.25,0.17,1520,0.00,0.00,16,10.23,12.50,8.36,-1.39,0.64
28470,14.28,0.17,1514,0.00,0.00,16,10.23,13.00,8.56,-1.39,0.64
28658,14.39,0.17,1511,0.00,0.00,16,10.23,13.00,8.65,-1.39,0.64
28830,14.48,0.17,1504,0.00,0.00,16,10.23,13.50,8.36,-1.39,0.64
29004,14.28,0.17,1504,0.00,0.00,16,10.23,13.00,8.52,-1.39,0.64
29176,14.35,0.17,1499,0.00,0.00,16,10.23,13.50,8.39,-1.39,0.62
29348,14.34,0.17,1504,0.00,0.00,16,10.23,12.50,8.52,-1.39,0.64
29520,14.51,0.17,1506,0.00,0.00,16,10.23,12.50,8.52,-1.39,0.64
29707,14.52,0.17,1518,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
29879,14.35,0.17,1514,0.00,0.00,16,10.23,11.50,8.47,-1.39,0.64
30051,14.30,0.17,1512,0.00,0.00,16,10.23,12.00,8.52,-1.39,0.64
