Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
6473,-2.34,14.01,0.11,0.00,1.76,0.00,4.50,3.59,0.00,-1.18,0.00
6645,-1.56,14.36,0.11,0.00,1.71,0.00,4.50,3.62,0.00,-1.18,0.00
6817,-0.78,14.47,0.11,0.00,1.72,0.00,4.50,3.72,0.00,-1.18,0.00
6988,-0.78,14.70,0.11,0.00,1.75,0.00,4.50,3.60,0.00,-1.18,0.00
7160,-0.78,14.59,0.11,0.00,1.75,0.00,4.50,3.59,0.00,-1.18,0.00
7348,-1.56,14.47,0.11,0.00,1.73,0.00,4.50,3.38,0.00,-1.18,0.00
7519,-0.78,14.59,0.11,0.00,1.69,0.00,4.50,3.75,0.00,-1.18,0.00
7691,-0.78,14.70,0.10,0.00,1.75,0.00,4.50,3.55,0.00,-1.18,0.00
7852,-0.78,14.70,0.11,0.00,1.72,0.00,4.50,3.62,0.00,-1.18,0.00
8024,-0.78,14.70,0.11,0.00,1.73,0.00,4.50,3.65,0.00,-1.18,0.00
8212,-0.78,14.59,0.11,0.00,1.74,0.00,4.50,3.69,0.00,-1.18,0.00
8383,-2.34,14.47,0.11,0.00,1.77,0.00,4.50,3.69,0.00,-1.18,0.00
8555,-2.34,14.24,0.11,0.00,1.73,0.00,4.50,3.67,0.00,-1.18,0.00
8727,-2.34,14.36,0.11,0.00,1.73,0.00,4.50,3.59,0.00,-1.18,0.00
8899,-1.56,14.59,0.10,0.00,1.71,0.00,4.50,3.38,0.00,-1.18,0.00
9071,-1.56,14.81,0.11,0.00,1.71,0.00,4.50,3.58,0.00,-1.18,0.00
9243,-0.78,14.81,0.11,0.00,1.71,0.00,4.50,3.53,0.00,-1.18,0.00
9415,-0.78,14.93,0.11,0.00,1.73,0.00,4.50,3.65,0.00,-1.18,0.00
9587,0.00,15.04,0.11,0.00,1.52,0.00,4.50,3.43,0.00,-1.18,0.00
9759,-0.78,14.81,0.11,0.00,1.71,0.00,4.50,3.72,0.00,-1.18,0.00
9930,-0.78,14.81,0.11,0.00,1.73,0.00,4.50,3.55,0.00,-1.18,0.00
10102,0.00,14.81,0.11,0.00,1.72,0.00,4.50,3.65,0.00,-1.18,0.00
10274,-0.78,14.70,0.11,0.00,1.74,0.00,4.50,3.62,0.00,-1.18,0.00
10446,-0.78,14.70,0.11,0.00,1.73,0.00,4.50,3.65,0.00,-1.18,0.00
10619,-0.78,14.59,0.10,0.00,1.75,0.00,4.50,3.55,0.00,-1.18,0.00
10811,-0.78,14.47,0.11,0.00,1.91,0.00,4.50,3.78,0.00,-1.18,0.00
10983,0.00,14.70,0.10,0.00,1.72,0.00,4.50,3.55,0.00,-1.18,0.00
11155,-1.56,14.36,0.11,0.00,1.75,0.00,4.50,3.50,0.00,-1.18,0.00
11327,-2.34,14.13,0.11,0.00,1.72,0.00,4.50,3.55,0.00,-1.18,0.00
11499,-1.56,14.47,0.11,0.00,1.71,0.00,4.50,3.69,0.00,-1.18,0.00
11671,-0.78,14.70,0.10,0.00,1.73,0.00,4.50,3.46,0.00,-1.18,0.00
11843,-0.78,14.81,0.11,0.00,1.71,0.00,4.50,3.43,0.00,-1.18,0.00
12014,-0.78,14.81,0.10,0.00,1.73,0.00,4.50,3.31,0.00,-1.18,0.00
12186,-0.78,14.81,0.10,0.00,1.71,0.00,4.50,3.62,0.00,-1.18,0.00
12358,0.00,14.93,0.11,0.00,1.71,0.00,4.50,3.69,0.00,-1.18,0.00
12530,0.00,14.81,0.11,0.00,1.72,0.00,4.50,3.67,0.00,-1.18,0.00
12702,-0.78,14.81,0.11,0.00,1.73,0.00,4.50,3.78,0.00,-1.18,0.00
12889,-1.56,14.59,0.11,0.00,1.73,0.00,4.50,3.69,0.00,-1.18,0.00
13046,-1.56,14.36,0.10,0.00,1.74,0.00,4.50,3.36,0.00,-1.18,0.00
13233,-2.34,14.13,0.11,0.00,1.71,0.00,4.50,3.45,0.00,-1.18,0.00
13405,-1.56,14.70,0.11,0.00,1.70,0.00,4.50,3.59,0.00,-1.18,0.00
13577,0.00,14.93,0.11,0.00,1.69,0.00,4.64,3.75,0.00,-1.18,0.00
13749,0.00,15.16,0.10,0.00,1.72,0.00,4.50,3.55,0.00,-1.18,0.00
13921,-0.78,14.70,0.10,0.00,1.74,0.00,4.50,3.59,0.00,-1.18,0.00
14092,-1.56,14.59,0.11,0.00,1.71,0.00,4.50,3.55,0.00,-1.18,0.00
14264,-0.78,14.81,0.10,0.00,1.73,0.00,4.50,3.50,0.00,-1.18,0.00
14436,0.00,14.93,0.11,0.00,1.70,0.00,4.50,3.65,0.00,-1.18,0.00
14608,0.78,14.93,0.10,0.00,1.73,0.00,4.50,3.55,0.00,-1.18,0.00
14780,0.78,15.16,0.11,0.00,1.94,0.00,4.50,3.55,0.00,-1.18,0.00
14952,0.78,14.93,0.11,0.00,1.72,0.00,4.50,3.27,0.00,-1.18,0.00
15124,0.78,15.04,0.11,0.00,1.73,0.00,4.50,3.59,0.00,-1.18,0.00
15295,0.78,14.81,0.11,0.00,1.75,0.00,4.50,3.62,0.00,-1.18,0.00
15467,0.78,14.70,0.10,0.00,1.75,0.00,4.50,3.59,0.00,-1.18,0.00
15639,0.00,14.59,0.10,0.00,1.53,0.00,4.35,3.01,0.00,-1.18,0.00
15811,0.78,14.59,0.11,0.00,1.66,0.00,4.50,3.40,0.00,-1.18,0.00
15983,1.56,14.81,0.10,0.00,1.72,0.00,4.50,3.67,0.00,-1.18,0.00
16155,2.34,15.04,0.11,0.00,1.73,0.00,4.50,3.43,0.00,-1.18,0.00
16331,0.78,14.81,0.11,0.00,1.72,0.00,4.50,3.80,0.00,-1.18,0.00
16503,0.78,14.59,0.11,0.00,1.74,0.00,4.50,3.65,0.00,-1.18,0.00
16680,0.78,14.59,0.11,0.00,1.73,0.00,4.50,3.62,0.00,-1.18,0.00
16852,0.00,14.24,0.11,0.00,1.73,0.00,4.50,3.75,0.00,-1.18,0.00
17023,-0.78,14.24,0.10,0.00,1.78,0.00,4.35,3.58,0.00,-1.18,0.00
17195,-0.78,14.24,0.11,0.00,1.77,0.00,4.50,3.80,0.00,-1.18,0.00
17367,-0.78,14.24,0.11,0.00,1.74,0.00,4.50,3.53,0.00,-1.18,0.00
17539,-0.78,14.36,0.09,0.00,1.52,0.00,4.50,3.14,0.00,-1.18,0.00
17711,-1.56,14.24,0.11,0.00,1.70,0.00,4.50,3.55,0.00,-1.18,0.00
17883,-0.78,14.59,0.11,0.00,1.70,0.00,4.50,3.75,0.00,-1.18,0.00
18055,0.78,15.04,0.11,0.00,1.73,0.00,4.50,3.69,0.00,-1.18,0.00
18226,-0.78,14.59,0.10,0.00,1.77,0.00,4.50,3.59,0.00,-1.18,0.00
18398,-2.34,14.24,0.10,0.00,1.73,0.00,4.35,3.53,0.00,-1.18,0.00
18570,-2.34,14.13,0.11,0.00,1.72,0.00,4.35,3.47,0.00,-1.18,0.00
18742,-0.78,14.47,0.10,0.00,1.70,0.00,4.50,3.50,0.00,-1.18,0.00
18914,-0.78,14.81,0.10,0.00,1.73,0.00,4.50,3.43,0.00,-1.18,0.00
19090,0.00,14.93,0.10,0.00,1.70,0.00,4.64,3.40,0.00,-1.18,0.00
19262,0.00,15.04,0.11,0.00,1.69,0.00,4.64,3.70,0.00,-1.18,0.00
19434,0.78,15.16,0.10,0.00,1.75,0.00,4.50,3.31,0.00,-1.18,0.00
19606,0.78,15.04,0.11,0.00,1.72,0.00,4.50,3.23,0.00,-1.18,0.00
19778,0.78,15.04,0.10,0.00,1.72,0.00,4.50,3.45,0.00,-1.18,0.00
19950,2.34,15.27,0.11,0.00,1.92,0.00,4.35,3.63,0.00,-1.18,0.00
20122,2.34,15.16,0.13,0.00,1.91,0.00,4.64,4.20,0.00,-1.18,0.00
20294,2.34,14.93,0.11,0.00,1.94,0.00,4.79,3.85,0.00,-1.18,0.00
20465,-2.34,13.44,0.12,0.00,1.69,0.00,4.79,4.11,0.00,-1.18,0.00
20637,-3.91,13.09,0.14,0.00,1.89,0.00,4.93,4.36,0.00,-1.18,0.39
20809,-2.34,13.78,0.16,0.00,2.39,0.00,5.51,5.39,0.00,-1.18,1.18
20981,-3.12,13.90,0.17,0.00,2.48,0.00,5.95,5.94,38.04,-1.18,1.96
21168,-7.81,13.67,0.17,0.00,2.83,0.00,6.24,6.81,38.04,-1.18,2.75
21340,-4.69,13.78,0.17,0.00,3.13,0.00,6.24,7.50,38.04,-1.49,3.14
21512,-2.34,15.16,0.14,0.00,3.41,0.00,6.09,7.34,38.04,-1.80,0.00
21684,-3.91,15.04,0.08,0.00,2.42,0.00,4.06,2.99,0.00,-2.11,0.00
21856,-6.25,13.78,0.08,0.00,2.02,0.00,3.48,3.89,0.00,-2.11,0.00
22028,-3.12,14.93,0.10,0.00,2.02,0.00,3.63,4.39,0.00,-1.49,0.00
22200,2.34,16.77,0.10,0.00,1.94,0.00,3.63,4.20,0.00,-1.49,0.00
22372,-2.34,15.04,0.09,0.00,1.91,0.00,3.63,4.09,0.00,-1.49,0.00
22543,-3.91,14.24,0.09,0.00,1.86,0.00,3.63,4.00,0.00,-1.49,0.00
22715,-4.69,13.67,0.09,0.00,1.79,0.00,3.63,3.65,0.00,-1.49,0.00
22887,-3.91,14.13,0.10,0.00,1.71,0.00,3.77,3.58,0.00,-1.18,0.00
23059,-3.91,14.36,0.10,0.00,1.90,0.00,3.77,3.80,0.00,-1.18,0.00
23231,-4.69,14.24,0.12,0.00,2.12,0.00,4.06,4.25,0.00,-1.18,1.18
23403,-7.03,13.67,0.15,0.00,2.42,0.00,4.50,5.19,38.04,-1.18,1.96
23575,-10.94,13.21,0.16,0.00,2.65,0.00,5.22,6.44,38.04,-1.18,2.75
23746,-12.50,12.86,0.17,0.00,2.88,0.00,5.51,7.74,38.04,-1.80,3.92
23918,-7.81,14.01,0.20,0.00,3.81,0.00,5.95,9.48,38.04,-1.80,5.88
24090,-9.38,14.70,0.24,0.00,4.87,0.00,7.25,12.85,38.04,-2.11,7.45
24262,-9.38,14.47,0.24,0.00,5.24,0.00,7.84,14.25,38.04,-2.42,8.63
24434,-3.91,15.39,0.25,0.00,5.68,0.00,8.13,15.57,38.04,-2.73,9.02
24606,-3.12,15.62,0.25,0.00,6.26,0.00,8.27,16.46,38.04,-2.73,9.41
24778,-3.12,15.04,0.28,0.00,6.42,0.00,8.42,16.94,38.04,-2.73,9.41
24949,-3.12,14.93,0.31,0.00,5.98,0.00,9.14,16.25,38.04,-2.42,9.80
25137,-4.69,14.47,0.36,0.00,6.29,0.00,10.30,16.87,38.04,-2.11,9.80
25309,-7.03,14.01,0.38,0.00,5.59,0.00,11.03,16.52,38.04,-1.49,10.20
25481,-3.91,14.59,0.40,0.00,5.26,0.00,11.90,15.43,38.04,-1.49,10.20
25653,-3.91,14.93,0.42,0.00,4.81,0.00,12.62,14.25,38.04,-1.18,10.59
25824,-4.69,14.81,0.38,0.00,4.33,0.00,12.91,13.20,38.04,-1.18,10.59
25996,-1.56,15.16,0.36,0.00,4.88,0.00,12.48,14.66,38.04,-1.18,10.59
26168,2.34,16.08,0.25,0.00,5.10,0.00,8.56,9.37,38.04,-1.49,0.00
26340,-1.56,14.24,0.14,0.00,3.14,0.00,6.24,4.00,38.04,-1.49,0.00
26512,-2.34,13.55,0.11,0.00,2.91,0.00,4.35,5.26,38.04,-2.42,0.00
26684,-3.12,13.32,0.12,0.00,2.53,0.00,3.63,6.66,38.04,-2.42,0.00
26856,-4.69,13.09,0.15,0.00,3.78,0.00,3.34,7.94,38.04,-2.11,0.00
27027,-7.03,12.17,0.16,0.00,3.15,0.00,3.63,7.33,38.04,-1.80,0.00
27199,-9.38,11.71,0.15,0.00,2.49,0.00,3.77,6.37,38.04,-1.49,0.00
27371,-11.72,11.14,0.16,0.00,2.72,0.00,4.21,6.88,38.04,-1.49,1.96
27543,-17.19,11.02,0.15,0.00,2.52,0.00,5.08,6.44,38.04,-1.49,3.14
27720,-21.09,11.25,0.20,0.00,3.41,0.00,5.66,9.17,38.04,-1.80,5.10
27891,-13.28,14.13,0.19,0.00,3.78,0.00,6.53,10.45,38.04,-2.11,5.88
28063,-10.94,15.62,0.22,0.00,3.85,0.00,6.82,11.35,38.04,-2.11,5.88
28235,-7.81,16.08,0.25,0.00,4.31,0.00,7.25,11.71,38.04,-1.80,6.67
28407,-11.72,14.93,0.28,0.00,4.50,0.00,8.27,13.84,38.04,-1.80,8.24
28579,-8.59,15.16,0.30,0.00,4.92,0.00,9.14,15.43,38.04,-2.11,9.02
28751,-4.69,15.85,0.32,0.00,6.02,0.00,9.87,17.31,38.04,-2.11,10.98
28922,-3.12,15.73,0.32,0.00,6.50,0.00,10.30,19.04,38.04,-2.42,11.37
29094,0.00,15.85,0.32,0.00,7.18,0.00,10.30,20.17,38.04,-2.73,12.16
29266,0.00,15.50,0.32,0.00,7.60,0.00,10.45,21.37,38.04,-2.73,12.55
29438,1.56,15.16,0.33,0.00,8.03,0.00,10.59,22.41,38.04,-3.04,12.94
29610,1.56,15.16,0.32,0.00,8.50,0.00,10.59,23.74,38.04,-3.04,12.94
29782,3.12,14.93,0.32,0.00,9.04,0.00,10.45,25.27,38.04,-3.64,13.33
29954,3.12,14.93,0.33,0.00,9.93,0.00,10.59,27.23,38.04,-3.64,13.33
30126,3.12,14.70,0.32,0.00,10.40,0.00,10.30,28.16,38.04,-3.94,13.33
30297,3.12,14.81,0.33,0.00,10.55,0.00,10.16,29.90,38.04,-4.25,13.33
30485,3.12,14.70,0.33,0.00,11.43,0.00,10.16,30.77,38.04,-4.25,13.73
30657,3.12,14.59,0.34,0.00,11.92,0.00,10.30,33.06,38.04,-4.56,14.51
30829,2.34,14.59,0.38,0.00,13.62,0.00,11.46,39.25,35.29,-1.49,17.25
31001,2.34,14.47,0.44,0.00,15.73,0.00,12.62,44.87,30.59,1.28,21.18
31172,0.00,14.47,0.51,0.00,19.78,0.00,14.51,57.46,36.47,4.02,27.45
31344,0.00,12.98,0.57,0.00,23.06,0.00,16.11,65.55,24.31,7.72,31.76
31516,0.00,12.40,0.61,0.00,29.75,0.00,17.27,79.96,22.75,8.33,34.90
31688,0.00,12.06,0.64,0.00,34.84,0.00,18.57,90.17,20.78,8.64,35.69
31860,0.00,11.94,0.64,0.00,39.93,0.00,19.01,95.97,18.82,7.72,35.29
32032,0.00,12.06,0.61,0.00,40.81,0.00,18.28,99.49,18.04,5.88,32.16
32204,0.00,11.71,0.50,0.00,39.60,0.00,12.62,95.81,18.04,2.80,15.69
32375,0.00,11.25,0.31,0.00,0.00,0.00,5.08,49.22,37.65,-7.95,0.00
32547,0.00,23.89,0.25,0.00,0.00,0.00,4.50,38.70,37.65,-7.64,0.00
32719,0.00,23.77,0.21,0.00,0.00,0.00,4.21,30.00,37.65,-7.02,0.00
32891,0.00,24.00,0.21,0.00,10.30,0.00,4.06,26.09,37.65,-6.71,4.71
33063,-3.12,12.17,0.17,0.00,8.96,0.00,5.66,22.50,37.25,-5.80,7.84
33235,-10.94,11.48,0.19,0.00,7.03,0.00,6.24,19.66,37.25,-5.49,8.24
33407,-7.03,14.81,0.21,0.00,7.50,0.00,6.82,20.93,37.25,-4.87,9.02
33578,-5.47,15.16,0.28,0.00,9.48,0.00,8.42,25.37,37.25,-4.56,12.16
33750,-4.69,14.81,0.34,0.00,11.44,0.00,9.72,33.54,36.47,-3.35,14.90
33922,-2.34,15.27,0.35,0.00,12.21,0.00,10.74,35.47,36.08,-2.73,15.69
34110,-1.56,15.04,0.37,0.00,13.11,0.00,11.03,36.81,35.69,-2.11,16.08
34281,0.00,15.04,0.37,0.00,13.34,0.00,11.46,38.16,34.90,-2.42,16.47
34453,0.78,14.93,0.37,0.00,13.53,0.00,11.75,39.53,34.51,-2.42,16.47
34625,0.78,14.81,0.38,0.00,14.36,0.00,12.04,40.74,33.33,-2.11,16.47
34797,1.56,14.81,0.38,0.00,14.64,0.00,12.19,41.29,32.94,-2.11,16.47
34969,1.56,14.81,0.36,0.00,14.10,0.00,11.90,39.65,33.73,-2.73,15.69
35141,2.34,14.81,0.32,0.00,12.91,0.00,11.32,37.05,34.90,-5.49,13.33
35313,2.34,14.70,0.27,0.00,11.61,0.00,9.87,31.21,37.25,-5.49,12.16
35485,4.69,15.16,0.25,0.00,10.90,0.00,9.14,29.68,37.25,-5.49,11.76
35656,4.69,14.93,0.24,0.00,10.94,0.00,8.85,28.59,37.25,-5.80,10.98
35828,3.12,14.47,0.16,0.00,8.09,0.00,7.11,19.11,37.25,-5.80,7.45
36000,0.00,13.90,0.13,0.00,0.00,0.00,4.64,12.25,37.25,-5.80,0.00
36172,0.00,20.90,0.17,0.00,0.00,0.00,3.92,17.38,37.25,-5.18,0.00
36344,0.00,23.66,0.18,0.00,0.00,0.00,3.77,15.91,37.25,-4.25,0.00
36516,0.00,23.89,0.17,0.00,0.00,0.00,3.77,13.95,37.25,-3.94,0.00
36688,0.00,23.54,0.16,0.00,0.00,0.00,3.92,11.66,37.25,-3.35,0.00
36860,0.00,23.77,0.15,0.00,4.44,0.00,4.35,10.48,37.25,-2.42,1.96
37031,0.00,23.66,0.15,0.00,4.01,0.00,4.35,9.35,37.25,-2.73,3.14
37203,-10.16,12.40,0.16,0.00,4.43,0.00,4.93,10.74,37.25,-2.73,5.49
37375,-12.50,12.75,0.18,0.00,4.52,0.00,5.37,12.04,37.25,-3.64,6.67
37547,-7.03,15.04,0.19,0.00,5.49,0.00,6.09,14.13,37.25,-3.35,7.06
37719,-7.81,14.59,0.21,0.00,5.95,0.00,6.82,16.19,37.25,-3.64,8.63
37891,-4.69,15.50,0.23,0.00,6.91,0.00,7.55,18.36,37.25,-3.64,9.41
38078,-3.91,15.27,0.24,0.00,7.04,0.00,7.98,19.04,37.25,-3.64,9.41
38250,-2.34,15.27,0.24,0.00,7.04,0.00,8.13,19.49,37.25,-3.64,9.41
38422,-0.78,15.27,0.25,0.00,7.04,0.00,8.27,19.42,37.25,-3.64,9.41
38594,0.00,15.16,0.25,0.00,7.60,0.00,8.27,20.08,37.25,-3.64,9.41
38766,0.78,14.93,0.25,0.00,7.12,0.00,8.27,19.99,37.25,-3.64,9.41
38937,1.56,14.93,0.23,0.00,6.67,0.00,8.13,18.81,37.25,-3.64,8.63
39109,3.12,15.16,0.22,0.00,6.64,0.00,7.69,17.74,37.25,-3.64,8.24
39281,2.34,14.70,0.21,0.00,6.14,0.00,7.40,17.15,37.25,-3.64,7.84
39453,4.69,15.39,0.21,0.00,6.70,0.00,7.25,16.87,37.25,-3.64,7.45
39625,4.69,14.81,0.20,0.00,6.21,0.00,7.11,16.94,37.25,-3.64,7.45
39797,4.69,14.81,0.21,0.00,6.19,0.00,7.11,16.32,37.25,-3.64,7.45
39969,5.47,14.81,0.20,0.00,6.21,0.00,6.96,16.60,37.25,-3.64,7.45
40141,0.00,14.70,0.16,0.00,0.00,0.00,5.37,8.20,36.86,-3.64,0.00
40312,0.00,14.13,0.10,0.00,0.00,0.00,4.06,7.03,36.86,-3.64,0.00
40484,0.00,13.90,0.13,0.00,0.00,0.00,3.34,9.31,36.86,-3.35,0.00
40656,0.00,18.72,0.14,0.00,0.00,0.00,3.77,9.00,36.86,-2.73,0.00
40828,0.00,23.66,0.16,0.00,0.00,0.00,3.92,8.31,36.86,-2.11,0.00
41000,0.00,24.46,0.18,0.00,3.05,0.00,4.50,7.10,36.86,-1.80,1.18
41172,0.00,23.89,0.17,0.00,2.88,0.00,5.37,7.14,36.86,-1.49,2.35
41344,0.00,21.25,0.15,0.00,3.16,0.00,5.51,7.24,36.86,-1.80,2.75
41515,-0.78,14.01,0.15,0.00,3.63,0.00,5.22,7.94,36.86,-2.42,3.53
41687,2.34,14.81,0.20,0.00,4.66,0.00,5.51,10.08,36.86,-2.11,5.49
41859,-5.47,14.13,0.23,0.00,4.96,0.00,6.67,12.59,36.86,-2.42,7.06
42031,-8.59,12.86,0.24,0.00,4.63,0.00,7.55,13.18,36.86,-2.11,7.45
42218,-2.34,14.59,0.26,0.00,4.95,0.00,7.98,14.01,36.86,-2.11,7.45
42390,-3.12,14.93,0.25,0.00,4.98,0.00,8.27,14.01,36.86,-2.11,7.45
42562,-0.78,15.16,0.25,0.00,5.04,0.00,8.27,14.01,36.86,-2.11,7.45
42734,0.78,15.39,0.25,0.00,4.98,0.00,8.27,13.95,36.86,-2.11,7.45
42906,0.78,15.16,0.20,0.00,4.30,0.00,6.96,8.87,36.86,-2.42,3.92
43078,-2.34,14.36,0.17,0.00,3.57,0.00,6.09,8.51,36.86,-2.11,3.92
43250,-0.78,14.47,0.16,0.00,3.57,0.00,5.51,8.87,36.86,-2.11,3.53
43422,-1.56,14.47,0.15,0.00,3.30,0.00,5.22,7.54,36.86,-2.11,2.75
43593,-0.78,14.47,0.13,0.00,2.84,0.00,4.93,7.54,36.86,-2.11,2.35
43765,-0.78,14.70,0.12,0.00,2.82,0.00,4.50,6.88,36.86,-2.11,1.57
43937,0.00,14.59,0.10,0.00,0.00,0.00,4.21,6.04,36.86,-2.11,0.39
44109,0.00,14.59,0.11,0.00,0.00,0.00,3.92,5.90,36.86,-2.11,0.39
44281,0.00,17.11,0.11,0.00,0.00,0.00,4.06,6.07,36.86,-2.11,0.39
44453,0.00,24.69,0.11,0.00,0.00,0.00,4.21,5.65,36.86,-2.11,0.39
44625,0.00,25.72,0.11,0.00,0.00,0.00,4.21,5.65,36.86,-2.11,0.39
44796,0.00,23.77,0.10,0.00,0.00,0.00,4.21,5.58,36.86,-2.11,0.39
44984,0.00,24.00,0.10,0.00,0.00,0.00,4.21,5.45,36.86,-2.11,0.39
45156,0.00,23.89,0.10,0.00,0.00,0.00,4.21,5.22,36.86,-2.11,0.39
45328,0.00,23.54,0.10,0.00,0.00,0.00,4.21,5.45,36.86,-2.11,0.39
45500,0.00,23.66,0.11,0.00,0.00,0.00,4.35,5.54,36.86,-2.11,0.39
45671,0.00,23.77,0.09,0.00,0.00,0.00,4.21,5.00,36.86,-2.11,0.39
45843,0.00,23.54,0.10,0.00,0.00,0.00,4.35,5.13,36.86,-2.11,0.39
46015,0.00,23.54,0.11,0.00,0.00,0.00,4.35,5.48,36.86,-2.11,0.39
46202,0.00,23.66,0.10,0.00,0.00,0.00,4.35,5.00,36.86,-2.11,0.39
46374,0.00,23.54,0.09,0.00,0.00,0.00,4.35,4.22,36.86,-2.11,0.39
46546,0.00,23.89,0.10,0.00,0.00,0.00,4.35,5.07,36.86,-1.80,0.39
46718,0.00,23.89,0.10,0.00,0.00,0.00,4.35,5.16,36.86,-1.80,0.39
46890,0.00,23.89,0.10,0.00,0.00,0.00,4.35,4.36,36.86,-1.80,0.39
47062,0.00,24.12,0.09,0.00,0.00,0.00,4.21,4.72,36.86,-1.80,0.39
47234,0.00,24.00,0.10,0.00,0.00,0.00,4.06,4.59,36.86,-1.80,0.39
47406,0.00,23.89,0.10,0.00,0.00,0.00,4.06,4.75,36.86,-1.80,0.39
47577,0.00,24.00,0.10,0.00,0.00,0.00,4.06,4.66,36.86,-1.80,0.39
47765,0.00,23.77,0.10,0.00,0.00,0.00,4.06,4.75,36.86,-1.80,0.39
47937,0.00,23.66,0.09,0.00,0.00,0.00,4.06,4.17,36.86,-1.80,0.39
48113,0.00,24.00,0.10,0.00,0.00,0.00,4.06,4.79,36.86,-1.80,0.39
48285,0.00,23.77,0.09,0.00,0.00,0.00,4.06,4.25,37.25,-1.80,0.39
48457,0.00,24.00,0.09,0.00,0.00,0.00,4.06,4.44,37.25,-1.80,0.39
48629,0.00,24.00,0.10,0.00,0.00,0.00,4.21,4.69,37.25,-1.80,0.39
48801,0.00,24.23,0.10,0.00,2.11,0.00,4.21,4.36,37.25,-1.80,0.39
48973,0.00,23.77,0.11,0.00,2.03,0.00,4.06,4.75,37.25,-1.80,0.39
49145,0.00,23.31,0.10,0.00,2.34,0.00,3.92,5.00,37.25,-1.80,0.39
49316,0.00,17.69,0.10,0.00,2.37,0.00,3.92,4.85,37.25,-1.80,0.39
49504,-0.78,14.47,0.10,0.00,2.34,0.00,3.92,4.82,37.25,-1.80,0.39
49676,-2.34,13.90,0.09,0.00,2.01,0.00,3.92,4.39,37.25,-1.80,0.39
49848,-2.34,13.90,0.11,0.00,2.25,0.00,3.77,4.97,37.25,-1.80,0.39
50020,-1.56,14.47,0.13,0.00,2.34,0.00,3.92,5.00,37.25,-1.49,1.96
50191,-7.03,14.01,0.16,0.00,2.90,0.00,4.64,6.70,37.25,-1.49,2.75
50363,-11.72,12.63,0.21,0.00,3.59,0.00,5.66,8.65,37.25,-1.80,5.10
50535,-10.16,12.86,0.25,0.00,3.75,0.00,6.67,10.49,37.25,-1.80,5.88
50707,-10.16,13.90,0.24,0.00,3.72,0.00,7.84,10.85,37.25,-1.80,6.27
50879,-7.81,14.93,0.22,0.00,3.73,0.00,8.42,11.15,37.25,-1.80,6.67
51066,0.78,16.08,0.24,0.00,3.90,0.00,8.71,10.94,37.25,-1.49,6.67
51238,0.00,16.65,0.26,0.00,4.19,0.00,8.71,11.09,37.25,-1.49,6.27
