Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s)
14130,14.66,0.33,3216,0.00,0.00,8,17.34
14270,14.73,0.34,3230,0.00,0.00,8,18.50
14395,14.52,0.35,3232,0.00,0.00,8,19.11
14520,14.20,0.36,3227,0.00,0.00,8,19.55
14645,14.24,0.37,3246,0.00,0.00,8,20.01
14786,14.56,0.37,3246,0.00,0.00,8,20.32
14911,14.37,0.38,3256,0.00,0.00,8,20.49
15036,14.54,0.38,3262,0.00,0.00,8,20.75
15176,14.66,0.39,3251,0.00,0.00,8,21.35
15301,14.70,0.40,3266,0.00,0.00,8,22.02
15426,14.37,0.41,3299,0.00,0.00,8,22.19
15551,14.27,0.42,3301,0.00,0.00,8,22.87
15692,14.56,0.42,3326,0.00,0.00,8,22.87
15817,14.52,0.42,3302,0.00,0.00,8,23.44
15942,14.75,0.43,3323,0.00,0.00,8,24.01
16083,14.41,0.43,3346,0.00,0.00,8,24.01
16208,14.35,0.43,3340,0.00,0.00,8,24.00
16333,14.63,0.44,3360,0.00,0.00,8,24.48
16458,14.58,0.44,3386,0.00,0.00,8,24.76
16598,14.36,0.44,3377,0.00,0.00,8,25.05
16723,14.29,0.45,3404,0.00,0.00,8,25.53
16848,14.73,0.49,3415,0.00,0.00,8,29.96
16989,14.98,0.57,3448,0.00,0.00,8,34.10
17114,14.43,0.60,3450,0.00,0.00,8,34.93
17239,13.77,0.56,3498,0.00,0.00,8,30.89
17364,12.62,0.41,3472,0.00,0.00,8,21.46
17504,13.24,0.36,3490,0.00,0.00,8,20.54
17629,15.23,0.35,3458,0.00,0.00,8,20.64
17754,16.02,0.35,3558,0.00,0.00,8,20.32
17895,15.07,0.35,3506,0.00,0.00,8,20.21
18020,14.39,0.36,3528,0.00,0.00,8,20.95
18145,14.30,0.37,3582,0.00,0.00,8,21.78
18270,14.43,0.38,3519,0.00,0.00,8,22.20
18411,14.60,0.41,3559,0.00,0.00,8,23.84
18536,14.78,0.45,3558,0.00,0.00,8,26.33
18661,14.60,0.49,3573,0.00,0.00,8,29.32
18801,14.20,0.51,3556,0.00,0.00,8,30.50
18926,14.21,0.52,3575,0.00,0.00,8,31.48
19051,14.01,0.38,3585,0.00,0.00,8,20.52
19192,12.33,0.23,3580,0.00,0.00,8,12.75
19317,12.95,0.23,3556,0.00,0.00,8,13.70
19442,15.81,0.21,3606,0.00,0.00,8,13.03
19567,16.48,0.22,3503,0.00,0.00,8,13.37
19707,13.85,0.21,3548,0.00,0.00,8,12.59
19832,12.00,0.20,3504,0.00,0.00,8,11.60
19957,11.67,0.19,3475,0.00,0.00,8,11.29
20082,12.86,0.18,3474,0.00,0.00,8,10.29
20223,16.29,0.19,3410,0.00,0.00,8,9.70
20348,22.52,0.15,3421,0.00,0.00,8,8.65
20473,23.65,0.16,3354,0.00,0.00,8,9.22
20613,23.70,0.16,3350,0.00,0.00,8,9.31
20738,23.45,0.17,3330,0.00,0.00,8,9.18
20863,23.94,0.15,3272,0.00,0.00,8,7.42
20988,23.51,0.18,3249,0.00,0.00,8,8.87
21129,23.82,0.18,3214,0.00,0.00,8,9.89
21254,23.53,0.20,3204,0.00,0.00,8,11.34
21379,22.72,0.20,3187,0.00,0.00,8,11.83
21520,14.84,0.23,3179,0.00,0.00,8,13.02
21645,13.01,0.25,3167,0.00,0.00,8,13.33
21770,13.38,0.26,3162,0.00,0.00,8,14.37
21895,14.29,0.27,3170,0.00,0.00,8,14.52
22035,13.84,0.28,3164,0.00,0.00,8,15.15
22160,13.55,0.30,3178,0.00,0.00,8,16.01
22285,13.47,0.31,3184,0.00,0.00,8,18.58
22426,13.87,0.36,3184,0.00,0.00,8,21.49
22551,13.67,0.43,3209,0.00,0.00,8,24.12
22676,14.10,0.47,3209,0.00,0.00,8,26.35
22801,14.64,0.51,3234,0.00,0.00,8,28.51
22941,14.70,0.55,3254,0.00,0.00,8,30.81
23066,14.76,0.59,3251,0.00,0.00,8,31.80
23191,14.66,0.61,3289,0.00,0.00,8,33.37
23332,14.27,0.61,3312,0.00,0.00,8,34.70
23457,14.12,0.64,3369,0.00,0.00,8,36.00
23582,13.69,0.65,3380,0.00,0.00,8,36.45
23707,13.52,0.65,3415,0.00,0.00,8,36.94
23848,13.46,0.65,3431,0.00,0.00,8,37.66
23973,13.02,0.61,3474,0.00,0.00,8,35.00
24098,12.87,0.59,3485,0.00,0.00,8,33.78
24238,13.10,0.56,3516,0.00,0.00,8,32.33
24363,14.05,0.56,3558,0.00,0.00,8,33.49
24488,13.93,0.58,3582,0.00,0.00,8,34.52
24613,13.50,0.56,3595,0.00,0.00,8,34.15
24754,12.10,0.29,3556,0.00,0.00,8,12.49
24879,11.42,0.26,3559,0.00,0.00,8,15.89
25004,12.26,0.27,3616,0.00,0.00,8,16.61
25144,12.25,0.27,3578,0.00,0.00,8,16.31
25269,11.92,0.26,3602,0.00,0.00,8,15.61
25394,11.99,0.24,3542,0.00,0.00,8,13.59
25519,12.47,0.23,3538,0.00,0.00,8,13.28
