Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
10666,0.00,12.06,0.24,0.00,11.32,0.00,6.82,31.57,33.33,-6.34,8.24,187
10838,0.00,11.25,0.21,0.00,10.56,0.00,6.38,26.93,33.33,-6.65,7.84,187
11026,-2.34,11.25,0.19,0.00,9.67,0.00,5.80,24.42,33.33,-6.65,6.67,187
11213,0.00,11.25,0.17,0.00,0.00,0.00,3.63,21.71,33.33,-6.34,0.00,187
11385,0.00,14.47,0.18,0.00,0.00,0.00,3.63,22.41,33.33,-6.03,0.00,187
11572,0.00,21.36,0.16,0.00,0.00,0.00,3.77,17.29,33.33,-4.80,0.00,187
11744,0.00,24.12,0.17,0.00,0.00,0.00,3.92,15.10,33.33,-4.49,0.39,187
11936,0.00,24.12,0.19,0.00,6.51,0.00,4.35,14.49,33.33,-4.18,5.49,187
12108,-4.69,12.75,0.19,0.00,6.90,0.00,6.09,15.10,33.33,-4.18,7.45,187
12300,-2.34,13.55,0.20,0.00,7.48,0.00,6.53,18.74,33.33,-4.49,7.84,187
12472,-4.69,14.13,0.22,0.00,7.76,0.00,6.82,20.07,33.33,-4.49,8.24,187
12659,-3.91,14.36,0.26,0.00,9.00,0.00,7.55,22.97,33.33,-4.49,10.59,187
12831,-5.47,14.36,0.29,0.00,9.64,0.00,8.85,26.40,33.33,-4.49,11.76,187
13019,-1.56,14.81,0.30,0.00,9.60,0.00,9.29,26.72,33.33,-4.49,12.55,187
13206,-0.78,15.16,0.31,0.00,10.82,0.00,9.72,29.14,33.33,-4.49,12.94,187
13378,-0.78,14.93,0.33,0.00,10.75,0.00,10.01,30.91,33.33,-4.49,12.94,187
13566,0.78,14.81,0.34,0.00,11.38,0.00,10.30,30.57,33.33,-4.49,12.94,187
13737,0.00,14.81,0.34,0.00,11.42,0.00,10.45,31.80,33.33,-4.49,12.94,187
13925,0.78,14.70,0.32,0.00,10.82,0.00,10.45,30.69,33.33,-4.49,12.16,187
14097,0.00,14.70,0.32,0.00,10.77,0.00,10.16,30.24,33.33,-4.18,11.37,187
14289,0.78,14.70,0.31,0.00,10.72,0.00,9.87,29.36,33.33,-4.18,11.37,187
14461,0.78,14.81,0.31,0.00,10.16,0.00,9.87,29.25,33.33,-4.49,11.37,187
14651,0.78,14.59,0.29,0.00,10.14,0.00,9.72,27.87,33.33,-4.49,10.98,187
14825,2.34,15.04,0.28,0.00,10.19,0.00,9.43,27.76,33.33,-4.49,10.98,187
15012,4.69,15.16,0.28,0.00,10.20,0.00,9.29,27.24,33.33,-4.18,10.59,187
15184,3.91,14.81,0.26,0.00,8.96,0.00,9.14,25.19,33.33,-4.18,10.20,187
15376,5.47,15.27,0.25,0.00,9.53,0.00,9.00,24.80,33.33,-4.18,9.80,187
15548,7.03,15.27,0.25,0.00,8.91,0.00,8.71,24.51,33.33,-4.49,9.80,187
15737,8.59,14.93,0.25,0.00,8.94,0.00,8.56,23.74,33.33,-4.49,9.41,187
15912,8.59,14.81,0.25,0.00,8.37,0.00,8.42,22.06,33.33,-4.18,9.41,189
16099,7.81,14.93,0.25,0.00,8.94,0.00,8.27,23.27,33.33,-4.18,9.41,189
16271,7.81,14.47,0.26,0.00,8.96,0.00,8.27,23.16,33.33,-4.18,9.41,189
16458,6.25,14.13,0.29,0.00,9.54,0.00,8.56,25.78,33.33,-4.18,11.37,189
