Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
17388,23.83,0.13,4587,0.00,0.00,16,6.02,6.00,20.05,-4.80,0.64,183,0.00
17578,24.29,0.13,4556,0.00,0.00,16,6.02,6.00,18.95,-4.49,0.64,183,0.00
17770,23.64,0.12,4491,0.00,0.00,16,6.02,6.00,18.50,-4.49,0.64,183,0.00
17959,23.71,0.11,4388,0.00,0.00,16,6.02,6.00,18.02,-4.49,0.64,183,0.00
18151,24.05,0.12,4216,0.00,0.00,16,6.02,6.00,16.74,-4.18,0.64,183,0.00
18341,23.81,0.11,4286,0.00,0.00,16,6.02,6.00,15.40,-4.18,0.64,183,0.00
18533,24.13,0.11,4128,0.00,0.00,16,6.02,6.00,14.22,-4.18,0.64,183,0.00
18722,23.88,0.10,3786,0.00,0.00,16,6.02,6.00,12.74,-4.18,0.64,183,0.00
18912,23.83,0.10,3374,0.00,0.00,16,6.02,6.00,10.94,-4.18,0.64,183,0.00
19105,24.09,0.11,3017,0.00,0.00,16,5.31,6.00,10.49,-4.18,0.64,183,0.00
19290,23.98,0.12,2670,0.00,0.00,16,3.91,4.00,10.99,-3.56,0.64,183,0.00
19480,24.22,0.13,2340,0.00,0.00,16,3.20,3.00,9.62,-2.94,0.64,183,0.00
19670,24.04,0.13,2020,0.00,0.00,16,3.20,2.50,8.14,-1.39,0.64,183,0.00
19864,23.97,0.12,1709,0.00,0.00,16,5.66,13.00,6.40,-1.39,0.64,183,0.00
20054,23.83,0.17,1412,0.00,0.00,16,6.72,14.50,7.37,-1.39,0.64,183,0.00
20244,23.89,0.23,1212,0.00,0.00,16,9.53,7.00,8.20,-1.39,0.78,183,0.00
20433,23.77,0.29,1398,0.00,0.00,16,27.81,22.00,15.48,-1.39,0.86,183,0.00
20624,14.42,0.25,2127,0.00,0.00,16,42.58,42.00,16.82,-2.01,0.90,183,0.00
20813,14.82,0.25,2318,0.00,0.00,16,42.93,43.00,17.57,-2.63,0.90,183,0.00
21006,14.82,0.28,1925,0.00,0.00,16,41.17,40.00,19.27,-1.39,0.90,183,0.00
21188,13.26,0.29,2068,0.00,0.00,16,39.41,40.50,18.72,-1.70,0.90,183,0.00
21388,13.71,0.27,2005,0.00,0.00,16,39.77,39.50,18.41,-1.70,0.84,183,0.00
21578,13.63,0.22,2010,0.00,0.00,16,38.71,38.50,14.66,-1.70,0.82,183,0.00
21768,13.86,0.17,2034,0.00,0.00,16,35.90,36.50,9.75,-1.70,0.76,183,0.00
21955,13.35,0.14,2011,0.00,0.00,16,34.49,34.00,8.39,-1.70,0.74,183,0.00
22143,14.25,0.14,2016,0.00,0.00,16,34.14,34.50,9.93,-1.70,0.74,183,0.00
22330,14.65,0.14,1998,0.00,0.00,16,33.79,34.00,9.13,-1.70,0.74,183,0.00
22518,14.79,0.15,2011,0.00,0.00,16,34.49,34.50,9.13,-1.70,0.74,183,0.00
22721,14.70,0.14,1994,0.00,0.00,16,34.49,34.00,9.61,-1.70,0.74,183,0.00
22908,14.19,0.15,1998,0.00,0.00,16,35.20,34.50,9.75,-1.70,0.76,183,0.00
23096,14.44,0.17,2001,0.00,0.00,16,36.25,36.00,10.89,-1.39,0.80,183,0.00
23283,13.19,0.20,1995,0.00,0.00,16,37.66,37.00,13.20,-1.70,0.84,183,0.00
23471,13.48,0.22,1998,0.00,0.00,16,38.36,38.00,14.73,-1.70,0.84,183,0.00
23674,13.82,0.21,1988,0.00,0.00,16,38.01,37.50,13.90,-1.39,0.86,183,0.00
23862,14.69,0.22,1994,0.00,0.00,16,38.01,38.00,14.92,-1.70,0.84,183,0.00
24049,14.62,0.23,2004,0.00,0.00,16,38.71,38.00,14.60,-1.39,0.86,183,0.00
