Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Coolant Temperature (F)
12947,3.12,13.90,0.20,0.00,5.63,0.00,7.25,15.11,34.12,-3.35,7.84,181
13138,3.12,14.24,0.21,0.00,5.59,0.00,7.25,15.15,34.12,-3.35,7.84,181
13325,3.12,14.47,0.21,0.00,5.62,0.00,7.25,15.08,34.12,-3.35,7.84,180
13497,3.12,14.59,0.20,0.00,5.59,0.00,7.25,14.90,34.12,-3.35,7.84,180
13685,3.91,14.70,0.20,0.00,5.58,0.00,7.25,14.84,34.12,-3.35,7.84,180
13857,3.91,14.81,0.21,0.00,5.58,0.00,7.25,14.90,34.12,-3.35,7.84,180
14044,3.91,14.70,0.21,0.00,5.12,0.00,7.40,14.42,34.12,-3.35,7.84,180
14216,3.91,14.70,0.21,0.00,5.53,0.00,7.40,14.97,34.12,-3.35,7.84,180
14403,3.91,14.70,0.21,0.00,5.56,0.00,7.40,15.03,34.12,-3.35,8.24,180
14591,4.69,14.81,0.22,0.00,6.03,0.00,7.55,15.49,34.12,-3.35,8.24,180
14778,5.47,14.93,0.22,0.00,5.88,0.00,7.84,15.91,34.12,-3.04,8.63,180
14950,6.25,14.93,0.24,0.00,6.00,0.00,8.13,16.46,34.12,-3.35,9.41,180
15138,5.47,14.81,0.25,0.00,6.49,0.00,8.42,17.74,34.12,-3.35,9.80,180
15310,6.25,14.70,0.28,0.00,7.42,0.00,9.14,19.57,34.12,-3.35,10.98,180
15497,4.69,14.59,0.29,0.00,7.89,0.00,9.72,21.03,34.12,-3.35,11.37,180
15685,4.69,14.36,0.30,0.00,7.89,0.00,10.01,21.80,34.12,-3.35,11.76,180
15856,4.69,14.59,0.30,0.00,7.90,0.00,10.01,21.97,34.12,-3.35,11.76,180
16044,3.12,14.47,0.32,0.00,8.38,0.00,10.16,22.24,34.12,-3.35,11.76,180
16231,0.78,13.90,0.30,0.00,8.38,0.00,10.30,22.69,33.73,-3.35,11.76,180
16419,3.12,14.70,0.31,0.00,8.40,0.00,10.30,22.42,33.73,-3.35,11.76,180
16591,0.78,14.36,0.31,0.00,7.92,0.00,10.30,22.16,33.73,-3.35,11.76,180
16779,1.56,14.59,0.31,0.00,8.39,0.00,10.30,22.42,33.73,-3.35,11.76,180
16951,1.56,14.59,0.30,0.00,8.37,0.00,10.30,22.50,33.73,-3.35,11.76,180
17138,1.56,14.70,0.32,0.00,8.37,0.00,10.30,22.97,33.73,-3.35,11.76,180
17326,0.78,14.59,0.31,0.00,8.41,0.00,10.30,23.08,33.73,-3.35,11.76,180
17498,1.56,14.59,0.31,0.00,7.92,0.00,10.30,22.15,33.73,-3.35,11.76,180
17685,2.34,14.70,0.32,0.00,8.42,0.00,10.30,22.24,33.73,-3.35,11.76,180
17873,0.78,14.59,0.31,0.00,8.44,0.00,10.45,23.07,33.73,-3.35,11.76,180
18045,1.56,14.47,0.31,0.00,8.43,0.00,10.30,23.17,33.73,-3.35,11.76,180
18232,1.56,14.70,0.31,0.00,8.48,0.00,10.45,23.17,33.73,-3.35,12.16,180
18419,1.56,14.59,0.30,0.00,8.46,0.00,10.45,23.55,33.73,-3.35,12.16,180
18596,2.34,14.81,0.33,0.00,8.48,0.00,10.45,23.27,33.73,-3.35,12.16,180
18784,1.56,14.59,0.32,0.00,8.49,0.00,10.59,23.65,33.73,-3.35,12.16,180
18955,1.56,14.70,0.32,0.00,8.52,0.00,10.59,23.55,33.73,-3.35,12.16,178
19143,2.34,14.70,0.33,0.00,8.49,0.00,10.59,23.65,33.73,-3.35,12.16,178
19330,1.56,14.70,0.31,0.00,8.52,0.00,10.59,23.94,33.73,-3.35,12.16,178
19518,0.78,14.47,0.32,0.00,8.53,0.00,10.59,23.55,33.73,-3.35,12.16,178
19690,1.56,14.70,0.31,0.00,8.51,0.00,10.45,22.78,33.73,-3.35,11.76,178
19877,1.56,14.70,0.31,0.00,8.48,0.00,10.30,23.16,33.73,-3.35,11.76,178
20065,0.00,14.24,0.27,0.00,8.02,0.00,9.87,20.02,33.73,-3.35,8.24,178
20237,-6.25,12.98,0.19,0.00,5.21,0.00,7.69,12.63,33.73,-3.35,6.67,178
20424,-2.34,14.47,0.17,0.00,5.20,0.00,6.67,12.96,33.73,-3.35,6.27,178
20612,-1.56,14.81,0.17,0.00,4.72,0.00,6.38,12.85,33.73,-3.35,6.27,178
20783,-2.34,14.70,0.17,0.00,4.73,0.00,6.24,11.98,33.73,-3.35,6.27,178
20971,-1.56,14.70,0.17,0.00,4.68,0.00,6.09,12.04,33.73,-3.35,6.27,178
21158,-1.56,14.93,0.17,0.00,4.69,0.00,6.09,12.68,33.73,-3.35,5.88,178
21330,-3.91,14.13,0.16,0.00,4.68,0.00,5.80,11.71,33.73,-3.35,5.49,178
21518,-1.56,14.70,0.15,0.00,4.68,0.00,5.66,11.14,33.73,-3.35,5.49,178
21705,-1.56,14.81,0.15,0.00,4.19,0.00,5.51,10.83,33.73,-3.35,5.10,178
21877,-3.12,14.47,0.12,0.00,4.21,0.00,5.22,9.76,33.73,-3.35,4.31,178
22065,-3.12,14.36,0.11,0.00,3.27,0.00,4.50,7.57,33.73,-3.35,2.75,178
22252,-4.69,14.24,0.11,0.00,3.26,0.00,4.06,8.11,33.73,-3.35,2.75,178
22424,-7.81,13.67,0.11,0.00,3.25,0.00,4.06,8.27,33.73,-3.35,2.75,178
22611,-13.28,13.21,0.11,0.00,3.24,0.00,4.06,7.74,33.73,-3.35,2.75,178
22783,-14.06,13.44,0.11,0.00,3.22,0.00,4.06,7.82,33.73,-3.35,2.75,178
22971,-11.72,14.59,0.10,0.00,3.21,0.00,4.06,7.37,33.73,-3.04,2.75,178
23158,-11.72,14.81,0.11,0.00,3.21,0.00,4.21,7.90,33.73,-3.04,3.14,178
23330,-11.72,14.81,0.14,0.00,4.12,0.00,4.79,9.61,33.73,-3.04,5.10,178
23518,-13.28,14.81,0.16,0.00,4.09,0.00,5.37,11.49,33.73,-3.04,5.88,178
23705,-12.50,14.36,0.17,0.00,4.54,0.00,5.80,11.87,33.73,-3.04,6.27,178
23892,-10.16,15.04,0.17,0.00,4.53,0.00,6.09,12.30,33.73,-3.04,6.27,178
24064,-9.38,15.27,0.18,0.00,4.50,0.00,6.24,12.68,33.73,-3.04,6.67,178
24252,-7.81,15.27,0.19,0.00,4.95,0.00,6.38,13.12,33.73,-3.04,7.06,178
24439,-7.03,15.04,0.20,0.00,4.96,0.00,6.53,13.47,33.73,-3.04,7.06,178
24611,-6.25,15.04,0.20,0.00,5.41,0.00,6.82,13.71,33.73,-3.04,7.45,176
24799,-3.91,15.27,0.20,0.00,5.40,0.00,6.96,14.37,33.73,-3.04,7.45,176
24986,-3.91,15.04,0.20,0.00,4.91,0.00,7.11,13.95,33.73,-3.04,7.84,176
25158,-2.34,15.04,0.21,0.00,5.35,0.00,7.25,14.66,33.73,-3.04,7.84,176
25350,-2.34,15.04,0.21,0.00,5.35,0.00,7.40,14.48,33.73,-3.04,7.84,176
25522,-0.78,15.04,0.20,0.00,4.91,0.00,7.25,13.59,33.73,-3.04,7.45,176
25709,2.34,15.62,0.18,0.00,4.90,0.00,6.82,12.85,33.73,-3.04,6.67,176
25897,2.34,15.16,0.16,0.00,4.85,0.00,6.53,11.09,33.73,-3.04,4.71,176
26069,-0.78,14.47,0.13,0.00,3.52,0.00,5.51,9.21,33.73,-3.04,4.71,176
26256,-1.56,14.13,0.13,0.00,3.98,0.00,5.22,9.83,33.73,-3.04,4.71,176
26428,-1.56,14.24,0.14,0.00,3.99,0.00,5.22,10.03,33.73,-3.04,4.71,176
26616,-2.34,14.24,0.16,0.00,3.97,0.00,5.37,10.48,33.73,-3.04,5.49,176
26803,-3.91,14.24,0.16,0.00,4.39,0.00,5.66,10.83,33.73,-3.04,5.88,176
26991,-2.34,14.47,0.19,0.00,4.81,0.00,6.09,12.41,33.73,-3.04,6.67,176
27163,-2.34,14.81,0.20,0.00,5.19,0.00,6.67,13.59,33.73,-3.04,7.45,176
27350,-1.56,14.81,0.21,0.00,5.22,0.00,7.11,14.25,34.12,-3.04,7.45,176
27522,-0.78,14.93,0.21,0.00,5.20,0.00,7.25,14.13,34.12,-3.04,7.84,176
27709,0.78,15.16,0.22,0.00,5.62,0.00,7.40,15.22,34.12,-3.04,8.24,176
27886,0.78,14.93,0.24,0.00,5.66,0.00,7.69,15.50,34.12,-3.04,8.24,176
28077,0.78,14.81,0.24,0.00,6.03,0.00,7.98,16.52,34.12,-3.04,8.63,176
28249,0.78,14.59,0.24,0.00,6.08,0.00,8.13,16.59,34.12,-3.04,8.63,176
28436,1.56,14.81,0.24,0.00,6.04,0.00,8.27,16.38,34.12,-3.04,8.63,176
28623,2.34,15.04,0.25,0.00,6.02,0.00,8.27,16.52,34.12,-3.04,8.63,176
28795,2.34,14.81,0.24,0.00,6.04,0.00,8.42,16.66,34.12,-3.04,8.63,176
28983,2.34,14.70,0.25,0.00,6.01,0.00,8.42,16.60,34.12,-3.04,8.63,176
29170,2.34,14.70,0.24,0.00,6.00,0.00,8.42,16.46,34.12,-3.04,8.63,176
29358,3.12,14.70,0.25,0.00,5.98,0.00,8.27,16.18,34.12,-3.04,8.63,176
29530,3.12,14.81,0.24,0.00,6.03,0.00,8.27,16.24,33.73,-3.04,8.63,176
29717,3.12,14.70,0.25,0.00,5.99,0.00,8.27,16.38,33.73,-2.73,8.63,176
29892,0.78,14.13,0.25,0.00,6.45,0.00,8.27,16.93,33.73,-3.04,8.63,176
30080,1.56,14.13,0.25,0.00,5.95,0.00,8.27,15.83,33.73,-2.73,8.63,176
30252,2.34,14.93,0.25,0.00,5.95,0.00,8.27,16.31,33.73,-3.04,8.63,176
30439,0.00,14.59,0.24,0.00,5.98,0.00,8.27,16.52,33.73,-2.73,8.63,176
30627,1.56,14.59,0.23,0.00,5.68,0.00,8.42,15.42,33.73,-2.73,8.63,176
30799,2.34,14.93,0.25,0.00,6.33,0.00,8.42,16.66,33.73,-2.73,8.63,176
30986,1.56,14.70,0.25,0.00,6.36,0.00,8.42,16.32,33.73,-2.73,8.63,174
31174,2.34,14.81,0.25,0.00,6.36,0.00,8.42,16.87,33.73,-2.73,8.63,174
31361,2.34,14.81,0.25,0.00,6.33,0.00,8.56,16.93,33.73,-2.73,8.63,174
31533,2.34,14.70,0.26,0.00,6.31,0.00,8.56,17.14,33.73,-2.73,9.02,174
31720,2.34,14.59,0.26,0.00,6.36,0.00,8.85,17.97,33.73,-2.73,9.80,174
31892,2.34,14.59,0.30,0.00,7.15,0.00,9.29,19.73,33.73,-2.73,10.59,174
32080,0.00,14.24,0.31,0.00,7.61,0.00,10.01,21.03,33.73,-2.73,10.98,174
32267,1.56,14.70,0.31,0.00,7.15,0.00,10.30,20.50,33.73,-2.73,11.37,174
32439,2.34,14.81,0.32,0.00,7.56,0.00,10.45,20.67,33.73,-2.73,11.37,174
32627,2.34,14.93,0.33,0.00,8.03,0.00,10.59,21.45,33.73,-2.73,11.76,174
32814,0.78,14.47,0.33,0.00,7.98,0.00,10.88,22.33,33.73,-2.73,12.16,174
32986,2.34,14.70,0.34,0.00,8.45,0.00,11.03,22.78,33.73,-2.73,12.16,174
33174,0.00,14.36,0.34,0.00,7.95,0.00,11.17,22.33,33.73,-2.73,12.16,174
33350,1.56,14.70,0.33,0.00,8.02,0.00,11.17,22.61,33.73,-2.73,12.55,174
33538,3.12,15.04,0.35,0.00,8.42,0.00,11.32,23.08,33.73,-2.73,12.55,174
33725,0.78,14.47,0.35,0.00,8.48,0.00,11.32,23.46,33.73,-2.73,12.55,174
33897,1.56,14.59,0.35,0.00,8.26,0.00,11.32,22.70,33.73,-2.73,12.55,174
34084,1.56,14.70,0.36,0.00,8.90,0.00,11.46,23.65,33.73,-2.73,12.55,174
34272,0.78,14.36,0.37,0.00,8.51,0.00,11.46,23.55,33.73,-2.73,12.94,174
34444,1.56,14.81,0.38,0.00,8.89,0.00,11.75,25.09,33.73,-2.73,14.12,174
34631,0.00,14.36,0.39,0.00,8.93,0.00,12.62,26.30,33.73,-2.42,14.90,174
34803,0.78,14.70,0.41,0.00,9.77,0.00,12.91,27.56,33.73,-1.80,15.29,174
34991,1.56,14.81,0.42,0.00,9.83,0.00,13.06,28.08,33.73,-1.80,15.69,174
35178,1.56,14.81,0.43,0.00,9.32,0.00,13.20,27.87,33.73,-1.80,15.69,174
35350,1.56,14.81,0.42,0.00,9.81,0.00,13.35,28.19,33.73,-1.80,15.69,174
35537,2.34,14.81,0.40,0.00,9.36,0.00,13.06,26.82,33.73,-1.80,14.12,174
35725,2.34,14.81,0.39,0.00,9.46,0.00,12.48,25.99,33.73,-3.04,13.33,174
35897,2.34,14.59,0.37,0.00,9.00,0.00,12.19,25.38,33.73,-3.04,12.94,174
36084,1.56,14.70,0.37,0.00,9.05,0.00,12.04,25.19,33.73,-3.04,12.94,174
36272,1.56,14.47,0.35,0.00,8.65,0.00,11.75,23.17,33.73,-3.04,12.55,174
36444,1.56,14.59,0.35,0.00,8.62,0.00,11.61,23.74,33.73,-3.04,12.16,174
36631,2.34,14.81,0.35,0.00,8.68,0.00,11.46,23.55,33.73,-3.04,12.16,174
36819,1.56,14.59,0.35,0.00,8.65,0.00,11.46,24.13,33.73,-3.04,12.16,174
37006,0.00,14.47,0.35,0.00,8.68,0.00,11.46,23.85,33.73,-3.04,12.16,174
37178,0.78,14.59,0.35,0.00,8.26,0.00,11.46,23.46,33.73,-3.04,12.16,174
37365,0.78,14.59,0.35,0.00,8.27,0.00,11.32,23.36,33.73,-3.04,12.16,174
37553,0.78,14.59,0.34,0.00,7.85,0.00,11.32,22.53,33.73,-3.04,12.16,174
37740,1.56,14.70,0.34,0.00,8.29,0.00,11.17,23.55,33.73,-3.04,12.16,174
37912,1.56,14.70,0.34,0.00,8.30,0.00,11.17,23.36,33.73,-3.04,12.16,174
38100,0.78,14.47,0.33,0.00,8.30,0.00,11.17,23.10,33.73,-3.04,12.16,174
40946,-0.78,14.47,0.29,0.00,8.01,0.00,10.01,21.28,33.33,-3.04,10.98,172
41133,0.78,14.81,0.30,0.00,8.04,0.00,10.01,21.03,33.33,-3.04,10.98,172
41305,-0.78,14.70,0.30,0.00,7.59,0.00,10.01,21.02,33.33,-3.04,10.98,172
41508,0.78,14.70,0.30,0.00,7.65,0.00,10.01,20.77,33.33,-3.04,10.98,172
41680,1.56,14.81,0.30,0.00,8.10,0.00,10.01,21.45,33.33,-3.04,10.98,172
41867,0.78,14.70,0.30,0.00,7.69,0.00,10.01,21.03,33.33,-3.04,10.98,172
42055,1.56,14.81,0.30,0.00,7.68,0.00,10.01,21.36,33.33,-3.04,10.98,172
42227,0.78,14.47,0.30,0.00,7.65,0.00,10.01,21.37,33.33,-3.04,10.98,172
42414,2.34,14.81,0.31,0.00,7.69,0.00,10.01,21.02,33.33,-3.04,10.98,172
42602,1.56,14.70,0.31,0.00,7.26,0.00,10.01,20.77,33.33,-3.04,10.98,172
42778,1.56,14.70,0.30,0.00,8.16,0.00,10.16,21.80,33.33,-3.04,10.98,172
42966,1.56,14.47,0.30,0.00,7.75,0.00,10.16,21.20,33.33,-3.04,10.98,172
43138,2.34,14.81,0.30,0.00,7.78,0.00,10.16,21.03,33.33,-3.04,10.98,172
43325,2.34,14.81,0.31,0.00,7.77,0.00,10.16,21.71,33.33,-3.04,10.98,172
43513,1.56,14.59,0.30,0.00,7.81,0.00,10.16,21.89,33.33,-3.04,10.98,172
43685,2.34,14.59,0.31,0.00,7.77,0.00,10.16,21.28,33.33,-3.04,10.98,172
43872,2.34,14.81,0.28,0.00,7.75,0.00,10.16,20.85,33.33,-3.04,10.98,172
44059,3.12,14.81,0.30,0.00,7.77,0.00,10.16,21.36,33.33,-3.04,10.98,172
44247,2.34,14.59,0.30,0.00,8.17,0.00,10.30,21.98,33.33,-3.04,11.37,172
44434,2.34,14.59,0.31,0.00,7.75,0.00,10.30,21.80,33.33,-3.04,11.37,172
44608,3.12,14.81,0.31,0.00,8.20,0.00,10.45,22.42,33.33,-3.04,11.37,172
44795,3.12,14.70,0.31,0.00,8.20,0.00,10.59,22.88,33.33,-3.04,11.76,172
44983,2.34,14.59,0.32,0.00,8.17,0.00,10.74,22.97,33.33,-3.04,12.16,172
45155,3.91,14.81,0.33,0.00,8.27,0.00,10.88,23.17,33.33,-3.04,12.16,172
45342,1.56,14.24,0.34,0.00,8.24,0.00,10.88,23.55,33.33,-3.04,12.16,172
45530,3.12,14.59,0.34,0.00,9.15,0.00,11.03,24.04,33.33,-3.04,12.55,172
45717,2.34,14.47,0.33,0.00,8.66,0.00,11.17,24.23,33.33,-3.04,12.55,172
45889,3.12,14.81,0.34,0.00,8.66,0.00,11.17,24.13,33.33,-3.04,12.55,172
46076,3.12,14.70,0.35,0.00,9.16,0.00,11.32,24.71,33.33,-3.04,12.55,172
46264,1.56,14.47,0.34,0.00,8.71,0.00,11.32,24.62,33.33,-3.04,12.94,172
46436,3.12,14.81,0.34,0.00,8.71,0.00,11.46,24.71,33.33,-3.04,12.94,172
46623,2.34,14.70,0.34,0.00,8.74,0.00,11.46,24.13,33.33,-3.04,12.94,172
46811,3.12,14.81,0.34,0.00,9.17,0.00,11.46,25.09,33.33,-3.04,12.94,172
46983,3.12,14.70,0.35,0.00,9.21,0.00,11.61,24.90,33.33,-3.04,12.94,172
47170,3.91,14.81,0.35,0.00,9.65,0.00,11.61,25.78,33.33,-3.04,12.94,172
47357,3.12,14.13,0.35,0.00,9.16,0.00,11.61,24.80,33.33,-3.04,12.94,172
47529,3.12,14.81,0.34,0.00,9.19,0.00,11.61,25.09,33.33,-3.04,12.94,172
47717,3.91,14.70,0.35,0.00,9.59,0.00,11.75,25.28,33.33,-3.04,13.33,172
47904,2.34,14.47,0.37,0.00,9.67,0.00,11.75,26.09,33.33,-3.04,13.33,172
48076,2.34,14.36,0.37,0.00,9.63,0.00,11.90,26.30,33.33,-3.04,13.33,172
48264,2.34,14.70,0.36,0.00,9.68,0.00,11.90,26.41,33.33,-3.35,13.73,172
48451,2.34,14.70,0.36,0.00,9.22,0.00,12.04,26.09,33.33,-3.04,13.73,172
48623,2.34,14.59,0.37,0.00,9.66,0.00,12.04,26.62,33.33,-3.04,13.73,172
48815,2.34,14.70,0.39,0.00,10.13,0.00,12.19,27.45,33.33,-2.73,14.12,171
48987,1.56,14.24,0.39,0.00,9.65,0.00,12.33,27.45,33.33,-2.73,14.12,171
49175,1.56,14.59,0.39,0.00,9.73,0.00,12.48,27.66,33.33,-2.73,14.51,172
49362,2.34,14.81,0.40,0.00,9.68,0.00,12.62,27.97,33.33,-2.42,14.51,172
49534,0.78,14.36,0.39,0.00,10.16,0.00,12.77,29.25,33.33,-2.42,14.90,171
49721,2.34,14.70,0.40,0.00,9.72,0.00,12.91,28.83,33.33,-2.42,15.29,171
49909,2.34,14.93,0.40,0.00,10.25,0.00,12.91,29.36,33.33,-2.11,15.29,171
50081,3.12,14.81,0.37,0.00,9.50,0.00,12.33,25.19,33.33,-2.42,12.94,171
50268,2.34,14.59,0.35,0.00,9.25,0.00,11.61,25.00,33.33,-3.35,12.55,171
50440,2.34,14.59,0.32,0.00,8.35,0.00,11.46,22.97,33.33,-3.35,12.16,171
50628,3.12,14.81,0.32,0.00,8.80,0.00,11.17,23.55,33.33,-3.35,12.16,171
50815,3.91,14.81,0.32,0.00,8.84,0.00,11.03,23.65,33.33,-3.35,11.76,171
50987,3.12,14.70,0.32,0.00,8.58,0.00,10.88,23.55,33.33,-3.35,11.76,171
51174,2.34,14.47,0.31,0.00,8.84,0.00,10.74,23.65,33.33,-3.35,11.76,171
51362,3.91,14.70,0.30,0.00,8.38,0.00,10.59,22.69,33.33,-3.35,10.98,171
51534,3.91,14.81,0.28,0.00,7.93,0.00,10.01,20.68,33.33,-3.35,10.20,171
51721,2.34,14.36,0.26,0.00,7.17,0.00,9.14,18.12,33.33,-3.35,8.63,171
51909,1.56,14.36,0.23,0.00,6.49,0.00,8.27,16.66,33.33,-3.04,7.84,171
