Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%),Throttle Opening Angle (%)
14197,16.65,0.13,3299,0.00,0.00,16,-5.23,-8.00,4.64,14.02,-4.18,0.76,13.52,0.00,3.14
14394,12.29,0.13,3262,0.00,0.00,16,0.74,1.00,5.08,14.22,-4.18,0.82,13.60,0.00,4.71
14590,13.44,0.17,3272,0.00,0.00,16,21.84,19.00,5.80,17.79,-4.18,0.86,13.52,0.00,6.27
14793,12.98,0.19,3242,0.00,0.00,16,37.66,34.50,6.38,20.40,-4.18,0.90,13.60,0.00,7.45
14981,13.78,0.24,3275,0.00,0.00,16,44.34,44.00,7.55,25.79,-3.87,1.00,13.60,0.00,10.20
15193,13.21,0.30,3276,0.00,0.00,16,43.63,43.50,9.00,33.10,-0.77,1.08,13.52,0.00,12.94
15393,13.90,0.34,3320,0.00,0.00,16,42.58,42.50,10.16,37.92,0.46,1.12,13.60,0.00,14.12
15593,13.78,0.36,3372,0.00,0.00,16,41.88,41.50,10.59,40.72,0.46,1.12,13.52,0.00,14.12
15794,13.21,0.36,3428,0.00,0.00,16,41.52,41.50,10.74,40.86,0.46,1.10,13.52,0.00,14.12
15984,13.55,0.36,3510,0.00,0.00,16,41.88,41.50,10.74,41.97,-0.15,1.08,13.52,0.00,13.73
16189,13.44,0.34,3541,0.00,0.00,16,42.58,42.50,10.45,40.59,-0.77,1.06,13.52,0.00,12.94
16386,13.67,0.32,3597,0.00,0.00,16,43.28,42.50,10.01,38.92,-2.01,1.04,13.52,0.00,12.16
16582,13.55,0.18,3609,0.00,0.00,16,23.59,44.00,6.24,12.99,-4.18,0.64,13.52,0.00,0.00
16785,12.29,0.15,3305,0.00,0.00,16,-5.23,-2.50,4.35,16.96,-4.18,0.64,13.60,0.00,0.00
16988,21.82,0.17,2950,0.00,0.00,16,-10.16,-10.50,4.21,16.74,-4.18,0.64,13.60,0.00,0.00
17190,23.43,0.17,2606,0.00,0.00,16,-10.16,-10.50,4.21,15.05,-3.56,0.64,13.52,0.00,0.00
17390,23.89,0.16,2336,0.00,0.00,16,15.51,6.00,4.21,11.88,-2.94,0.64,13.60,0.00,0.00
17589,23.54,0.14,2039,0.00,0.00,16,14.10,14.00,4.06,8.95,-1.39,0.64,13.60,0.00,0.00
17790,23.89,0.14,1728,0.00,0.00,16,14.10,14.00,4.06,8.52,-1.39,0.64,13.52,0.00,0.00
17993,23.43,0.16,1311,0.00,0.00,16,14.10,14.00,4.21,6.81,-1.39,0.66,13.60,0.00,0.00
18190,23.66,0.13,1269,0.00,0.00,16,15.16,14.00,4.79,5.65,-1.08,0.74,13.52,34.00,2.75
18392,23.31,0.18,1405,0.00,0.00,16,20.43,17.50,5.37,8.74,-1.39,0.80,13.60,32.00,4.31
18586,15.39,0.17,1829,0.00,0.00,16,33.09,28.50,6.38,10.79,-1.39,0.84,13.60,30.00,5.88
18778,14.47,0.19,2436,0.00,0.00,16,40.47,34.00,6.67,15.92,-2.63,0.90,13.60,28.00,7.45
18981,14.81,0.27,2430,0.00,0.00,16,45.74,44.50,7.69,21.97,-2.94,0.94,13.60,26.00,8.63
19187,13.21,0.32,2412,0.00,0.00,16,44.34,45.00,9.00,25.40,-2.01,1.00,13.60,24.00,10.98
19385,13.67,0.38,2431,0.00,0.00,16,40.47,40.50,10.59,31.06,1.08,1.12,13.60,23.00,14.12
19589,14.01,0.43,2466,0.00,0.00,16,35.90,36.00,11.90,35.44,2.01,1.16,13.52,21.00,16.08
19788,13.55,0.46,2498,0.00,0.00,16,34.14,34.00,12.77,38.04,3.25,1.20,13.52,19.00,16.86
19983,14.13,0.47,2552,0.00,0.00,16,32.73,33.00,13.35,39.75,3.56,1.20,13.52,17.00,17.25
20183,14.24,0.49,2574,0.00,0.00,16,31.68,30.50,13.78,42.25,2.94,1.20,13.44,16.00,16.86
20374,13.90,0.48,2638,0.00,0.00,16,32.73,32.00,13.78,41.42,2.63,1.14,13.44,14.00,15.69
20577,13.55,0.44,2656,0.00,0.00,16,35.55,34.50,13.06,39.75,0.15,1.08,13.52,12.00,13.73
20780,13.67,0.42,2708,0.00,0.00,16,37.30,36.50,12.48,38.04,-0.46,1.06,13.44,10.00,12.55
20983,14.13,0.40,2735,0.00,0.00,16,38.71,38.00,12.04,36.80,-1.08,1.04,13.52,9.00,12.16
21182,14.70,0.38,2774,0.00,0.00,16,40.12,39.00,11.61,35.82,-1.39,1.04,13.44,7.00,12.16
21384,14.01,0.34,2786,0.00,0.00,16,42.58,41.50,10.88,32.51,-3.56,0.96,13.52,5.00,10.20
21585,13.78,0.31,2806,0.00,0.00,16,43.28,43.00,9.72,28.63,-4.18,0.94,13.44,3.00,8.63
21769,13.55,0.27,2828,0.00,0.00,16,44.34,43.50,9.00,25.79,-4.18,0.92,13.52,2.00,8.24
21972,13.90,0.25,2860,0.00,0.00,16,44.34,44.00,8.42,23.74,-4.18,0.88,13.52,0.00,7.45
22179,13.90,0.23,2856,0.00,0.00,16,44.34,44.00,7.69,21.01,-4.18,0.86,13.60,0.00,6.67
22377,14.24,0.20,2881,0.00,0.00,16,44.34,44.00,7.11,18.80,-4.18,0.84,13.60,0.00,5.88
22584,14.59,0.19,2870,0.00,0.00,16,35.55,35.00,6.67,17.55,-4.18,0.82,13.60,0.00,5.49
22782,14.24,0.18,2894,0.00,0.00,16,30.62,31.00,6.38,16.58,-4.18,0.82,13.60,0.00,4.71
22977,14.36,0.17,2893,0.00,0.00,16,23.59,24.00,5.95,16.00,-4.18,0.80,13.60,0.00,4.71
23180,14.13,0.16,2860,0.00,0.00,16,21.84,21.50,5.80,15.18,-4.18,0.80,13.60,0.00,4.71
23384,14.24,0.16,2854,0.00,0.00,16,22.19,22.00,5.66,15.55,-4.18,0.80,13.60,0.00,4.31
23575,14.01,0.16,2818,0.00,0.00,16,17.27,17.50,5.66,14.73,-4.18,0.78,13.60,0.00,3.92
23778,14.47,0.15,2896,0.00,0.00,16,12.70,17.00,5.51,14.53,-4.18,0.78,13.60,0.00,3.92
23981,14.24,0.16,2843,0.00,0.00,16,17.27,18.00,5.37,14.72,-4.18,0.78,13.52,0.00,3.92
24180,14.01,0.16,2818,0.00,0.00,16,16.91,17.00,5.37,14.59,-4.18,0.78,13.60,0.00,3.92
24384,13.67,0.15,2814,0.00,0.00,16,13.40,9.50,5.37,13.39,-4.18,0.78,13.44,0.00,3.92
31188,14.59,0.16,1998,0.00,0.00,16,34.84,34.00,6.24,10.33,-1.70,0.82,13.52,0.00,5.49
31391,14.70,0.16,2015,0.00,0.00,16,35.55,35.00,6.24,10.94,-1.70,0.82,13.60,0.00,5.49
31590,15.04,0.15,2007,0.00,0.00,16,35.20,34.00,6.09,9.75,-1.39,0.82,13.52,0.00,5.49
31777,14.81,0.15,2006,0.00,0.00,16,34.84,34.50,6.09,10.23,-1.70,0.82,13.60,0.00,5.10
31984,14.70,0.16,1989,0.00,0.00,16,35.20,35.00,5.95,10.49,-1.39,0.82,13.52,0.00,5.10
32187,14.93,0.14,2008,0.00,0.00,16,34.49,34.00,5.95,9.93,-1.39,0.82,13.60,0.00,5.10
32391,15.04,0.15,2005,0.00,0.00,16,34.49,34.50,5.95,10.28,-1.70,0.82,13.68,0.00,5.10
32587,15.16,0.16,2004,0.00,0.00,16,35.20,34.50,5.95,10.08,-1.70,0.82,13.60,0.00,5.10
32791,14.59,0.15,1996,0.00,0.00,16,34.49,34.50,5.95,9.56,-1.70,0.82,13.60,0.00,5.10
35654,14.24,0.21,1976,0.00,0.00,16,37.30,37.00,7.11,13.52,-1.39,0.88,13.60,0.00,6.67
35855,14.36,0.21,1952,0.00,0.00,16,36.95,36.50,7.40,13.58,-1.39,0.88,13.60,0.00,7.06
36045,14.13,0.20,1974,0.00,0.00,16,36.95,36.50,7.40,12.94,-1.39,0.88,13.60,0.00,7.45
36248,14.70,0.22,1942,0.00,0.00,16,36.95,36.50,7.55,14.09,-1.39,0.88,13.60,0.00,7.45
36451,14.59,0.22,1958,0.00,0.00,16,37.66,37.00,7.69,13.96,-1.39,0.88,13.52,0.00,7.45
36654,14.70,0.22,1966,0.00,0.00,16,37.30,37.50,7.69,14.60,-1.39,0.88,13.60,0.00,7.45
36842,14.47,0.21,1960,0.00,0.00,16,37.30,36.50,7.69,14.22,-1.39,0.90,13.60,0.00,7.45
37045,14.93,0.22,1962,0.00,0.00,16,37.30,37.00,7.84,13.90,-1.39,0.90,13.60,0.00,7.45
37246,14.81,0.22,1977,0.00,0.00,16,38.01,37.00,7.84,14.53,-1.39,0.90,13.60,0.00,7.45
37443,14.70,0.23,1992,0.00,0.00,16,38.01,38.00,7.84,15.33,-1.39,0.90,13.52,0.00,7.45
37643,14.24,0.23,1974,0.00,0.00,16,38.01,38.00,7.84,15.06,-1.39,0.90,13.60,0.00,7.45
37830,14.36,0.22,1999,0.00,0.00,16,38.36,38.00,7.98,15.12,-1.39,0.90,13.44,0.00,7.45
38033,14.47,0.22,1988,0.00,0.00,16,38.01,38.00,7.98,14.47,-1.39,0.90,13.60,0.00,7.45
38243,14.70,0.23,2008,0.00,0.00,16,38.71,38.50,7.98,15.40,-1.70,0.90,13.44,0.00,7.45
38439,14.13,0.22,2025,0.00,0.00,16,38.36,38.00,7.84,15.25,-1.39,0.90,13.60,0.00,7.45
38637,14.81,0.22,2014,0.00,0.00,16,38.01,38.50,7.84,14.08,-1.70,0.90,13.52,0.00,7.45
38840,14.93,0.22,2028,0.00,0.00,16,38.36,39.00,7.84,14.60,-1.70,0.90,13.60,0.00,7.45
39038,14.81,0.22,2027,0.00,0.00,16,38.71,38.00,7.84,14.53,-1.70,0.90,13.60,0.00,7.45
39238,15.04,0.21,2034,0.00,0.00,16,38.71,38.00,7.69,14.53,-1.70,0.90,13.60,0.00,7.45
39441,15.04,0.20,2054,0.00,0.00,16,37.66,38.00,7.69,13.45,-1.70,0.90,13.60,0.00,7.45
39633,15.73,0.22,2052,0.00,0.00,16,38.71,38.50,7.69,14.86,-1.70,0.88,13.60,0.00,7.45
39836,15.04,0.22,2061,0.00,0.00,16,39.06,39.00,7.69,14.99,-1.70,0.88,13.60,0.00,7.45
40040,14.93,0.21,2062,0.00,0.00,16,38.71,38.50,7.69,14.40,-1.70,0.88,13.60,0.00,7.45
40239,14.93,0.21,2078,0.00,0.00,16,39.41,39.00,7.69,14.73,-2.01,0.88,13.60,0.00,7.45
40435,14.81,0.22,2093,0.00,0.00,16,39.06,39.00,7.69,15.19,-1.70,0.88,13.60,0.00,7.45
40634,14.70,0.21,2078,0.00,0.00,16,39.41,39.00,7.55,15.33,-2.01,0.88,13.60,0.00,7.45
40836,14.70,0.21,2090,0.00,0.00,16,38.71,39.00,7.55,14.28,-2.01,0.88,13.52,0.00,7.06
41030,14.81,0.21,2092,0.00,0.00,16,39.41,39.00,7.55,14.47,-2.01,0.88,13.60,0.00,7.06
41241,14.81,0.21,2112,0.00,0.00,16,39.06,39.00,7.40,14.09,-2.01,0.88,13.60,0.00,7.06
41439,14.70,0.20,2110,0.00,0.00,16,38.71,39.00,7.40,14.09,-2.01,0.88,13.52,0.00,6.67
41638,14.81,0.18,2125,0.00,0.00,16,34.49,35.00,7.25,12.63,-2.01,0.86,13.60,0.00,6.67
41825,15.39,0.19,2116,0.00,0.00,16,38.01,39.00,7.11,13.95,-2.01,0.86,13.52,0.00,6.67
42029,14.59,0.20,2114,0.00,0.00,16,39.06,39.00,7.11,13.58,-2.01,0.86,13.60,0.00,6.67
42238,14.01,0.20,2122,0.00,0.00,16,38.71,39.00,6.96,14.09,-2.01,0.86,13.60,0.00,6.27
42437,14.13,0.19,2128,0.00,0.00,16,37.66,36.50,6.96,13.58,-2.01,0.86,13.60,0.00,6.27
42636,14.13,0.18,2130,0.00,0.00,16,35.20,34.00,6.82,13.09,-2.01,0.86,13.60,0.00,6.27
42823,14.59,0.18,2139,0.00,0.00,16,35.20,36.00,6.67,12.41,-2.01,0.84,13.60,0.00,5.88
43027,14.36,0.17,2129,0.00,0.00,16,32.73,33.50,6.67,12.20,-2.01,0.84,13.68,0.00,5.88
43235,14.70,0.17,2144,0.00,0.00,16,33.09,33.00,6.53,12.42,-2.01,0.84,13.60,0.00,5.88
43436,14.70,0.17,2135,0.00,0.00,16,33.09,32.50,6.53,12.48,-2.01,0.84,13.60,0.00,5.49
43636,14.36,0.17,2151,0.00,0.00,16,30.27,30.50,6.24,11.99,-2.01,0.84,13.60,0.00,5.49
43836,14.47,0.16,2138,0.00,0.00,16,28.52,29.50,6.24,11.47,-2.01,0.82,13.60,0.00,5.49
44028,14.59,0.17,2159,0.00,0.00,16,31.68,30.50,6.24,11.99,-2.01,0.82,13.52,0.00,5.49
44226,14.81,0.17,2146,0.00,0.00,16,31.33,32.50,6.24,12.20,-2.01,0.82,13.60,0.00,5.49
44429,14.01,0.17,2158,0.00,0.00,16,32.03,30.00,6.24,11.82,-2.01,0.82,13.52,0.00,5.49
44632,14.24,0.16,2151,0.00,0.00,16,29.57,30.50,6.24,11.99,-2.01,0.82,13.60,0.00,5.49
44835,14.47,0.17,2164,0.00,0.00,16,30.98,30.00,6.24,11.82,-2.01,0.82,13.52,0.00,5.49
45026,13.90,0.16,2168,0.00,0.00,16,29.57,28.50,6.24,11.66,-2.01,0.82,13.60,0.00,5.49
45232,14.36,0.16,2176,0.00,0.00,16,28.87,29.50,6.24,11.77,-2.01,0.84,13.52,0.00,5.49
45426,14.81,0.17,2171,0.00,0.00,16,30.27,30.00,6.24,12.04,-2.01,0.84,13.60,0.00,5.49
45620,15.04,0.17,2181,0.00,0.00,16,31.33,29.50,6.24,11.35,-2.01,0.82,13.60,0.00,5.49
45826,13.90,0.17,2153,0.00,0.00,16,30.27,31.00,6.24,12.10,-2.01,0.82,13.60,0.00,5.49
46029,14.36,0.17,2158,0.00,0.00,16,30.62,31.00,6.24,11.99,-2.01,0.82,13.60,0.00,5.49
46229,14.36,0.17,2171,0.00,0.00,16,30.98,29.50,6.24,12.10,-2.01,0.84,13.60,0.00,5.49
46430,14.70,0.17,2186,0.00,0.00,16,29.92,32.50,6.24,11.93,-2.01,0.82,13.60,0.00,5.49
46630,14.36,0.17,2156,0.00,0.00,16,30.98,29.00,6.24,12.04,-2.01,0.82,13.60,0.00,5.49
46825,14.81,0.17,2181,0.00,0.00,16,29.57,33.00,6.24,12.04,-2.01,0.82,13.60,0.00,5.49
47017,14.01,0.16,2188,0.00,0.00,16,28.52,30.50,6.24,11.82,-2.01,0.82,13.60,0.00,5.49
47228,14.36,0.16,2165,0.00,0.00,16,30.98,27.50,6.24,11.82,-2.32,0.82,13.60,0.00,5.49
47425,14.70,0.16,2149,0.00,0.00,16,28.52,28.00,6.24,11.25,-2.01,0.82,13.60,0.00,5.49
47627,15.04,0.17,2168,0.00,0.00,16,30.62,30.00,6.24,12.10,-2.01,0.82,13.52,0.00,5.49
47817,14.47,0.17,2138,0.00,0.00,16,31.68,30.00,6.24,12.04,-2.01,0.82,13.60,0.00,5.49
48022,14.81,0.16,2166,0.00,0.00,16,27.46,29.00,6.24,11.77,-2.01,0.82,13.52,0.00,5.49
48227,14.59,0.16,2170,0.00,0.00,16,27.81,28.50,6.24,11.61,-2.01,0.82,13.60,0.00,5.49
48428,14.59,0.17,2163,0.00,0.00,16,32.73,32.00,6.24,12.42,-2.01,0.82,13.52,0.00,5.49
48624,14.13,0.16,2179,0.00,0.00,16,27.46,28.50,6.24,11.55,-2.32,0.82,13.60,0.00,5.49
48828,14.70,0.15,2197,0.00,0.00,16,26.05,25.00,6.24,11.40,-2.32,0.82,13.60,0.00,5.49
49023,14.93,0.13,2176,0.00,0.00,16,20.43,23.50,5.37,7.78,-2.01,0.64,13.60,0.00,0.00
49226,14.36,0.08,2042,0.00,0.00,16,17.62,18.00,3.63,5.43,-1.70,0.64,13.68,0.00,0.00
49430,14.70,0.11,1762,0.00,0.00,16,14.10,14.00,3.34,6.29,-1.39,0.64,13.60,0.00,0.00
