Time (msec),A/F Correction #1 (%),A/F Sensor #1 (AFR),Engine Load* (g/rev),Feedback Knock Correction* (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
9363,3.91,14.70,0.32,0.00,8.95,0.00,11.17,24.98,40.39,-2.94,14.12
9535,3.91,14.81,0.33,0.00,9.29,0.00,11.17,27.32,40.39,-2.94,14.12
9711,2.34,14.36,0.33,0.00,9.74,0.00,10.88,27.94,40.39,-3.25,14.12
9879,2.34,14.24,0.33,0.00,10.34,0.00,10.59,28.90,40.39,-3.56,14.12
10045,1.56,14.59,0.32,0.00,10.66,0.00,10.59,30.10,40.39,-3.56,14.12
10223,2.34,14.59,0.31,0.00,10.55,0.00,10.30,29.89,40.39,-3.87,14.12
10394,0.00,14.59,0.22,0.00,8.28,0.00,7.55,16.73,40.00,-4.49,0.00
10571,0.00,11.48,0.12,0.00,0.00,0.00,4.50,12.36,40.39,-4.49,0.00
10736,0.00,11.37,0.18,0.00,0.00,0.00,3.48,16.05,40.39,-4.49,0.00
10923,0.00,14.01,0.17,0.00,0.00,0.00,3.77,12.96,40.39,-3.56,0.00
11088,0.00,20.79,0.15,0.00,0.00,0.00,3.92,10.89,40.39,-3.25,0.00
11260,0.00,23.54,0.16,0.00,0.00,0.00,4.06,9.48,40.39,-2.63,1.18
11437,0.00,23.66,0.16,0.00,3.63,0.00,4.79,8.95,40.39,-2.01,3.92
11609,0.00,23.31,0.17,0.00,4.00,0.00,5.37,9.22,40.39,-2.32,4.71
11780,-6.25,13.21,0.19,0.00,4.25,0.00,5.95,10.64,40.39,-2.32,5.88
11957,-7.81,12.98,0.27,0.00,5.36,0.00,6.82,15.16,40.39,-2.01,8.63
12134,-11.72,12.98,0.28,0.00,5.45,0.00,8.56,15.64,40.39,-2.32,9.02
12310,-6.25,14.70,0.28,0.00,5.90,0.00,9.14,16.19,40.39,-2.32,9.02
12479,-6.25,15.16,0.27,0.00,5.93,0.00,9.14,15.84,40.39,-2.32,9.02
12652,-5.47,15.04,0.27,0.00,5.66,0.00,9.14,15.98,40.39,-2.32,9.02
12824,-3.91,15.16,0.27,0.00,6.17,0.00,9.00,16.25,40.39,-2.32,9.02
13000,-3.12,15.16,0.27,0.00,6.19,0.00,9.00,16.46,40.39,-2.32,9.02
13174,-3.91,14.93,0.27,0.00,5.92,0.00,8.85,16.32,40.39,-2.63,9.02
13345,-1.56,15.04,0.26,0.00,6.04,0.00,8.71,16.66,40.39,-2.63,9.02
13521,-2.34,14.93,0.25,0.00,6.05,0.00,8.56,15.57,40.39,-2.63,8.63
13691,-2.34,14.81,0.23,0.00,5.69,0.00,7.98,14.25,40.39,-2.63,5.10
13871,-8.59,14.24,0.17,0.00,4.14,0.00,6.09,9.53,40.39,-2.63,4.31
14035,-11.72,12.63,0.15,0.00,3.74,0.00,5.51,9.26,40.39,-2.63,4.31
14207,-9.38,13.90,0.14,0.00,3.72,0.00,5.08,9.31,40.39,-2.63,4.31
14394,-10.16,14.24,0.15,0.00,3.73,0.00,5.08,9.44,40.39,-2.63,4.31
14566,-10.94,14.47,0.14,0.00,3.74,0.00,4.93,9.31,40.39,-2.63,3.92
14738,-11.72,14.47,0.14,0.00,3.71,0.00,4.93,9.09,40.39,-2.63,3.92
14910,-10.94,14.70,0.14,0.00,3.75,0.00,4.93,9.13,40.39,-2.63,3.92
15095,-10.94,14.70,0.14,0.00,3.72,0.00,4.93,8.91,40.39,-2.63,3.92
15267,-10.16,14.81,0.14,0.00,3.70,0.00,4.93,9.18,40.39,-2.63,3.92
15439,-10.94,14.70,0.14,0.00,3.68,0.00,4.93,9.17,40.39,-2.63,3.92
15611,-10.16,14.70,0.15,0.00,3.72,0.00,4.93,9.35,40.39,-2.63,4.31
15783,-9.38,14.81,0.15,0.00,3.70,0.00,5.08,9.44,40.39,-2.63,4.71
15970,-10.94,14.70,0.15,0.00,3.70,0.00,5.22,9.88,40.39,-2.63,4.71
16130,-12.50,14.47,0.16,0.00,3.70,0.00,5.37,10.33,40.39,-2.63,5.10
16304,-10.16,14.70,0.15,0.00,4.11,0.00,5.66,10.38,40.39,-2.63,5.10
16476,-10.16,14.81,0.16,0.00,4.13,0.00,5.66,10.38,40.39,-2.63,5.49
19323,1.56,14.24,0.24,0.00,6.25,0.00,8.71,17.97,40.39,-3.25,9.41
19493,0.78,14.47,0.21,0.00,5.80,0.00,7.55,13.67,40.39,-3.25,6.27
19666,-5.47,13.44,0.17,0.00,4.81,0.00,6.67,12.64,40.39,-3.25,6.27
19843,-4.69,13.55,0.17,0.00,4.36,0.00,6.09,12.42,40.39,-3.25,5.88
20012,-3.12,14.36,0.16,0.00,4.41,0.00,5.80,12.25,40.39,-3.25,5.88
20187,-4.69,14.70,0.15,0.00,4.40,0.00,5.66,11.71,40.39,-3.25,5.49
20359,-3.91,14.47,0.14,0.00,4.41,0.00,5.22,10.03,40.39,-3.25,3.53
20535,-7.03,14.13,0.11,0.00,3.37,0.00,4.35,6.84,40.39,-3.25,1.57
20709,-10.16,13.67,0.10,0.00,2.93,0.00,3.77,7.41,40.39,-3.25,1.57
20887,0.00,13.09,0.11,0.00,0.00,0.00,3.63,7.90,40.39,-3.25,0.78
21061,0.00,13.55,0.10,0.00,0.00,0.00,3.63,7.54,40.39,-3.25,0.78
21229,0.00,14.70,0.10,0.00,0.00,0.00,3.77,7.33,40.39,-3.25,0.78
21403,0.00,18.60,0.09,0.00,0.00,0.00,3.92,6.37,40.39,-3.25,0.39
21575,0.00,25.27,0.08,0.00,0.00,0.00,3.92,5.94,40.39,-2.94,0.00
21754,0.00,23.66,0.09,0.00,0.00,0.00,3.77,6.00,40.39,-2.94,0.00
21926,0.00,23.89,0.09,0.00,0.00,0.00,3.77,5.96,40.39,-2.94,0.00
22095,0.00,24.12,0.09,0.00,0.00,0.00,3.77,5.77,40.39,-2.94,0.00
22267,0.00,23.66,0.09,0.00,0.00,0.00,3.77,5.77,40.39,-2.94,0.00
22438,0.00,23.66,0.09,0.00,0.00,0.00,3.77,5.83,40.39,-2.63,0.00
22613,0.00,23.66,0.09,0.00,0.00,0.00,3.77,5.74,40.39,-2.63,0.00
22800,0.00,23.89,0.08,0.00,0.00,0.00,3.77,5.41,40.39,-2.63,0.00
22972,0.00,23.66,0.09,0.00,0.00,0.00,3.63,5.68,40.39,-2.63,0.00
23146,0.00,23.66,0.09,0.00,0.00,0.00,3.63,5.67,40.39,-2.63,0.00
23318,0.00,23.66,0.09,0.00,0.00,0.00,3.63,5.19,40.39,-2.63,0.00
23490,0.00,23.66,0.09,0.00,0.00,0.00,3.63,5.58,40.39,-2.32,0.00
23661,0.00,23.77,0.10,0.00,0.00,0.00,3.63,5.67,40.39,-2.32,0.00
23833,0.00,23.89,0.09,0.00,0.00,0.00,3.77,5.26,40.39,-2.32,0.00
24005,0.00,24.00,0.10,0.00,0.00,0.00,3.77,5.65,40.39,-2.32,0.00
24182,0.00,24.00,0.10,0.00,0.00,0.00,3.92,5.71,40.39,-2.32,0.00
24354,0.00,23.77,0.09,0.00,0.00,0.00,4.06,5.13,40.39,-2.01,0.00
24523,0.00,23.66,0.11,0.00,0.00,0.00,4.06,5.87,40.39,-2.01,0.39
24698,0.00,23.54,0.10,0.00,0.00,0.00,4.35,5.19,40.39,-2.01,0.39
24875,0.00,23.66,0.11,0.00,0.00,0.00,4.50,5.67,40.39,-2.01,0.39
25046,0.00,23.66,0.11,0.00,0.00,0.00,4.50,5.52,40.39,-2.01,0.39
25218,0.00,23.89,0.10,0.00,2.29,0.00,4.64,4.94,40.39,-2.01,3.14
25390,0.00,23.66,0.17,0.00,3.71,0.00,5.66,9.22,40.39,-1.70,4.71
25562,0.00,23.31,0.20,0.00,4.12,0.00,6.09,9.56,40.39,-1.70,4.71
25749,-3.91,14.93,0.17,0.00,3.80,0.00,6.53,9.26,40.39,-2.01,4.71
25907,-3.12,13.44,0.16,0.00,3.60,0.00,6.82,8.53,40.39,-1.70,4.71
26097,3.12,15.27,0.19,0.00,4.07,0.00,6.67,9.53,40.39,-2.01,4.71
26256,2.34,15.62,0.16,0.00,3.74,0.00,6.53,8.95,40.39,-2.01,4.31
26442,-0.78,14.59,0.15,0.00,2.90,0.00,6.53,8.27,40.39,-1.70,4.31
26612,6.25,14.93,0.17,0.00,3.79,0.00,6.24,8.95,40.39,-2.01,1.96
26784,2.34,15.27,0.13,0.00,3.02,0.00,5.22,5.83,40.39,-2.01,1.18
29581,-8.59,15.04,0.13,0.00,1.84,0.00,5.66,4.11,40.39,-1.08,0.00
29750,-8.59,15.16,0.15,0.00,2.04,0.00,5.66,4.62,40.39,-1.08,0.00
29930,-7.81,14.93,0.14,0.00,1.90,0.00,5.66,4.72,40.39,-1.08,0.00
30108,-7.81,15.27,0.14,0.00,1.91,0.00,5.66,4.68,40.39,-1.08,0.00
30277,-7.03,15.39,0.15,0.00,2.11,0.00,5.80,4.91,40.39,-1.08,0.00
30450,-6.25,15.73,0.13,0.00,1.70,0.00,5.80,4.20,40.39,-1.08,0.00
30633,-6.25,15.62,0.17,0.00,2.29,0.00,5.80,5.10,40.39,-1.08,0.00
30799,-5.47,15.96,0.12,0.00,1.68,0.00,6.09,4.14,40.39,-1.08,0.00
30966,-6.25,15.04,0.15,0.00,1.70,0.00,6.09,4.04,40.39,-1.08,0.00
31149,-3.91,15.62,0.17,0.00,2.13,0.00,6.38,5.41,40.39,-1.08,0.00
31313,-2.34,16.88,0.15,0.00,2.19,0.00,6.24,5.00,40.39,-1.08,0.00
31485,-3.91,15.73,0.15,0.00,2.20,0.00,5.95,4.57,40.39,-1.08,0.00
31657,-3.91,15.16,0.15,0.00,2.18,0.00,5.95,5.07,40.39,-1.08,0.00
31844,-3.12,15.27,0.16,0.00,2.17,0.00,6.09,5.26,40.39,-1.08,0.00
32018,-2.34,15.62,0.13,0.00,2.01,0.00,5.95,4.36,40.39,-1.08,0.00
32187,-2.34,15.50,0.16,0.00,2.09,0.00,5.95,4.72,40.39,-1.08,0.00
32359,-0.78,15.73,0.16,0.00,2.41,0.00,6.24,5.48,40.39,-1.08,0.00
32531,-0.78,15.96,0.15,0.00,2.29,0.00,5.95,5.07,40.39,-1.08,0.00
32702,-2.34,14.70,0.15,0.00,2.27,0.00,5.66,4.97,40.39,-1.08,0.00
32874,-2.34,14.59,0.15,0.00,2.28,0.00,5.66,5.13,40.39,-1.08,0.00
33046,-2.34,14.70,0.14,0.00,2.31,0.00,5.66,5.10,40.39,-1.08,0.00
33225,-1.56,14.59,0.14,0.00,2.30,0.00,5.51,5.13,40.39,-1.08,0.00
33397,-1.56,14.70,0.13,0.00,2.05,0.00,5.51,4.85,40.39,-1.08,0.00
33568,-1.56,14.81,0.14,0.00,2.28,0.00,5.51,5.04,40.39,-1.08,0.00
33756,-1.56,14.81,0.14,0.00,2.28,0.00,5.51,5.13,40.39,-1.08,0.00
33928,-1.56,15.04,0.14,0.00,2.10,0.00,5.37,5.07,40.39,-1.08,0.00
34097,-1.56,14.81,0.14,0.00,2.07,0.00,5.37,5.00,40.39,-1.08,0.00
34268,-1.56,14.70,0.14,0.00,2.28,0.00,5.37,5.07,40.39,-1.08,0.00
34438,-1.56,14.59,0.13,0.00,2.09,0.00,5.22,4.82,40.39,-1.08,0.00
34612,-2.34,14.47,0.14,0.00,2.06,0.00,5.22,4.88,40.39,-1.08,0.00
34799,-2.34,14.24,0.13,0.00,1.83,0.00,5.22,4.44,40.39,-1.08,0.00
34956,-1.56,14.59,0.13,0.00,1.77,0.00,5.22,4.14,40.39,-1.08,0.00
35143,-1.56,14.81,0.14,0.00,2.00,0.00,5.22,4.72,40.39,-1.08,0.00
35315,-1.56,14.81,0.13,0.00,2.03,0.00,5.22,4.62,40.39,-1.08,0.00
35485,-2.34,14.70,0.13,0.00,2.03,0.00,5.22,4.62,40.39,-1.08,0.00
35662,-1.56,14.59,0.13,0.00,2.03,0.00,5.22,4.66,40.39,-1.08,0.00
35834,-1.56,14.70,0.13,0.00,2.00,0.00,5.22,4.53,40.39,-1.08,0.00
36005,-0.78,14.81,0.14,0.00,1.94,0.00,5.22,4.68,40.39,-1.08,0.00
36180,-0.78,14.93,0.13,0.00,2.00,0.00,5.22,4.66,40.39,-1.08,0.00
36352,-2.34,14.47,0.13,0.00,2.00,0.00,5.08,4.44,40.39,-1.08,0.00
36518,-2.34,14.24,0.13,0.00,1.98,0.00,5.08,4.50,40.39,-1.08,0.00
36699,-1.56,14.59,0.13,0.00,1.74,0.00,5.08,4.09,40.39,-1.08,0.00
36871,-0.78,14.93,0.14,0.00,2.13,0.00,5.37,4.79,40.39,-1.08,0.00
37043,0.00,15.04,0.13,0.00,1.98,0.00,5.22,4.28,40.39,-1.08,0.00
37220,-0.78,14.93,0.13,0.00,2.01,0.00,5.08,4.25,40.39,-1.08,0.00
37396,-1.56,14.59,0.13,0.00,2.13,0.00,5.08,4.44,40.39,-1.08,0.00
37568,-0.78,14.70,0.16,0.00,2.11,0.00,5.37,5.22,40.39,-1.08,0.00
37741,-0.78,14.70,0.13,0.00,2.01,0.00,5.51,4.60,40.39,-1.08,0.00
37915,-3.12,14.13,0.14,0.00,1.94,0.00,5.51,4.73,40.39,-1.08,0.00
38092,-3.12,13.90,0.15,0.00,2.13,0.00,5.51,5.19,40.39,-1.08,0.00
38261,-1.56,14.70,0.15,0.00,2.19,0.00,5.80,5.10,40.39,-1.08,1.18
38435,-1.56,14.81,0.21,0.00,3.32,0.00,6.53,7.10,40.39,-1.08,3.14
38607,-4.69,14.81,0.22,0.00,2.84,0.00,7.11,8.74,40.39,-1.08,3.53
38780,-9.38,12.63,0.21,0.00,3.27,0.00,7.69,9.09,40.39,-1.08,3.92
38956,-3.12,13.90,0.21,0.00,3.74,0.00,7.55,9.66,40.39,-1.39,4.31
39132,0.00,15.62,0.23,0.00,3.64,0.00,7.69,9.94,40.39,-1.39,4.71
39301,-2.34,15.39,0.25,0.00,3.93,0.00,8.13,10.33,40.39,-1.39,4.71
39477,-3.12,14.93,0.27,0.00,3.77,0.00,8.56,10.38,40.39,-1.08,4.71
39656,-3.12,14.47,0.27,0.00,3.64,0.00,9.14,10.43,40.39,-1.08,0.00
39823,-2.34,14.81,0.20,0.00,2.90,0.00,7.11,5.04,0.00,-1.08,0.00
39995,-7.81,14.36,0.15,0.00,2.65,0.00,6.38,4.50,0.00,-1.39,0.00
40173,-9.38,12.63,0.12,0.00,2.25,0.00,4.79,4.44,40.39,-1.39,0.00
40345,-8.59,13.44,0.12,0.00,2.05,0.00,4.50,4.59,40.39,-1.39,0.00
40516,-7.03,14.01,0.12,0.00,1.98,0.00,4.64,4.72,40.39,-1.08,0.00
40688,-7.03,14.59,0.12,0.00,1.91,0.00,4.64,4.62,40.39,-1.08,0.00
40860,-7.03,14.59,0.13,0.00,1.91,0.00,4.64,4.66,40.39,-1.08,0.00
41029,-7.81,14.47,0.14,0.00,2.13,0.00,4.79,5.29,40.39,-1.08,1.96
41201,-7.81,14.36,0.20,0.00,2.77,0.00,5.66,6.88,40.39,-1.08,3.14
41388,-10.94,14.36,0.22,0.00,2.75,0.00,6.67,7.74,40.39,-1.08,3.92
41550,-17.19,12.63,0.26,0.00,3.26,0.00,7.40,9.75,40.39,-1.08,5.10
41737,-12.50,13.44,0.33,0.00,4.34,0.00,9.14,12.70,40.39,-1.08,8.63
41909,-10.94,14.59,0.29,0.00,5.08,0.00,10.30,15.16,40.39,-1.70,9.02
42078,0.00,16.08,0.28,0.00,5.57,0.00,9.87,15.70,40.39,-2.32,9.02
42250,-1.56,16.54,0.27,0.00,5.93,0.00,9.29,16.73,40.39,-2.63,9.41
45075,12.50,14.36,0.31,0.00,11.65,0.00,10.59,27.53,40.39,-3.87,13.33
45247,7.03,12.40,0.30,0.00,10.51,0.00,10.01,27.64,40.39,-4.18,12.94
45424,3.91,13.21,0.30,0.00,10.75,0.00,9.87,28.16,40.39,-4.18,12.94
45596,2.34,13.67,0.28,0.00,10.60,0.00,9.43,27.64,40.39,-4.49,12.55
45772,-3.12,13.90,0.25,0.00,8.99,0.00,8.71,25.27,40.39,-4.49,11.37
45945,0.00,13.78,0.13,0.00,7.16,0.00,5.95,10.55,40.39,-4.80,0.00
46126,0.00,11.71,0.14,0.00,0.00,0.00,3.77,13.84,40.39,-4.49,0.00
46296,0.00,11.94,0.17,0.00,0.00,0.00,3.63,14.86,40.39,-3.87,0.00
46467,0.00,16.88,0.16,0.00,0.00,0.00,3.77,12.08,40.39,-3.56,0.00
46640,0.00,23.66,0.15,0.00,0.00,0.00,4.06,10.03,40.39,-2.94,0.00
46812,0.00,23.66,0.17,0.00,0.00,0.00,4.21,8.78,40.39,-2.01,1.96
46987,0.00,23.77,0.14,0.00,3.46,0.00,4.79,7.86,40.39,-2.01,3.14
47161,0.00,17.11,0.15,0.00,3.71,0.00,5.08,9.00,40.39,-2.01,3.92
47335,-6.25,13.78,0.19,0.00,4.03,0.00,5.22,10.74,40.39,-2.32,6.67
47509,-10.94,12.98,0.31,0.00,6.30,0.00,7.84,17.24,40.39,-2.32,10.20
47685,-14.84,12.52,0.32,0.00,5.98,0.00,9.58,18.51,40.39,-2.32,10.98
47857,-7.03,14.59,0.34,0.00,6.87,0.00,10.45,20.10,40.39,-2.32,12.16
48031,-7.03,15.27,0.34,0.00,6.99,0.00,10.88,20.26,40.39,-2.32,12.16
48204,-4.69,15.27,0.33,0.00,7.17,0.00,10.88,20.26,40.39,-2.32,12.16
48376,-4.69,15.27,0.29,0.00,6.74,0.00,10.01,15.78,40.39,-2.63,8.24
48548,-7.81,14.47,0.23,0.00,5.25,0.00,8.13,12.85,40.39,-2.63,6.27
48720,-8.59,13.90,0.20,0.00,4.92,0.00,6.96,12.25,40.39,-2.63,5.88
48892,-9.38,14.24,0.19,0.00,4.56,0.00,6.53,11.35,40.39,-2.63,4.31
49066,-10.16,14.36,0.15,0.00,4.11,0.00,5.51,9.09,40.39,-2.63,3.92
49238,-13.28,14.01,0.14,0.00,3.70,0.00,5.08,9.18,40.39,-2.63,3.92
49413,-11.72,14.13,0.14,0.00,3.80,0.00,4.93,9.13,40.39,-2.63,3.92
49601,-10.94,14.81,0.14,0.00,3.70,0.00,4.79,8.99,40.39,-2.63,3.53
49773,-12.50,14.70,0.13,0.00,3.30,0.00,4.79,8.36,40.39,-2.63,3.14
49933,-12.50,14.36,0.13,0.00,3.30,0.00,4.64,8.23,40.39,-2.63,3.14
50113,-10.94,14.81,0.13,0.00,3.30,0.00,4.50,8.19,40.39,-2.63,3.14
50285,-10.94,14.81,0.13,0.00,3.26,0.00,4.50,8.06,40.39,-2.63,3.14
50460,-10.94,14.81,0.12,0.00,3.24,0.00,4.50,8.14,40.39,-2.63,3.14
50632,-10.94,14.70,0.13,0.00,3.26,0.00,4.50,8.06,40.39,-2.63,3.14
50804,-10.16,14.93,0.13,0.00,3.65,0.00,4.50,8.11,40.39,-2.63,3.14
50993,-12.50,14.13,0.13,0.00,3.23,0.00,4.50,8.14,40.39,-2.63,3.14
51155,-14.06,13.90,0.12,0.00,3.21,0.00,4.50,7.94,40.39,-2.63,3.14
51326,-12.50,14.36,0.13,0.00,3.21,0.00,4.50,7.94,40.39,-2.63,3.14
51514,-11.72,14.93,0.13,0.00,3.62,0.00,4.50,8.11,40.39,-2.63,3.14
51686,-11.72,14.81,0.13,0.00,3.22,0.00,4.50,7.98,40.39,-2.63,3.14
51858,-11.72,14.70,0.13,0.00,3.22,0.00,4.50,7.94,40.39,-2.63,3.14
52029,-11.72,14.70,0.13,0.00,3.58,0.00,4.50,7.98,40.39,-2.63,3.14
52201,-11.72,14.70,0.13,0.00,3.21,0.00,4.50,7.94,40.39,-2.63,3.14
52373,-10.94,14.70,0.13,0.00,3.17,0.00,4.50,7.82,40.39,-2.63,3.14
52545,-11.72,14.70,0.13,0.00,3.12,0.00,4.50,7.57,40.39,-2.63,3.14
52732,-10.94,14.70,0.13,0.00,3.54,0.00,4.50,7.89,40.39,-2.32,3.14
52894,-10.16,14.81,0.12,0.00,3.56,0.00,4.50,7.57,40.39,-2.63,3.14
53079,-10.16,14.81,0.12,0.00,3.12,0.00,4.50,7.50,40.39,-2.32,3.14
53253,-8.59,15.16,0.12,0.00,3.56,0.00,4.50,7.46,40.39,-2.63,3.14
53425,-5.47,15.50,0.13,0.00,3.55,0.00,4.50,7.78,40.39,-2.32,3.14
53600,-7.03,15.27,0.13,0.00,3.50,0.00,4.50,7.74,40.39,-2.63,3.14
53769,-9.38,14.47,0.13,0.00,3.53,0.00,4.50,7.86,40.39,-2.63,3.14
53940,-9.38,14.13,0.12,0.00,3.12,0.00,4.50,7.62,40.39,-2.32,3.14
54109,-8.59,14.70,0.13,0.00,3.50,0.00,4.50,7.57,40.39,-2.32,3.14
54294,-7.03,14.81,0.13,0.00,3.47,0.00,4.50,7.82,40.39,-2.32,3.14
54458,-7.81,14.81,0.13,0.00,3.49,0.00,4.50,7.57,40.39,-2.32,2.35
54635,-10.16,14.36,0.11,0.00,3.06,0.00,4.06,6.15,40.39,-2.32,1.18
54823,-12.50,13.90,0.10,0.00,2.68,0.00,3.77,6.00,40.39,-2.32,1.18
54999,-12.50,13.90,0.10,0.00,2.63,0.00,3.77,5.96,40.39,-2.32,1.18
55172,-10.94,14.70,0.10,0.00,2.63,0.00,3.63,5.96,40.39,-2.32,1.18
55344,-10.16,14.93,0.10,0.00,2.65,0.00,3.63,5.61,40.39,-2.32,1.18
55521,0.00,14.81,0.09,0.00,0.00,0.00,3.63,5.26,40.39,-2.32,0.39
55691,0.00,15.96,0.08,0.00,0.00,0.00,3.63,4.69,40.39,-2.32,0.39
55869,0.00,21.13,0.10,0.00,0.00,0.00,3.92,5.32,40.39,-2.32,0.39
56040,0.00,25.50,0.10,0.00,0.00,0.00,4.06,5.26,40.39,-2.32,0.39
56206,0.00,23.77,0.09,0.00,0.00,0.00,4.21,5.16,40.39,-2.01,0.00
56378,0.00,23.66,0.09,0.00,0.00,0.00,4.35,5.07,40.39,-2.01,0.00
56550,0.00,23.89,0.10,0.00,0.00,0.00,4.35,5.45,40.39,-2.01,0.00
56737,0.00,23.54,0.11,0.00,0.00,0.00,4.50,5.29,40.39,-2.01,0.39
56910,0.00,23.54,0.11,0.00,0.00,0.00,4.50,5.51,40.39,-2.01,0.00
57081,0.00,23.77,0.11,0.00,0.00,0.00,4.64,5.58,40.39,-2.01,0.00
57253,0.00,23.89,0.11,0.00,0.00,0.00,4.64,5.45,40.39,-1.70,0.39
57425,0.00,23.54,0.10,0.00,0.00,0.00,4.50,4.88,40.39,-1.70,0.00
57597,0.00,23.66,0.11,0.00,0.00,0.00,4.35,5.04,40.39,-1.70,0.39
57769,0.00,23.43,0.11,0.00,2.39,0.00,4.35,5.00,40.39,-1.70,0.39
57941,0.00,23.77,0.10,0.00,2.38,0.00,4.35,4.46,40.39,-1.70,0.39
58121,0.00,23.66,0.11,0.00,2.00,0.00,4.06,4.40,40.39,-1.70,0.00
58293,0.00,21.36,0.11,0.00,2.41,0.00,4.06,5.10,40.39,-1.39,0.00
58465,0.00,18.49,0.11,0.00,2.26,0.00,4.06,4.81,40.39,-1.39,0.39
58637,0.00,15.39,0.11,0.00,2.35,0.00,4.06,5.07,40.39,-1.70,0.00
58808,-1.56,14.59,0.11,0.00,2.29,0.00,4.06,4.91,40.39,-1.70,0.39
58996,-2.34,13.67,0.11,0.00,2.24,0.00,4.06,4.85,40.39,-1.39,0.00
59157,-1.56,14.24,0.11,0.00,2.27,0.00,4.06,4.85,40.39,-1.39,0.00
59346,-1.56,14.70,0.11,0.00,2.26,0.00,4.06,4.72,40.39,-1.39,0.00
