Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
18551,17.13,0.15,1294,0.00,0.00,16,6.72,8.00,6.22,-1.39,0.64,181,0.00
18738,15.60,0.15,1318,0.00,0.00,16,6.72,6.00,6.55,-1.39,0.64,181,0.00
18926,15.11,0.14,1323,0.00,0.00,16,6.72,5.50,6.33,-1.39,0.64,181,0.00
19118,14.72,0.14,1318,0.00,0.00,16,6.72,6.00,6.26,-1.39,0.64,183,0.00
19321,14.58,0.14,1320,0.00,0.00,16,6.72,6.00,6.11,-1.39,0.64,183,0.00
19508,14.61,0.14,1306,0.00,0.00,16,6.72,7.50,6.04,-1.39,0.64,183,0.00
19696,14.79,0.14,1304,0.00,0.00,16,6.72,7.00,6.15,-1.39,0.64,183,0.00
19883,14.82,0.14,1298,0.00,0.00,16,6.72,7.00,6.07,-1.39,0.64,183,0.00
20086,14.65,0.14,1308,0.00,0.00,16,6.72,8.00,5.94,-1.39,0.64,183,0.00
20274,14.67,0.14,1309,0.00,0.00,16,6.72,6.00,5.87,-1.39,0.64,183,0.00
20461,14.66,0.14,1298,0.00,0.00,16,6.72,7.00,5.98,-1.39,0.64,183,0.00
20649,14.74,0.13,1291,0.00,0.00,16,6.72,7.50,5.78,-1.39,0.64,183,0.00
20852,14.74,0.13,1284,0.00,0.00,16,6.72,8.00,5.74,-1.39,0.64,183,0.00
21040,14.76,0.14,1277,0.00,0.00,16,6.72,8.00,5.87,-1.39,0.64,183,0.00
21227,14.86,0.14,1275,0.00,0.00,16,6.72,7.00,5.85,-1.39,0.64,183,0.00
21415,14.77,0.14,1270,0.00,0.00,16,6.72,8.00,5.85,-1.39,0.64,183,0.00
21618,14.44,0.14,1270,0.00,0.00,16,7.07,9.00,5.72,-1.39,0.64,183,0.00
21805,14.32,0.14,1263,0.00,0.00,16,7.07,9.00,5.72,-1.39,0.64,183,0.00
21993,14.44,0.14,1258,0.00,0.00,16,7.07,8.00,5.72,-1.39,0.64,183,0.00
22180,14.44,0.13,1250,0.00,0.00,16,7.07,7.50,5.72,-1.39,0.64,183,0.00
22383,14.46,0.14,1259,0.00,0.00,16,7.07,6.50,5.65,-1.39,0.64,183,0.00
22571,14.41,0.14,1238,0.00,0.00,16,7.07,9.50,5.59,-1.39,0.64,183,0.00
22758,14.39,0.14,1234,0.00,0.00,16,7.07,9.00,5.65,-1.39,0.64,183,0.00
22946,14.39,0.13,1234,0.00,0.00,16,7.07,8.00,5.52,-1.39,0.64,183,0.00
23149,14.44,0.13,1229,0.00,0.00,16,7.07,8.00,5.52,-1.39,0.64,183,0.00
23336,14.62,0.14,1227,0.00,0.00,16,7.07,8.00,5.59,-1.39,0.64,183,0.00
23524,14.77,0.14,1216,0.00,0.00,16,7.07,8.50,5.59,-1.39,0.64,183,0.00
23711,14.70,0.14,1212,0.00,0.00,16,7.07,8.50,5.65,-1.39,0.64,183,0.00
23914,14.58,0.14,1224,0.00,0.00,16,7.07,7.00,5.72,-1.39,0.64,183,0.00
24102,14.42,0.14,1214,0.00,0.00,16,7.07,6.50,5.65,-1.39,0.64,183,0.00
