Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Engine Speed (rpm),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
5137,0.00,0.00,16,1107,-9.57,-1.08,0.64
5177,0.00,0.00,16,1121,-9.57,-1.08,0.64
5217,0.00,0.00,16,1121,-9.57,-1.08,0.64
5255,0.00,0.00,16,1110,-9.57,-1.08,0.64
5292,0.00,0.00,16,1110,-9.57,-1.08,0.64
5332,0.00,0.00,16,1113,-9.57,-1.08,0.64
5371,0.00,0.00,16,1110,-9.57,-1.08,0.64
5411,0.00,0.00,16,1110,-9.57,-1.08,0.64
5444,0.00,0.00,16,1110,-9.57,-1.08,0.64
5484,0.00,0.00,16,1110,-9.57,-1.08,0.64
5524,0.00,0.00,16,1121,-9.57,-1.08,0.64
5563,0.00,0.00,16,1121,-9.57,-1.08,0.64
5603,0.00,0.00,16,1124,-9.59,-1.08,0.64
5644,0.00,0.00,16,1138,-9.63,-1.08,0.64
5676,0.00,0.00,16,1138,-9.63,-1.08,0.64
5718,0.00,0.00,16,1134,-9.63,-1.08,0.64
5758,0.00,0.00,16,1134,-9.63,-1.08,0.64
5798,0.00,0.00,16,1113,-9.63,-1.08,0.64
5830,0.00,0.00,16,1122,-9.63,-1.08,0.64
5870,0.00,0.00,16,1122,-9.65,-1.08,0.64
5910,0.00,0.00,16,1129,-9.63,-1.08,0.64
5950,0.00,0.00,16,1129,-9.65,-1.08,0.64
5986,0.00,0.00,16,1127,-9.65,-1.08,0.64
6026,0.00,0.00,16,1124,-9.63,-1.08,0.64
6068,0.00,0.00,16,1124,-9.65,-1.08,0.64
6107,0.00,0.00,16,1106,-9.63,-1.08,0.64
6139,0.00,0.00,16,1106,-9.63,-1.08,0.64
6183,0.00,0.00,16,1112,-9.63,-1.08,0.64
6223,0.00,0.00,16,1112,-9.63,-1.08,0.64
6255,0.00,0.00,16,1126,-9.63,-1.08,0.64
6295,0.00,0.00,16,1121,-9.63,-1.08,0.64
6343,0.00,0.00,16,1121,-9.63,-1.08,0.64
6376,0.00,0.00,16,1110,-9.65,-1.08,0.64
6415,0.00,0.00,16,1110,-9.65,-1.08,0.64
6456,0.00,0.00,16,1104,-9.63,-1.08,0.64
6492,0.00,0.00,16,1096,-9.63,-1.08,0.64
6532,0.00,0.00,16,1096,-9.63,-1.08,0.64
6571,0.00,0.00,16,1118,-9.61,-1.08,0.64
6610,0.00,0.00,16,1118,-9.63,-1.08,0.64
6650,0.00,0.00,16,1116,-9.61,-1.08,0.64
6687,0.00,0.00,16,1121,-9.61,-1.08,0.64
6726,0.00,0.00,16,1121,-9.63,-1.08,0.64
6766,0.00,0.00,16,1112,-9.63,-1.08,0.64
6798,0.00,0.00,16,1112,-9.63,-1.08,0.64
6838,0.00,0.00,16,1118,-9.63,-1.08,0.64
6878,0.00,0.00,16,1110,-9.63,-1.08,0.64
6918,0.00,0.00,16,1110,-9.63,-1.08,0.64
6958,0.00,0.00,16,1112,-9.63,-1.08,0.64
6998,0.00,0.00,16,1112,-9.63,-1.08,0.64
7030,0.00,0.00,16,1110,-9.63,-1.08,0.64
7070,0.00,0.00,16,1110,-9.63,-1.08,0.64
7110,0.00,0.00,16,1109,-9.63,-1.08,0.64
7150,0.00,0.00,16,1123,-9.63,-1.08,0.64
7190,0.00,0.00,16,1123,-9.63,-1.08,0.64
7230,0.00,0.00,16,1121,-9.63,-1.08,0.64
7262,0.00,0.00,16,1121,-9.63,-1.08,0.64
7302,0.00,0.00,16,1108,-9.63,-1.08,0.64
7342,0.00,0.00,16,1106,-9.63,-1.08,0.64
7384,0.00,0.00,16,1106,-9.63,-1.08,0.64
7416,0.00,0.00,16,1107,-9.63,-1.08,0.64
7456,0.00,0.00,16,1107,-9.63,-1.08,0.64
7496,0.00,0.00,16,1116,-9.63,-1.08,0.64
7536,0.00,0.00,16,1117,-9.63,-1.08,0.64
7576,0.00,0.00,16,1117,-9.65,-1.08,0.64
7616,0.00,0.00,16,1113,-9.63,-1.08,0.64
7656,0.00,0.00,16,1113,-9.63,-1.08,0.64
7688,0.00,0.00,16,1112,-9.65,-1.08,0.64
7728,0.00,0.00,16,1104,-9.63,-1.08,0.64
7768,0.00,0.00,16,1104,-9.63,-1.08,0.64
7809,0.00,0.00,16,1110,-9.63,-1.08,0.64
7849,0.00,0.00,16,1110,-9.63,-1.08,0.64
7881,0.00,0.00,16,1116,-9.65,-1.08,0.64
7921,0.00,0.00,16,1116,-9.65,-1.08,0.64
7961,0.00,0.00,16,1108,-9.63,-1.08,0.64
8001,0.00,0.00,16,1108,-9.63,-1.08,0.64
8037,0.00,0.00,16,1108,-9.63,-1.08,0.64
8077,0.00,0.00,16,1113,-9.63,-1.08,0.64
8117,0.00,0.00,16,1113,-9.63,-1.08,0.64
8157,0.00,0.00,16,1108,-9.63,-1.08,0.64
8197,0.00,0.00,16,1110,-9.63,-1.08,0.64
8229,0.00,0.00,16,1110,-9.63,-1.08,0.64
8269,0.00,0.00,16,1100,-9.63,-1.08,0.64
8309,0.00,0.00,16,1100,-9.63,-1.08,0.64
8349,0.00,0.00,16,1102,-9.63,-1.08,0.64
8388,0.00,0.00,16,1104,-9.63,-1.08,0.64
8428,0.00,0.00,16,1104,-9.63,-1.08,0.64
8468,0.00,0.00,16,1106,-9.63,-1.08,0.64
8500,0.00,0.00,16,1106,-9.59,-1.08,0.64
8544,0.00,0.00,16,1105,-9.63,-1.08,0.64
8582,0.00,0.00,16,1102,-9.63,-1.08,0.64
8622,0.00,0.00,16,1102,-9.63,-1.08,0.64
8654,0.00,0.00,16,1103,-9.63,-1.08,0.64
8699,0.00,0.00,16,1103,-9.61,-1.08,0.64
8738,0.00,0.00,16,1113,-9.61,-1.08,0.64
8774,0.00,0.00,16,1113,-9.63,-1.08,0.64
8814,0.00,0.00,16,1113,-9.63,-1.08,0.64
8854,0.00,0.00,16,1092,-9.63,-1.08,0.64
8894,0.00,0.00,16,1092,-9.63,-1.08,0.64
8929,0.00,0.00,16,1088,-9.59,-1.08,0.64
8969,0.00,0.00,16,1088,-9.63,-1.08,0.64
9009,0.00,0.00,16,1101,-9.63,-1.08,0.64
9049,0.00,0.00,16,1104,-9.59,-1.08,0.64
9081,0.00,0.00,16,1104,-9.63,-1.08,0.64
9121,0.00,0.00,16,1104,-9.63,-1.08,0.64
9161,0.00,0.00,16,1104,-9.63,-1.08,0.64
9197,0.00,0.00,16,1098,-9.63,-1.08,0.64
9237,0.00,0.00,16,1102,-9.59,-1.08,0.64
9277,0.00,0.00,16,1102,-9.59,-1.08,0.64
9317,0.00,0.00,16,1114,-9.63,-1.08,0.64
9356,0.00,0.00,16,1114,-9.59,-1.08,0.64
9396,0.00,0.00,16,1117,-9.61,-1.08,0.64
9431,0.00,0.00,16,1119,-9.63,-1.08,0.64
9471,0.00,0.00,16,1119,-9.63,-1.08,0.64
9511,0.00,0.00,16,1098,-9.63,-1.08,0.64
9551,0.00,0.00,16,1098,-9.63,-1.08,0.64
9587,0.00,0.00,16,1082,-9.61,-1.08,0.64
9627,0.00,0.00,16,1082,-9.63,-1.08,0.64
9667,0.00,0.00,16,1090,-9.61,-1.08,0.64
9699,0.00,0.00,16,1100,-9.57,-1.08,0.64
9739,0.00,0.00,16,1100,-9.61,-1.08,0.64
9779,0.00,0.00,16,1110,-9.61,-1.08,0.64
9819,0.00,0.00,16,1110,-9.57,-1.08,0.64
9859,0.00,0.00,16,1102,-9.61,-1.08,0.64
9899,0.00,0.00,16,1100,-9.59,-1.08,0.64
9931,0.00,0.00,16,1100,-9.59,-1.08,0.64
9971,0.00,0.00,16,1109,-9.61,-1.08,0.64
10011,0.00,0.00,16,1109,-9.57,-1.08,0.64
10051,0.00,0.00,16,1110,-9.61,-1.08,0.64
10091,0.00,0.00,16,1106,-9.63,-1.08,0.64
10131,0.00,0.00,16,1106,-9.59,-1.08,0.64
10163,0.00,0.00,16,1109,-9.61,-1.08,0.64
10203,0.00,0.00,16,1109,-9.61,-1.08,0.64
10243,0.00,0.00,16,1106,-9.61,-1.08,0.64
10283,0.00,0.00,16,1106,-9.63,-1.08,0.64
10323,0.00,0.00,16,1109,-9.63,-1.08,0.64
10363,0.00,0.00,16,1108,-9.59,-1.08,0.64
10403,0.00,0.00,16,1108,-9.63,-1.08,0.64
10435,0.00,0.00,16,1103,-9.61,-1.08,0.64
10475,0.00,0.00,16,1103,-9.63,-1.08,0.64
10519,0.00,0.00,16,1108,-9.63,-1.08,0.64
10551,0.00,0.00,16,1095,-9.61,-1.08,0.64
10591,0.00,0.00,16,1095,-9.61,-1.08,0.64
10631,0.00,0.00,16,1099,-9.63,-1.08,0.64
10671,0.00,0.00,16,1099,-9.59,-1.08,0.64
10711,0.00,0.00,16,1106,-9.63,-1.08,0.64
10751,0.00,0.00,16,1102,-9.63,-1.08,0.64
10783,0.00,0.00,16,1102,-9.61,-1.08,0.64
