Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees)
5240,0.15,1333,0.00,0.00,16,14.10,15.50
5280,0.15,1343,0.00,0.00,16,14.10,14.50
5312,0.15,1338,0.00,0.00,16,14.10,14.50
5352,0.15,1338,0.00,0.00,16,14.10,15.00
5384,0.15,1351,0.00,0.00,16,14.10,15.00
5427,0.15,1351,0.00,0.00,16,14.10,15.00
5459,0.15,1328,0.00,0.00,16,14.10,15.00
5499,0.15,1328,0.00,0.00,16,14.10,15.00
5531,0.15,1329,0.00,0.00,16,14.10,16.50
5571,0.15,1329,0.00,0.00,16,14.10,16.50
5603,0.15,1338,0.00,0.00,16,14.10,15.50
5648,0.15,1316,0.00,0.00,16,14.10,15.50
5680,0.15,1316,0.00,0.00,16,14.10,17.50
5720,0.15,1329,0.00,0.00,16,14.10,17.50
5752,0.15,1329,0.00,0.00,16,14.10,16.00
5792,0.15,1324,0.00,0.00,16,14.10,16.50
5824,0.15,1324,0.00,0.00,16,14.10,16.50
5864,0.15,1329,0.00,0.00,16,14.10,16.00
5896,0.15,1329,0.00,0.00,16,14.10,16.00
5936,0.15,1324,0.00,0.00,16,14.10,16.50
5968,0.15,1325,0.00,0.00,16,14.10,16.50
6008,0.15,1325,0.00,0.00,16,14.10,16.50
6041,0.15,1317,0.00,0.00,16,14.10,16.50
6081,0.15,1317,0.00,0.00,16,14.10,16.50
6113,0.15,1324,0.00,0.00,16,14.10,16.50
6153,0.15,1324,0.00,0.00,16,14.10,16.50
6185,0.15,1340,0.00,0.00,16,14.10,14.50
6228,0.15,1320,0.00,0.00,16,14.10,14.50
6260,0.15,1320,0.00,0.00,16,14.10,16.50
6300,0.15,1328,0.00,0.00,16,14.10,16.50
6332,0.15,1328,0.00,0.00,16,14.10,16.00
6372,0.15,1323,0.00,0.00,16,14.10,16.00
6409,0.15,1323,0.00,0.00,16,14.10,16.50
6441,0.15,1335,0.00,0.00,16,14.10,15.00
6480,0.15,1335,0.00,0.00,16,14.10,15.00
6512,0.15,1334,0.00,0.00,16,14.10,15.50
6553,0.15,1334,0.00,0.00,16,14.10,15.50
6592,0.15,1330,0.00,0.00,16,14.10,15.50
6625,0.15,1319,0.00,0.00,16,14.10,15.50
6664,0.15,1319,0.00,0.00,16,14.10,16.50
6696,0.15,1331,0.00,0.00,16,14.10,16.50
6736,0.15,1331,0.00,0.00,16,14.10,16.50
6769,0.15,1330,0.00,0.00,16,14.10,15.50
6809,0.15,1330,0.00,0.00,16,14.10,15.50
6849,0.15,1327,0.00,0.00,16,14.10,16.00
6881,0.15,1324,0.00,0.00,16,14.10,16.00
6920,0.15,1324,0.00,0.00,16,14.10,16.50
6952,0.15,1310,0.00,0.00,16,14.10,16.50
6992,0.15,1310,0.00,0.00,16,14.10,17.50
7024,0.15,1327,0.00,0.00,16,14.10,17.50
7065,0.15,1327,0.00,0.00,16,14.10,15.50
7097,0.15,1315,0.00,0.00,16,14.10,17.00
7137,0.15,1315,0.00,0.00,16,14.10,17.00
7173,0.15,1326,0.00,0.00,16,14.10,15.50
7213,0.15,1325,0.00,0.00,16,14.10,15.50
7245,0.15,1325,0.00,0.00,16,14.10,16.00
7285,0.15,1332,0.00,0.00,16,14.10,16.00
7317,0.15,1332,0.00,0.00,16,14.10,15.00
7357,0.15,1322,0.00,0.00,16,14.10,15.00
7389,0.15,1322,0.00,0.00,16,14.10,16.00
7453,0.15,1319,0.00,0.00,16,14.10,16.50
7461,0.15,1319,0.00,0.00,16,14.10,16.50
7501,0.15,1323,0.00,0.00,16,14.10,16.00
7533,0.15,1312,0.00,0.00,16,14.10,16.00
7573,0.15,1312,0.00,0.00,16,14.10,17.00
7613,0.15,1326,0.00,0.00,16,14.10,17.00
7645,0.15,1326,0.00,0.00,16,14.10,15.50
7685,0.15,1320,0.00,0.00,16,14.10,15.50
7717,0.15,1320,0.00,0.00,16,14.10,16.00
7757,0.15,1334,0.00,0.00,16,14.10,14.50
7797,0.15,1334,0.00,0.00,16,14.10,14.50
7829,0.15,1308,0.00,0.00,16,14.10,17.50
7861,0.15,1308,0.00,0.00,16,14.10,17.50
7901,0.15,1330,0.00,0.00,16,14.10,15.00
7933,0.15,1319,0.00,0.00,16,14.10,15.00
7973,0.15,1319,0.00,0.00,16,14.10,15.50
8007,0.15,1321,0.00,0.00,16,14.10,15.50
8047,0.15,1321,0.00,0.00,16,14.10,16.00
8081,0.15,1326,0.00,0.00,16,14.10,15.50
8121,0.15,1326,0.00,0.00,16,14.10,15.50
8153,0.15,1326,0.00,0.00,16,14.10,15.50
8193,0.15,1333,0.00,0.00,16,14.10,15.50
8225,0.15,1333,0.00,0.00,16,14.10,15.00
8267,0.15,1314,0.00,0.00,16,14.10,15.00
8299,0.15,1314,0.00,0.00,16,14.10,17.00
8339,0.15,1324,0.00,0.00,16,14.10,17.00
8371,0.15,1324,0.00,0.00,16,14.10,15.50
8411,0.15,1316,0.00,0.00,16,14.10,16.50
8443,0.15,1316,0.00,0.00,16,14.10,16.50
8483,0.15,1328,0.00,0.00,16,14.10,15.50
8523,0.15,1328,0.00,0.00,16,14.10,15.50
8555,0.15,1313,0.00,0.00,16,14.10,15.50
8595,0.15,1312,0.00,0.00,16,14.10,15.50
8627,0.15,1312,0.00,0.00,16,14.10,17.00
8667,0.15,1318,0.00,0.00,16,14.10,17.00
8702,0.15,1318,0.00,0.00,16,14.10,16.50
8734,0.15,1311,0.00,0.00,16,14.10,16.50
8774,0.15,1311,0.00,0.00,16,14.10,16.50
8806,0.15,1324,0.00,0.00,16,14.10,15.50
8846,0.15,1326,0.00,0.00,16,14.10,15.50
8886,0.15,1326,0.00,0.00,16,14.10,15.50
8922,0.15,1326,0.00,0.00,16,14.10,15.50
8954,0.15,1326,0.00,0.00,16,14.10,15.50
8994,0.15,1309,0.00,0.00,16,14.10,15.50
9026,0.15,1309,0.00,0.00,16,14.10,17.00
9066,0.15,1330,0.00,0.00,16,14.10,15.50
9098,0.15,1330,0.00,0.00,16,14.10,15.50
9138,0.15,1331,0.00,0.00,16,14.10,14.50
9178,0.15,1316,0.00,0.00,16,14.10,14.50
9214,0.15,1316,0.00,0.00,16,14.10,16.50
9247,0.15,1326,0.00,0.00,16,14.10,16.50
9286,0.15,1326,0.00,0.00,16,14.10,15.50
9319,0.15,1311,0.00,0.00,16,14.10,15.50
9358,0.15,1311,0.00,0.00,16,14.10,17.00
9391,0.15,1322,0.00,0.00,16,14.10,15.50
9431,0.15,1322,0.00,0.00,16,14.10,15.50
9463,0.15,1311,0.00,0.00,16,14.10,16.50
9503,0.15,1318,0.00,0.00,16,14.10,16.50
9543,0.15,1318,0.00,0.00,16,14.10,16.00
9575,0.15,1308,0.00,0.00,16,14.10,16.00
9615,0.15,1308,0.00,0.00,16,14.10,17.00
9647,0.15,1305,0.00,0.00,16,14.10,17.00
9687,0.15,1305,0.00,0.00,16,14.10,17.50
9719,0.15,1314,0.00,0.00,16,14.10,16.00
9759,0.15,1314,0.00,0.00,16,14.10,16.00
9795,0.15,1314,0.00,0.00,16,14.10,16.50
9835,0.15,1330,0.00,0.00,16,14.10,16.50
9867,0.15,1330,0.00,0.00,16,14.10,14.50
9907,0.15,1322,0.00,0.00,16,14.10,14.50
9939,0.15,1322,0.00,0.00,16,14.10,15.50
9979,0.15,1335,0.00,0.00,16,14.10,15.50
10011,0.15,1335,0.00,0.00,16,14.10,14.00
10051,0.15,1331,0.00,0.00,16,14.10,14.50
10083,0.15,1331,0.00,0.00,16,14.10,14.50
